audit_id,route,title,abstract,authors,year,publication_date,venue,doi,arxiv_id,url,record_type,sources,query_labels,source_status,original_exclusion_reason,reviewer_c_decision,reviewer_c_corpus_type,reviewer_c_reason_code,reviewer_c_rationale,reviewer_d_decision,reviewer_d_corpus_type,reviewer_d_reason_code,reviewer_d_rationale,final_decision,final_corpus_type,final_reason_code,resolution_route,adjudication_rationale,qc_decision,qc_corpus_type,qc_reason_code,qc_rationale,full_text_anchor,confidence,lead_final_decision,lead_final_corpus_type,lead_final_reason_code,lead_rationale,lead_full_text_anchor,lead_confidence
ALT-36a3691f146d,fresh_alternate_public_search,A data-driven Alzheimer's disease progression simulator for retrospective validation and prospective Phase III power design.,"Anti-amyloid immunotherapies have recently demonstrated the first significant slowing of cognitive decline in Alzheimer's disease (AD), yet clinical benefit varies markedly across drugs and scales with the completeness of amyloid clearance. Pharmacokinetic/pharmacodynamic (PK/PD) models are currently the standard tool for trial simulation, but they typically operate on single biomarkers and rely on drug-concentration assumptions, leaving the multi-scale cascade from amyloid clearance through tau, neurodegeneration, and cognition largely unmodelled. No existing framework has been jointly validated against the quantitative outcomes of multiple real-world phase III trials, spanning clearance kinetics, multi-modal biomarker trajectories, and statistical power. We present a trial simulation platform based on SimulAD, a disease progression model trained exclusively on longitudinal observational data from ADNI, with no access to trial-arm labels or drug-specific outcomes. SimulAD encodes intervention as piecewise amyloid clearance terms within a latent ordinary differential equation system that jointly governs amyloid, tau, structural MRI, and cognitive trajectories under the amyloid cascade hypothesis. We retrospectively simulated six landmark phase III anti-amyloid trials (TRAILBLAZER-ALZ2, CLARITY AD, EMERGE and ENGAGE, GRADUATE I and GRADUATE II) using a single trained model with trial-specific calibration limited to amyloid clearance kinetics. SimulAD reproduced published mean centiloid reductions within 5% error across all six trials and generated CDR-SB distributions broadly consistent with reported placebo and treated-arm outcomes. In a retrospective power analysis, calibrated simulations separated the three positive from the three null trials, with EMERGE near the decision boundary and ENGAGE and both GRADUATE trials below it. Across trials, higher amyloid-clearance rates were associated with larger calibrated clinical effects and lower estimated sample sizes. These results establish SimulAD as a valid disease-progression-centric trial simulator providing quantitative guidance on sample size planning and treatment kinetics optimisation that is grounded in the full multi-modal biomarker cascade of AD.",Marco Lorenzi; Anna Custo; Giovanni B Frisoni; Valentina Garibotto,2026,2026,medRxiv : the preprint server for health sciences,10.64898/2026.05.03.26352317,,https://pubmed.ncbi.nlm.nih.gov/42145636/,journal-article,europe_pmc;pubmed,europe_pmc_core;pubmed_core,indexed,,include,empirical,include_empirical,A data-trained latent dynamics model simulates intervention-conditioned biomarker trajectories and validates trial rollouts.,include,empirical,include_empirical,The data driven alzheimer s disease progression simulator retrospective validation prospective study learns or calibrates temporal dynamics and directly evaluates intervention-conditioned rollouts or planning outcomes.,include,empirical,include_empirical,reviewer_consensus+independent_inclusion_qc,"SimulAD learns a latent ODE transition over amyloid, tau, MRI, and cognition from longitudinal ADNI data, then evaluates intervention-conditioned multistep trajectories against six Phase III trials and power outcomes.",include,empirical,learned_multistep_dynamics,"SimulAD learns a latent ODE transition over amyloid, tau, MRI, and cognition from longitudinal ADNI data, then evaluates intervention-conditioned multistep trajectories against six Phase III trials and power outcomes.","Primary preprint, Methods and Results: latent ODE with piecewise amyloid-clearance interventions; retrospective simulation of TRAILBLAZER-ALZ2, CLARITY AD, EMERGE, ENGAGE, and GRADUATE I/II.",high,,,,,,
ALT-b41d73135078,fresh_alternate_public_search,A digital twin for hospital antimicrobial resistance forecasting and constrained intervention optimisation,"A bstract Hospital antimicrobial resistance (AMR) emanates from an array of complex interactions between patient turnover, heterogeneous patient–staff contact patterns, antibiotic-driven within-host selection, and imperfect surveillance. We present a hospital AMR digital twin that combines mechanistic simulation with temporal graph learning to forecast resistance emergence from evolving daily contact networks and enable support intervention planning. Our approach is twofold: graph neural networks and transformers to model predictions and mathematical programming optimization to provide decision support. The main predictive task asks whether future spread of resistant infections is more likely to be driven by endogenous hospital transmission and selection or from importation on admission. We evaluated this task under both fully observed and partially observed settings, using baseline benchmarks together with ablations, surveillance perturbations, and distribution-shift stress tests. Under canonical conditions, the model achieved very strong predictive performance, especially when ground-truth system states were available, and remained informative under partial observation. Ablations showed that contact-weight information was relatively robust, whereas compressed node-feature representations weakened performance more noticeably when observations were incomplete. Surveillance stress tests further showed that delayed or less frequent reporting can be tolerated in some settings, but threshold calibration becomes fragile under more severe observation changes. Across broader epidemiological and surveillance shifts, the ground-truth model generally preserved strong ranking ability, while partial-observation performance was less stable. When models were trained directly in the shifted regime, performance improved compared with zero-shot transfer, indicating that the digital twin can adapt to new and previously unseen operating conditions but that portability across regimes can improve, particularly when only partial surveillance data are available. We also evaluated intervention-conditioned forecasting by branching hospital states into a small library of screening and isolation policies under a shock-and-superspreader regime. The learned models supported useful within-state action ranking and frequently identified policies that improved on the baseline containment protocols or avoided worsening outcomes. The same digital twin can also support constrained intervention selection, although reliable deployment will require careful calibration, improved robustness under partial observation, and broader policy libraries.","Triantafyllidis CP, Aguas R.",2026,2026-05-22,openRxiv,10.64898/2026.05.15.26353296,,https://europepmc.org/article/PPR/PPR1237042,posted-content,crossref;europe_pmc,"""clinical digital twin"" intervention;""intervention-conditioned forecasting"" clinical;europe_pmc_core",indexed,,include,empirical,include_empirical,Temporal graph models forecast resistance dynamics and evaluate intervention-conditioned policy branches and rankings.,include,empirical,include_empirical,The digital twin hospital antimicrobial resistance forecasting constrained intervention optimisation study learns or calibrates temporal dynamics and directly evaluates intervention-conditioned rollouts or planning outcomes.,include,empirical,include_empirical,reviewer_consensus+independent_inclusion_qc,Temporal graph and transformer models learn resistance-spread transitions from evolving hospital contact states; branched screening and isolation policies are evaluated by future-state forecasts and within-state action ranking.,include,empirical,action_conditioned_closed_loop_control,Temporal graph and transformer models learn resistance-spread transitions from evolving hospital contact states; branched screening and isolation policies are evaluated by future-state forecasts and within-state action ranking.,"Primary preprint, forecasting and intervention experiments: daily contact-network prediction, surveillance stress tests, distribution shifts, and policy branching under shock and superspreader conditions.",high,,,,,,
ALT-10e1e2640b93,fresh_alternate_public_search,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,,Shoumik Roychowdhury; Shounak Roychowdhury,2020,2020,2020 International Joint Conference on Neural Networks (IJCNN),10.1109/ijcnn48605.2020.9206875,,https://doi.org/10.1109/ijcnn48605.2020.9206875,proceedings-article,crossref,"""disease progression model"" generative intervention",registered,,uncertain,empirical,insufficient_abstract,"The title suggests generative disease progression, but no abstract confirms temporal rollouts or evaluation.",uncertain,empirical,insufficient_abstract,"The modular predict alzheimer s disease progression conditional generative adversarial networks title plausibly denotes learned medical dynamics, but the missing abstract does not establish direct future or action evaluation.",include,empirical,include_empirical,reviewer_consensus+independent_inclusion_qc,A conditional GAN learns longitudinal Alzheimer state progression and recursively generates later disease-stage trajectories; future stage outputs are directly compared with held-out longitudinal patient sequences.,include,empirical,learned_multistep_dynamics,A conditional GAN learns longitudinal Alzheimer state progression and recursively generates later disease-stage trajectories; future stage outputs are directly compared with held-out longitudinal patient sequences.,"Author-hosted full paper, framework and experiments: modular cGAN progression across sequential Alzheimer stages with generated-versus-observed trajectory evaluation.",medium,,,,,,
ALT-99717b78a904,fresh_alternate_public_search,"AI-powered in silico twins: redefining precision medicine through simulation, personalization, and predictive healthcare.","In silico twins (ISTs) are emerging as a transformative paradigm in precision medicine, offering dynamic, high-fidelity representations of individual patients through real-time integration of multimodal data. In this work, we define an in silico twin (IST) as a high-fidelity, artificial intelligence(AI)-augmented computational replica of an individual's biological systems that integrates mechanistic modeling (e.g., PBPK, QSP) with patient-specific data streams to simulate, predict, and optimize therapeutic outcomes in real time. By combining AI, physiological and biomechanical modeling, and advanced simulation engines, these systems enable continuous monitoring, predictive diagnostics, and personalized treatment planning. Unlike conventional digital tools, ISTs provide iterative, adaptive simulations that evolve with patient states, fostering a shift from reactive to proactive healthcare. This review explores the technological foundations underpinning ISTs -including machine learning architectures, multi-scale physiological modeling, data integration, and cloud-edge infrastructure- and maps their clinical applications across the patient care continuum. We also distinguish ISTs from digital twins, virtual patients, and traditional computational models, emphasizing their unique contribution to decision support, drug development, and therapeutic optimization. As digital healthcare ecosystems mature, ISTs represent a crucial step toward simulation-driven, individualized medicine. Their continued development offers substantial potential for improving outcomes, accelerating discovery, and reshaping the clinical landscape. Uniquely, this review introduces a practical taxonomy of IST architectures, a verification and validation checklist for model credibility, and a deployment blueprint to guide their clinical translation and real-world adoption.",Alharthi S.,2025,2025-12-24,,10.1007/s44446-025-00055-x,,https://europepmc.org/article/MED/41441931,,europe_pmc,europe_pmc_core,indexed,,include,review,include_review,"This medical-twin review provides an architecture taxonomy, validation checklist, and clinical-translation blueprint.",include,review,include_review,"This review primarily synthesizes dynamic medical digital twins for ai powered silico twins redefining precision medicine through simulation personalization, including prediction, simulation, or intervention use.",include,review,include_review,reviewer_consensus+independent_inclusion_qc,"Learned and personalized medical dynamics are central: the review organizes in-silico twins around model layers, simulation engines, feedback loops, disease-progression simulation, treatment optimization, calibration, and validation.",include,review,substantive_dynamic_simulator_review,"Learned and personalized medical dynamics are central: the review organizes in-silico twins around model layers, simulation engines, feedback loops, disease-progression simulation, treatment optimization, calibration, and validation.","Full text sections: Core components; Simulation of disease progression; Treatment simulation and optimization; Model calibration and personalization; Verification, validation, and uncertainty quantification.",high,,,,,,
ALT-f6449fe2d40f,fresh_alternate_public_search,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,"Abstract Acute kidney injury in sepsis evolves over hours to days, yet most ICU models emphasize onset and provide limited insight into cardio-renal interactions. We developed AKI-twinX, an organ-structured, explainable digital twin that jointly forecasts acute kidney injury onset, acute kidney injury trajectory, and near-term mortality risk. The model learns renal and cardiovascular latent states with sparse feature gating and captures cross-organ coupling with attention. We trained AKI-twinX on MIMIC-IV sepsis using 5-fold cross-validation and evaluated it on an Indiana University Health cohort. Discrimination was consistent across systems (AUC: mortality 0.86-0.88, acute kidney injury onset 0.78-0.82, acute kidney injury trajectory 0.73-0.78). In vasopressor-treated windows, 12-hour systolic blood pressure forecasts tracked observed values (mean absolute error 8.5 mmHg). Counterfactual vasopressor withdrawal shifted predicted blood pressure downward and increased predicted risk, supporting sensitivity to clinically meaningful interventions. AKI-twinX enables trajectory-aware forecasting with bedside auditability in sepsis.",Jinjin Cai; Allison E Gatz; Jiangqiong Li; Deborupa Pal; Haixu Tang; Michael T Eadon; Baijian Yang; Lingzhong Meng; Jing Su,2026,2026,openRxiv,10.64898/2026.03.13.26346736,,https://doi.org/10.64898/2026.03.13.26346736,posted-content,crossref,"""medical digital twin"" trajectory;""physiological trajectory"" forecasting",registered,,include,empirical,include_empirical,Learned organ states support future blood-pressure forecasts and counterfactual vasopressor-withdrawal evaluation.,include,empirical,include_empirical,The aki twinx explainable organ structured digital twin sepsis aki trajectory study learns or calibrates temporal dynamics and directly evaluates intervention-conditioned rollouts or planning outcomes.,include,empirical,include_empirical,reviewer_consensus+independent_inclusion_qc,"The model learns coupled renal and cardiovascular latent transitions from MIMIC-IV, validates AKI and blood-pressure trajectories externally, and tests vasopressor-withdrawal counterfactual responses.",include,empirical,action_conditioned_closed_loop_control,"The model learns coupled renal and cardiovascular latent transitions from MIMIC-IV, validates AKI and blood-pressure trajectories externally, and tests vasopressor-withdrawal counterfactual responses.","Primary preprint, Methods and Results: organ-structured latent states, Indiana University Health external cohort, 12-hour blood-pressure forecasts, and vasopressor withdrawal perturbation.",high,,,,,,
ALT-6fb8e7370e1e,fresh_alternate_public_search,Autosomal Dominant Tubulointerstitial Kidney Disease Clinical Trial Simulator: Case Reports of Model-Informed Drug Development.,"Autosomal Dominant Tubulointerstitial Kidney Disease (ADTKD) is the third most common inherited monogenic kidney disorder. Mutations in UMOD and MUC1 account for most cases, with the disease characterized by progressive eGFR decline leading to kidney failure. No disease-modifying therapies exist, and transplantation is the only current option. Designing trials for ADTKD is hampered by small patient numbers, variable progression rates, and uncertainty around optimal endpoints. Building on natural history data from Wake Forest School of Medicine, nonlinear mixed-effects models were developed to describe eGFR decline in UMOD and MUC1 variants. These models formed the foundation for a web-based clinical trial simulation (CTS) tool (https://app.cop.ufl.edu/adtkd/) built in R Shiny. The tool allows users to define trial populations, configure design parameters, and estimate statistical power by simulating placebo vs. assumed treatment arms. Drug effects were modeled as percentage changes in key parameters of the developed disease progression models describing individual-level eGFR trajectory over age: DPT50 (age at which eGFR is half of its maximum decline), γ 1 $$ {\gamma}_1 $$ and γ 2 $$ {\gamma}_2 $$ (steepness before and after DPT50). Both slope-based eGFR change and end-of-trial eGFR measures functioned as effective surrogate endpoints. Herein, we present the model-based CTS tool developed for ADTKD and demonstrate its use in designing and evaluating clinical trial scenarios, illustrated by two representative case studies. The CTS tool provides a pragmatic framework for optimizing ADTKD trial design. By enabling scenario testing and highlighting genotype-specific considerations, it supports efficient, cost-effective planning and represents an example of model-informed drug development in rare kidney diseases.",Shyam S Ramesh; Mark Rogge; Jongjin Kim; Sanghoon Kang; Kendrah Kidd; Adrienne Williams; Julie Roignot; Katherine Blakeslee; Anthony J Bleyer; Sarah Kim,2026,2026,CPT: pharmacometrics & systems pharmacology,10.1002/psp4.70258,,https://pubmed.ncbi.nlm.nih.gov/42062819/,journal-article,europe_pmc;pubmed,europe_pmc_core;pubmed_core,indexed,,include,empirical,include_empirical,Data-fitted progression models simulate individualized eGFR trajectories under alternative treatment scenarios.,include,empirical,include_empirical,The autosomal dominant tubulointerstitial kidney disease clinical trial simulator case reports study learns or calibrates temporal dynamics and directly evaluates intervention-conditioned rollouts or planning outcomes.,include,empirical,include_empirical,reviewer_consensus+independent_inclusion_qc,Nonlinear mixed-effects models fit individual eGFR trajectories from longitudinal natural-history data; placebo and treatment trajectories are simulated across trial designs and evaluated by statistical power.,include,empirical,fitted_multistep_dynamics,Nonlinear mixed-effects models fit individual eGFR trajectories from longitudinal natural-history data; placebo and treatment trajectories are simulated across trial designs and evaluated by statistical power.,"Full text, Natural History Models and Case Studies: SAEM-fitted genotype-specific eGFR curves, parameterized drug effects, virtual populations, and trial power simulations.",high,,,,,,
ALT-d3411f7d184d,fresh_alternate_public_search,"CardamomOT: a mechanistic optimal transport-based framework for gene regulatory network inference, trajectory reconstruction and generative modeling","A key challenge in inferring gene regulatory networks (GRNs) governing cellular processes such as differentiation and reprogramming from experimental data lies in the impossibility of directly measuring protein dynamics at the single-cell level, which prevents establishing causal relationships between regulator activity and target responses. In earlier work, we introduced CARDAMOM, an algorithm that uses temporal snapshots of scRNA-seq data to calibrate a GRN-driven mechanistic model of gene expression. However, this method had several limitations: it could only rely on the relative ordering of time points rather than their exact labels, imposed restrictive quasi-stationary assumptions on protein dynamics, and depended on multiple hyperparameters. Here, we present CardamomOT, a new method based on the same mechanistic model that jointly reconstructs the GRN and unobserved protein trajectories from the data within a mechanistic optimal transport framework. By incorporating exact time labels and priors on protein kinetic rates from the literature, and substantially reducing the number of required hyperparameters, our approach addresses these limitations and substantially improves the accuracy and robustness of GRN calibration. We validate our framework on both in silico and experimental datasets, demonstrating computational scalability and consistently improved performance over state-of-the-art methods in both GRN and trajectory reconstruction. In particular, CardamomOT accurately recovers velocity fields driving cellular trajectories and unobserved protein levels, alongside reliable GRN structures. We also show that these improvements make the calibrated mechanistic model suitable to be used as a generative model to predict cellular responses to unseen perturbations. To our knowledge, this is among the first methods to explicitly integrate mechanistic GRN inference, trajectory reconstruction, and simulation of realistic datasets into a unified framework for scRNA-seq time series analysis. Author summary Predicting gene regulatory interactions and understanding how cellular trajectories respond to perturbations are central challenges in cell biology and bioinformatics, yet they have long been addressed as separate problems. Only a few recent approaches leverage temporal single-cell RNA sequencing data to jointly infer gene regulatory networks (GRNs) and cellular trajectories, including our previous method CARDAMOM. In this work, we introduce CardamomOT, a new framework that integrates optimal transport—a mathematical theory that has become widely used in computational biology in recent years—within a mechanistic modeling approach. This allows us to link cells across timepoints while jointly reconstructing the underlying, unobserved protein trajectories that drive gene regulation. By explicitly modeling these latent dynamics, our method substantially improves the robustness and accuracy of GRN inference. In contrast to many black-box approaches, CardamomOT is grounded in a biologically interpretable mechanistic model of gene expression, incorporating key processes such as transcriptional bursting, protein translation, and degradation. This framework naturally accommodates prior knowledge on RNA and protein kinetic rates available in the literature and remains consistent with the statistical properties of single-cell transcriptomic data. We demonstrate on both simulated and experimental datasets that CardamomOT accurately infers GRNs and reconstructs cellular trajectories. Moreover, because it provides a fully calibrated generative model, it can be used to predict cellular responses to unseen perturbations by modifying the inferred regulatory interactions.","Maugé Y, Ventre E.",2026,2026-04-02,,10.64898/2026.03.31.715390,,https://europepmc.org/article/PPR/PPR1215662,,europe_pmc,europe_pmc_core,indexed,,include,empirical,include_empirical,CardamomOT calibrates temporal cellular dynamics from data and evaluates generative responses to unseen perturbations.,include,empirical,include_empirical,The cardamomot mechanistic optimal transport gene regulatory network inference trajectory reconstruction study learns or calibrates temporal dynamics and directly evaluates temporal rollouts or simulated trajectories.,include,empirical,include_empirical,reviewer_consensus+independent_inclusion_qc,"CardamomOT calibrates gene-regulatory and latent protein transitions from time-labeled single-cell data, reconstructs trajectories, and evaluates generation under unseen regulatory perturbations.",include,empirical,calibrated_perturbation_dynamics,"CardamomOT calibrates gene-regulatory and latent protein transitions from time-labeled single-cell data, reconstructs trajectories, and evaluates generation under unseen regulatory perturbations.","Primary preprint, Results: GRN and protein-trajectory reconstruction on simulated and experimental data, velocity-field recovery, and unseen-perturbation response simulation.",high,,,,,,
ALT-1bbcf3252882,fresh_alternate_public_search,"CellPace: A temporal diffusion-forcing framework for simulation, interpolation and forecasting of single-cell dynamics","Abstract Single-cell omics technologies resolve cellular heterogeneity at high resolution but provide only static snapshots of continuous developmental processes. This makes it difficult to recover coherent temporal dynamics when developmental stages are irregularly sampled or missing. While recent generative models can simulate observed cell states, they often treat timepoints as discrete categories, hindering interpolation across gaps and extrapolation to unobserved future stages. We present CellPace, a generative model that learns and generates developmental dynamics by leveraging a transformer-based temporal diffusion backbone conditioned on continuous, gap-aware temporal encodings. Across diverse mouse developmental lineages, CellPace achieves state-of-the-art performance in simulation, interpolation, and forecasting tasks. Beyond recovering global population statistics, generated cells preserve fine-grained biological structure, retaining dynamic gene regulatory programs and mapping accurately to anatomical regions in spatial transcriptomics data. Furthermore, CellPace extends naturally to multi-modal data, modeling joint RNA-chromatin dynamics even when temporal ordering is inferred from pseudotime. Together, these results position CellPace as a robust framework for modeling and generating continuous developmental dynamics from sparse, cross-sectional single-cell data.",Chen Su; Amin Emad,2026,2026,openRxiv,10.64898/2026.02.25.707938,,https://doi.org/10.64898/2026.02.25.707938,posted-content,crossref,"""virtual cell"" temporal dynamics",registered,,include,empirical,include_empirical,"CellPace learns continuous cellular dynamics and directly evaluates simulation, interpolation, and future-stage forecasting.",include,empirical,include_empirical,The cellpace temporal diffusion forcing simulation interpolation forecasting single cell dynamics study learns or calibrates temporal dynamics and directly evaluates held-out future states or multi-step forecasts.,include,empirical,include_empirical,reviewer_consensus+independent_inclusion_qc,"CellPace learns continuous developmental transitions with a temporal diffusion transformer and directly evaluates simulation, missing-time interpolation, and extrapolation to unseen future stages.",include,empirical,learned_multistep_dynamics,"CellPace learns continuous developmental transitions with a temporal diffusion transformer and directly evaluates simulation, missing-time interpolation, and extrapolation to unseen future stages.","Primary preprint, Methods and Results: gap-aware continuous-time conditioning with developmental, spatial-transcriptomic, and joint RNA-chromatin trajectory evaluation.",high,,,,,,
ALT-531ffbb6add3,fresh_alternate_public_search,Data-driven discovery of digital twins in biomedical research.,"Recent technological advances have expanded the availability of high-throughput biological datasets, opening the way to the reliable design of digital twins of biomedical systems or patients. Such computational tools represent key chemical reaction networks driving perturbation or drug response and can profoundly guide drug discovery and personalized therapeutics. Yet, their development still depends on laborious data integration by the human modeler, so that automated approaches are critically needed. The successes of data-driven system discovery in Physics, rooted in clean datasets and well-defined governing laws, have fueled interest in applying similar techniques in Biology, which presents unique challenges. Here, we reviewed 177 methodologies for automatically inferring digital twins from biological time series, which mostly involved symbolic or sparse regression, and recapitulated them in a Shiny app. We evaluated algorithms according to eight biological and methodological challenges, associated with integrating noisy/incomplete data, multiple conditions, prior knowledge, latent variables, or dealing with high dimensionality, unobserved variable derivatives, candidate library design, and uncertainty quantification. Upon these criteria, sparse regression generally outperformed symbolic regression, particularly when using Bayesian frameworks. Next, deep learning and large language models further emerge as innovative tools to integrate prior knowledge, although their reliability and consistency need to be improved. While no single method addresses all challenges, we argue that progress in learning digital twins will come from hybrid and modular frameworks combining chemical reaction network-based mechanistic grounding, Bayesian uncertainty quantification, and the generative and knowledge integration capacities of deep learning. To support their development, we further highlight key components required for future benchmark development to evaluate methods across all challenges.","Métayer C, Ballesta A, Martinelli J.",2026,2026-01-01,,10.1093/bib/bbaf722,,https://europepmc.org/article/MED/41668337,,europe_pmc,europe_pmc_core,indexed,,include,review,include_review,This biomedical digital-twin review systematically compares dynamics-discovery methods and proposes benchmark criteria.,include,review,include_review,"This review primarily synthesizes dynamic medical digital twins for data driven discovery digital twins biomedical research, including prediction, simulation, or intervention use.",include,review,include_review,reviewer_consensus+independent_inclusion_qc,"The review specifically synthesizes 177 methods that infer governing dynamics from biological time series, including learned differential equations, latent variables, perturbations, uncertainty, and benchmark needs.",include,review,substantive_dynamic_simulator_review,"The review specifically synthesizes 177 methods that infer governing dynamics from biological time series, including learned differential equations, latent variables, perturbations, uncertainty, and benchmark needs.",Full text sections: State-of-the-art of digital twin inference from temporal data; symbolic and sparse regression; biological challenges; uncertainty; benchmark development.,high,,,,,,
ALT-872c15448450,fresh_alternate_public_search,Development of a model-based clinical trial simulation platform to optimize the design of clinical trials for Duchenne muscular dystrophy.,"Early clinical trials of therapies to treat Duchenne muscular dystrophy (DMD), a fatal genetic X-linked pediatric disease, have been designed based on the limited understanding of natural disease progression and variability in clinical measures over different stages of the continuum of the disease. The objective was to inform the design of DMD clinical trials by developing a disease progression model-based clinical trial simulation (CTS) platform based on measures commonly used in DMD trials. Data were integrated from past studies through the Duchenne Regulatory Science Consortium founded by the Critical Path Institute (15 clinical trials and studies, 1505 subjects, 27,252 observations). Using a nonlinear mixed-effects modeling approach, longitudinal dynamics of five measures were modeled (NorthStar Ambulatory Assessment, forced vital capacity, and the velocities of the following three timed functional tests: time to stand from supine, time to climb 4 stairs, and 10 meter walk-run time). The models were validated on external data sets and captured longitudinal changes in the five measures well, including both early disease when function improves as a result of growth and development and the decline in function in later stages. The models can be used in the CTS platform to perform trial simulations to optimize the selection of inclusion/exclusion criteria, selection of measures, and other trial parameters. The data sets and models have been reviewed by the US Food and Drug Administration and the European Medicines Agency; have been accepted into the Fit-for-Purpose and Qualification for Novel Methodologies pathways, respectively; and will be submitted for potential endorsement by both agencies.",Karthik Lingineni; Varun Aggarwal; Juan Francisco Morales; Daniela J Conrado; Diane Corey; Camille Vong; Jackson Burton; Jane Larkindale; Klaus Romero; Stephan Schmidt; Sarah Kim; Cooperative International Neuromuscular Research Group investigators and Duchenne Regulatory Science Consortium members,2022,2022,CPT: pharmacometrics & systems pharmacology,10.1002/psp4.12753,,https://pubmed.ncbi.nlm.nih.gov/34877803/,journal-article,europe_pmc;pubmed,europe_pmc_core;pubmed_core,indexed,,include,empirical,include_empirical,Data-fitted longitudinal dynamics are externally validated and used for multi-outcome clinical-trial simulations.,include,empirical,include_empirical,The clinical trial simulation platform optimize design clinical trials duchenne muscular study learns or calibrates temporal dynamics and directly evaluates temporal rollouts or simulated trajectories.,include,empirical,include_empirical,reviewer_consensus+independent_inclusion_qc,"Nonlinear mixed-effects models fit five longitudinal Duchenne measures from 27,252 observations, externally validate their trajectories, and drive repeated clinical-trial simulations.",include,empirical,fitted_multistep_dynamics,"Nonlinear mixed-effects models fit five longitudinal Duchenne measures from 27,252 observations, externally validate their trajectories, and drive repeated clinical-trial simulations.","Full text, Model development and Qualification: five disease trajectories, external datasets, and trial-design simulations for eligibility, endpoints, and assessment schedules.",high,,,,,,
