audit_id,stratum,title,abstract,authors,year,publication_date,venue,doi,arxiv_id,url,record_type,sources,query_labels,source_status,original_exclusion_reason,reviewer_a_decision,reviewer_a_corpus_type,reviewer_a_reason_code,reviewer_a_rationale,reviewer_b_decision,reviewer_b_corpus_type,reviewer_b_reason_code,reviewer_b_rationale,final_decision,final_corpus_type,final_reason_code,resolution_route,adjudication_rationale
AUD-23bda78572c9,alternate_dynamics_enriched,Combining machine learning and physiological network models for sepsis prediction,"As the most extreme course of an infectious disease, sepsis poses a serious health threat, with a high mortality rate and frequent long-term consequences for survivors. Despite its enormous burden on global healthcare and ongoing research efforts, early sepsis onset prediction remains challenging due to the complex nature of its pathophysiology. Current approaches face a fundamental trade-off: data-driven machine learning models achieve strong performance but lack interpretability, while biologically inspired models provide mechanistic insights but have limited clinical validation. In this study, we propose the Latent Dynamics Model , a hybrid machine learning approach that integrates a functional model of coupled oscillators representing organ- and immune-cell populations and their interactions. Here, the model parameters encode physiological conditions and allow for an interpretable differentiation between healthy and pathological states. By projecting high-dimensional patient data into the low-dimensional parameter space of the functional model, machine-learned trajectories through this space allow the prediction of critical organ system states and simultaneously offer interpretability beyond plain risk estimates. The proposed method is trained and evaluated on real intensive care patients, achieving competitive AUROC/AUPRC performance on a retrospective MIMIC-IV cohort. Additional qualitative analysis reveals that the learned trajectories exhibit clinically plausible patterns of deterioration, recovery, and stability. We demonstrate that a physiological network model can be embedded within a deep learning architecture without compromising predictive performance while providing an interpretable latent structure for sepsis onset prediction.",Juri Backes; Artyom Tsanda; Tobias Knopp; Wolfgang Renz; Eckehard Schöll,2026,2026-06-19,Frontiers in Network Physiology,10.3389/fnetp.2026.1852577,,https://doi.org/10.3389/fnetp.2026.1852577,article,['openalex'],"['""world model"" physiology']",open-access,world-model phrase absent from title and abstract,include,empirical,include_empirical,The hybrid model learns patient trajectories through a physiological parameter space and evaluates future critical-organ-state prediction on ICU data.,include,empirical,include_empirical,Learns patient trajectories in a physiological latent dynamics model and evaluates future organ-state prediction.,exclude,not_applicable,no_future_or_action_evaluation,third_full_text_adjudication,"The GRU updates a latent position only when each new EHR observation arrives, and the paper states that the oscillator trajectory is not patient-state evolution. Evaluation is online sepsis discrimination and observed SOFA tracking, while temporal rollout is listed as future work."
AUD-906a4df1eae9,alternate_dynamics_enriched,Commercial impact of adding real-world evidence to clinical trials at regulatory approval: a Markovian-like transition model,,Ravi Jandhyala,2023,2023,Current Medical Research and Opinion,10.1080/03007995.2023.2174330,,https://doi.org/10.1080/03007995.2023.2174330,journal-article,['crossref'],"['""medical world model""']",registered,world-model phrase absent from title and abstract,uncertain,empirical,insufficient_abstract,"The title suggests a medical transition model, but no abstract is available to establish learned dynamics or future/action evaluation.",uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,exclude,not_applicable,wrong_domain,third_full_text_adjudication,"The transition states describe drug-development, regulatory, launch, adoption, and commercial timelines. Patient survival is a derived downstream estimate, not the state of a learned clinical or biomedical dynamics model."
AUD-a2362b6cabf5,alternate_dynamics_enriched,Fetal Twin: a mechanistic computational model of fetal physiology for heart-rate-variability biomarker research,"Abstract Fetal-monitoring biomarkers for neonatal hypoxic-ischemic brain injury face a structural gap: the mechanistic ground truth that would label a training set — perfusion pressure, the moment of decompensation, the injury time course — cannot be measured at scale or ethically in human pregnancy or labor, and generative synthetic data carry no mechanistic labels. We address this with a mechanistic computational model of the fetal cardiovascular, autonomic, and metabolic response to controlled hypoxic stress, and use it to test how beat detection and acquisition fidelity alter the interpretation of fetal-heart-rate-variability (HRV) biomarkers. The model integrates these systems forward in time across antepartum development (gestational-age growth scaling) and intrapartum stress (umbilical-cord occlusions), emitting synthetic monitoring signals (fetal heart rate, RR intervals) co-registered with model-computed latent labels (pH, base deficit, lactate, perfusion pressure, decompensation and injury states). In a fetal-sheep-derived autonomic-loop configuration we report three results. First, a phase-accumulator beat detector shows that the apparently physiologic baseline HRV of an earlier build was largely a detector artifact, and a noise-off control shows beat-to-beat variability requires an explicit stochastic driver rather than self-sustained autonomic oscillation. Second, a sampling-fidelity sweep yields a fidelity-matched selection rule: a deceleration-area biomarker is preserved at CTG-grade 4 Hz whereas RMSSD is corrupted there (inflated about 8-fold by timing quantization) and recovers only at fetal-ECG rates. Third, autonomic modulation alone does not reproduce the published RMSSD rise-then-collapse — a negative result that motivates, but does not prove, an intrinsic sinoatrial-pacemaker contribution as a testable hypothesis. This is an in-silico, hypothesis-generating study: the model is not validated for individual fetal prediction, clinical risk estimation, or clinical decision-making. The model is implemented as Fetal Twin (engine fetaltwin ), a source-available research instrument released under a noncommercial license, together with all figure configurations, so that these controlled experiments are reproducible. Key Points Progress on fetal-monitoring biomarkers for neonatal brain-injury risk is constrained by a structural gap: the mechanistic ground truth that would label a training set — perfusion pressure, the moment of cardiovascular decompensation, the time course of injury — cannot be measured at scale or ethically during human pregnancy or labor. We present Fetal Twin (source-available engine fetaltwin ), a publicly available, noncommercially-licensed mechanistic testbed for fetal physiological development. It integrates the fetal cardiovascular, metabolic, and autonomic systems forward in time across antepartum development (gestational-age growth scaling) and intrapartum stress (umbilical-cord occlusions), and emits synthetic monitoring signals (fetal heart rate, RR intervals) co-registered with model-computed latent labels (pH, lactate, perfusion pressure, decompensation and injury states). The name’s digital-twin connotation is deliberate but bounded: Fetal Twin is a mechanistic, population-level twin of fetal physiology used as a research instrument — not a validated, patient-specific clinical digital twin or predictor. Its purpose is to interrogate what candidate biomarkers can and cannot mean, via in-silico controls impossible in vivo — swapping the beat detector, turning a noise source off, ablating a reflex, or quantizing the signal to a monitor’s sampling grid. Demonstrations in a fetal-sheep-derived autonomic-loop configuration show that beat-to-beat HRV amplitude can be a numerical artifact of the beat detector, and that in this model class beat-to-beat variability requires an explicit stochastic driver — it does not arise as a self-sustained oscillation of the deterministic autonomic loop. A further demonstration establishes a fidelity-matched biomarker-selection rule — a deceleration-area biomarker survives CTG-grade 4 Hz sampling whereas RMSSD is corrupted at that rate and needs fetal-ECG timing — and a negative result shows the published RMSSD “rise-then-collapse” is not reproducible from autonomic modulation in this model class, motivating (but not proving) an intrinsic-pacemaker hypothesis.",Martin G. Frasch,2026,2026,openRxiv,10.64898/2026.07.14.738362,,https://doi.org/10.64898/2026.07.14.738362,posted-content,['crossref'],"['""world model"" physiology']",registered,world-model phrase absent from title and abstract,exclude,empirical,no_learned_dynamics,The fetal simulator is described as a mechanistic computational model rather than a learned or adapted transition model.,include,empirical,include_empirical,Runs an adapted fetal physiology simulator under cord-occlusion interventions and evaluates generated trajectories.,exclude,not_applicable,no_learned_dynamics,third_full_text_adjudication,"The available primary text identifies a mechanistic population-level fetal physiology simulator run under prescribed stress and acquisition controls, but does not establish learned or data-fitted transition dynamics. A fetal-sheep-derived configuration alone does not satisfy the frozen adaptation criterion."
AUD-9afa5c092202,phrase_absent_random,Mozambique,,Ebby Elahi,2020,2020,World Tariff Profiles,10.30875/0d485d86-en,,https://doi.org/10.30875/0d485d86-en,book-chapter,['crossref'],"['""healthcare world model""', '""medical world model""']",registered,world-model phrase absent from title and abstract,exclude,not_applicable,wrong_domain,The country-chapter title provides no indication of a medical dynamics model.,uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,exclude,not_applicable,wrong_domain,reviewer_consensus,A: This is a trade-policy country chapter unrelated to medical world models. B: This is a country tariff profile outside the medical-world-model domain.
AUD-36855051ce31,phrase_absent_random,Application of the woodchuck animal model for the treatment of hepatitis B virus-induced liver cancer,,Manasa Suresh; Stephan Menne,2021,2021,World Journal of Gastrointestinal Oncology,10.4251/wjgo.v13.i6.509,,https://doi.org/10.4251/wjgo.v13.i6.509,journal-article,['crossref'],"['""world model"" treatment']",registered,world-model phrase absent from title and abstract,exclude,empirical,no_learned_dynamics,The animal-model title does not indicate a learned computational transition or rollout model.,uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,exclude,not_applicable,review_not_primary,third_full_text_adjudication,"This review concerns the woodchuck as an experimental animal model for HBV-associated liver cancer and preclinical treatment testing. It does not review learned medical world models, computational transition models, rollout evidence, or planning systems."
AUD-6121d25433ab,phrase_absent_random,The Impact of Low EHR-Continuity on Effect Estimates: Evidence from Two EHR-Medicare Linked Databases,,Yinzhu Jin; Angela Tong; Richard Wyss; Jie Yang; Kueiyu Lin,2025,2025,Clinical Epidemiology,10.2147/clep.s549772,,https://doi.org/10.2147/clep.s549772,journal-article,['crossref'],"['""world model"" EHR']",registered,world-model phrase absent from title and abstract,exclude,empirical,no_learned_dynamics,The title concerns data-continuity effects on estimates rather than learned temporal simulation.,uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,exclude,not_applicable,no_learned_dynamics,third_full_text_adjudication,"The study stratifies linked EHR and claims cohorts by an EHR-continuity score and compares incidence and treatment-effect estimates. It does not learn or adapt patient-state transitions, generate future trajectories, or evaluate an action-conditioned simulator."
AUD-4ecfb438361f,phrase_absent_random,Guinea-Bissau,,,2020,2020,World Tariff Profiles,10.30875/27dabae1-en,,https://doi.org/10.30875/27dabae1-en,book-chapter,['crossref'],"['""medical world model""']",registered,world-model phrase absent from title and abstract,exclude,not_applicable,wrong_domain,The country-chapter title provides no indication of a medical dynamics model.,uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,exclude,not_applicable,wrong_domain,reviewer_consensus,A: This is a trade-policy country chapter unrelated to medical world models. B: This is a country tariff profile outside the medical-world-model domain.
AUD-1c5d8413e95f,phrase_absent_random,The Gambia,,,2020,2020,World Tariff Profiles,10.30875/34c60994-en,,https://doi.org/10.30875/34c60994-en,book-chapter,['crossref'],"['""medical world model""']",registered,world-model phrase absent from title and abstract,exclude,not_applicable,wrong_domain,The country-chapter title provides no indication of a medical dynamics model.,uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,exclude,not_applicable,wrong_domain,reviewer_consensus,A: This is a trade-policy country chapter unrelated to medical world models. B: This is a country tariff profile outside the medical-world-model domain.
AUD-a7cc87cf05d8,phrase_absent_random,Model Assessment,,,2026,2026,Healthcare Quality Measurement,10.1017/9781009648196.009,,https://doi.org/10.1017/9781009648196.009,book-chapter,['crossref'],"['""healthcare world model""']",registered,world-model phrase absent from title and abstract,uncertain,not_applicable,insufficient_abstract,"The generic title and missing abstract do not permit assessment of domain, dynamics, or evaluation.",uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,exclude,not_applicable,review_not_primary,third_full_text_adjudication,"The chapter addresses assessment and fit of conventional healthcare quality and hierarchical statistical models. Its primary topic is statistical model evaluation rather than medical world-model dynamics, simulation, or planning."
AUD-2d381c43d614,phrase_absent_random,"Patient Data Privacy, Protected Health Information, and Ethics of Real-World Evidence",,Corinne S. Pillai; Eleanor E. Panico; Kelly H. Zou; Ewa Filipowska,2022,2022,Real-World Evidence in a Patient-Centric Digital Era,10.1201/9781003017523-3,,https://doi.org/10.1201/9781003017523-3,book-chapter,['crossref'],"['""patient world model""', '""world model"" patient']",registered,world-model phrase absent from title and abstract,exclude,review,review_not_primary,The chapter concerns privacy and ethics of evidence rather than medical world-model methods.,uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,exclude,not_applicable,review_not_primary,third_full_text_adjudication,"The chapter focuses on patient-data privacy, protected health information, and ethics in real-world-evidence research. It is not a review of medical or biomedical world models and contains no eligible dynamics synthesis."
