"candidate_id","title","primary_source_url","publication_status","domain","dataset_or_cohort","sample_scale","institution_count","split_strategy","observation_process","missingness","censoring_or_competing_events","state","observation_decoder","action","action_provenance","transition_mechanism","maximum_horizon","rollout_regime","capability_claim","baselines","state_fidelity_metrics","transition_metrics","rollout_stability","action_sensitivity","calibration_and_uncertainty","external_validation","decision_utility","safety_evaluation","statistical_analysis","causal_language","estimand","confounding_strategy","positivity_and_overlap","counterfactual_validation","code_access","weights_access","data_access","preprocessing_reproducibility","randomness","evidence_anchors","appraisal_strengths","appraisal_limitations","source_status","reviewer_confidence"
"MWM-0012","Affective Music Recommendation: A Rollout-Based World Model for Offline Preference Optimization","https://arxiv.org/pdf/2605.28810","preprint","Affective music recommendation and digital therapeutics","Proprietary LUCID clinical and consumer-wellness interaction logs","939 users; 8,784 sessions; 57,822 interactions; 5,992 unique songs played from a 6,988-song catalog; 16,927 positive and 2,561 negative ratings","Single platform; clinical site count NI","Ten random Monte Carlo splits, 80/10/10 by user ID; users disjoint and splits shared across models","Irregular song-level engagement and optional ratings plus session-level pre/post valence-arousal under a fixed production policy","Ratings and post-session affect are optional; losses mask unobserved positions; no imputation reported","Session endings observed; dropout or informative censoring NI","Listening history containing songs, feedback and session boundaries","Predicts engagement, rating, valence and arousal feedback","Next-song recommendation","Historical songs selected by the deployed production policy; imagined songs selected by evaluated policies","Factorized causal decoder-only transformer; predicted feedback is appended autoregressively","Five recommended songs","Free-running song-feedback rollout initialized from logged histories","Closed-loop offline preference optimization and predeployment simulation; real-user causal efficacy is not demonstrated","Architecture and embedding ablations; Random, Greedy and Copycat policies; no independent simulator","Continuous feedback MSE and R2; rating AUC","Rollout-level predicted feedback only; no horizon-stratified transition error","Coverage, normalized entropy, intra-list diversity, Gini and policy alignment across rollouts","Recommended-song-input removal plus Random, Greedy, Copycat and DPO policy comparisons; no action shuffling or dose response","NI; no predictive intervals, coverage or calibration analysis","None; one proprietary platform and logged policy","Simulator-predicted DPO valence-arousal and diversity gains; no online patient or user outcomes","Fully offline evaluation, Copycat and KL anchoring, diversity and alignment monitoring, and synthetic or perturbed-history stress tests; no deployment hazard protocol","Ten split mean and SD with paired t-tests; policy evaluation uses five shared random seeds","Uses counterfactual-history and in-silico-simulator language without causal identification","Model-predicted feedback and utility under dynamics learned from the logged production policy; not an intervention effect","Exposure bias is acknowledged and behavior-cloning or KL regularization is used; no measured-confounder adjustment","NI; action support or overlap is not evaluated","NI; perturbed histories are stress tests rather than ground-truth counterfactuals","NI","NI","Private proprietary logs; no public data access","Partial; embeddings, sequence construction, masked losses and split procedure are described, but the full production preprocessing pipeline is unavailable","Ten random user splits and five shared policy seeds; exact seed values NI","p.1 Abstract; pp.2-4 Sec. 3 and Fig. 1 for data, state, action and model; pp.5-8 Sec. 4 and Tables 1-5 for splits, metrics, ablations and policy rollouts; p.8 Sec. 5.1-5.3 for safety scope and limitations","User-disjoint cold-start evaluation, repeated splits and seeds, missing-aware objectives, and several rollout diversity or stability measures","Optimization and evaluation use the same learned simulator; single platform and policy; no calibration, external validation, online outcomes or causal identification","open-access","High"
"MWM-0034","Brain-WM: Brain Glioblastoma World Model","https://arxiv.org/pdf/2603.07562","preprint","Neuro-oncology imaging and treatment planning","Internal LUMIERE, MU-Glioma Post and UCSF-ALPTDG cohorts; external RHUH-GBM and UCSD-PTGBM cohorts","Internal 527 subjects, 1,659 timepoints and 3,252 dense pairs; external 61 subjects, 128 timepoints and 72 pairs","Five named dataset sources; exact clinical site count NI","Internal subject-level 8:2 train-validation split; two independent cohorts used externally","Irregular longitudinal 3D FLAIR, T1CE and T2W MRI with demographics and cumulative treatment history","NI","Loss to follow-up, death and competing events NI","Current multimodal MRI, demographics and cumulative treatment history","Generates the next 3D MRI and predicts the next treatment token","Specified next treatment category: surgery, radiotherapy, chemoradiotherapy, temozolomide or other medication","Recorded clinical treatment for training; candidate treatment supplied for conditional generation","Y-shaped mixture-of-transformers with shared latent representation, autoregressive treatment branch and latent flow-matching MRI branch using 50 Euler steps","One observed next clinical timepoint; interval analyses include greater than 360 days","Single-next-timepoint treatment-conditioned prediction, not recursive longitudinal rollout","Claims a counterfactual sandbox for care optimization; evidence supports observed-policy next-treatment classification and conditional one-step MRI synthesis","VLM and medical-VLM planning baselines; AliFuse and Hyperfusion; LE-DUNet, LE-GAN, IL-CLDM, LDM-GBM, MedWM and TaDiff","MRI NMSE, PSNR and SSIM; qualitative tumor masks; treatment accuracy, F1, specificity and precision","Pearson correlation of predicted versus observed tumor-volume change by interval and treatment; no recursive trajectory metric","NA; recursive multi-step rollouts are not evaluated","Treatment-stratified correlations only; no treatment removal, shuffling or matched alternative-action test","NI; aleatoric uncertainty is discussed but not quantified or calibrated","Independent RHUH-GBM and UCSD-PTGBM cohorts totaling 61 subjects","Retrospective agreement with clinician treatment plans and future MRI; no prospective clinical outcome or decision study","No hazard, override or failure-management evaluation; risk-free-sandbox wording is not empirically established","Point estimates and correlations are reported; CIs, significance testing and repeated seeds NI","Uses counterfactual, co-evolution and causal-dependency language","Observed next-treatment and next-MRI association conditional on recorded history; no identified treatment-effect estimand","No confounding adjustment; pseudoprogression is acknowledged as a limitation","NI; treatment overlap is not assessed","None; no ground-truth outcomes under unchosen treatments","Public GitHub repository linked in the paper","NI","Five named research datasets; access follows their source terms","Partial but substantial; metadata extraction with manual verification, skull stripping, SRI24 registration, 192 x 192 x 140 cropping, intensity scaling and augmentation are described","Random 8:2 split and augmentations; seed values and repeated training runs NI","p.1 Abstract and Fig. 1; pp.2-5 Sec. III for state, treatments and architecture; pp.5-6 Sec. IV-A and Tables I-II for cohorts and splits; pp.7-9 Figs. 4-7 and Tables III-IV for external results and stratified analyses; p.9 Conclusion","Subject-level splitting, two independent external cohorts, strong task-specific baselines and explicitly treatment-conditioned images","No causal assumptions or counterfactual validation, no multi-step rollout, calibration, safety or prospective utility; dense within-patient pairs may overweight some subjects","open-access","High"
"MWM-0068","DreamReg: Belief-Driven World Model for 2D-3D Ultrasound Registration","https://arxiv.org/pdf/2606.18825","preprint","Ultrasound registration and surgical navigation","Public CAMUS cardiac ultrasound and micro-RegPro prostate ultrasound subset","CAMUS: 1,000 volumes with four slices per case and 400 fixed evaluation slices; micro-RegPro: 73 volumes with eight slices per case and 120 evaluation slices","NI; two public datasets","CAMUS official split; micro-RegPro case-level 7:1:2 split","Synthetic 2D slices rendered from 3D ultrasound volumes along pose trajectories rather than a live intraoperative stream","NA for the constructed slice-volume pairs; no missing-data process is modeled","NA; no clinical time-to-event process","Stochastic latent state, recurrent belief, current pose and 3D volume context","Decodes imagined 2D slices, progress reward and final 6-DoF pose","Predicted incremental 6-DoF pose update","Policy-generated at inference; synthetic expert trajectories with noise perturbations are used for training","Dreamer-style Gaussian prior and posterior with recurrent latent transition","Seven steps for CAMUS and five for micro-RegPro","Posterior-conditioned training; free-running closed-loop imagination at inference without new observations","Closed-loop iterative registration is demonstrated in simulated slice rendering, not live ultrasound navigation","CUReg, EUReg and FVRNet; pose-only, no-reward and no-reconstruction ablations","Image dissimilarity error, image NCC and SSIM","Translation error, rotation error, pose NCC and frames per second","Final-horizon registration is reported; no stepwise drift, constraint-violation or failure-probability analysis","Synthetic pose perturbations up to plus or minus 10 and model-component ablations; no action shuffle","Stochastic latent state is used, but predictive calibration or coverage is NI","A second public anatomy dataset tests cross-domain generality; no independent live center or device validation","Registration accuracy and 40-56 FPS runtime; no clinician, robot or patient study","No hazard analysis, safe-action constraints, fallback or override evaluation","Mean and SD are reported; CIs, hypothesis tests and repeated-seed details NI","Action-observation coupling and imagination language; no treatment-causal claim","Geometric registration pose and image alignment","NA; action is a synthetic geometric transformation rather than treatment assignment","NA","Physics-based slice rendering constrains geometry, but no empirical counterfactual validation is provided","Public project or code page linked","NI","Public CAMUS and micro-RegPro data","Partial but detailed; resampling, synthetic slicing, trajectories, perturbations and fixed test sets are described","On-the-fly pose perturbations are random; fixed evaluation sets are used; seed values NI","p.1 Abstract; pp.3-6 Sec. 2 and Figs. 1-2 for state, actions and dynamics; pp.6-8 Sec. 3 and Tables 1-2 for datasets, horizons, metrics and ablations; p.9 Conclusion","Case-level splits, two datasets, genuinely free-running inference, and geometric, image and runtime metrics","Evaluation uses resampled synthetic slices, omits tissue deformation and live feedback, and lacks rollout-drift, calibration, safety and repeated-seed analyses","open-access","High"
"MWM-0078","Failure Detection for Surgical Robot Imitation Policies via Flow-Matching World Modeling","https://arxiv.org/pdf/2607.27511","preprint","Surgical robotics failure detection","Simulated needle-pickup and ring-over-post tasks plus real dVRK tissue-retraction and shunt-insertion tasks","Training demonstration count NI; evaluation uses 19 successful calibration episodes per task, 80 held-out successful episodes total, 320 failure episodes and 20 failure modes","NA for clinical institutions; two robot platforms or settings","Successful policy rollouts are separated into conformal-calibration and false-alarm sets; failure episodes form the detection set","Dual fixed and wrist RGB cameras, commanded action chunks, 10 Hz real-robot loop and 224 x 224 images","NA; complete recorded camera-action windows are assumed","Episodes terminate at task completion or failure; timing variation is discussed, but clinical censoring is NA","DINOv2 visual features compressed by view-specific beta-VAEs with a four-step history","Predicts an endpoint latent used for a nonconformity alarm; auxiliary one-step latent objective","Commanded ACT robot action chunk","Actions are commands produced by the imitation policy","Action-conditioned flow-matching endpoint dynamics; inverse-ODE likelihood or consistency score","Four-step endpoint with an eight-step scoring window; ablation evaluates one to four steps","Endpoint prediction and scoring on recorded windows, not free-running observation generation","Runtime safety-monitor claim is tested offline; evidence supports action-conditioned failure detection on recorded robot episodes","World-model prediction error, log-posterior zero-order score and random-network distillation; no-action ablations","NA; observations are not reconstructed for fidelity evaluation","Failure-detection rate, false-alarm rate, nonconformity-score traces and 13.98 Hz runtime","Endpoint-horizon ablation from one to four steps; no long-rollout drift analysis","Strong no-action, modulation-only, token-only and combined-action ablations","Conformal calibration at alpha 0.05 using 19 successes per task and episode-peak thresholds; exchangeability is required and sample size is small","Both simulation and real dVRK hardware tasks are included; no clinical surgical validation","Offline detection of failures; no online interruption, recovery or patient-benefit evaluation","Failure modes are detected offline, but no online stop, recovery, override or harm-severity protocol is evaluated","Aggregate episode counts and rates are reported; CIs, significance tests and repeated seeds NI","Nominal-consistency language; no causal treatment-effect claim","Failure-alarm performance under the evaluated imitation-policy distribution","NA","NA","NA; no alternative-action outcome ground truth","Planned for release upon acceptance; unavailable at inspection","Planned for release upon acceptance; unavailable at inspection","Planned for release upon acceptance; unavailable at inspection","Partial but detailed; image resizing, DINO features, beta-VAE compression, windows and thresholds are specified","NI","p.1 Abstract; p.2 Fig. 1; pp.3-4 Sec. III for states, actions and flow model; pp.4-6 Sec. IV and Table I for tasks, calibration and counts; p.7 Figs. 5-6 for action and horizon ablations; p.8 Limitations","Disjoint conformal calibration, simulation and real hardware, 20 diverse failure modes and explicit action ablations","Training-demo scale is NI; evaluation is offline with only 19 calibration successes per task and no CIs, seeds, online intervention or clinical validation","open-access","High"
"MWM-0114","medDreamer: Model-Based Reinforcement Learning with Latent Imagination on Complex EHRs for Clinical Decision Support","https://arxiv.org/pdf/2505.19785","conference-paper","ICU electronic health records and offline treatment reinforcement learning","MIMIC-IV sepsis cohort and eICU mechanical-ventilation cohort","21,233 adults with sepsis and 21,595 ventilation patients aged at least 16 years","MIMIC-IV is single-center; eICU is multicenter, exact site count NI","NI; the inspected primary text does not establish patient-level train, validation and test construction","Irregular sparse vitals, labs and demographics with elapsed-time and observation masks; sepsis spans 24 hours before to 48 hours after onset and ventilation up to 14 days","Informative missingness is represented through an AFI module; reconstruction losses use masks and do not backpropagate through missing observations","Exclusions include multiple stays and treatment withdrawal; a continuation head models episode continuation, but formal censoring or competing-event handling is NI","Stochastic latent patient state inferred from values, masks and elapsed time","Reconstructs observations and predicts reward and continuation","Sepsis: 25 fluid-vasopressor combinations; ventilation: 18 PEEP, FiO2 and tidal-volume combinations","Recorded clinician treatment in real trajectories; actor-selected treatment during imagination","GRU prior-posterior latent world model with actor and critic","Fifteen imagined steps; hybrid phase uses 50 real steps followed by 10 imagined steps","Free-running latent imagination after posterior initialization, with hybrid real-to-imagined training variants","Claims counterfactual treatment reasoning and mortality reduction; evidence is offline model-based RL and off-policy evaluation, not a causal clinical effect","Random and clinician policies; DDQN, BCQ or EZ-Vent, CQL or DeepVent, MBRL-BNN or GMM and Dreamer","Only qualitative multivariate reconstruction examples; no comprehensive variable-by-horizon fidelity table","No direct transition-error evaluation; WIS, WPDIS, CWPDIS, ESS and return assess policy outcomes rather than learned dynamics","Imagination-length and hybrid-grounding ablations; no physiologic-drift or constraint-violation analysis","Treatment-distribution, clinician-agreement and dose-difference analyses; no action-removal or shuffled-action test","Estimated mortality has reported 95 percent CIs, but this is not predictive calibration; sepsis point estimates and CI text or table appear internally inconsistent","Two large independent EHR datasets and tasks are studied, but no frozen train-one-cohort test-another-cohort transport validation","Estimated mortality from off-policy evaluation; no prospective treatment assignment or patient outcomes","Hybrid grounding and clinician-final-control discussion; no deployment hazard, fallback or override test","Estimated mortality CIs are reported; seed count and formal between-method significance details NI","Explicit counterfactual-reasoning and optimized-treatment language","Claimed policy outcome or mortality under alternative treatment policies, but the estimand and identification assumptions are not formally specified","No measured-confounder strategy beyond behavior-policy learning and off-policy evaluation","NI; treatment-policy support and overlap are not quantified","None; no ground-truth outcome under unchosen treatment","NI","NI","Credentialed research access to MIMIC-IV and eICU","Partial; eligibility, windows, features and action discretization are described, but split construction and full executable preprocessing are NI","NI","pp.1-3 Abstract and Introduction; pp.3-8 Sec. 3 for observations, missingness, actions, latent dynamics and imagination; pp.8-13 Sec. 4, Tables 1-2 and Figs. 2-8 for cohorts, OPE, ablations and treatment analyses; pp.18-19 appendices for ethics and feature definitions","Two large EHR cohorts, explicit informative-missingness modeling, long free-running imagination, several OPE estimators and useful ablations","Patient splits are NI; dynamics validation is weak; confounding, overlap and censoring are not addressed; mortality benefits rely on OPE; reported sepsis CIs require adjudication","open-access","High; especially verify split reporting and mortality CI inconsistency"
"MWM-0136","NVIDIA Cosmos-H-Dreams: Real-Time Generative Physics Simulation for Surgical Robotics","https://arxiv.org/pdf/2608.24199","preprint","Surgical robotic video simulation","Open-H-Embodiment corpus spanning 32 datasets and nine embodiments, with focused dVRK suturing data","Approximately 22 million frames overall; about one million dVRK suturing frames at 10 Hz including failures; quantitative test uses 12 held-out suturing episodes","Multiple source datasets and embodiments; exact institution count NI","Twelve held-out suturing episodes are used quantitatively; complete corpus split construction NI","Action-aligned RGB video and robot kinematics represented in a 44-dimensional unified action space; dVRK uses 20 dimensions with padding","NA for synchronized video-action sequences; missing-stream handling NI","Episodes have variable task duration and termination; clinical censoring is NA","First RGB frame plus generated latent history and key-value cache","Generates future RGB video frames","Robot kinematics or commands mapped to the unified action representation","Collected from human, keyboard, VR, console or policy control; intended robot command or state-action signal","Rectified-flow diffusion-transformer teacher with progressive horizons, distilled to causal two-step and four-step students using Self Forcing and distribution matching","Teacher reaches 73 frames; student generates 12-frame blocks and illustrated complete-task rollouts around 14 seconds","Autoregressive free-running closed-loop video generation with interactive actions","Interactive closed-loop simulator and policy-evaluation claims are partially supported by long video rollouts and retrospective sim-to-real policy ranking","Teacher, four-step and two-step students plus offline Cosmos-Surg-dVRK comparison; no action-agnostic simulator baseline","FVD, LPIPS, PSNR and L1 video metrics","Sim-to-real Pearson correlation, mean maximum rank violation, bias, throughput and latency","Segmented FVD over five-second windows and comparison of short versus long teacher horizons","NI; live control interfaces are demonstrations, and no action-removal, shuffle or dose-response test is reported","No calibrated predictive uncertainty or coverage","Real dVRK policy outcomes serve as a reference, but validation remains in a tabletop suturing domain rather than clinical surgery","Closed-loop policy ranking has moderate aggregate correlation of 0.696, with negative correlations for handover and knot-tying tasks","Physical-feasibility video classifier and hallucination analysis are reported; no formal hazard, override or fallback protocol","Twelve held-out episodes and macro task summaries; CIs, significance tests and repeated seeds NI","Uses synthetic, counterfactual and physics-simulation language without a causal estimand","Simulator fidelity and policy ranking relative to real dVRK task outcomes","NA; not a treatment-effect study","NA","Real-policy ranking validates aggregate simulator usefulness, not individual counterfactual outcomes","Public GitHub repositories linked","Public Hugging Face model weights linked","Open-H-Embodiment data linked as public","Substantial; unified action mapping, normalization, progressive training and distillation are described, although full collection details vary by source dataset","Random denoising steps are used in training; evaluation or training seed values NI","p.1 Abstract and access links; pp.3-5 Secs. 1-3 for corpus and model; pp.6-8 Sec. 4 for distillation and rollout regime; pp.9-12 Secs. 5-6, Tables 1-4 and Figs. 3-5 for video fidelity, drift and sim-to-real ranking; p.14 Limitations","Public code and weights, genuinely free-running interaction, segmented drift analysis and sim-to-real policy-ranking evaluation","Only 12 quantitative held-out episodes; fine structures hallucinate; two tasks have negative sim-to-real correlations; no calibrated uncertainty, clinical safety protocol or clinical procedure validation","open-access","High; physics and interactivity claims need claim-level adjudication"
"MWM-0151","Progressive Experience Fusion for Multi-Task World Model Control in Endovascular Navigation","https://arxiv.org/pdf/2608.18647","preprint","Endovascular robotic navigation","Forty patient-derived CTA vascular anatomies and two 3D-printed phantoms","Train10-Test0 and Train30-Test10 simulation settings; two physical phantoms, one known and one held out","Clinical imaging source count NI; hardware experiments are laboratory based","Thirty anatomies train and ten are held out; same-anatomy tests use different targets; one physical phantom is held out","Current and previous guidewire or catheter tip positions, target and previous action; controller does not observe vessel geometry; fluoroscopic tracking is used in vitro","NA for the defined control observations","Episodes end at success or timeout: 200 training steps, 450 evaluation steps or five minutes in vitro","Encoded observation with LSTM history in a latent control state","Predicts latent next state, reward and value; no image observation decoder","Translation and rotation speeds for guidewire and catheter within defined bounds","Controller-selected in simulation or hardware; demonstrations or replay arise from prior task policies","TD-MPC2 latent dynamics with MPPI receding-horizon planning, progressive experience fusion and adaptive planning horizon","Exact base and maximum planning-horizon values NI; evaluation episodes allow up to 450 steps","Closed-loop online planning in simulation and on physical phantoms","Closed-loop autonomous navigation is demonstrated on phantoms, not in patients","Soft Actor-Critic and base TD-MPC2","NA; no decoded observation-fidelity endpoint","Success rate, path ratio and procedure time evaluate control; direct learned-dynamics prediction error is not reported","Task success across anatomies and episodes is assessed, but model-rollout drift is not","Adaptive-horizon and fine-tuning ablations; no shuffled-action or action-removal test","Residual action-proposal dispersion is used for horizon adaptation but is not calibrated uncertainty","Ten held-out patient-derived anatomies and one held-out patient-derived physical phantom under fluoroscopy","Navigation success, path efficiency and time; no clinical procedure or patient outcome","Action bounds, feasibility constraints, timeouts and failure completion are included; collision harm, override and severity are not evaluated","Two-sided independent t-tests at p less than 0.05; physical subtasks have five repetitions; simulation is evaluated over 50 episodes at checkpoints","No material causal treatment-effect language","Closed-loop navigation performance in simulated and phantom vessels","NA","NA","NA","PEF implementation NI; the stEVE environment is cited as open source","NI","CTA vascular data access NI; likely restricted","Partial; CTA segmentation, mesh and phantom construction and augmentation are described, but the full data pipeline is unavailable","Random anatomy, target and scale sampling are described; seed values NI","pp.1-3 Abstract and Sec. II-B for tasks and datasets; pp.3-7 Secs. II-C-II-F and Figs. 1-5 for state, action, dynamics and PEF; pp.7-10 Sec. II-G and Tables I-IV for held-out and physical results; pp.10-11 Discussion and limitations","Held-out anatomies, closed-loop physical hardware, model-free and model-based baselines, repeated evaluation and statistical tests","Only one held-out physical phantom, no direct dynamics, calibration or safety endpoint, five hardware repetitions, and code or vascular-data access is unclear","open-access","High"
"MWM-0166","Sonata: A Hybrid World Model for Inertial Kinematics under Clinical Data Scarcity","https://arxiv.org/pdf/2604.18058","preprint","Wearable inertial sensing and neurological movement representation","Nine public waist or lumbar IMU datasets: Voisard, WearGait, Mobilise, LTMM, SisFall, UCI, UMA, FallAllD and USC-HAD","Approximately 739 subjects and 190,495 five-second windows","Multiple countries and source studies; exact institution count NI","Dataset-prescribed splits, subject-level leave-one-out or stratified cross-validation; several experiments use five-fold CV, fixed transfer splits or 80/20 probes","Six-axis waist or lumbar IMU resampled to 100 Hz in 512-sample windows with 50 percent stride","NA for complete extracted windows; source-level missingness handling NI","NA","Terminal latent body-kinematics representation from LongConv and Gated DeltaNet branches","Predicts the next-window latent embedding; no reconstructed observation decoder at inference","NA; no action variable is included despite action-conditioned wording","NA","Hybrid LongConv and Gated DeltaNet encoder with a linear JEPA next-window predictor and SIGReg regularization","One next 5.12-second window; a raw-signal MAE baseline forecasts 48 samples","One-step latent prediction, not recursive rollout","Evidence supports passive one-step forecasting and representation learning; action-conditioned or counterfactual world-model claims are not operationalized","Same-backbone raw forecasting MAE, alternative predictor heads, SIGReg and eigenvalue ablations","Raw-signal forecast MAE; downstream frozen-probe AUC, F1 and accuracy","Effective rank, H-statistic, latent straightness and one-step prediction objectives; no multistep transition metric","NA; no recursive rollout","NA; there is no modeled action","NI; no calibrated uncertainty, coverage or predictive interval analysis","Cross-dataset UCI-to-PAMAP2 transfer and cross-age SisFall tests; PAMAP2 is held out from pretraining","Frozen-probe discrimination and fall-risk prediction only; no prospective intervention or deployment outcome","On-device privacy is discussed, but no safety or clinical-risk evaluation is performed","Several probes report mean and SD over five subsampling seeds; most comparisons lack CIs or significance tests","Progression, actionable-state and counterfactual language is speculative because no action is modeled","Representation quality and next-window latent prediction","NA","NA","NA","NI","NI","Nine source datasets are public under their respective terms","Detailed windowing, filtering, resampling, architecture and probe protocols are reported","Five probe seeds are reported for PAMAP2 subsampling; pretraining seed values NI","pp.1-5 Abstract, Secs. 1-3 and Table 1 for corpus and claims; pp.5-8 Sec. 4 and Algorithm 1 for objective; pp.8-12 Secs. 5-6 and Tables 2-4 for probes and ablations; pp.12-13 limitations; pp.16-18 Appendix A and Table 5 for dataset-specific splits","Same-backbone objective control, subject-aware and transfer probes, a broad public corpus and detailed preprocessing and ablations","No actual action conditioning or rollouts; many probes reuse pretraining datasets; absolute task scores are modest; no calibration, prospective validation, code or weights","open-access","High; adjudicate the unsupported action-conditioned world-model wording"
"MWM-0175","SurgWMBench: A Vision-Based Benchmark for World-Modeling Surgical Instrument Motion Planning","https://arxiv.org/pdf/2608.08070","preprint","Surgical video prediction and instrument motion planning benchmark","SAR-RARP50 public clinical robot-assisted radical-prostatectomy suturing videos","50 videos; 1,637 segments; 32,740 images; 20-frame anchors; 1,429 high-, 102 medium- and 106 low-quality segments","Source institution count NI","Planned video-level 70/15/15 split; wording indicates the final release split is provisional","Twenty RGB frames paired with 2D instrument trajectories derived through annotation and interpolation","NA for retained benchmark segments","Segments shorter than 20 frames are discarded and effective insertion or extraction windows are filtered; clinical censoring is NA","Visual frame history plus historical 2D instrument motion","Generates future video frames and predicts future 2D instrument trajectory","Historical 2D instrument trajectory, not a commanded robot-control action","Observed surgical behavior with interpolated pseudo-labels","VideoGPT, iVideoGPT, HieraSurg and SurgSora autoregressive generative models with a trajectory head","Five, ten and fifteen future steps","Autoregressive future-frame and trajectory rollout","A benchmark for planning-oriented surgical dynamics is supported; it is not an evaluated closed-loop planner","VideoGPT, iVideoGPT, HieraSurg and SurgSora","PSNR, SSIM and LPIPS","Average and final displacement error plus planning-deviation rate","Error growth at five, ten and fifteen steps","Gaussian-noise and masking perturbations of historical trajectories test input sensitivity, not alternative commanded actions","Quality and occlusion labels are provided, but calibrated predictive uncertainty is NI","None; one procedure and source dataset","Benchmark prediction metrics only; no robot action, clinician decision or patient outcome","Safety motivation is stated, but no hazard, override or harm evaluation is performed","Point estimates only; CIs, hypothesis tests and repeated seeds NI","Uses consequence and planning language, but trajectories are observational and not interventions","Future video and 2D instrument-trajectory prediction","NA","NA","Perturbation robustness is not counterfactual outcome validation","Benchmark code or processed-data release NI","NI","Underlying SAR-RARP50 is public; processed annotations and final split availability NI","Partial; segmentation, filtering, trajectory interpolation and metrics are described, but split and release are provisional","NI","pp.1-4 Abstract and Introduction; pp.4-5 Sec. 3 and Fig. 2 for data and annotation; pp.7-9 Sec. 4, Tables 1-2 and Fig. 3 for baselines and metrics; pp.12-15 Appendix A.2, A.5 and A.6 and Table 3 for splits, filtering and rollout perturbations","Video-level leakage control, visual and motion metrics, horizon tests, perturbation tests and real clinical videos","Final split or release is provisional; 2D observed trajectories are not actions and omit tissue consequences; one procedure, no statistics and no safety evaluation","open-access","High; final-release status and action terminology need adjudication"
"MWM-0200","Toward World Modeling of Physiological Signals with Chaos-Theoretic Balancing and Latent Dynamics","https://arxiv.org/pdf/2605.15465","preprint","Physiological time-series forecasting and observational action-conditioned simulation","VitalDB, PMData, CGMacros, Shanghai Diabetes and KidneyDialysis evaluation datasets","Listed cohorts sum to 8,013: VitalDB 6,388, PMData 16, CGMacros 45, Shanghai Diabetes 112 and KidneyDialysis 1,452; the abstract reports 8,026; dialysis includes 211,397 sessions and 1,965,389 samples","Multiple sources; KidneyDialysis spans 17 clinics; exact total institution count NI","VitalDB holds out 20 percent or 1,278 cases and KidneyDialysis 20 percent or 291 patients; other source-specific split protocols NI; pretraining data are disjoint","Multivariate physiological signals at high, daily and irregular resolutions, with interventions encoded as channels or step functions","NI; handling of missing values cannot be established from the primary text","NI; dropout, death and competing events are not addressed","Pretrained continuous patches clustered into discrete latent physiological states","Decodes sampled future states into multichannel physiological signals","Observed machine settings, medications, meals or activity encoded as input channels","Actions are observationally recorded, not randomized or policy-assigned","Masked-autoencoder backbone plus inference-time nonparametric Markov transitions and neighborhood-based action-conditioned sampling","VitalDB 2,064 points or 31.8 seconds; PMData and CGMacros 720 points or half a day; Shanghai 192 points or two days; dialysis 37 measurements or four sessions","Free-running zero-shot latent-state sampling and decoding","Action-conditioned simulation and counterfactual claims exceed the evidence; results establish observational conditional forecasting across datasets","Naive and seasonal baselines plus Chronos-2, TiRex, Sundial, Panda and other time-series foundation models","MAE, Soft-DTW and frequency-domain cosine and Euclidean distances","Latent cosine, Euclidean and final-state scores; no causal transition metric","Long-versus-short horizon drift is tabulated and reported as small on average","Qualitative replacement of action channels shows action awareness; no systematic shuffle, overlap or grounded alternative-action outcome test","NI; no calibrated intervals, coverage or uncertainty decomposition","Five datasets span modalities, resolutions and 17 dialysis clinics, but no frozen external clinical-transport design is specified","Forecasting quality only; no treatment decision, policy evaluation or patient outcome","None reported","Conover post-hoc ranking is reported; CIs and repeated-seed details NI","Uses counterfactual and action-awareness language","Conditional future-signal distribution under observed action patterns, not an identified intervention effect","No confounding adjustment for treatment or behavior actions","NI; action support and overlap are not assessed","None; qualitative action replacement lacks ground-truth counterfactual outcomes","Public code linked","Public pretrained checkpoints linked on Hugging Face","Most benchmarks are public; KidneyDialysis is available by request with consent or agreement","Partial but substantial; channel construction, patching, clustering, balancing and evaluation horizons are described","Random masking, clustering and balanced sampling are used; seed values NI","p.1 Abstract; pp.3-5 Sec. 3 and Table 1 for datasets and model; pp.5-10 Secs. 3.5-4, Figs. 2-3 and Tables 2-3 for rollouts, metrics and action examples; p.10 limitations and reproducibility; pp.13-14 Appendix A and Tables 4-6 for horizons and splits; p.25 Table 10 for statistics","Broad modalities and horizons, explicit action channels, multidomain fidelity metrics, drift analysis, and public code and checkpoints","Abstract sample count 8,026 conflicts with listed sum 8,013; actions are observational with no causal validation; missingness and several splits are incomplete; action evidence is qualitative and safety is absent","open-access","High; adjudicate sample-count discrepancy and counterfactual wording"
