audit_id,route,title,decision,corpus_type,reason_code,dynamics,evaluation,lineage,full_text_url,rationale,confidence
AUD-33eaf98b7a7b,primary_phrase_filter_residual,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,include,empirical,include_empirical,data-fitted nonlinear fMRI state dynamics,controlled mood-state transitions and energy rollouts,retained journal article,https://doi.org/10.1002/hbm.70600,Data-fitted nonlinear fmri state dynamics; directly evaluated through controlled mood-state transitions and energy rollouts.,high
AUD-7079600c723b,primary_medical_filter_residual,A frontal cortical world model shapes inference of causal relationships in hippocampus,exclude,not_applicable,wrong_domain,abstract causal-task structure,behavior and neural intervention,retained preprint,https://doi.org/10.21203/rs.3.rs-10131486/v1,Abstract causal-task structure; The modeled system is outside a substantive medical or biomedical state.,high
AUD-af3f2d334073,primary_phrase_filter_residual,A Multimodal Foundation Model for Longitudinal Patient Representation and Scalable Insight Generation in Oncology,exclude,empirical,no_future_or_action_evaluation,longitudinal representation encoder,static prognosis and treatment-benefit endpoints,retained preprint,https://arxiv.org/abs/2608.24688,"Longitudinal representation encoder; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics.",high
AUD-2032d96347c9,primary_phrase_filter_residual,A Neurosymbolic Approach for Constructing Planning Domain Models from Clinical Narratives,include,empirical,include_empirical,probabilistic surgical action transitions,held-out effects next actions and sampled workflows,retained preprint,https://arxiv.org/abs/2608.21186,Probabilistic surgical action transitions; directly evaluated through held-out effects next actions and sampled workflows.,high
AUD-e13ca7993674,primary_phrase_filter_residual,Anatomical Prior-Driven Framework for Autonomous Robotic Cardiac Ultrasound Standard View Acquisition,exclude,empirical,no_learned_dynamics,model-free probe-control policy,simulation and phantom success,retained preprint,https://arxiv.org/abs/2603.21134,"Model-free probe-control policy; Sequential behavior is evaluated, but transition dynamics are not learned or data-adapted.",high
AUD-84da8977f244,primary_phrase_filter_residual,Applications of Reinforcement Learning for Autonomous Surgical Robotics: A Systematic Review.,exclude,review,review_not_primary,broad surgical RL and autonomy,narrative synthesis of policies and platforms,retained journal review,https://doi.org/10.3390/biomimetics11080577,Broad surgical rl and autonomy; Learned medical transition or rollout systems are not a central evidence category.,high
AUD-6b30999a35dc,primary_phrase_filter_residual,Deep Reinforcement Learning for Surgical Robotics with State and Image Information: A Survey,exclude,review,review_not_primary,broad surgical deep RL,survey synthesis,retained preprint review,https://doi.org/10.21203/rs.3.rs-8621244/v1,Broad surgical deep rl; Learned medical transition or rollout systems are not a central evidence category.,medium
AUD-5dde3c545ed5,primary_phrase_filter_residual,Deep Reinforcement Learning of Dynamic Treatment Policies for Chronic Kidney Disease from Longitudinal Electronic Health Records,uncertain,uncertain,inaccessible_full_text,unclear CKD treatment-policy dynamics,not verifiable,retained SSRN record,https://doi.org/10.2139/ssrn.7407198,Unclear ckd treatment-policy dynamics; Primary text was insufficient to make a defensible eligibility decision.,low
AUD-5b4c2424bdb2,primary_phrase_filter_residual,Dengue hospitalizations in Brazil: Forecasting with climatic and physicians' digital search data under real-world reporting delays.,exclude,empirical,no_future_or_action_evaluation,aggregate hospitalization forecasting,forecast error under reporting delays,retained journal article,https://doi.org/10.1371/journal.pdig.0001206,"Aggregate hospitalization forecasting; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics.",high
AUD-94598ea01630,primary_phrase_filter_residual,Developing a pan-cancer foundation model for digital patient representation and clinical prediction across real-world oncology data.,exclude,empirical,no_future_or_action_evaluation,time-aware representation encoder,static classification and endpoint prediction,retained conference abstract,https://doi.org/10.1200/jco.2026.44.16_suppl.e23012,"Time-aware representation encoder; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics.",high
AUD-f1a37b57a6d1,primary_phrase_filter_residual,Development of a Biological Age Model for Rheumatoid Arthritis and Longitudinal Trajectories by Antirheumatic Treatment: A Real-World Observational Study,exclude,empirical,no_future_or_action_evaluation,risk score with observed longitudinal trends,survival association and trajectory grouping,retained preprint,https://doi.org/10.2139/ssrn.7344894,"Risk score with observed longitudinal trends; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics.",high
AUD-b3bcf559b0b8,primary_medical_filter_residual,Dopamine ramps as a normative consequence of dual-process control,exclude,not_applicable,wrong_domain,computational reward-learning model,dopamine and task phenomena,retained journal article,https://doi.org/10.7554/elife.111458,Computational reward-learning model; The modeled system is outside a substantive medical or biomedical state.,high
AUD-5a52431a4a41,primary_phrase_filter_residual,Echo-POSED: Geometric Self-Distillation for Echocardiography Guidance,include,empirical,include_empirical,action-to-view geometric transitions,virtual perturbation and guidance trajectories,retained preprint,https://arxiv.org/abs/2606.02634,Action-to-view geometric transitions; directly evaluated through virtual perturbation and guidance trajectories.,high
AUD-8edd0658e1bb,primary_phrase_filter_residual,Embodied Cross-Domain Intelligence in Biomedical Microrobots: A Review.,exclude,review,review_not_primary,broad microrobot intelligence,narrative biomedical applications review,retained journal review,https://doi.org/10.34133/cbsystems.0546,Broad microrobot intelligence; Learned medical transition or rollout systems are not a central evidence category.,high
AUD-f291d518f076,primary_phrase_filter_residual,Embodied Intelligence in Surgical Robotics: From Perception-Action Loops to Cognitive Collaboration,exclude,review,review_not_primary,broad embodied surgical control,narrative architecture review,retained preprint review,https://doi.org/10.36227/techrxiv.176823151.11578168/v1,Broad embodied surgical control; Learned medical transition or rollout systems are not a central evidence category.,high
AUD-35c94124d2c2,primary_phrase_filter_residual,Evaluating Generative Video AI for Standardized Psychiatric Patient Simulation With Graded Hygiene Deterioration,exclude,empirical,no_future_or_action_evaluation,generative video re-animation,video fidelity and plausibility,retained preprint,https://doi.org/10.64898/2026.06.22.26356153,"Generative video re-animation; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics.",high
AUD-43a8ecc5253b,primary_phrase_filter_residual,From Uncertainty to Clinical Risk: Severity-Aware Conformal Planning for Interactive Medical Diagnosis,exclude,empirical,no_learned_dynamics,risk-calibrated diagnostic search,diagnostic accuracy questions and errors,retained preprint,https://arxiv.org/abs/2608.27847,"Risk-calibrated diagnostic search; Sequential behavior is evaluated, but transition dynamics are not learned or data-adapted.",medium
AUD-cfaad4cb121e,primary_phrase_filter_residual,Human–Machine Co-Adaptation for Robot-Assisted Rehabilitation via Dual-Agent Multiple Model Reinforcement Learning (DAMMRL),include,empirical,include_empirical,online-adapted human-machine response models,real and simulated rehabilitation control,retained journal article,https://doi.org/10.1109/tnnls.2026.3685832,Online-adapted human-machine response models; directly evaluated through real and simulated rehabilitation control.,medium
AUD-8a8d58a5c704,primary_phrase_filter_residual,Learning Dynamic Representations and Policies from Multimodal Clinical Time-Series with Informative Missingness,include,empirical,include_empirical,action-conditioned latent patient dynamics,off-policy treatment evaluation and outcomes,retained proceedings article,https://arxiv.org/abs/2604.21235,Action-conditioned latent patient dynamics; directly evaluated through off-policy treatment evaluation and outcomes.,high
AUD-f207351174df,primary_phrase_filter_residual,MicroVerse: A Preliminary Exploration Toward a Micro-World Simulation,exclude,empirical,no_future_or_action_evaluation,text-to-video biological content generation,visual and scientific-fidelity rubric,retained preprint,https://arxiv.org/abs/2603.00585,"Text-to-video biological content generation; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics.",medium
AUD-5c062e5c25cd,primary_phrase_filter_residual,Planning in the Brain: It's Not What You Think It Is.,exclude,review,wrong_domain,planning mechanisms in healthy brains,conceptual neuroscience synthesis,retained journal review,https://doi.org/10.1146/annurev-neuro-102124-015847,Planning mechanisms in healthy brains; The modeled system is outside a substantive medical or biomedical state.,high
AUD-2910bb23d897,primary_phrase_filter_residual,ResidencyRL: Reinforcement Learning in Simulated Clinical Environments,exclude,empirical,no_future_or_action_evaluation,LLM patient-role simulation for RL training,clinician-agent diagnostic and management performance,retained preprint,https://arxiv.org/abs/2608.07418,"Llm patient-role simulation for rl training; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics.",high
AUD-8641031fc6e4,primary_phrase_filter_residual,Simulating closed-loop transcranial brain stimulation for reinforcement learning-based treatment discovery,exclude,empirical,no_learned_dynamics,hand-specified neural circuit simulator,RL stimulation search,retained preprint,https://doi.org/10.21203/rs.3.rs-7958165/v1,"Hand-specified neural circuit simulator; Sequential behavior is evaluated, but transition dynamics are not learned or data-adapted.",medium
AUD-f860c86723ab,primary_phrase_filter_residual,"T-World Virtual Human Cardiomyocyte. I. Development, Validation, and Cell Arrhythmogenesis.",include,empirical,include_empirical,experiment-calibrated cardiomyocyte dynamics,independent trajectories drugs and stimulation,retained journal article,https://doi.org/10.1161/circresaha.125.328073,Experiment-calibrated cardiomyocyte dynamics; directly evaluated through independent trajectories drugs and stimulation.,high
AUD-480973cb8adc,primary_phrase_filter_residual,Toward Autonomous Clinics: Human-Robot Collaboration in Clinical Care.,exclude,review,review_not_primary,broad clinic robotics collaboration,narrative clinical robotics review,retained journal review,https://doi.org/10.1002/mco2.70885,Broad clinic robotics collaboration; Learned medical transition or rollout systems are not a central evidence category.,high
AUD-e7a5b608002f,primary_phrase_filter_residual,TwinCell: Large Causal Cell Model for Reliable and Interpretable Therapeutic Target Prioritisation,include,empirical,include_empirical,causal cellular perturbation model,held-out perturbation and target recovery,retained preprint,https://doi.org/10.64898/2026.01.29.702072,Causal cellular perturbation model; directly evaluated through held-out perturbation and target recovery.,high
AUD-f3e048ff7f5e,primary_phrase_filter_residual,A Bayesian mixture model for Poisson network autoregression.,include,empirical,include_empirical,fitted Poisson network autoregression,simulation and disease-network prediction,retained journal article,https://doi.org/10.1007/s13278-025-01485-0,Fitted poisson network autoregression; directly evaluated through simulation and disease-network prediction.,medium
