audit_id,route,title,decision,corpus_type,reason_code,rationale
AUD-c810874c17bd,primary_phrase_filter_residual,,exclude,not_applicable,duplicate_or_issue_record,"Issue, correction, or duplicate-style record lacks an eligible standalone contribution."
AUD-6738e0afdb8c,primary_phrase_filter_residual,,exclude,not_applicable,duplicate_or_issue_record,"Issue, correction, or duplicate-style record lacks an eligible standalone contribution."
AUD-e7eca9d8fae8,primary_phrase_filter_residual,,exclude,not_applicable,duplicate_or_issue_record,"Issue, correction, or duplicate-style record lacks an eligible standalone contribution."
AUD-59ed50ae6682,primary_phrase_filter_residual,,exclude,not_applicable,duplicate_or_issue_record,"Issue, correction, or duplicate-style record lacks an eligible standalone contribution."
AUD-fc3701caf9c0,primary_phrase_filter_residual,,exclude,not_applicable,duplicate_or_issue_record,"Issue, correction, or duplicate-style record lacks an eligible standalone contribution."
AUD-8fc2fe2b48fc,primary_phrase_filter_residual,,exclude,not_applicable,duplicate_or_issue_record,"Issue, correction, or duplicate-style record lacks an eligible standalone contribution."
AUD-e4cbc1c4ee48,primary_phrase_filter_residual,,exclude,not_applicable,duplicate_or_issue_record,"Issue, correction, or duplicate-style record lacks an eligible standalone contribution."
AUD-e6bd6bb29852,primary_phrase_filter_residual,,exclude,not_applicable,duplicate_or_issue_record,"Issue, correction, or duplicate-style record lacks an eligible standalone contribution."
AUD-f9a8492a8023,primary_phrase_filter_residual,,exclude,not_applicable,duplicate_or_issue_record,"Issue, correction, or duplicate-style record lacks an eligible standalone contribution."
AUD-b68c6171e278,primary_phrase_filter_residual,,exclude,not_applicable,duplicate_or_issue_record,"Issue, correction, or duplicate-style record lacks an eligible standalone contribution."
AUD-77921d39e7cf,primary_phrase_filter_residual,,exclude,not_applicable,duplicate_or_issue_record,"Issue, correction, or duplicate-style record lacks an eligible standalone contribution."
AUD-823052f2cc80,primary_phrase_filter_residual,,exclude,not_applicable,duplicate_or_issue_record,"Issue, correction, or duplicate-style record lacks an eligible standalone contribution."
AUD-ead286a34ab1,primary_phrase_filter_residual,,exclude,not_applicable,duplicate_or_issue_record,"Issue, correction, or duplicate-style record lacks an eligible standalone contribution."
AUD-94235e95dda7,primary_phrase_filter_residual,,exclude,not_applicable,duplicate_or_issue_record,"Issue, correction, or duplicate-style record lacks an eligible standalone contribution."
AUD-d61d9c8961f0,primary_phrase_filter_residual,,exclude,not_applicable,duplicate_or_issue_record,"Issue, correction, or duplicate-style record lacks an eligible standalone contribution."
AUD-47e2bc6c32c1,primary_phrase_filter_residual,,exclude,not_applicable,duplicate_or_issue_record,"Issue, correction, or duplicate-style record lacks an eligible standalone contribution."
AUD-30d7241e1648,primary_phrase_filter_residual,,exclude,not_applicable,duplicate_or_issue_record,"Issue, correction, or duplicate-style record lacks an eligible standalone contribution."
AUD-edd69cf53ded,primary_phrase_filter_residual,3 Machine learning approaches to predict colorectal cancer screening uptake in real-world EHR data,exclude,empirical,static_or_isolated_prediction,The model targets a static label or isolated endpoint rather than evolving states.
AUD-b214f45aa31a,primary_phrase_filter_residual,"3rd World Congress on Traditional, Complementary, and Integrative Medicine - 3rd WCTCIM",exclude,empirical,no_learned_or_adapted_dynamics,No learned or data-adapted biomedical state evolution is described.
AUD-6f4209acea29,primary_phrase_filter_residual,688P Equitable nationwide access to innovation in oncology: Real-world implementation of the French early access program for pembrolizumab in early triple-negative breast cancer,exclude,empirical,no_learned_or_adapted_dynamics,No learned or data-adapted biomedical state evolution is described.
AUD-1d317af13390,primary_phrase_filter_residual,"77236 Vitiligo after anti–PD-1 therapy in melanoma: landmarked, propensity-matched survival analyses from a real-world EHR network",exclude,empirical,no_learned_or_adapted_dynamics,No learned or data-adapted biomedical state evolution is described.
AUD-cb5d0924a633,primary_phrase_filter_residual,A blockchain technology with advanced lightweight symmetric cryptography schemes and smart security framework for healthcare wireless body area networks.,exclude,not_applicable,wrong_domain,The modeled system is outside medicine or biomedicine.
AUD-d541ff09e4e2,primary_phrase_filter_residual,A case of psittacosis pneumonia complicated by rhabdomyolysis,exclude,not_applicable,wrong_domain,The record is outside the medical or biomedical domain.
AUD-c72549e0c910,primary_phrase_filter_residual,A Cloud-Based Architecture for Scalable Electronic Health Record (EHR) Management System,exclude,empirical,no_learned_or_adapted_dynamics,"Dynamics are hand-specified or descriptive without learned, fitted, or calibrated transitions."
AUD-bb9b6a7caffb,primary_phrase_filter_residual,"A Co-Evolutionary Theory of Human–AI Coexistence: Mutualism, Governance, and Dynamics in Complex Societies",exclude,not_applicable,wrong_domain,The record is outside the medical or biomedical domain.
AUD-68e75317b65b,primary_phrase_filter_residual,A comparative study of the ‘3 + 2’ model ‘seven-step method’ programmed robotic distal gastric cancer radical resection versus conventional robotic surgical techniques,exclude,empirical,no_learned_or_adapted_dynamics,No learned or data-adapted biomedical state evolution is described.
AUD-1b15284cf42b,primary_phrase_filter_residual,A comprehensive review of cryptographic techniques and emerging trends in modern cybersecurity,exclude,review,review_not_primary,The review does not centrally synthesize learned biomedical dynamic or rollout systems.
AUD-247e5436390f,primary_phrase_filter_residual,A computational architecture incorporating shallow brain networks: integrating parallel cortical and subcortical processing.,exclude,empirical,no_learned_or_adapted_dynamics,No learned or data-adapted biomedical state evolution is described.
AUD-eed224acf9d7,primary_phrase_filter_residual,A Computational Community Blind Challenge on Pan-Coronavirus Drug Discovery Data.,exclude,empirical,static_or_isolated_prediction,"The learned model does not generate biomedical trajectories, transitions, or action responses."
AUD-86e93a799a3b,primary_phrase_filter_residual,A conceptual model for provider scheduling: insights from an EHR implementation,exclude,empirical,no_learned_or_adapted_dynamics,No learned or data-adapted biomedical state evolution is described.
AUD-cbbbab9cf253,primary_phrase_filter_residual,A Contextual Transformer-Enhanced ClinicalBERT Model for Automated Epilepsy Diagnosis from EHR Data,exclude,empirical,static_or_isolated_prediction,The model targets a static label or isolated endpoint rather than evolving states.
AUD-12296c7ab1db,primary_phrase_filter_residual,A Cross-Domain Benchmark of Intrinsic and Post Hoc Explainability for 3D Deep Learning Models.,exclude,empirical,static_or_isolated_prediction,"The learned model does not generate biomedical trajectories, transitions, or action responses."
AUD-27f1a032ac3f,primary_phrase_filter_residual,A Cross-Layered Multi-Drone Coordination for Medical Supply Delivery during Disaster Response Management,exclude,empirical,static_or_isolated_prediction,"The learned model does not generate biomedical trajectories, transitions, or action responses."
AUD-33eaf98b7a7b,primary_phrase_filter_residual,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,include,empirical,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control."
AUD-f9207f18f0ab,primary_phrase_filter_residual,A decade-long real-world cohort (2016-2025): development of an individualized risk-stratification nomogram and evaluation of clinical utility for recurrent respiratory tract infections in children.,exclude,empirical,static_or_isolated_prediction,The model targets a static label or isolated endpoint rather than evolving states.
AUD-7a59a037716f,primary_phrase_filter_residual,A federated blockchain framework for secure and intelligent smart farming in sustainable industrial agriculture.,exclude,not_applicable,wrong_domain,The modeled system is outside medicine or biomedicine.
AUD-7d695807cdc3,primary_phrase_filter_residual,A framework for assessing the trustworthiness of scientific research findings,exclude,not_applicable,wrong_domain,The record is outside the medical or biomedical domain.
AUD-9f75e6e7c837,primary_phrase_filter_residual,A framework for evidence-based psychotherapy with AI (EBP-AI).,exclude,empirical,no_learned_or_adapted_dynamics,"Dynamics are hand-specified or descriptive without learned, fitted, or calibrated transitions."
AUD-7079600c723b,primary_medical_filter_residual,A frontal cortical world model shapes inference of causal relationships in hippocampus,include,empirical,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control."
AUD-4aa3604f5984,primary_medical_filter_residual,A General-Purpose Predictive World Model,exclude,not_applicable,wrong_domain,The modeled system is outside medicine or biomedicine.
AUD-14fe6334d302,primary_medical_filter_residual,A geometric relation of the error introduced by sampling a language model's output distribution to its internal state,exclude,not_applicable,wrong_domain,The modeled system is outside medicine or biomedicine.
AUD-d78fe92ba4fe,primary_medical_filter_residual,"A Hierarchical Opponent-Modeling,World-Model, and Risk-Adaptive Planning Framework for Fair Adaptive Character Intelligence in Soulsl ike and AAACombat",exclude,not_applicable,wrong_domain,The modeled system is outside medicine or biomedicine.
AUD-b728a693310a,primary_phrase_filter_residual,A human cardiomyocyte-based cellular model mimicking cardiac ischemia,exclude,empirical,no_learned_or_adapted_dynamics,No learned or data-adapted biomedical state evolution is described.
AUD-336f03472dcc,primary_phrase_filter_residual,A Hybrid Ensemble Framework for Rare Event Detection in Large-Scale Tabular Data,exclude,empirical,static_or_isolated_prediction,The model targets a static label or isolated endpoint rather than evolving states.
AUD-e3ccd14f297b,primary_phrase_filter_residual,A language model framework for sequence modeling of EHR audit logs to characterize clinician-EHR interactions,exclude,not_applicable,wrong_domain,The modeled system is outside medicine or biomedicine.
AUD-18211f664f28,primary_phrase_filter_residual,"A lifecycle governance and learning health system framework for trustworthy, generalizable, and sustainable human-ai partnership in clinical practice: Lessons from the asthma-guidance and prediction system (A-GPS).",exclude,empirical,static_or_isolated_prediction,"The learned model does not generate biomedical trajectories, transitions, or action responses."
AUD-047bbf5be2f0,primary_phrase_filter_residual,A logNII-based model for predicting pathological complete response following neoadjuvant therapy in esophageal squamous cell carcinoma: a retrospective single-center study,exclude,empirical,static_or_isolated_prediction,"The learned model does not generate biomedical trajectories, transitions, or action responses."
