candidate_id,title,decision,corpus_type,primary_reason_code,evidence_for_dynamics,evidence_for_evaluation,publication_lineage,full_text_url,rationale
MWM-0008,A World Model of Radiologist Reading for Medical Image Representation Learning,include,empirical,include_empirical,Autoregressively predicts the next gaze-ordered radiograph patch representation and completes unvisited regions.,Tests trajectory information on GazeSearch scanpath metrics and reports diagnostic transfer on three external datasets.,Distinct GazeWorld study; no duplicate record identified.,https://arxiv.org/abs/2605.23992,A learned radiologist-reading trajectory model is empirically tested for scanpath fidelity and medical-image utility.
MWM-0011,Action-Conditioned World Model for Goal Plane Probe Guidance in Robotic Ultrasound,include,empirical,include_empirical,"Predicts future ultrasound observations from recent frames, probe motion, and temporal offset.","Assesses action-dependent anatomy and closed-loop robot guidance, with 70% carotid and 65% thyroid success.",Distinct robotic-ultrasound study; no duplicate record identified.,https://arxiv.org/abs/2607.21918,The action-conditioned observation model is evaluated directly and through real closed-loop control.
MWM-0012,Affective Music Recommendation: A Rollout-Based World Model for Offline Preference Optimization,include,empirical,include_empirical,"A causal transformer rolls forward engagement, rating, valence, and arousal under candidate song recommendations.","Reports cold-start feedback prediction, five-song simulated rollouts, counterfactual stress tests, and policy comparisons.",Distinct affective-health recommendation study; no duplicate record identified.,https://arxiv.org/abs/2605.28810,The health-oriented rollout simulator and its policy use are empirically evaluated.
MWM-0013,Agentifying Patient Dynamics within LLMs through Interacting with Clinical World Model,include,empirical,include_empirical,Learns patient-state transitions under fluid and vasopressor actions for propose-simulate-refine reasoning.,"Reports transition MAE, outcome discrimination, off-policy value, guideline adherence, and unsafe-action results.",Distinct SepsisAgent study; no duplicate record identified.,https://arxiv.org/abs/2605.14723,Both the clinical dynamics simulator and world-model-assisted treatment policy are tested.
MWM-0018,Arti-JEPA: Adapting Video World Model to Real-Time MRI of the Vocal Tract for Speech-Production Analysis,include,empirical,include_empirical,Adapts a video JEPA to vocal-tract dynamics and tests an audio-conditioned future-latent rollout extension.,Reports teacher-forced versus autoregressive rollout errors and audio-shuffling tests; the conditioned rollout result is negative.,Distinct Arti-JEPA study; no duplicate record identified.,https://arxiv.org/abs/2609.09757,"The medical rtMRI dynamics capability is directly evaluated, including a documented negative rollout result."
MWM-0031,Beyond Patient Invariance: Learning Cardiac Dynamics via Action-Conditioned JEPAs,exclude,not_applicable,no_future_or_action_evaluation,Trains an action-conditioned network to predict a future ECG latent from a pathology-transition vector.,Evaluation is limited to downstream triage and monitoring probes; counterfactual simulation is proposed as future work.,Distinct cardiac-JEPA study; no duplicate record identified.,https://arxiv.org/abs/2604.22618,"The dynamics objective is not itself evaluated as forecasting, rollout, action response, or planning."
MWM-0032,BLINK: Behavioral Latent Modeling of NK Cell Cytotoxicity,include,empirical,include_empirical,"Learns sequential latent NK-cell interaction dynamics, optionally conditioned on NK motion.","Evaluates full-trajectory rollouts and 30-frame future-outcome forecasts with MAE, RMSE, and correlation.",Distinct BLINK study; no duplicate record identified.,https://arxiv.org/abs/2603.05110,The cellular dynamics model is directly tested on free-running and future-outcome prediction.
MWM-0034,Brain-WM: Brain Glioblastoma World Model,include,empirical,include_empirical,Jointly autoregresses treatment choices and generates future multimodal glioblastoma MRI states.,Reports treatment accuracy and future-image SSIM on internal and external cohorts.,Distinct Brain-WM study; separate from other glioma model papers in the set.,https://arxiv.org/abs/2603.07562,Treatment-conditioned tumor evolution and planning outputs are directly evaluated.
MWM-0036,Bridging Individual Trajectories and Population Dynamics through A Multi-scale Health World Model,uncertain,uncertain,inaccessible_full_text,"The abstract describes a multiscale health world model, but the transition mechanism could not be inspected.",Official SSRN access did not expose sufficient methods and results for capability verification.,No duplicate identified from available metadata.,https://doi.org/10.2139/ssrn.7384522,"Primary scholarly text was inaccessible, so full-text eligibility cannot be established."
MWM-0040,"CalTwin: Towards Calibrated, Shift-Robust Medical World Models via Fisher-Information Regularisation",include,empirical,include_empirical,Regularizes a GRU latent transition predictor for hospital shift robustness and confidence alignment.,Directly compares next-step latent-state MSE and calibration across in-distribution and out-of-distribution hospitals.,Distinct CalTwin study; no duplicate record identified.,https://arxiv.org/abs/2607.26752,The learned clinical transition capability is directly evaluated under distribution shift.
MWM-0042,"Can Pharmaceutical World Models Become Scientific Instruments? A State-of-the-Art Review of Simulation, Reasoning, and Validation",include,review,include_review,"Not applicable; the article defines pharmaceutical world models around persistent state, interventions, simulation, and reasoning.",Synthesizes component evidence and proposes validation requirements for scientific-instrument use.,Distinct review article; no duplicate record identified.,https://doi.org/10.51847/hn9ejvqjoc,Pharmaceutical world models are the primary topic and the article supplies a field definition and validation framework.
MWM-0046,ChronoMedicalWorld: A Medical World Model for Learning Patient Trajectories from Longitudinal Care Data,include,empirical,include_empirical,Learns recurrent action-conditioned patient-state transitions with closed-loop rollout-prefix training.,Evaluates dynamic-history multistep eGFR rollouts using MAE and RMSE against clinical and LLM baselines.,Distinct ChronoMedicalWorld study; no duplicate record identified.,https://arxiv.org/abs/2605.21963,The longitudinal patient dynamics model is directly assessed in deployment-matched rollouts.
MWM-0052,Contextual Invertible World Models: A Neuro-Symbolic Agentic Framework for Colorectal Cancer Drug Response,exclude,not_applicable,no_learned_dynamics,Uses a static drug-response emulator plus LLM reasoning for in-silico gene perturbations.,"Reports response correlation and perturbation effects, but no temporal transition, rollout, or planning model is evaluated.",Distinct CIWM study; no duplicate record identified.,https://arxiv.org/abs/2603.02274,The framework is a static response emulator rather than a learned medical dynamics model.
MWM-0054,CrossScope: A Role-Asymmetric World Model for Joint Dual-Scope Surgical Video Prediction,include,empirical,include_empirical,Learns directional cross-view transitions to jointly forecast future Mother and Child endoscopy streams.,"Evaluates eight-frame predictions using visual fidelity, structural consistency, target localization, and motion accuracy.",Distinct CrossScope study; no duplicate record identified.,https://arxiv.org/abs/2608.03211,Dual-scope surgical future observations and interaction dynamics are directly evaluated.
MWM-0068,DreamReg: Belief-Driven World Model for 2D-3D Ultrasound Registration,include,empirical,include_empirical,Maintains a learned registration belief state and imagines candidate probe motions and predicted observations.,"Tests imagination-based registration on two datasets using geometric accuracy, image similarity, robustness, and speed.",Distinct DreamReg study; no duplicate record identified.,https://arxiv.org/abs/2606.18825,Learned belief dynamics are used for internal planning and empirically assessed.
MWM-0073,ECG-WM: A Physiology-Informed ECG World Model for Clinical Intervention Simulation,include,empirical,include_empirical,Uses action-conditioned latent diffusion with physiological priors to simulate post-intervention ECG trajectories.,"Evaluates controlled drug responses, clinical data, uncertainty, and multistep rollout error.",Distinct ECG-WM study; no duplicate record identified.,https://arxiv.org/abs/2605.17580,The intervention-conditioned electrophysiology simulator is directly evaluated.
