audit_id,stratum,title,decision,corpus_type,reason_code,rationale,confidence
AUD-0169c0ec1ae9,alternate_dynamics_enriched,AI-Driven Personalized Fall Prevention for Older Adults,exclude,not_applicable,no_primary_empirical_evaluation,The record lacks a qualifying primary empirical evaluation of medical world-model capabilities.,high
AUD-07c87bacbbe4,alternate_dynamics_enriched,An Improved Dyna-Q Algorithm Inspired by the Forward Prediction Mechanism in the Rat Brain for Mobile Robot Path Planning.,exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-643f893ef318,alternate_dynamics_enriched,Applications of System Dynamics Models in Chronic Disease Prevention: A Systematic Review.,exclude,not_applicable,review_not_primary,The review's primary topic is not medical or healthcare world models.,high
AUD-15da41fa9469,alternate_dynamics_enriched,Artificial general intelligence and the clinical laboratory: a paradigm shift toward Lab 2.0,exclude,not_applicable,no_primary_empirical_evaluation,The record lacks a qualifying primary empirical evaluation of medical world-model capabilities.,high
AUD-669035784e86,alternate_dynamics_enriched,Clin-JEPA: A Multi-Phase Co-Training Framework for Joint-Embedding Predictive Pretraining on EHR Patient Trajectories,include,empirical,include_empirical,Learns an autoregressive latent EHR transition model and evaluates 48-hour rollouts on MIMIC-IV.,high
AUD-23bda78572c9,alternate_dynamics_enriched,Combining machine learning and physiological network models for sepsis prediction,include,empirical,include_empirical,Learns patient trajectories in a physiological latent dynamics model and evaluates future organ-state prediction.,medium
AUD-906a4df1eae9,alternate_dynamics_enriched,Commercial impact of adding real-world evidence to clinical trials at regulatory approval: a Markovian-like transition model,uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,low
AUD-31c7a05ff984,alternate_dynamics_enriched,Egocentric value maps of the near-body environment,exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-a2362b6cabf5,alternate_dynamics_enriched,Fetal Twin: a mechanistic computational model of fetal physiology for heart-rate-variability biomarker research,include,empirical,include_empirical,Runs an adapted fetal physiology simulator under cord-occlusion interventions and evaluates generated trajectories.,medium
AUD-53bc68e6b9c4,alternate_dynamics_enriched,Impact of provoked stress on model-free and model-based reinforcement learning in individuals with alcohol use disorder.,exclude,not_applicable,no_learned_dynamics,The title and abstract do not describe a learned or adapted temporal transition mechanism.,high
AUD-2cc6cfea5438,alternate_dynamics_enriched,Mobility traces and spreading of COVID-19,include,empirical,include_empirical,Combines mobility and infection dynamics to simulate intervention-dependent COVID-19 trajectories.,medium
