audit_id,route,title,abstract,authors,year,publication_date,venue,doi,arxiv_id,url,record_type,sources,query_labels,source_status,original_exclusion_reason,reviewer_c_decision,reviewer_c_corpus_type,reviewer_c_reason_code,reviewer_c_rationale,reviewer_d_decision,reviewer_d_corpus_type,reviewer_d_reason_code,reviewer_d_rationale
ALT-8803de121c39,fresh_alternate_public_search,[Digital twins in uro-oncology].,"BACKGROUND: Uro-oncology is moving toward precision medicine, driven by high-dimensional longitudinal data from imaging, pathology, molecular profiling, and follow-up. However, clinical decision-making often relies on static risk scores that cannot fully capture individual disease dynamics. Digital twins aim to integrate multimodal patient data and to provide patient-specific, dynamically updated simulation models, thereby enabling ""what-if"" testing of interventions. OBJECTIVE: How is a medical digital twin defined, which data foundation is available in uro-oncology, and which clinical use cases can be envisaged? METHODS: This work comprises a narrative review including a description of the digital twin concept, a structured presentation of multimodal data (laboratory parameters, imaging, pathology, omics, long-term outcomes), and an overview of representative published applications (e.g., tumor growth reconstruction, virtual pathology, surgical 3D twins). RESULTS: Current digital twin research in uro-oncology largely represents partial digital twins (e.g., tumor progression models, virtual assessment, patient-specific 3D surgical planning). Potential clinical value of digital twins includes dynamic risk stratification, individualized treatment planning, and adaptive follow-up strategies. Major limitations relate to data quality, interoperability, external validation, interpretability, data privacy, and regulatory requirements for clinical deployment. CONCLUSION: Digital twins have the potential to enable a new era of predictive precision medicine in uro-oncology. Progress toward clinically actionable digital twins requires multimodal architectures, rigorous monitoring, and seamless integration into clinical workflows under robust governance and regulatory frameworks.",Johanna Smielowski; Maximilian Glienke; Sherif Mehralivand; Gregor Duwe; Felix Chun; Hendrik Borgmann; Magdalena Görtz,2026,2026,"Urologie (Heidelberg, Germany)",10.1007/s00120-026-02827-2,,https://pubmed.ncbi.nlm.nih.gov/42018198/,journal-article,europe_pmc;pubmed,europe_pmc_core;pubmed_core,indexed,,include,review,include_review,This primary medical digital-twin review defines the concept and synthesizes clinical applications and translation barriers.,include,review,include_review,"This review primarily synthesizes dynamic medical digital twins for digital twins uro oncology, including prediction, simulation, or intervention use."
ALT-f2248af7866f,fresh_alternate_public_search,A Bayesian disease progression model for Major Depressive Disorder,,Yi Zhang; Jonathan Sidi; Andy Czysz,2024,2024,A Bayesian disease progression model for Major Depressive Disorder,10.70534/sgcb2032,,https://doi.org/10.70534/sgcb2032,proceedings-article,crossref,"""disease progression model"" generative intervention",registered,,uncertain,empirical,insufficient_abstract,The missing abstract prevents determining whether this Bayesian progression model supports transitions or rollouts.,exclude,not_applicable,no_future_or_action_evaluation,"The bayesian disease progression major depressive disorder study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning."
ALT-36a3691f146d,fresh_alternate_public_search,A data-driven Alzheimer's disease progression simulator for retrospective validation and prospective Phase III power design.,"Anti-amyloid immunotherapies have recently demonstrated the first significant slowing of cognitive decline in Alzheimer's disease (AD), yet clinical benefit varies markedly across drugs and scales with the completeness of amyloid clearance. Pharmacokinetic/pharmacodynamic (PK/PD) models are currently the standard tool for trial simulation, but they typically operate on single biomarkers and rely on drug-concentration assumptions, leaving the multi-scale cascade from amyloid clearance through tau, neurodegeneration, and cognition largely unmodelled. No existing framework has been jointly validated against the quantitative outcomes of multiple real-world phase III trials, spanning clearance kinetics, multi-modal biomarker trajectories, and statistical power. We present a trial simulation platform based on SimulAD, a disease progression model trained exclusively on longitudinal observational data from ADNI, with no access to trial-arm labels or drug-specific outcomes. SimulAD encodes intervention as piecewise amyloid clearance terms within a latent ordinary differential equation system that jointly governs amyloid, tau, structural MRI, and cognitive trajectories under the amyloid cascade hypothesis. We retrospectively simulated six landmark phase III anti-amyloid trials (TRAILBLAZER-ALZ2, CLARITY AD, EMERGE and ENGAGE, GRADUATE I and GRADUATE II) using a single trained model with trial-specific calibration limited to amyloid clearance kinetics. SimulAD reproduced published mean centiloid reductions within 5% error across all six trials and generated CDR-SB distributions broadly consistent with reported placebo and treated-arm outcomes. In a retrospective power analysis, calibrated simulations separated the three positive from the three null trials, with EMERGE near the decision boundary and ENGAGE and both GRADUATE trials below it. Across trials, higher amyloid-clearance rates were associated with larger calibrated clinical effects and lower estimated sample sizes. These results establish SimulAD as a valid disease-progression-centric trial simulator providing quantitative guidance on sample size planning and treatment kinetics optimisation that is grounded in the full multi-modal biomarker cascade of AD.",Marco Lorenzi; Anna Custo; Giovanni B Frisoni; Valentina Garibotto,2026,2026,medRxiv : the preprint server for health sciences,10.64898/2026.05.03.26352317,,https://pubmed.ncbi.nlm.nih.gov/42145636/,journal-article,europe_pmc;pubmed,europe_pmc_core;pubmed_core,indexed,,include,empirical,include_empirical,A data-trained latent dynamics model simulates intervention-conditioned biomarker trajectories and validates trial rollouts.,include,empirical,include_empirical,The data driven alzheimer s disease progression simulator retrospective validation prospective study learns or calibrates temporal dynamics and directly evaluates intervention-conditioned rollouts or planning outcomes.
ALT-b41d73135078,fresh_alternate_public_search,A digital twin for hospital antimicrobial resistance forecasting and constrained intervention optimisation,"A bstract Hospital antimicrobial resistance (AMR) emanates from an array of complex interactions between patient turnover, heterogeneous patient–staff contact patterns, antibiotic-driven within-host selection, and imperfect surveillance. We present a hospital AMR digital twin that combines mechanistic simulation with temporal graph learning to forecast resistance emergence from evolving daily contact networks and enable support intervention planning. Our approach is twofold: graph neural networks and transformers to model predictions and mathematical programming optimization to provide decision support. The main predictive task asks whether future spread of resistant infections is more likely to be driven by endogenous hospital transmission and selection or from importation on admission. We evaluated this task under both fully observed and partially observed settings, using baseline benchmarks together with ablations, surveillance perturbations, and distribution-shift stress tests. Under canonical conditions, the model achieved very strong predictive performance, especially when ground-truth system states were available, and remained informative under partial observation. Ablations showed that contact-weight information was relatively robust, whereas compressed node-feature representations weakened performance more noticeably when observations were incomplete. Surveillance stress tests further showed that delayed or less frequent reporting can be tolerated in some settings, but threshold calibration becomes fragile under more severe observation changes. Across broader epidemiological and surveillance shifts, the ground-truth model generally preserved strong ranking ability, while partial-observation performance was less stable. When models were trained directly in the shifted regime, performance improved compared with zero-shot transfer, indicating that the digital twin can adapt to new and previously unseen operating conditions but that portability across regimes can improve, particularly when only partial surveillance data are available. We also evaluated intervention-conditioned forecasting by branching hospital states into a small library of screening and isolation policies under a shock-and-superspreader regime. The learned models supported useful within-state action ranking and frequently identified policies that improved on the baseline containment protocols or avoided worsening outcomes. The same digital twin can also support constrained intervention selection, although reliable deployment will require careful calibration, improved robustness under partial observation, and broader policy libraries.","Triantafyllidis CP, Aguas R.",2026,2026-05-22,openRxiv,10.64898/2026.05.15.26353296,,https://europepmc.org/article/PPR/PPR1237042,posted-content,crossref;europe_pmc,"""clinical digital twin"" intervention;""intervention-conditioned forecasting"" clinical;europe_pmc_core",indexed,,include,empirical,include_empirical,Temporal graph models forecast resistance dynamics and evaluate intervention-conditioned policy branches and rankings.,include,empirical,include_empirical,The digital twin hospital antimicrobial resistance forecasting constrained intervention optimisation study learns or calibrates temporal dynamics and directly evaluates intervention-conditioned rollouts or planning outcomes.
ALT-2f2ac4647872,fresh_alternate_public_search,A Digital Twin Framework for Predictive Modeling and Intervention Optimization in Inflammatory Bowel Disease,,Prathyek Poojary,2025,2025,2025 IEEE MIT Undergraduate Research Technology Conference (URTC),10.1109/urtc68753.2025.11533070,,https://doi.org/10.1109/urtc68753.2025.11533070,proceedings-article,crossref,"""clinical digital twin"" intervention",registered,,uncertain,empirical,insufficient_abstract,The relevant title lacks an abstract confirming data-learned dynamics and empirical intervention evaluation.,uncertain,empirical,insufficient_abstract,"The digital twin predictive intervention optimization inflammatory bowel disease title plausibly denotes learned medical dynamics, but the missing abstract does not establish direct future or action evaluation."
ALT-44571950f60c,fresh_alternate_public_search,A digital twin-enhanced decision support system improves time-in-range in type 1 diabetes: a randomized clinical trial.,"Most individuals with type 1 diabetes (T1D) worldwide continue to be managed with multiple daily injections or sensor-augmented pumps. Decision-support systems (DSSs) have emerged as cost-effective tools to enhance treatment adherence and glucose control. We conducted a randomized, open-label, parallel-group study to evaluate STUDIA, a DSS incorporating a digital twin-enabled simulation-assisted bolus calculator. Twenty-eight participants with T1D used either the simulation-assisted calculator or traditional carbohydrate counting for prandial insulin dosing, with glucose monitored using Freestyle Libre. After four weeks, the group using the simulation-assisted calculator showed a 7% increase in time in the target glucose range (70-180 mg/dL) compared to the control (p < 0.001), along with a lower hypoglycemia incidence rate (RR 0.31, p = 0.022). Model performance yielded a mean absolute percentage error at 60 min of 19.2 ± 6.7%, increasing at longer horizons, with most discrepancies between simulation and sensor falling into no-risk or slight-risk zones. These findings support the safety, feasibility, and potential clinical utility of the STUDIA system in people with T1D.","Builes-Montaño CE, Lema-Perez L, Ramírez-Rincón A, Zuleta-Tobón JJ, Restrepo-Gutiérrez JC, Álvarez-Zapata HD, García-Tirado J.",2025,2025-11-13,,10.1038/s41598-025-23165-x,,https://europepmc.org/article/MED/41233385,,europe_pmc,europe_pmc_core,indexed,,include,empirical,include_empirical,"A patient digital twin simulates insulin-action responses, evaluates forecasts, and supports clinically tested dosing decisions.",include,empirical,include_empirical,The digital twin enhanced decision support system improves time range type study learns or calibrates temporal dynamics and directly evaluates intervention-conditioned rollouts or planning outcomes.
ALT-dc913f452db6,fresh_alternate_public_search,A Hybrid Deep Learning Framework to Predict Alzheimer’s Disease Progression Using Generative Adversarial Networks and Deep Convolutional Neural Networks,,Rajarshi SinhaRoy; Anupam Sen,2023,2023,Arabian Journal for Science and Engineering,10.1007/s13369-023-07973-9,,https://doi.org/10.1007/s13369-023-07973-9,journal-article,crossref,"""disease progression model"" generative intervention",registered,,uncertain,empirical,insufficient_abstract,The missing abstract prevents distinguishing learned temporal simulation from ordinary imaging-based progression prediction.,uncertain,empirical,insufficient_abstract,"The hybrid deep learning predict alzheimer s disease progression generative adversarial title plausibly denotes learned medical dynamics, but the missing abstract does not establish direct future or action evaluation."
ALT-b2249eb31bfe,fresh_alternate_public_search,A Model to Assess the Outcomes Associated With Dementia With Lewy Bodies.,"BACKGROUND: Research investigating outcomes associated with dementia with Lewy bodies (DLB) disease progression is scarce. Developing models of DLB disease progression will provide information on the burden of disease and facilitate the evaluation of treatments for DLB from a clinical and cost perspective. METHODS: Longitudinal, cognitive evaluation data were utilized in order to identify distinct health states for DLB and to estimate transition probabilities across the DLB disease continuum. These probabilities were applied to a health state transition model to evaluate disease progression and associated outcomes for a closed cohort over a fixed time horizon. The effect of a reduction in the risk of disease progression on outcomes was assessed. RESULTS: Estimated transition probabilities indicate that a patient >60 years of age with mild DLB has a 54%, 30%, 4%, and 12% chance of remaining mild, progressing to severe DLB, being institutionalized, and dying after 1 year, respectively. Reducing the annual risk of transitioning from mild to severe DLB by 40% decreased time institutionalized and increased time to death. CONCLUSIONS: This study used real-world longitudinal data to create a clinically relevant DLB disease progression model. Reducing the rate of disease progression resulted in meaningful benefits with potentially significant public health implications.",Robert Espinosa; Matthew Davis; Scott Johnson; Stephanie Cline; Daniel Weintraub,2021,2021,Alzheimer disease and associated disorders,10.1097/wad.0000000000000412,,https://pubmed.ncbi.nlm.nih.gov/33044304/,journal-article,europe_pmc;pubmed,europe_pmc_core;pubmed_core,indexed,,include,empirical,include_empirical,Longitudinally estimated state transitions drive cohort rollouts and a counterfactual progression-risk intervention.,exclude,not_applicable,review_not_primary,This review centers on assess outcomes associated dementia lewy bodies rather than evaluated medical learned world-model dynamics as its primary subject.
ALT-10e1e2640b93,fresh_alternate_public_search,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,,Shoumik Roychowdhury; Shounak Roychowdhury,2020,2020,2020 International Joint Conference on Neural Networks (IJCNN),10.1109/ijcnn48605.2020.9206875,,https://doi.org/10.1109/ijcnn48605.2020.9206875,proceedings-article,crossref,"""disease progression model"" generative intervention",registered,,uncertain,empirical,insufficient_abstract,"The title suggests generative disease progression, but no abstract confirms temporal rollouts or evaluation.",uncertain,empirical,insufficient_abstract,"The modular predict alzheimer s disease progression conditional generative adversarial networks title plausibly denotes learned medical dynamics, but the missing abstract does not establish direct future or action evaluation."
ALT-7637963d5f0f,fresh_alternate_public_search,A multidimensional ODE-based model of Alzheimer's disease progression,"Abstract Data-driven Alzheimer’s disease (AD) progression models are useful for clinical prediction, disease mechanism understanding, and clinical trial design. Most dynamic models were inspired by the amyloid cascade hypothesis and described AD progression as a linear chain of pathological events. However, the heterogeneity observed in healthy and sporadic AD populations challenged the amyloid hypothesis, and there is a need for more flexible dynamical models that accompany this conceptual shift. We present a statistical model of the temporal evolution of biomarkers and cognitive tests that allows diverse biomarker paths throughout the disease. The model consists of two elements: a multivariate dynamic model of the joint evolution of biomarkers and cognitive tests; and a clinical prediction model. The dynamic model uses a system of ordinary differential equations to jointly model the rate of change of an individual’s biomarkers and cognitive tests. The clinical prediction model is an ordinal logistic model of the diagnostic label. Prognosis and time-to-onset predictions are obtained by computing the clinical label probabilities throughout the forecasted biomarker trajectories. The proposed dynamical model is interpretable, free of one-dimensional progression hypotheses or disease staging paradigms, and can account for the heterogeneous dynamics observed in sporadic AD. We developed the model using longitudinal data from the Alzheimer’s Disease Neuroimaging Initiative. We illustrate the patterns of biomarker rates of change and the model performance to predict the time to conversion from MCI to dementia.",Matías Nicolás Bossa; Hichem Sahli,2022,2022,Research Square Platform LLC,10.21203/rs.3.rs-1903006/v1,,https://doi.org/10.21203/rs.3.rs-1903006/v1,posted-content,crossref,"""disease progression model"" generative intervention",registered,,include,empirical,include_empirical,Longitudinal data fit multivariate dynamics that roll out biomarker trajectories and predict diagnostic conversion.,exclude,not_applicable,no_learned_dynamics,The multidimensional ode alzheimer s disease progression study uses prescribed mechanistic or statistical dynamics rather than a learned transition mechanism.
