candidate_id,title,field,reviewer_a,reviewer_b,adjudicated_value,adjudication_anchor,adjudication_notes
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,domain,Alzheimer disease longitudinal MRI,Alzheimer disease; longitudinal neuroimaging,Alzheimer disease; longitudinal neuroimaging,Sec. V-A Data,Primary publication supports Reviewer B's more precise formulation for domain; no incompatible claim from Reviewer A was carried forward.
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,dataset_or_cohort,ADNI longitudinal MRI; stable MCI and AD groups,"ADNI longitudinal MRI; stable MCI and Alzheimer disease cohorts, with normal controls used for descriptive comparison","ADNI longitudinal MRI; stable MCI and Alzheimer disease cohorts, with normal controls used for descriptive comparison",Sec. V-A Data,Primary publication supports Reviewer B's more precise formulation for dataset_or_cohort; no incompatible claim from Reviewer A was carried forward.
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,sample_scale,532 stable-MCI patients and 1764 images; 327 AD patients and 1016 images; 4-5 years of visits,"532 stable-MCI participants/1,764 images and 327 Alzheimer participants/1,016 images; normal-control count NI","532 stable-MCI participants/1,764 images and 327 Alzheimer participants/1,016 images; normal-control count NI",Sec. V-A Data,Primary publication supports Reviewer B's more precise formulation for sample_scale; no incompatible claim from Reviewer A was carried forward.
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,institution_count,NI: analyzed ADNI site count not reported,One multisite public consortium (ADNI); contributing site count NI,One multisite public consortium (ADNI); contributing site count NI,Sec. V-A Data,Primary publication supports Reviewer B's more precise formulation for institution_count; no incompatible claim from Reviewer A was carried forward.
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,split_strategy,0: no patient-level train/validation/test split reported,NI: no patient-level train/validation/test split or held-out trajectory protocol reported,NI: no patient-level train/validation/test split or held-out trajectory protocol reported,Sec. V-A Data,Primary publication supports Reviewer B's more precise formulation for split_strategy; no incompatible claim from Reviewer A was carried forward.
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,observation_process,"Irregular structural MRI in 6, 12, 18, 24, 36, and 48 month buckets; some visit gaps","Irregular MRI visits grouped into 6-, 12-, 18-, 24-, 36-, and 48-month buckets; cortical ribbons extracted from MR images","Irregular MRI visits grouped into 6-, 12-, 18-, 24-, 36-, and 48-month buckets; cortical ribbons extracted from MR images",Sec. V-A Data,Primary publication supports Reviewer B's more precise formulation for observation_process; no incompatible claim from Reviewer A was carried forward.
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,missingness,1: visit gaps acknowledged; no imputation or missingness model,"Visit gaps acknowledged; NI: no missing-visit model, imputation rule, or sensitivity analysis","Visit gaps acknowledged; NI: no missing-visit model, imputation rule, or sensitivity analysis",Sec. V-A Data,Primary publication supports Reviewer B's more precise formulation for missingness; no incompatible claim from Reviewer A was carried forward.
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,censoring_or_competing_events,"0: dropout, death, and truncation not analyzed","NI: attrition, death, diagnosis conversion, and competing events are not modeled","NI: attrition, death, diagnosis conversion, and competing events are not modeled",Sec. V-A Data,Primary publication supports Reviewer B's more precise formulation for censoring_or_competing_events; no incompatible claim from Reviewer A was carried forward.
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,state,Current MRI/cortical-ribbon image and visit-stage label,Baseline/current cortical-ribbon MR image plus disease-stage/visit conditioning,Baseline/current cortical-ribbon MR image plus disease-stage/visit conditioning,Sec. IV-A/IV-B and Fig. 3,Primary publication supports Reviewer B's more precise formulation for state; no incompatible claim from Reviewer A was carried forward.
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,observation_decoder,Synthetic future-stage MRI and cortical-ribbon mask; derived fractal dimension,Conditional generator outputs a 256x256x3 future cortical-ribbon image; fractal dimension is derived,Conditional generator outputs a 256x256x3 future cortical-ribbon image; fractal dimension is derived,Sec. IV-A/IV-B and Fig. 3,Primary publication supports Reviewer B's more precise formulation for observation_decoder; no incompatible claim from Reviewer A was carried forward.
