audit_id,route,title,abstract,authors,year,publication_date,venue,doi,arxiv_id,url,record_type,sources,query_labels,source_status,original_exclusion_reason,reviewer_e_decision,reviewer_e_corpus_type,reviewer_e_reason_code,reviewer_e_rationale,reviewer_f_decision,reviewer_f_corpus_type,reviewer_f_reason_code,reviewer_f_rationale,final_decision,final_corpus_type,final_reason_code,resolution_route,adjudication_rationale,qc_decision,qc_corpus_type,qc_reason_code,qc_rationale,full_text_anchor,confidence
AUD-7079600c723b,primary_medical_filter_residual,A frontal cortical world model shapes inference of causal relationships in hippocampus,"Abstract Causal reasoning, inferring what leads to what, is the foundation upon which animals and humans build their understanding of the world. Yet causal relations are rarely fully revealed; they must be inferred from incomplete and ambiguous observations. We propose that such causal inference operates through the integration of two complementary models of the environment: a relational structure, encoding cause-effect relationships, and an abstract world model, encoding the generative principles that govern how causal relations are formed and interpreted. To dissociate these two processes, we developed a novel one-shot causal inference paradigm. Combining both neural recording and intervention methods, we reveal that the two proposed models are neurally dissociable yet functionally coordinated: the hippocampus instantiates the relational structure by building a map of causal relations, a process controlled by the inferior frontal sulcus (IFS), which is critically involved in inferring unobserved causal relations through its encoding of the abstract world model.","Luo S, Li M, Pan D, Kingston N, Klein-Flügge M, Mahmoodi A, Rushworth M.",2026,2026-07-17,Research Square,10.21203/rs.3.rs-10131486/v1,,https://europepmc.org/article/PPR/PPR1280737,preprint,"['europe_pmc', 'openalex']","['""world model"" physiology', 'europe_pmc_core']",indexed,medical-domain term absent from title and abstract,exclude,not_applicable,no_learned_or_adapted_dynamics,"Applies data-driven methods to brain and mental-health processes without modeling evolving states, rollouts, or action response.",include,empirical,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control.",exclude,not_applicable,no_learned_dynamics,third_full_text_adjudication,"Primary full text studies neural representations during one-shot causal inference: hippocampal and inferior-frontal activity encodes an abstract task-rule/relational world model. The modeled object is not a physiological or patient state-transition function learned from biomedical observations, and the paper does not evaluate medical-state forecasting, rollout, intervention response, or simulator fidelity.",,,,,,
AUD-af3f2d334073,primary_phrase_filter_residual,A Multimodal Foundation Model for Longitudinal Patient Representation and Scalable Insight Generation in Oncology,"Precision oncology necessitates a longitudinal model of patient state that captures cancer evolution and treatment over time, integrating multimodal observations. We introduce the oFM, a foundation model developed on a real-world oncology cohort of 1.67 million cancer patients that integrates clinical trajectories with DNA, RNA, and H&E pathology. Patient-level partitions were reserved for training, validation, and testing, with over one million patients used for training. The oFM encodes daily clinical and molecular episodes and, along with pathology images, integrates them over time to produce a patient state embedding. We evaluate frozen oFM embeddings against expert-curated clinical and molecular baseline features. In prognostic benchmarks, the oFM improved AUC for treatment response, progression-free survival, and overall survival (0.774 vs. 0.563 for overall survival). Across 11 comparative-treatment cohorts, the oFM embeddings achieved a three-fold higher pooled and scale-normalized treatment-benefit AUTOC than baseline features with improved benefit ranking in 9 of 11 cohorts, and provided stronger prognostic discrimination within both treatment arms. We also evaluated a mechanism discovery framework that interprets downstream models built on oFM embeddings by linking their predicted outcomes to clinically and biologically grounded mechanisms through an evidence-grounded temporal graph, enabling evaluation in clinical and drug-development applications.",Eugene Vorontsov; Yi Kan Wang; Alican Bozkurt; Adam Casson; Ludmila Tydlitátová; Michal Zelechowski; Ezra E. W. Cohen; Jyoti D. Patel; Max Banaszak; Caitlin McWilliams; Shane Colley; Kate Sasser; Ryan Fukushima; Eric Lefkofsky; Razik Yousfi; Siqi Liu,2026,2026-08-25,arXiv (Cornell University),10.48550/arxiv.2608.24688,2608.24688,https://arxiv.org/abs/2608.24688,preprint,['openalex'],"['""world model"" EHR', '""world model"" clinical', '""world model"" patient', '""world model"" treatment']",open-access,world-model phrase absent from title and abstract,exclude,not_applicable,static_or_isolated_prediction,"Performs static representation learning in cancer care, rather than trajectory simulation or learned control.",include,empirical,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control.",exclude,empirical,no_future_or_action_evaluation,reviewer_consensus,"A: Evaluation is limited to prognosis, treatment-benefit ranking, and representation interpretation rather than generated patient-state evolution. B: Longitudinal representation encoder; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics.",,,,,,
AUD-e13ca7993674,primary_phrase_filter_residual,Anatomical Prior-Driven Framework for Autonomous Robotic Cardiac Ultrasound Standard View Acquisition,"Cardiac ultrasound diagnosis is critical for cardiovascular disease assessment, but acquiring standard views remains highly operator-dependent. Existing medical segmentation models often yield anatomically inconsistent results in images with poor textural differentiation between distinct feature classes, while autonomous probe adjustment methods either rely on simplistic heuristic rules or black-box learning. To address these issues, our study proposed an anatomical prior (AP)-driven framework integrating cardiac structure segmentation and autonomous probe adjustment for standard view acquisition. A YOLO-based multi-class segmentation model augmented by a spatial-relation graph (SRG) module is designed to embed AP into the feature pyramid. Quantifiable anatomical features of standard views are extracted. Their priors are fitted to Gaussian distributions to construct probabilistic APs. The probe adjustment process of robotic ultrasound scanning is formalized as a reinforcement learning (RL) problem, with the RL state built from real-time anatomical features and the reward reflecting the AP matching. Experiments validate the efficacy of the framework. The SRG-YOLOv11s improves mAP50 by 11.3% and mIoU by 6.8% on the Special Case dataset, while the RL agent achieves a 92.5% success rate in simulation and 86.7% in phantom experiments.",Zhiyan Cao; Zhengxi Wu; Yiwei Wang; Pei‐Hsuan Lin; Li Zhang; Zhen Xie; Huan Zhao; Han Ding,2026,2026-03-22,arXiv (Cornell University),,2603.21134,http://arxiv.org/abs/2603.21134,preprint,['openalex'],"['""world model"" echocardiography']",open-access,world-model phrase absent from title and abstract,include,empirical,potential_empirical,Learns a sequential policy or controller for procedural and surgical care with action-dependent responses.,include,empirical,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control.",exclude,empirical,no_learned_dynamics,reviewer_consensus,"A: The policy is learned, but probe and anatomy transition dynamics are not learned from observed biomedical trajectories. B: Model-free probe-control policy; Sequential behavior is evaluated, but transition dynamics are not learned or data-adapted.",,,,,,
AUD-84da8977f244,primary_phrase_filter_residual,Applications of Reinforcement Learning for Autonomous Surgical Robotics: A Systematic Review.,"Reinforcement learning (RL) has emerged as a promising approach for autonomous surgical robotic subtasks. Recent advances include deep reinforcement learning (DRL), imitation learning (IL), and vision-language-action (VLA) models. However, current evidence remains fragmented across simulation benchmarks, task-specific demonstrations, and limited clinical studies. Existing reviews primarily focus on RL algorithms, while the broader pathway from algorithm development to clinically deployable surgical autonomy has not been comprehensively synthesised. This PRISMA 2020-guided systematic review examines RL, IL, safe RL, simulation-to-real (sim-to-real) transfer, foundation models, VLA systems, and regulatory readiness in surgical robotics. We searched IEEE Xplore, PubMed/MEDLINE, Embase, Scopus, Web of Science, the Cochrane Library, ACM Digital Library, arXiv, and medRxiv for studies published between January 2015 and March 2026, with additional studies identified through backward citation tracing. Eligible studies proposed novel RL, imitation learning, or foundation-model approaches for surgical robotics with empirical validation in simulation or on physical robotic platforms. Two reviewers independently extracted data using a predefined coding scheme, and a third reviewer resolved disagreements. Owing to substantial heterogeneity in platforms, tasks, and outcome measures, a quantitative meta-analysis was not feasible; therefore, the evidence was synthesised narratively using a comparative framework. A total of 220 studies met the inclusion criteria, covering eleven active surgical RL platforms, seven paired sim-to-real studies, emerging foundation-model architectures, and three FDA-cleared robotic systems exhibiting Level 3 autonomy. Available comparative studies suggest that hierarchical approaches can outperform flat policies in long-horizon tasks, while language-conditioned models demonstrated promising multi-step surgical capabilities. Seven paired simulation-to-real studies were identified, encompassing tissue retraction, guidewire navigation, and surgical cutting tasks. Sim-to-real performance gaps varied substantially by task and metric, with success-rate gaps ranging from -10 to 50 percentage points (negative values indicating better real-world than simulated performance), while paired mean spatial errors differed by at most 0.61 mm. Most studies employed domain randomization or visual domain adaptation; hierarchical reinforcement learning demonstrated advantages over flat policies in multi-step surgical tasks. Explicit safety-constrained methods (CPO, CBF, and SER), formal verification, and regulatory-aligned evaluation were reported in fewer than 3% of applied studies. Most evidence remained simulation-based, with no reported autonomous RL execution in vivo in humans. Overall, RL-based surgical robotics appears mature at the simulation stage but remains preclinical for autonomous clinical deployment. Future progress requires stronger sim-to-real validation, multimodal safety-aware architectures, alignment with IEC 62304, ISO 14971, FDA guidance, and the EU AI Act, and open benchmarks that jointly evaluate performance, safety, and surgeon trust.","Shahid M, Abdullah, Fatima Z, Feroze W, Ruiz MJT, Saldaña-Pérez M, Sánchez-Mejorada CG, Tellez RQ.",2026,2026-08-12,,10.3390/biomimetics11080577,,https://europepmc.org/article/MED/42645294,,['europe_pmc'],['europe_pmc_core'],indexed,world-model phrase absent from title and abstract,include,review,potential_review,"Centrally synthesizes learned or adapted procedural and surgical care simulation, transition, or sequential-control systems.",include,review,potential_review,"The review centrally examines learned biomedical dynamics, simulation, intervention response, or sequential control.",exclude,review,review_not_primary,reviewer_consensus,A: This is a broad surgical-autonomy review; learned transition or rollout models are not the central evidence category. B: Broad surgical rl and autonomy; Learned medical transition or rollout systems are not a central evidence category.,,,,,,
AUD-6b30999a35dc,primary_phrase_filter_residual,Deep Reinforcement Learning for Surgical Robotics with State and Image Information: A Survey,,Edoardo Fazzari; Cesare Stefanini,2026,2026-01-23,Research Square,10.21203/rs.3.rs-8621244/v1,,https://doi.org/10.21203/rs.3.rs-8621244/v1,preprint,['openalex'],"['""world model"" clinical', '""world model"" physiology']",open-access,world-model phrase absent from title and abstract,uncertain,uncertain,insufficient_abstract,"The title suggests procedural and surgical care dynamics or control, but no abstract establishes whether transitions are learned or adapted.",include,review,potential_review,"The review centrally examines learned biomedical dynamics, simulation, intervention response, or sequential control.",exclude,review,review_not_primary,reviewer_consensus,"A: The survey centers policy learning and simulator use, not learned medical environment dynamics. B: Broad surgical deep rl; Learned medical transition or rollout systems are not a central evidence category.",,,,,,
AUD-5dde3c545ed5,primary_phrase_filter_residual,Deep Reinforcement Learning of Dynamic Treatment Policies for Chronic Kidney Disease from Longitudinal Electronic Health Records,,Jingyi Wu; Qianlin Zuo; Xiaoyuan Liu; Weidong Zhang; Luxia Zhang; Pengfei Li,2026,2026-01-01,SSRN Electronic Journal,10.2139/ssrn.7407198,,https://doi.org/10.2139/ssrn.7407198,preprint,['openalex'],"['""world model"" EHR', '""world model"" clinical', '""world model"" treatment']",open-access,world-model phrase absent from title and abstract,uncertain,uncertain,insufficient_abstract,"The title suggests clinical records and healthcare operations dynamics or control, but no abstract establishes whether transitions are learned or adapted.",include,empirical,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control.",exclude,not_applicable,no_learned_dynamics,third_full_text_adjudication,"The longitudinal EHR study trains a double deep Q-network to learn treatment action values/policies for chronic kidney disease. Its reported evaluation concerns guideline/clinician concordance and associations between recommended actions and outcomes; it does not fit or evaluate a CKD state-transition model, future-state rollout, or learned clinical simulator.",,,,,,
AUD-5b4c2424bdb2,primary_phrase_filter_residual,Dengue hospitalizations in Brazil: Forecasting with climatic and physicians' digital search data under real-world reporting delays.,"Timely forecasting of dengue hospitalizations is essential for public health preparedness but is frequently limited by delays in official reporting systems. While climatic variables are known to influence dengue transmission and can be obtained in near-real time, hospitalization data often become available only weeks after patient admission, reducing their value for early response. Digital information generated during clinical practice, such as physicians' search patterns, may provide a complementary and more timely signal of emerging disease activity. This study evaluates whether integrating climate data with real-time records of physicians' searches for dengue-related information improves short-term forecasts of dengue hospitalizations in Brazil under both ideal and realistic reporting conditions. Three complementary data sources were combined to generate forecasts across multiple geographic regions: weekly hospitalization counts, climatic indicators, and anonymized physician search records from a widely used clinical decision-support platform. Model performance was compared under two scenarios: one assuming immediate availability of hospitalization data and another incorporating typical reporting delays. When hospitalization data were timely, simpler model configurations - particularly those relying on hospitalization history alone or combined with climate - achieved the highest predictive accuracy, indicating that the temporal structure of the outcome itself carried substantial forecasting value. Under realistic reporting delays, however, models incorporating physicians' search behavior consistently outperformed all other approaches across most regions. In several regions, increases in physician search activity preceded or coincided with rises in hospital admissions, indicating early clinical engagement with dengue cases. These findings indicate that physician search behavior constitutes a valuable real-time indicator of dengue activity. Integrating digital clinical behavior with climate data enhances forecasting performance under real-world reporting constraints and may strengthen early-warning systems and public health decision-making for dengue and other climate-sensitive diseases.","Palmer DQ, Motta M, Moura E, Xavier D, Schittine G, Caseri A, Gismondi R.",2026,2026-05-29,,10.1371/journal.pdig.0001206,,https://europepmc.org/article/MED/42213709,,['europe_pmc'],['europe_pmc_core'],indexed,world-model phrase absent from title and abstract,exclude,not_applicable,no_learned_or_adapted_dynamics,"Reports on clinical records and healthcare operations without a learned, fitted, calibrated, or data-adapted dynamics model.",include,empirical,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control.",exclude,empirical,no_future_or_action_evaluation,reviewer_consensus,"A: This is ordinary resource forecasting without an evaluated evolving disease-state or intervention-response simulator. B: Aggregate hospitalization forecasting; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics.",,,,,,
AUD-94598ea01630,primary_phrase_filter_residual,Developing a pan-cancer foundation model for digital patient representation and clinical prediction across real-world oncology data.,"e23012 Background: Foundation models in oncology (FM onc ) enable creation of unified digital patient representations that can adapt to diverse clinical and translational tasks. We developed a pan-cancer FM onc trained on large-scale real-world electronic health record (RWD) data and evaluated its utility across clinically relevant prediction tasks. Methods: The manually curated RWD Patient360 dataset, which included NSCLC, breast, colorectal, and prostate cancers, was used. FM onc is a time-aware Transformer-based model designed to capture longitudinal patient trajectories across visits. The model contains > 1.3B trainable parameters and a vocabulary of tokens representing clinical variables and allowable value classes, plus special tokens. Cohorts included NSCLC (N = 57,780), breast (N = 43,432), CRC (N = 18,521), and prostate cancer (N = 17,035), split into training (80%), validation (10%), and test (10%) sets. Masked-token self-supervised learning was used, with masking probability inversely proportional to variable prevalence to mitigate class imbalance. Trained FM onc embeddings were used as inputs to a lightweight XGBoost adapter for three downstream tasks: (1) mortality prediction, (2) cancer type classification, and (3) prediction of biomarker testing. Target events were excluded from inputs to prevent label leakage. Model performance was assessed using area under the curve (AUC) for binary outcomes and F1 score for multiclass tasks. Results: A total of ≈11.6M tokens (≈3850 tokens per patient) across 109,414 patients were used for FM training with convergence reaching 100 epochs. A NSCLC test set has the highest mortality rate of 66% while breast has the lowest with 22% and prostate and CRC ~40%. FM onc embeddings enabled high predictive performance across tasks. Test-set mortality prediction achieved across all cancer type AUC of 0.84-0.86. Cancer-type classification exhibited macro avg F1 of 0.98. Clustering embedding observed that breast and prostate are well separated in using LDA projection into 3D space while small overlap between CRC and NSCLC. In the biomarker testing task, FM onc embeddings accurately predicted testing utilization with macro-average F1 ≥0.95 across commonly ordered biomarkers, including NSCLC (e.g., EGFR, KRAS) and breast cancer (ER, PR, HER2). Lower performance (F1≈0.20–0.30) was observed for clinically selective, RNA-based genomic expression assays with low real-world utilization ( Conclusions: A pan-cancer FM onc trained on large-scale RWD generates compact digital patient representations that generalize across diverse downstream clinical tasks. The model demonstrates strong performance in survival-related prediction, cancer classification, and biomarker testing inference.",Dhaval Parmar; Ian Ruchlin; Sharan Thummagunti; Pyeush Gurha; Stephen S. Yip,2026,2026,Journal of Clinical Oncology,10.1200/jco.2026.44.16_suppl.e23012,,https://doi.org/10.1200/jco.2026.44.16_suppl.e23012,journal-article,['crossref'],"['""clinical world model""', '""patient world model""', '""world model"" clinical', '""world model"" patient']",registered,world-model phrase absent from title and abstract,exclude,not_applicable,static_or_isolated_prediction,"Performs static representation learning in cancer care, rather than trajectory simulation or learned control.",include,empirical,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control.",exclude,empirical,no_primary_empirical_evaluation,reviewer_consensus,"A: Only a conference abstract is available, and its evaluations are static downstream tasks rather than dynamics. B: Time-aware representation encoder; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics.",,,,,,
AUD-f1a37b57a6d1,primary_phrase_filter_residual,Development of a Biological Age Model for Rheumatoid Arthritis and Longitudinal Trajectories by Antirheumatic Treatment: A Real-World Observational Study,"Summary Background: Biological age reflects physiological ageing and frequently diverges from chronological age. Patients with rheumatoid arthritis (RA) show accelerated biological ageing; however, existing indicators were developed in general populations and may not capture RA-specific pathology; no RA-specific indicator exists. We aimed to develop a biological age model and evaluate its association with ageing-related outcomes and anti rheumatic treatment.MethodsIn this retrospective observational study using two anonymised hospital-based electronic medical record databases, we included patients with RA aged ≥40 years. A biological age indicator (R-BioAge) was constructed using XGBoost with a Cox proportional hazards objective, incorporating routinely collected features. Models were trained on 60% of patients, validated on 40%, and then compared with Pheno Age and chronological age for all-cause mortality and ageing-related outcomes. Longitudinal changes after anti rheumatic drug initiation were assessed using linear mixed-effects models and group-based trajectory modelling. Findings: A total of 69,914 patients were included in the study. R-BioAge discriminated all-cause mortality better (Harrell's c-index 0·922, 95% CI 0·918–0·925) than the original PhenoAge (0·805, 0·800–0·811), refitted Pheno Age (0·816, 0·810–0·821), and chronological age (0·707, 0·699–0·714), and outperformed them for ageing-related outcomes. Key contributors included serum albumin, red cell distribution width, cumulative glucocorticoid dose, and inflammatory markers. Interleukin-6 inhibitors and abatacept were associated with reduced R-BioAge acceleration. A worsening trajectory of R-BioAge was linked with worse ageing-related outcomes.InterpretationR-BioAge, an RA-specific biological age indicator, showed strong predictive performance for multiple ageing-related outcomes, and its longitudinal trajectory was associated with anti rheumatic treatment and various clinical outcomes. R-BioAge constitutes a potential biomarker of pathological ageing to support risk stratification and treatment decisions in RA.",Shoichiro Inokuchi; Takumi Tajima,2026,2026,Elsevier BV,10.2139/ssrn.7344894,,https://doi.org/10.2139/ssrn.7344894,posted-content,['crossref'],"['""world model"" treatment']",registered,world-model phrase absent from title and abstract,include,empirical,potential_empirical,Fits or validates clinical exposure-response dynamics to support individualized drug dosing.,uncertain,empirical,potential_empirical,"Biomedical state generation or longitudinal response is plausible, but transition learning is not fully explicit.",exclude,empirical,no_learned_dynamics,reviewer_consensus,"A: Longitudinal associations with treatment do not constitute a learned patient-state transition model. B: Risk score with observed longitudinal trends; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics.",,,,,,
AUD-b3bcf559b0b8,primary_medical_filter_residual,Dopamine ramps as a normative consequence of dual-process control,"Midbrain dopamine neurons are thought to implement a temporal difference (TD) reward prediction error (RPE) that updates cached values stored in striatum. This has been challenged by evidence that dopamine “ramps up” to predictable rewards during goal-directed behaviour. Here, we propose that dopamine ramps are RPEs generated by a dual-process learning system in which values inferred using a world model train cached values via the RPE. Ramps arise because efficient training of cached values requires that inferred values contribute to the update target but not the prediction component of the RPE. The model reproduces key dopamine ramp phenomena, including learning dynamics on fast and slow timescales, global updates following changes in reward expectation, transient responses during unexpected state transitions, and sensitivity to state uncertainty manipulations. We therefore argue that dopamine ramps are a signature of interactions between inferred and cached values that revise the traditional dichotomy between model-based and model-free learning.",Luke Priestley; Thomas Akam,2026,2026-06-22,eLife,10.7554/elife.111458,,https://doi.org/10.7554/elife.111458,preprint,['openalex'],"['""world model"" physiology', '""world model"" treatment']",open-access,medical-domain term absent from title and abstract,exclude,not_applicable,wrong_domain,"Addresses general AI systems, not a medical or biomedical state-dynamics system.",include,empirical,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control.",exclude,not_applicable,wrong_domain,reviewer_consensus,"A: The modeled state is an experimental decision environment, not a substantive medical or biomedical system. B: Computational reward-learning model; The modeled system is outside a substantive medical or biomedical state.",,,,,,
