audit_id,stratum,title,reviewer_a_decision,reviewer_a_reason_code,reviewer_a_rationale,reviewer_b_decision,reviewer_b_reason_code,reviewer_b_rationale
AUD-a2362b6cabf5,alternate_dynamics_enriched,Fetal Twin: a mechanistic computational model of fetal physiology for heart-rate-variability biomarker research,exclude,no_learned_dynamics,The fetal simulator is described as a mechanistic computational model rather than a learned or adapted transition model.,include,include_empirical,Runs an adapted fetal physiology simulator under cord-occlusion interventions and evaluates generated trajectories.
AUD-2cc6cfea5438,alternate_dynamics_enriched,Mobility traces and spreading of COVID-19,exclude,no_learned_dynamics,The work attaches literature-derived infection rules to a mobility simulator rather than learning or adapting medical state transitions.,include,include_empirical,Combines mobility and infection dynamics to simulate intervention-dependent COVID-19 trajectories.
AUD-82f6e10de1f4,alternate_dynamics_enriched,Role of health digital twins in oncology drug development - a primer,uncertain,include_review,"The primer centrally synthesizes predictive, intervention-oriented oncology digital twins, but full text is needed to determine whether it is a core medical-world-model review.",exclude,review_not_primary,The review's primary topic is not medical or healthcare world models.
AUD-33a686ae8415,alternate_dynamics_enriched,Structural requirements for intelligent clinical digital twins in feedback-driven care,uncertain,include_review,"The abstract proposes structural requirements for decision-valid clinical digital twins, but its review methodology and scope are not clear.",exclude,no_primary_empirical_evaluation,The record lacks a qualifying primary empirical evaluation of medical world-model capabilities.
AUD-9afa5c092202,phrase_absent_random,Mozambique,exclude,wrong_domain,The country-chapter title provides no indication of a medical dynamics model.,uncertain,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.
AUD-36855051ce31,phrase_absent_random,Application of the woodchuck animal model for the treatment of hepatitis B virus-induced liver cancer,exclude,no_learned_dynamics,The animal-model title does not indicate a learned computational transition or rollout model.,uncertain,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.
AUD-6121d25433ab,phrase_absent_random,The Impact of Low EHR-Continuity on Effect Estimates: Evidence from Two EHR-Medicare Linked Databases,exclude,no_learned_dynamics,The title concerns data-continuity effects on estimates rather than learned temporal simulation.,uncertain,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.
AUD-4ecfb438361f,phrase_absent_random,Guinea-Bissau,exclude,wrong_domain,The country-chapter title provides no indication of a medical dynamics model.,uncertain,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.
AUD-1c5d8413e95f,phrase_absent_random,The Gambia,exclude,wrong_domain,The country-chapter title provides no indication of a medical dynamics model.,uncertain,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.
AUD-da73d883b73b,phrase_absent_random,An Extended Epidemic Model on Interconnected Networks for COVID-19 to Explore the Epidemic Dynamics,exclude,no_learned_dynamics,The proposed network epidemic equations are not described as learned or adapted state-transition dynamics.,include,include_empirical,Evaluates a dynamic epidemic model on Tokyo data and simulates intervention-relevant propagation.
AUD-2d381c43d614,phrase_absent_random,"Patient Data Privacy, Protected Health Information, and Ethics of Real-World Evidence",exclude,review_not_primary,The chapter concerns privacy and ethics of evidence rather than medical world-model methods.,uncertain,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.
AUD-20aba72fa58e,phrase_absent_random,Indonesia,exclude,wrong_domain,The country-chapter title provides no indication of a medical dynamics model.,uncertain,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.
AUD-06020daee0f4,phrase_absent_random,Prelims,exclude,no_primary_empirical_evaluation,The title denotes front matter rather than a primary empirical study.,uncertain,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.
AUD-319773f66d63,phrase_absent_random,An analytical study of the dynamic behavior of Lotka-Volterra based models of COVID-19.,exclude,no_learned_dynamics,The fractional epidemic equations are analytically specified rather than learned or adapted from medical data.,include,include_empirical,Adapts a Lotka-Volterra COVID-19 dynamics model and evaluates simulated trajectories numerically.
AUD-c95fd70c811f,phrase_absent_random,Russian Federation,exclude,wrong_domain,The country-chapter title provides no indication of a medical dynamics model.,uncertain,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.
AUD-b2d23387165b,medical_term_absent_random,Inside insight: decoding how insight emerges from competing world models,exclude,wrong_domain,The mouse study models general insight learning rather than a medical or disease process.,include,include_empirical,Learns latent transitions between competing world models from mouse behavior and evaluates rule-shift dynamics.
