audit_id,route,title,reviewer_a_decision,reviewer_a_corpus_type,reviewer_a_reason_code,reviewer_a_rationale,reviewer_b_decision,reviewer_b_corpus_type,reviewer_b_reason_code,reviewer_b_rationale,final_decision,final_corpus_type,final_reason_code,resolution_route,adjudication_rationale
AUD-33eaf98b7a7b,primary_phrase_filter_residual,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,include,empirical,include_empirical,Data-fitted neural dynamics and closed-loop state-transition evaluation satisfy all empirical criteria.,include,empirical,include_empirical,Data-fitted nonlinear fmri state dynamics; directly evaluated through controlled mood-state transitions and energy rollouts.,include,empirical,include_empirical,reviewer_consensus,A: Data-fitted neural dynamics and closed-loop state-transition evaluation satisfy all empirical criteria. B: Data-fitted nonlinear fmri state dynamics; directly evaluated through controlled mood-state transitions and energy rollouts.
AUD-af3f2d334073,primary_phrase_filter_residual,A Multimodal Foundation Model for Longitudinal Patient Representation and Scalable Insight Generation in Oncology,exclude,empirical,no_future_or_action_evaluation,"Evaluation is limited to prognosis, treatment-benefit ranking, and representation interpretation rather than generated patient-state evolution.",exclude,empirical,no_future_or_action_evaluation,"Longitudinal representation encoder; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics.",exclude,empirical,no_future_or_action_evaluation,reviewer_consensus,"A: Evaluation is limited to prognosis, treatment-benefit ranking, and representation interpretation rather than generated patient-state evolution. B: Longitudinal representation encoder; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics."
AUD-2032d96347c9,primary_phrase_filter_residual,A Neurosymbolic Approach for Constructing Planning Domain Models from Clinical Narratives,include,empirical,include_empirical,The study learns and directly evaluates a probabilistic clinical workflow transition model.,include,empirical,include_empirical,Probabilistic surgical action transitions; directly evaluated through held-out effects next actions and sampled workflows.,include,empirical,include_empirical,reviewer_consensus,A: The study learns and directly evaluates a probabilistic clinical workflow transition model. B: Probabilistic surgical action transitions; directly evaluated through held-out effects next actions and sampled workflows.
AUD-e13ca7993674,primary_phrase_filter_residual,Anatomical Prior-Driven Framework for Autonomous Robotic Cardiac Ultrasound Standard View Acquisition,exclude,empirical,no_learned_dynamics,"The policy is learned, but probe and anatomy transition dynamics are not learned from observed biomedical trajectories.",exclude,empirical,no_learned_dynamics,"Model-free probe-control policy; Sequential behavior is evaluated, but transition dynamics are not learned or data-adapted.",exclude,empirical,no_learned_dynamics,reviewer_consensus,"A: The policy is learned, but probe and anatomy transition dynamics are not learned from observed biomedical trajectories. B: Model-free probe-control policy; Sequential behavior is evaluated, but transition dynamics are not learned or data-adapted."
AUD-84da8977f244,primary_phrase_filter_residual,Applications of Reinforcement Learning for Autonomous Surgical Robotics: A Systematic Review.,exclude,review,review_not_primary,This is a broad surgical-autonomy review; learned transition or rollout models are not the central evidence category.,exclude,review,review_not_primary,Broad surgical rl and autonomy; Learned medical transition or rollout systems are not a central evidence category.,exclude,review,review_not_primary,reviewer_consensus,A: This is a broad surgical-autonomy review; learned transition or rollout models are not the central evidence category. B: Broad surgical rl and autonomy; Learned medical transition or rollout systems are not a central evidence category.
AUD-6b30999a35dc,primary_phrase_filter_residual,Deep Reinforcement Learning for Surgical Robotics with State and Image Information: A Survey,exclude,review,review_not_primary,"The survey centers policy learning and simulator use, not learned medical environment dynamics.",exclude,review,review_not_primary,Broad surgical deep rl; Learned medical transition or rollout systems are not a central evidence category.,exclude,review,review_not_primary,reviewer_consensus,"A: The survey centers policy learning and simulator use, not learned medical environment dynamics. B: Broad surgical deep rl; Learned medical transition or rollout systems are not a central evidence category."
AUD-5b4c2424bdb2,primary_phrase_filter_residual,Dengue hospitalizations in Brazil: Forecasting with climatic and physicians' digital search data under real-world reporting delays.,exclude,empirical,no_future_or_action_evaluation,This is ordinary resource forecasting without an evaluated evolving disease-state or intervention-response simulator.,exclude,empirical,no_future_or_action_evaluation,"Aggregate hospitalization forecasting; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics.",exclude,empirical,no_future_or_action_evaluation,reviewer_consensus,"A: This is ordinary resource forecasting without an evaluated evolving disease-state or intervention-response simulator. B: Aggregate hospitalization forecasting; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics."
AUD-94598ea01630,primary_phrase_filter_residual,Developing a pan-cancer foundation model for digital patient representation and clinical prediction across real-world oncology data.,exclude,empirical,no_primary_empirical_evaluation,"Only a conference abstract is available, and its evaluations are static downstream tasks rather than dynamics.",exclude,empirical,no_future_or_action_evaluation,"Time-aware representation encoder; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics.",exclude,empirical,no_primary_empirical_evaluation,reviewer_consensus,"A: Only a conference abstract is available, and its evaluations are static downstream tasks rather than dynamics. B: Time-aware representation encoder; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics."
AUD-f1a37b57a6d1,primary_phrase_filter_residual,Development of a Biological Age Model for Rheumatoid Arthritis and Longitudinal Trajectories by Antirheumatic Treatment: A Real-World Observational Study,exclude,empirical,no_learned_dynamics,Longitudinal associations with treatment do not constitute a learned patient-state transition model.,exclude,empirical,no_future_or_action_evaluation,"Risk score with observed longitudinal trends; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics.",exclude,empirical,no_learned_dynamics,reviewer_consensus,"A: Longitudinal associations with treatment do not constitute a learned patient-state transition model. B: Risk score with observed longitudinal trends; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics."
AUD-b3bcf559b0b8,primary_medical_filter_residual,Dopamine ramps as a normative consequence of dual-process control,exclude,not_applicable,wrong_domain,"The modeled state is an experimental decision environment, not a substantive medical or biomedical system.",exclude,not_applicable,wrong_domain,Computational reward-learning model; The modeled system is outside a substantive medical or biomedical state.,exclude,not_applicable,wrong_domain,reviewer_consensus,"A: The modeled state is an experimental decision environment, not a substantive medical or biomedical system. B: Computational reward-learning model; The modeled system is outside a substantive medical or biomedical state."
