candidate_id,title,primary_source_url,publication_status,domain,dataset_or_cohort,sample_scale,institution_count,split_strategy,observation_process,missingness,censoring_or_competing_events,state,observation_decoder,action,action_provenance,transition_mechanism,maximum_horizon,rollout_regime,capability_claim,baselines,state_fidelity_metrics,transition_metrics,rollout_stability,action_sensitivity,calibration_and_uncertainty,external_validation,decision_utility,safety_evaluation,statistical_analysis,causal_language,estimand,confounding_strategy,positivity_and_overlap,counterfactual_validation,code_access,weights_access,data_access,preprocessing_reproducibility,randomness,evidence_anchors,appraisal_strengths,appraisal_limitations,source_status,reviewer_confidence
MWM-0013,Agentifying Patient Dynamics within LLMs through Interacting with Clinical World Model,https://arxiv.org/pdf/2605.14723,preprint,EHR; ICU sepsis treatment,MIMIC-IV v2.2 Sepsis-3 cohort; external MIMIC-III,"20,092 ICU stays; 725 sampled held-out episodes for LLM/OPE evaluation; 2,862 MIMIC-III OOD episodes",1 source health system; MIMIC-III is an earlier cohort from the same center,Patient/stay-level 70/20/10 train/validation/test; external cross-dataset MIMIC-III evaluation,"42 demographic, physiologic, laboratory, respiratory, and treatment-history variables aggregated every 4 h from 24 h before to 48 h after sepsis onset","Forward fill; if no prior value, training-set population median; explicit missingness masks enter the GRU","Excludes age <18, ICU stays <24 h, and missing mortality; terminal survival/death used in reward; discharge/death handling beyond this is NI","History-aware latent state from 42 variables, static features, missingness masks, and prior actions","Gaussian next-state mean/variance plus ventilation, SOFA/SIRS consistency, and 90-day mortality heads",Joint 5x5 discrete IV-fluid and vasopressor dose grid,Observed clinician actions for retrospective training/OPE; LLM-proposed candidate actions in simulation,Two-layer GRU with action embedding and diagonal-Gaussian next-state head,4-h next-state transition; 12-step/48-h outcome window and model-based policy rollouts,Next-state model evaluated mainly one step; agent performs multi-step closed-loop rollouts inside the learned simulator; no horizon-stratified free-running fidelity,Counterfactual treatment comparison and closed-loop treatment planning,"Clinician policy; DDQN, AI Clinician, WD3QNE; multiple vanilla LLMs; same LLMs with world-model access; Qwen3-4B backbone",Next-state MAE; ventilation AUC; mortality AUROC/AUPRC; IHM and 24-h vasopressor-requirement AUROC/AUPRC,State MAE 0.316 for selected GRU; outcome AUROC 0.804 and AUPRC 0.663,"NI; no drift, divergence, or constraint-violation curve by rollout horizon","World-model-access and clinical-prior ablations; no action removal, shuffle, dose, or support perturbation test","Gaussian likelihood used, but predictive calibration/coverage and abstention are NI","Retrospective OPE on 2,862 MIMIC-III episodes","DR, WIS, and WPDIS policy-value estimates; guideline adherence and unsafe-action rates; no prospective clinician-use study",Guideline adherence; extreme under/overdosing rules; 241-episode failure analysis manually checked by four emergency-medicine reviewers,"Point estimates and ablations; confidence intervals, significance tests, and repeated-seed analysis NI",Calls simulated alternatives counterfactual treatment responses and treatment-policy optimization,Retrospective value of a learned dynamic treatment policy under OPE; not an identified individual treatment effect,No explicit causal confounding design; relies on retrospective behavior-policy OPE and learned simulator,NI,"Retrospective OPE, guideline rules, and expert failure review; no randomized or quasi-experimental validation",Public GitHub repository reported,NI,Credentialed public MIMIC-IV/MIMIC-III,"Detailed cohort criteria, 4-h aggregation, variables, imputation, action mapping, and hyperparameters",Random 725-episode test sample reported; model/training seeds and repeated runs NI,"pp.1-5 Abstract, Secs.2-3, Tables 1-2; pp.8-9 Sec.5, Tables 3-4; pp.15-18 Apps.C-F, Tables 5-10; pp.23-24 Apps.I-J, Table 11, Figs.7-8","Detailed state/action construction, strong policy baselines, external retrospective cohort, explicit safety metrics and expert-checked failures","High-capability planning claim rests on a learned simulator and OPE; no action-support analysis, causal identification, calibrated uncertainty, prospective validation, or free-running physiology audit",Full arXiv v1 PDF inspected,High
MWM-0040,"CalTwin: Towards Calibrated, Shift-Robust Medical World Models via Fisher-Information Regularisation",https://arxiv.org/pdf/2607.26752,preprint; workshop-oriented feasibility study,ICU physiology; cross-hospital shift,PhysioNet 2019 Sepsis Challenge; eICU-CRD Demo,"PhysioNet: 3,600 Hospital-A subjects plus 1,200 Hospital-B OOD subjects; eICU demo: 2,500+ ICU stays across 20 hospitals",Two PhysioNet hospital systems; 20 eICU demo hospitals,"Three sequential Hospital-A fragments of 1,200, each 1,020 train/180 ID test; first 1,200 Hospital-B subjects OOD; eICU uses three train hospitals and one held-out hospital","Seven hourly vital-sign channels, truncated/padded to 24 steps and standardized per patient",Forward/backward fill; fully missing channels use clinical reference values; EtCO2 dropped for near-total missingness,24-h truncation/padding; discharge/death competing events NI,Linear encoder maps seven vitals to a 32-dimensional latent state,Diagonal-Gaussian next-latent-state prediction plus auxiliary sepsis/mortality classification head,NA,NA,GRUCell latent transition with Fisher-information and confidence-misalignment regularization,23 hourly teacher-forced next-step predictions within 24 h,Teacher forced only; authors explicitly state no closed-loop autoregressive evaluation,Passive next-state forecasting with cross-site robustness and auxiliary-head calibration,No-penalty baseline; FIM-only; CMP-only; combined CalTwin,ID/OOD latent-state MSE by step,Mean next-step latent MSE on ID and held-out-hospital OOD splits,NI; free-running rollout not evaluated,NA,10-bin ECE and reliability diagram for auxiliary binary head; AUROC also reported,Held-out PhysioNet Hospital B and separate eICU-CRD Demo held-out hospital,NA; no clinical decision or downstream policy evaluated,NI,Single seed; no confidence intervals or significance tests,No causal treatment-effect claim,Observed-data next-state prediction and auxiliary outcome calibration under site shift,NA,NA,NA,NI,NI,Public PhysioNet challenge data; open eICU demo,"Detailed channel selection, imputation, fragmentation, architecture, hyperparameters, and seed",Seed 42; single run,"pp.1-4 Abstract and Secs.1-2; pp.4-7 Sec.3; pp.7-10 Sec.4, Tables 1-2, Figs.1-2; pp.11-12 Secs.5-6","Transparent teacher-forcing boundary, true held-out-hospital tests, second dataset, and candid reporting of reversed component rankings","Single seed; auxiliary baseline heads intentionally untrained; small/demo cohorts; no free-running rollout, clinical utility, or imaging validation",Full arXiv v1 PDF inspected,High
MWM-0073,ECG-WM: A Physiology-Informed ECG World Model for Clinical Intervention Simulation,https://arxiv.org/pdf/2605.17580,preprint,ECG physiology; pharmacologic intervention simulation,MIMIC-IV-ECG linked to MIMIC-IV Clinical; ECGRDVQ and ECGDMMLD controlled drug-response datasets; in-house MIMIC-IV-ECG OOD set,"MIMIC: 17,493 patients, 108,980 episodes, 3,090 medications; controlled datasets: 9,443 ECGs from 44 subjects; OOD analysis reports 200 subject-disjoint samples",Multiple source cohorts; exact institution count NI,"Patient-disjoint MIMIC split 13,994/3,499; controlled data 34/9 subjects train/test (reported 8:2); cross-dataset OOD evaluation",12-lead ECG waveform plus patient metadata and medication exposure; acquisition timing varies by dataset,No general missing-data method; explicit single/multiple missing-lead stress tests,NA for paired ECG simulation,VAE latent cardiac state from pre-dose 12-lead ECG,Post-dose 12-lead ECG waveform and 17-label diagnostic-risk proxy,"Medication identity, dose, and administration protocol; candidate drugs proposed by a VLM",Observed pre/post-dose medications for training; model-proposed candidate interventions for simulation,Action-conditioned latent DDPM with cardiac-ODE energy regularization,"One-, two-, and multi-step autoregressive rollouts; exact clinical time horizon NI",Stochastic autoregressive rollout compared with oracle conditioning,Counterfactual drug-response simulation and risk-aware treatment ranking,"DADM, DiffuSETS and other ECG generators; GPT-4o, GPT-5-mini, GPT-3.5 rollout comparisons; no-action ablation NI",Latent and waveform MSE/MAE; ECG morphology/biomarker preservation,"Rollout-vs-oracle latent MSE gap; drug-induced risk Pearson/Spearman correlation, sign agreement, MAE/RMSE","Horizon error, rollout-oracle gap, missing-lead robustness, and prior-mismatch degradation",Distinct candidate-drug simulations and EPK ablation; no shuffled-action/support test,K=3 stochastic samples; mean and variance risk; mean-plus-lambda-SD score with lambda sensitivity; no formal coverage calibration,Train on controlled healthy drug-response data and test on ICU post-Verapamil MIMIC-IV-ECG; additional MIMIC clinical evaluation,Comparative intervention ranking against risk proxy and reported expert-informed preferences; no prospective clinical decision study,"Physiological ODE constraint, hallucination/error audits, missing-lead tests, and graceful-degradation stress test","Correlations and point metrics; confidence intervals, significance tests, and repeated seeds NI",Uses closed-loop counterfactual simulation and personalized treatment language,"Individual post-dose ECG/risk trajectory under candidate drug token, but not causally identified from observational exposure",NI,NI,Observed paired controlled drug-response data and physiological constraints; no target-trial or randomized causal validation of personalized alternatives,Project page public; repository availability NI,NI,MIMIC credentialed; controlled ECG datasets public; in-house OOD subset access NI,Patient linkage and split sizes reported; full medication alignment/preprocessing partially specified,Stochastic K=3 sampling; training seeds/repeated runs NI,"pp.1-5 Abstract, Secs.1-4, Figs.1-2; pp.6-9 Sec.5, Tables 1-4; pp.9-10 Sec.6; pp.13-19 Apps.A-B, Figs.3-9, Tables 5-8","Action-conditioned paired data, patient-disjoint splits, rollout-oracle audit, OOD and corruption tests, physiological constraints, explicit stochastic risk",Counterfactual and treatment-ranking claims exceed causal evidence; risk is a model-derived proxy; exact horizons/support and statistical uncertainty are underreported,Full arXiv v1 PDF inspected,High
MWM-0094,Future Querying: Can LLMs Serve as Implicit Medical World Models?,https://arxiv.org/pdf/2608.23248,preprint,Unstructured EHR/clinical notes,Synthetic Medical Reports; MIMIC-IV discharge summaries and radiology reports,"Synthetic: 3,226 patients, 53,612 queries; MIMIC: 9,733 patients, 164,911 queries",Synthetic NA; MIMIC-IV one source health system,Patient-wise random 80/10/10 train/validation/test,Irregular timestamped longitudinal text reports/notes; history truncated only when tokenized length exceeds 25k,No explicit missingness model; absence of documentation is not modeled,"Synthetic generation ends at cure, death, or timeline bound; MIMIC follow-up limited by available notes/discharge",Patient timeline represented directly as ordered unstructured text,Natural-language answer to a time-indexed future query,NA,NA,Implicit LLM dynamics learned by supervised next-answer likelihood,Queries span 0-1 d through 91+ d,Single-query prediction from observed history; no free-running patient rollout,"Passive, endpoint-agnostic forecasting; implicit medical world model","Open and proprietary general LLMs; BioMistral and MedGemma; off-the-shelf, LoRA, and full fine-tuning",LLM-judge semantic-answer accuracy; no structured physiologic state fidelity,Accuracy across future queries; no trajectory-level or horizon-specific error table,NI,NA,NI; authors list uncertainty/probabilistic judgment as future work,"Two distinct corpora, but no independent institution/geography validation",Potential care planning/resource allocation stated; not empirically evaluated,NI,Point accuracy; manually checked unspecified subset of judge decisions; CIs/significance NI,Counterfactual treatment simulation is mentioned only as a potential downstream use,Observed-future answer prediction from documented history,NA,NA,NA,NI,Open-weight baselines used; study fine-tuned weights access NI,MIMIC-IV credentialed; synthetic/query datasets access NI,Dataset construction algorithm and training protocol described; judge-validation sample details insufficient,Random patient/query sampling and split; seeds NI,"pp.1-4 Abstract and Secs.1-4, Fig.1; pp.5-6 Secs.5.1-5.3, Fig.2; pp.7-8 Secs.5.4-6, Figs.3-4","Large patient-wise test sets, real notes plus synthetic corpus, broad model baselines, and explicit necessary-not-sufficient world-model framing","Single-answer LLM-judge accuracy does not establish coherent dynamics; no calibration, horizon-stratified validity, action modeling, robustness, or clinician benchmark",Full arXiv v1 PDF inspected,High
MWM-0125,MRI Contrast Enhancement Kinetics World Model,https://arxiv.org/pdf/2602.19285,preprint,Dynamic contrast-enhanced MRI,Private abdominal DCE-MRI; public Duke breast DCE-MRI,91 abdominal patients with 1 noncontrast plus 15 enhanced images; 922 Duke breast examinations with 3-4 enhanced time points,At least two cohorts; exact private-site count NI,NI; test time points reportedly rarely occur in training because acquisition times vary,"Sparse, irregularly timed 2D DCE-MRI sequences; abdominal horizon up to 300 s",Unobserved intermediate times are synthetically interpolated in latent space; no missing-image imputation beyond that,NA,Patient-specific latent image representation anchored to a noncontrast MRI template,Contrast-enhanced MRI image at arbitrary requested time,"Contrast injection is fixed context; time is the controllable condition, not a treatment choice",Observed protocol timing; simulated arbitrary query time,Time-conditioned latent diffusion/ControlNet with latent alignment and second-difference smoothness losses,Abdominal sequence within 300 s; breast 3-4 post-injection time points,"Direct time-conditioned generation, not autoregressive free running",Passive continuous contrast-kinetics simulation,"CustomDiff, T2I-Adapter, ContrastControlNet, EditAR, ControlNet; LAL/LDL ablations","PSNR, SSIM, LPIPS, rMSE",Continuous SSIM between adjacent generated frames,Temporal cSSIM and qualitative continuity; no long free-running drift test,NA,NI,Public Duke cohort alongside private abdominal cohort; not frozen cross-site transfer because both are experimental datasets,Potential contrast-free imaging/risk stratification only; no reader or diagnostic-utility study,Claims reduced contrast-agent exposure; no clinical hazard or failure-severity evaluation,Point metrics and ablations; CIs/significance/repeated seeds NI,"Simulates contrast-agent kinetics, not alternative treatment effects",Image trajectory conditional on baseline image and elapsed time,NA,NA,Physiologic smoothness constraint only; no intervention validation,Planned GitHub release stated,NI,Duke public; abdominal cohort private/NI,"Resize/normalization, time format, architecture, losses, and hyperparameters reported; split details NI",Seeds/repeated runs NI,"pp.1-2 Abstract and Sec.1, Figs.1-2; pp.3-5 Sec.3, Fig.3; pp.5-7 Sec.4.1, Table 1; supplementary pp.13-17 qualitative kinetics figures","Two anatomies/cohorts, explicit spatial and temporal metrics, irregular-time conditioning, and targeted ablations","Split and statistical details are incomplete; cSSIM can reward oversmoothing; no uncertainty, clinical reader study, or free-running validation",Full arXiv v1 PDF inspected,High
MWM-0137,OcularWorldSim: A Visual World Model for Ophthalmic Microsurgery With Sim-to-Real Transfer Learning,https://doi.org/10.1109/access.2026.3684562,peer-reviewed journal article,Ophthalmic microsurgery; visual robotics,CATARACTS and CaDIS named in abstract; simulated and clinical surgical data,NI,NI,NI,Surgical video/visual observations; exact sampling NI,NI,NA,Anatomically organized visual state learned by AA-SDiT,Predicted surgical dynamics/visual outputs; exact decoder NI,Surgical control/policy actions implied by clinically guided RL,NI,Anatomically-Aware Spatiotemporal Diffusion Transformer with hierarchical domain adaptation,NI,NI,Action-conditioned ophthalmic simulation and sim-to-real policy learning,NI,Phase-recognition accuracy and CaDIS mIoU reported in abstract,NI,NI,NI,NI,Clinical predictions rated by three ophthalmologists; full protocol NI,Potential computer-assisted intervention; no real procedure outcome reported in accessible abstract,Anatomical plausibility ratings only; hazard/constraint/override metrics NI,NI,No explicit causal estimand in accessible abstract,NI,NI,NI,NI,NI,NI,CATARACTS/CaDIS public status not established from inspected text,NI,NI,IEEE Access publisher/indexed abstract only; full text blocked during retrieval; DOI 10.1109/ACCESS.2026.3684562,Peer-reviewed open-access venue; sim-to-real framing; two named surgical benchmarks and three-ophthalmologist plausibility review,"Full methods/results could not be inspected; abstract metrics do not establish rollout validity, control safety, or reproducibility",Abstract inspected; IEEE full PDF retrieval blocked (HTTP 418),Low
MWM-0154,Reinforcement Learning for Optimal Dialysis Scheduling and Resource Allocation in CKD,https://doi.org/10.1109/iatmsi68868.2026.11465345,peer-reviewed conference paper,Dialysis operations and CKD scheduling,Mendeley hemodialysis sessions archive; UCI CKD,"98,015 sessions from 758 patients; 400 UCI-CKD records",NI,NI,Historical dialysis session logs and CKD records; exact timing/features NI,NI,NI,Masked latent operational/clinical state; exact variables NI,Digital-twin scheduling/resource outcomes; exact outputs NI,Dialysis appointment assignments plus machine/nurse resource allocation,Offline historical logs for pretraining; simulated policy actions in digital twin,Masked-Latent Transformer World Model,NI,Evaluation in calibrated digital-twin simulator; exact rollout regime NI,Closed-loop scheduling and resource planning,PPO and Return-Aligned Decision Transformer,NI,NI,NI,NI,"Simulator described as calibrated, but calibration method/metric NI",NI,"Waiting time, throughput, machine/nurse utilization, constraint violations, and fairness gap",Hard operational/clinical constraints and violation count; exact hazards/severity NI,NI,No patient treatment-effect estimand in accessible abstract,Simulated operational policy value,NI,NI,Digital-twin simulation only; clinical validation NI,NI,NI,Two public datasets reported,NI,NI,IEEE conference indexed abstract only; full text unavailable; DOI 10.1109/IATMSI68868.2026.11465345,"Large session archive, operationally meaningful comparators, fairness and constraint metrics","Full paper inaccessible; simulator calibration, split, dynamics fidelity, clinical constraints, and statistical uncertainty cannot be audited",Abstract inspected; full proceedings PDF unavailable,Low
MWM-0170,Surg-UniWorld: A Unified Surgical World Model with Multimodal Control Experts,https://arxiv.org/pdf/2608.06770,preprint,Laparoscopic surgical video generation,Cholec80-SurgWAM derived from Cholec80,"6,001 clips of 49 frames; 294,049 frames; 573,721 curated masks",Original Cholec80 source setting; exact institution count NI,"Video-disjoint: videos 01-60 train (5,104 clips), videos 71-80 test (897); videos 61-70 unused/NI","49-frame laparoscopic clips at 832x480 with text, first frame, hierarchical masks, edge, depth, and optical flow",Optional controls are explicitly sampled over arbitrary subsets; no clinical missingness,NA,First-frame appearance plus hierarchical instrument/foreground/background mask anchor and modality-specific control tokens,Future surgical video frames,Textual intended surgical action plus optional mask/depth/edge/flow trajectories,"Annotations and automatically derived controls from observed videos, not executed robot commands",Wan2.2 video diffusion with anchor-relative modality experts and stage-wise composition,48 generated future frames from a 49-frame clip,Single video generation conditioned on first frame and full aligned control sequences; not autonomous closed-loop rollout,Controllable action-conditioned surgical video simulation,"LTXV-2B, Wan2.2-5B, Cosmos-H-Predict, SurgSora, Endora, Cosmos-H-Transfer, VACE-Wan2.2, ControlNet-Wan2.2","PSNR, SSIM, LPIPS, FID","FVD; Edge F1, depth SI-RMSE, flow EPE overall and by region",Temporal smoothness loss and FVD; no error-vs-horizon or physical constraint audit,All single/dual/full modality subsets and architectural/control-composition ablations; no action shuffle or plausibility-support test,NI,NI; only Cholec80-derived benchmark,Data augmentation/simulation motivation only; no policy-learning or surgeon task utility,NI; no physical failure or harmful-action evaluation,"Point metrics; CIs, significance tests, and seeds NI",No causal treatment claim,Conditional video distribution under annotated controls,NA,NA,Control adherence to held-out observed video; no real intervention counterfactual,Public project/code page reported,NI,Cholec80 public/controlled by original terms; derived benchmark access via project page NI,"Clip selection, annotations, estimators, split, resolution, controls, and losses described",Control-subset random/biased sampling described; training seeds NI,"pp.1-3 Abstract and Secs.I-III, Table I, Fig.2; pp.3-7 Sec.IV-V.A, Figs.3-4, Table II; pp.8-10 Sec.V.B-D and Sec.VI, Tables III-V, Figs.5-8","Video-disjoint split, large curated benchmark, strong video/control baselines, region-wise control metrics, extensive ablations","Controls expose future masks/depth/flow; no autonomous action generation, external dataset, uncertainty, horizon drift, or physical/clinical safety evidence",Full arXiv v1 PDF inspected,High
MWM-0176,Susagi: A Microbiome World Model,https://europepmc.org/article/PPR/PPR1210623,bioRxiv preprint,Microbiome ecology,Approximately 2 million bacterial community samples; three evaluation microbiomes named only generically in accessible abstract,"~2,000,000 training communities",NI,Zero-shot evaluation stated; exact train/test split NI,Sets of bacterial SSU rRNA gene embeddings; presence/absence representation without abundance,NI,NA,Permutation-invariant set representation of microbial community members,Member-level stability scores and downstream community-level predictions,NA,NA,Permutation-invariant denoising transformer,NI,NI; abstract reports composition-dynamics prediction but no inspectable rollout protocol,Passive microbiome composition-dynamics prediction and in-silico hypothesis generation,Microbial General Model and traditional ML mentioned; exact baselines NI,Classification performance and biological-gradient associations mentioned; exact metrics NI,NI,NI,NA,NI,Zero-shot evaluation across three microbiomes; details NI,Hypothesis generation/design of communities in silico; not evaluated as an intervention policy,NA,NI,No causal intervention claim in accessible abstract,Observed community stability/composition prediction,NA,NA,NA,Public GitHub evaluation code reported,Public Hugging Face weights reported,NI,NI,NI,bioRxiv/Europe PMC indexed abstract only; full PDF retrieval blocked (HTTP 429); DOI 10.64898/2026.05.07.723428,"Very large pretraining corpus, zero-shot framing, public evaluation code and model weights","Full protocol inaccessible; abstract does not establish temporal horizon, rollout, calibration, splits, or dynamics baselines; peripheral to clinical medicine",Abstract inspected; bioRxiv full PDF retrieval blocked,Low
MWM-0207,TwinRL-Onco: A World Model-Empowered Digital Twin Framework with Hierarchical Reinforcement Learning for Venetoclax Resistance Trajectory Prediction and Adaptive Therapy Optimization in Chronic Lymphocytic Leukemia.,https://pubmed.ncbi.nlm.nih.gov/42184194/,peer-reviewed journal article,CLL oncology; adaptive therapy,NI in accessible abstract,NI,NI,NI,Longitudinal treatment history; exact variables/timing NI,NI,Progression within 12 months is modeled; death/dropout handling NI,Variational recurrent state-space digital-twin state,Resistance/progression trajectory and simulated treatment response,"Hierarchical adaptive therapy schedule, including venetoclax-related control",Simulated policy actions; training provenance NI,Variational Recurrent State-Space Model with Monte Carlo rollouts and hierarchical RL,12-month simulated progression prediction,Monte Carlo world-model rollouts; exact teacher-forced/free-running protocol NI,Counterfactual adaptive-therapy optimization and digital-twin planning,DreamerV3 and LSTM-Traj named in abstract,NI,12-month progression AUROC reported as 0.917,NI,NI,Monte Carlo rollouts reported; calibration/coverage NI,NI,Adaptive therapy optimization in silico only,NI,NI,Patient-specific simulated treatment response and optimal adaptive therapy,NI; abstract does not define a causal regime-value or individual treatment-effect estimand,NI,NI,In-silico consistency only; abstract explicitly states clinical validation is needed,NI,NI,NI,NI,Monte Carlo rollouts reported; seeds/repetitions NI,"PubMed/publisher indexed abstract only; full IEEE JBHI text closed; PMID 42184194, DOI 10.1109/JBHI.2026.3696685","Peer-reviewed venue, explicit 12-month target, world-model plus hierarchical-policy comparators, and cautious abstract boundary","Full text inaccessible; cohort, actions, simulator fidelity, causal assumptions, safety, calibration, and external validity cannot be audited",Abstract inspected; full article unavailable/closed access,Low
