"audit_id","title","qc_decision","qc_corpus_type","qc_reason_code","qc_rationale","full_text_anchor","confidence"
"ALT-8803de121c39","[Digital twins in uro-oncology].","exclude","not_applicable","review_scope_too_broad","The review combines tumor reconstruction, virtual pathology, static risk assessment, and surgical 3D twins; learned or adapted transition models with direct dynamics evaluation are not a central evidence category.","Structured abstract, Methods and Results: representative applications include tumor reconstruction, virtual assessment, and patient-specific 3D surgical planning.","high"
"ALT-36a3691f146d","A data-driven Alzheimer's disease progression simulator for retrospective validation and prospective Phase III power design.","include","empirical","learned_multistep_dynamics","SimulAD learns a latent ODE transition over amyloid, tau, MRI, and cognition from longitudinal ADNI data, then evaluates intervention-conditioned multistep trajectories against six Phase III trials and power outcomes.","Primary preprint, Methods and Results: latent ODE with piecewise amyloid-clearance interventions; retrospective simulation of TRAILBLAZER-ALZ2, CLARITY AD, EMERGE, ENGAGE, and GRADUATE I/II.","high"
"ALT-b41d73135078","A digital twin for hospital antimicrobial resistance forecasting and constrained intervention optimisation","include","empirical","action_conditioned_closed_loop_control","Temporal graph and transformer models learn resistance-spread transitions from evolving hospital contact states; branched screening and isolation policies are evaluated by future-state forecasts and within-state action ranking.","Primary preprint, forecasting and intervention experiments: daily contact-network prediction, surveillance stress tests, distribution shifts, and policy branching under shock and superspreader conditions.","high"
"ALT-2f2ac4647872","A Digital Twin Framework for Predictive Modeling and Intervention Optimization in Inflammatory Bowel Disease","exclude","not_applicable","insufficient_primary_evidence","Only a registered IEEE conference record and title were stably inspectable; no extractable methods, learned transition, dataset, or operational dynamics results support 45-field extraction.","IEEE DOI record and Crossref metadata: title and bibliographic registration only; no stable abstract or full methods/results text located.","high"
"ALT-44571950f60c","A digital twin-enhanced decision support system improves time-in-range in type 1 diabetes: a randomized clinical trial.","exclude","not_applicable","hand_specified_mechanistic_dynamics","The glucose transition is a first-principles physiological model personalized once by heuristic adjustment of four parameters, without formal fitting or learned dynamics; the RCT evaluates its forecasts but does not satisfy the learned-transition condition.","Full text, Study devices and interventions and Model structure: three physiological models with four parameters manually adjusted by the study physician; no optimization algorithm was used.","high"
"ALT-b2249eb31bfe","A Model to Assess the Outcomes Associated With Dementia With Lewy Bodies.","exclude","not_applicable","insufficient_primary_evidence","The structured abstract reports estimated annual state-transition probabilities and cohort simulation, but the accessible primary record is too thin to audit model fitting, validation, and the full extraction schema.","PubMed and publisher record, structured abstract only: longitudinal cognitive data, estimated transition probabilities, and a closed-cohort health-state model.","medium"
"ALT-10e1e2640b93","A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks","include","empirical","learned_multistep_dynamics","A conditional GAN learns longitudinal Alzheimer state progression and recursively generates later disease-stage trajectories; future stage outputs are directly compared with held-out longitudinal patient sequences.","Author-hosted full paper, framework and experiments: modular cGAN progression across sequential Alzheimer stages with generated-versus-observed trajectory evaluation.","medium"
"ALT-7637963d5f0f","A multidimensional ODE-based model of Alzheimer's disease progression","exclude","not_applicable","duplicate_publication","This row is the Research Square preprint; the same work has a more complete peer-reviewed journal version and only the final publication should be retained.","Lineage check: preprint DOI 10.21203/rs.3.rs-1903006/v1 matches the later Scientific Reports article DOI 10.1038/s41598-023-29383-5.","high"
"ALT-eb7ba539fd65","A Novel Coupling Model of Physiological Degradation and Emotional State for Prediction of Alzheimer's Disease Progression.","exclude","not_applicable","source_policy_excluded","The article is published in an MDPI journal, which is excluded by the active literature source policy; it is not retained even though it reports coupled temporal prediction.","Publisher and PMC full text identify Brain Sciences as the publication venue; the model couples physiological degradation and emotional-state transition.","high"
"ALT-55f569d2ada1","A unified framework for prediction of liver steatosis dynamics in response to different diet and drug interventions.","exclude","not_applicable","hand_specified_mechanistic_dynamics","The transition is a deliberately minimal, hand-formulated ODE physiology model assembled from lipid flux assumptions and calibrated to studies, rather than a learned or substantively adapted state-transition model.","Primary article, Methods and Discussion: manually formulated ODE lipid-flux structure, parameter estimation in MATLAB, and proposed future use as a disease-progression model.","high"
"ALT-0db7baaf92ff","Advancing Precision Oncology with Digital and Virtual Twins: A Scoping Review.","exclude","not_applicable","source_policy_excluded","The review is published in an MDPI journal, which is excluded by the active literature source policy; its broad oncology scope also mixes static and dynamic twin applications.","PMC full text and DOI identify Cancers as the venue; the review maps diagnosis, therapy, monitoring, and technical credibility across 30 studies.","high"
"ALT-cf23547c69b1","AI-Guided Inference of Morphodynamic Attractor-like States in Glioblastoma.","exclude","not_applicable","source_policy_excluded","The article is published in an MDPI journal and is excluded by source policy; additionally, its neural-ODE flow is inferred from cross-sectional population variation rather than observed longitudinal tumor transitions.","Full text, Methods and Conclusions: BraTS cross-sectional embeddings approximate morphologic continuity; dynamic labels are not a clinically predictive temporal model.","high"
"ALT-99717b78a904","AI-powered in silico twins: redefining precision medicine through simulation, personalization, and predictive healthcare.","include","review","substantive_dynamic_simulator_review","Learned and personalized medical dynamics are central: the review organizes in-silico twins around model layers, simulation engines, feedback loops, disease-progression simulation, treatment optimization, calibration, and validation.","Full text sections: Core components; Simulation of disease progression; Treatment simulation and optimization; Model calibration and personalization; Verification, validation, and uncertainty quantification.","high"
"ALT-f6449fe2d40f","AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting","include","empirical","action_conditioned_closed_loop_control","The model learns coupled renal and cardiovascular latent transitions from MIMIC-IV, validates AKI and blood-pressure trajectories externally, and tests vasopressor-withdrawal counterfactual responses.","Primary preprint, Methods and Results: organ-structured latent states, Indiana University Health external cohort, 12-hour blood-pressure forecasts, and vasopressor withdrawal perturbation.","high"
"ALT-0e16f0063c94","AlzheimerODE: A Knowledge-Guided Generative Model for Alzheimer's Disease Progression","exclude","not_applicable","insufficient_primary_evidence","A proceedings DOI and laboratory publication listing were found, but no stable primary abstract or full methods/results text was available to verify the learned transition, evaluation protocol, or extraction fields.","ACM DOI registration and author laboratory publication page: bibliographic listing only; no inspectable primary methods and results.","high"
