audit_id,route,title,reviewer_a_decision,reviewer_a_corpus_type,reviewer_a_reason_code,reviewer_a_rationale,reviewer_b_decision,reviewer_b_corpus_type,reviewer_b_reason_code,reviewer_b_rationale,final_decision,final_corpus_type,final_reason_code,adjudication_rationale
ALT-f2248af7866f,fresh_alternate_public_search,A Bayesian disease progression model for Major Depressive Disorder,uncertain,uncertain,inaccessible_full_text,Indexed title suggests a Bayesian depression progression model; methods and trajectory evaluation could not be verified.,uncertain,uncertain,inaccessible_full_text,"A relevant title was located, but stable primary text with extractable methods and results was not available for a defensible decision.",exclude,not_applicable,inaccessible_full_text,"The registered pharmacometrics abstract has no accessible stable methods-and-results text, so learned transition fitting and operational trajectory evaluation cannot be verified."
ALT-2f2ac4647872,fresh_alternate_public_search,A Digital Twin Framework for Predictive Modeling and Intervention Optimization in Inflammatory Bowel Disease,uncertain,uncertain,inaccessible_full_text,Indexed title suggests an IBD intervention digital twin; no stable methods and results text was accessible.,uncertain,uncertain,inaccessible_full_text,"A relevant title was located, but stable primary text with extractable methods and results was not available for a defensible decision.",include,empirical,include_empirical,"The study learns multimodal IBD representations and temporal predictors from 10,286 patients, then evaluates biomarker and flare trajectories plus hundreds of patient-specific intervention counterfactuals."
ALT-dc913f452db6,fresh_alternate_public_search,A Hybrid Deep Learning Framework to Predict Alzheimer’s Disease Progression Using Generative Adversarial Networks and Deep Convolutional Neural Networks,exclude,empirical,no_future_or_action_evaluation,Uses GAN augmentation with a convolutional progression classifier; evaluates stage prediction rather than temporal state rollouts.,exclude,not_applicable,no_future_or_action_evaluation,"The study evaluates classification, staging, synthetic augmentation, or isolated prediction rather than operational state dynamics.",exclude,not_applicable,no_future_or_action_evaluation,The GAN supplies augmented images to a convolutional stage classifier; evaluation concerns diagnostic staging rather than future patient-state trajectories or intervention response.
ALT-6fcc7e27909c,fresh_alternate_public_search,A Multimodal Disease Progression Model for Genetic Associations with Disease Dynamics,exclude,empirical,no_future_or_action_evaluation,Models multimodal disease staging and genetic associations; does not directly evaluate future rollout or action response.,uncertain,uncertain,inaccessible_full_text,"A relevant title was located, but stable primary text with extractable methods and results was not available for a defensible decision.",exclude,not_applicable,no_future_or_action_evaluation,"The model infers multimodal disease stage and genetic associations, while the primary text identifies prospective longitudinal forecasting as future work rather than an evaluated capability."
ALT-bc44662f8af7,fresh_alternate_public_search,A tool to measure the impact of inaction toward elimination of hepatitis C: A case study in Korea.,exclude,empirical,no_learned_dynamics,Applies a pre-specified Markov HCV progression simulator; compares elimination policies without fitting transition dynamics.,exclude,not_applicable,no_learned_dynamics,"The simulator is mechanistic, economic, or surrogate-based without a data-fitted transition component meeting the rubric.",exclude,not_applicable,no_learned_dynamics,The HCV tool applies a pre-existing Markov natural-history structure with literature transitions; calibrating historical prevalence inputs does not fit the disease-state transition mechanism evaluated under policy scenarios.
ALT-e973e602f301,fresh_alternate_public_search,AI-Driven Digital Twin Framework for Predictive Healthcare,exclude,review,review_not_primary,Presents a broad predictive-healthcare digital-twin framework; does not substantially synthesize evaluated learned dynamics.,uncertain,uncertain,inaccessible_full_text,"A relevant title was located, but stable primary text with extractable methods and results was not available for a defensible decision.",exclude,not_applicable,review_not_primary,"This book chapter presents a broad predictive-healthcare digital-twin framework, not a substantial synthesis of evaluated learned medical transition or rollout systems."
ALT-cf23547c69b1,fresh_alternate_public_search,AI-Guided Inference of Morphodynamic Attractor-like States in Glioblastoma.,include,empirical,include_empirical,Infers latent glioblastoma morphodynamic attractor dynamics; evaluates perturbation sensitivity and proof-of-concept control.,exclude,not_applicable,no_future_or_action_evaluation,"The study evaluates classification, staging, synthetic augmentation, or isolated prediction rather than operational state dynamics.",include,empirical,include_empirical,"MRI-derived latent states train a neural ODE, and the study directly evaluates generated latent trajectories, perturbation sensitivity, attractor endpoints, and proof-of-concept control toward alternative states."
ALT-0e16f0063c94,fresh_alternate_public_search,AlzheimerODE: A Knowledge-Guided Generative Model for Alzheimer's Disease Progression,uncertain,uncertain,inaccessible_full_text,Indexed title indicates a generative Alzheimer ODE model; primary methods and results were not stably accessible.,uncertain,uncertain,inaccessible_full_text,"A relevant title was located, but stable primary text with extractable methods and results was not available for a defensible decision.",include,empirical,include_empirical,"AlzheimerODE learns continuous-time reaction-diffusion biomarker dynamics from longitudinal neuroimaging and is evaluated on trajectory accuracy, temporal alignment, spatial consistency, and distributional fidelity."
ALT-eefa5c2463e3,fresh_alternate_public_search,An Open Source Patient Simulator for Design and Evaluation of Computer Based Multiple Drug Dosing Control for Anesthetic and Hemodynamic Variables,exclude,empirical,no_learned_dynamics,Uses a hand-specified anesthetic and hemodynamic patient simulator; evaluates controllers without data-learned transition behavior.,exclude,not_applicable,no_learned_dynamics,"The simulator is mechanistic, economic, or surrogate-based without a data-fitted transition component meeting the rubric.",exclude,not_applicable,no_learned_dynamics,"The anesthetic and hemodynamic simulator uses prescribed physiological equations and parameters to test dosing controllers, without a transition component fitted from observed patient dynamics."
ALT-7c951eb38f74,fresh_alternate_public_search,Anticipatory Healthcare Analytics: Inferring Latent Disease Dynamics from Noisy Clinical Observations,exclude,not_applicable,no_primary_empirical_evaluation,Proposes a conceptual latent-state healthcare analytics framework; provides no defensible empirical dynamics evaluation.,include,empirical,include_empirical,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",exclude,not_applicable,no_primary_empirical_evaluation,The article demonstrates latent-state recovery only on constructed numerical examples; it does not fit or evaluate the proposed transition model on observed clinical or biomedical trajectories.
ALT-6236c0921f50,fresh_alternate_public_search,Application of Hidden Markov Model to Identify Disease Progression Process in Medical Research,exclude,review,review_not_primary,Describes hidden Markov disease progression methodology; does not report a separately extractable primary dynamics study.,exclude,not_applicable,no_primary_empirical_evaluation,The record lacks a complete primary empirical evaluation sufficient to verify eligible dynamics and results.,exclude,not_applicable,review_not_primary,The article is a methodological overview of hidden Markov disease-progression applications and reports no separately extractable primary learned-dynamics experiment.
ALT-7c5ab8c52279,fresh_alternate_public_search,"Artificial Intelligence, LLM-based generation of synthetic patients with Parkinson’s Disease: towards a digital twin paradigm for in silico studies",include,empirical,include_empirical,Fine-tunes an LLM to generate longitudinal Parkinson records; tests trajectory fidelity and downstream in-silico trial utility.,exclude,not_applicable,no_future_or_action_evaluation,"The study evaluates classification, staging, synthetic augmentation, or isolated prediction rather than operational state dynamics.",include,empirical,include_empirical,"A fine-tuned LLM generates complete longitudinal Parkinson records from PPMI data, with temporal fidelity checked through ten-year progression fits, visual predictive checks, specialist review, and in-silico trial analyses."
ALT-e86bc8b02c40,fresh_alternate_public_search,Building digital twins of the human immune system: toward a roadmap.,exclude,review,review_not_primary,Outlines a roadmap for immune digital twins; does not substantially synthesize learned transition evaluations.,include,review,include_review,Substantially synthesizes medical dynamic twins or closely equivalent learned simulation systems and their evaluation.,exclude,not_applicable,review_not_primary,This perspective proposes a staged roadmap for future immune-system twins; it does not substantially synthesize empirical evaluations of learned transition or rollout models.
ALT-744dce1205a8,fresh_alternate_public_search,Challenges of Digital Twin in healthcare,exclude,review,review_not_primary,Surveys general healthcare digital-twin challenges; learned medical dynamics are not a central evidence category.,uncertain,uncertain,inaccessible_full_text,"A relevant title was located, but stable primary text with extractable methods and results was not available for a defensible decision.",exclude,not_applicable,review_not_primary,The chapter surveys general healthcare digital-twin challenges rather than making evaluated learned medical dynamics a central evidence category.
ALT-3062c794c4e1,fresh_alternate_public_search,Current progress of digital twin construction using medical imaging.,include,review,include_review,Reviews imaging-based construction of dynamic medical twins; synthesizes simulation prediction and treatment-planning methods.,exclude,not_applicable,review_not_primary,"This review, viewpoint, or meeting report does not substantially synthesize evaluated learned medical dynamic simulators.",include,review,include_review,"This PRISMA-informed review systematically classifies medical-imaging digital twins and substantially synthesizes time-series learning, neural ODEs, predictive simulation, treatment-response modeling, and real-time updating across organ systems."
ALT-9a315a53cb0a,fresh_alternate_public_search,Design of high-performance digital twins to enhance magnetic resonance imaging patient positioning,exclude,empirical,no_learned_dynamics,Builds a geometric MRI positioning twin; does not establish learned temporal medical-state transitions.,exclude,not_applicable,no_future_or_action_evaluation,"The study evaluates classification, staging, synthetic augmentation, or isolated prediction rather than operational state dynamics.",exclude,not_applicable,no_future_or_action_evaluation,"The digital twin optimizes MRI patient positioning and scanner workflow; it does not evaluate learned evolution of a patient, physiological, or clinical state."
ALT-beb122ebb1f2,fresh_alternate_public_search,Development of the simulation-based German albuminuria screening model (S-GASM) for estimating the cost-effectiveness of albuminuria screening in Germany.,exclude,empirical,no_learned_dynamics,Uses an evidence-parameterized kidney screening simulator; compares screening scenarios without fitted transition dynamics.,exclude,not_applicable,no_learned_dynamics,"The simulator is mechanistic, economic, or surrogate-based without a data-fitted transition component meeting the rubric.",exclude,not_applicable,no_learned_dynamics,"S-GASM is a health-economic microsimulation whose disease transitions are supplied from published sources and assumptions, not learned or calibrated as transition behavior from observed trajectories."
