candidate_id,final_decision,final_corpus_type,final_reason_code,adjudication_rationale
MWM-0012,include,empirical,include_empirical,"The deployed health-and-wellness system learns affective-state dynamics for clinical users and evaluates offline rollouts, so full text should determine the medical-scope boundary."
MWM-0027,exclude,not_applicable,static_prediction,"The recurrent latent steps refine a single CT segmentation rather than model an evolving patient, observation, or procedural environment."
MWM-0036,uncertain,uncertain,uncertain,"No abstract is available; full text is required to verify empirical multiscale health-state dynamics."
MWM-0059,exclude,not_applicable,no_world_model_dynamics,"The model generates colonoscopy video with geometric constraints but is described only as a foundation toward a future colorectal world model."
MWM-0060,exclude,not_applicable,wrong_domain,"The study models biological predictive processing in neural circuits rather than a medical or healthcare system."
MWM-0070,exclude,not_applicable,no_empirical_evaluation,"The parent-infant co-regulation work is a theoretical multi-agent computational model without medical-data evaluation."
MWM-0077,uncertain,empirical,uncertain,"The abstract reports time-conditioned ocular-state transitions but omits evaluation details needed to establish core empirical eligibility."
MWM-0090,uncertain,uncertain,uncertain,"No abstract is available to distinguish an empirical surgical world model from a perspective or review."
MWM-0093,exclude,not_applicable,review_not_primary,"This is bridge methodology on intervention-aware disease-trajectory modeling, not a review primarily of medical world models."
MWM-0111,uncertain,uncertain,uncertain,"No abstract is available to determine whether the prognostic engine models longitudinal dynamics or only static outcomes."
MWM-0135,include,empirical,include_empirical,"The work empirically evaluates a world-model agent in antimicrobial-resistance and sepsis treatment environments; full text should assess data provenance and stability."
MWM-0172,exclude,not_applicable,review_not_primary,"The survey covers surgical video generation broadly, with world modeling as one of three categories, so it belongs in the bridge corpus."
MWM-0175,include,empirical,include_empirical,"The benchmark explicitly evaluates future instrument motion, surgical-state dynamics, continuous rollout stability, and perturbation robustness."
MWM-0183,uncertain,uncertain,uncertain,"The truncated abstract suggests intervention-conditioned bioprocess dynamics, but full text is needed to establish empirical evaluation and biomedical-scope fit."
MWM-0257,exclude,not_applicable,no_world_model_dynamics,"The paper benchmarks zero-shot outputs from a general video generator and does not train or adapt a medical dynamics model."
MWM-0261,include,empirical,include_empirical,"The study learns physiological-state dynamics and reports multi-step rollout performance on a real affective-computing dataset."
MWM-0263,include,empirical,include_empirical,"This is the canonical indexed conference publication of the empirically evaluated tumor-evolution Medical World Model."
MWM-0264,exclude,not_applicable,duplicate_publication,"This arXiv record is the preprint lineage of the canonical conference publication MWM-0263."
MWM-0288,exclude,not_applicable,duplicate_publication,"This conference record is an earlier publication lineage of the expanded endovascular world-model study."
MWM-0289,exclude,not_applicable,no_empirical_evaluation,"The article is a conceptual position on pharmaceutical world models and reports no primary model evaluation."
MWM-0295,exclude,not_applicable,wrong_domain,"The computational neuroscience study concerns cortico-cerebellar learning mechanisms rather than a medical world-model system."
MWM-0305,exclude,not_applicable,no_empirical_evaluation,"A generative world model supplies augmentation, but the paper evaluates constrained policy learning rather than the model's transition or rollout validity."
MWM-0345,exclude,not_applicable,wrong_domain,"The fMRI study analyzes human reinforcement-learning signals and does not evaluate a medical world model."
MWM-S001,exclude,not_applicable,static_prediction,"EchoJEPA evaluates predictive representation transfer and robustness but does not report future-state rollout, action-response simulation, or planning."
