candidate_id,title,abstract,authors,year,publication_date,venue,doi,arxiv_id,url,record_type,sources,query_labels,source_status,reviewer_a_decision,reviewer_a_reason_code,reviewer_a_dynamics,reviewer_a_evaluation,reviewer_a_lineage,reviewer_a_full_text_url,reviewer_b_decision,reviewer_b_reason_code,reviewer_b_dynamics,reviewer_b_evaluation,reviewer_b_lineage,reviewer_b_full_text_url,final_decision,final_corpus_type,final_reason_code,resolution_route,adjudication_rationale
MWM-0008,A World Model of Radiologist Reading for Medical Image Representation Learning,"Radiologist eye-tracking data provide a rich record of how experts search, compare, and accumulate evidence during image reading; yet, existing methods exploit this signal only partially, either as a static spatial prior or as an auxiliary prediction target decoupled from diagnosis. We propose GazeWorld, a medical imaging world model that treats the image as the world and the radiologist's fixation sequence as a trajectory through it. GazeWorld autoregressively predicts the latent representation of the next fixated patch from all previously visited ones, while a spatial-completion branch covers unvisited regions. At inference, GazeWorld generates a sequence of patch representations from the image alone without requiring real gaze data. Frozen GazeWorld features achieve state-of-the-art diagnostic accuracy across all nine supervised settings on CheXpert, RSNA Pneumonia, and SIIM-ACR Pneumothorax, as well as the highest zero-shot accuracy on all three benchmarks. On the GazeSearch benchmark, a generic decoder trained on the same frozen features outperforms the purpose-built LogitGaze-Med by over 16\% in ScanMatch and 22\% in SED, despite not being explicitly trained to predict gaze. GazeWorld demonstrates that modeling how experts read, not just what they conclude, offers a promising pretraining paradigm for medical imaging AI.",Yiwei Li; Zihao Wu; Huaqin Zhao; Yifan Zhou; Chao Cao; Dajiang Zhu; Tianming Liu; Lin Zhao,2026,2026-05-17,arXiv (Cornell University),,2605.23992,https://arxiv.org/abs/2605.23992,preprint,openalex,"""world model"" clinical;""world model"" patient",open-access,include,include_empirical,Autoregressively predicts the next fixated image-patch representation along radiologist gaze trajectories.,"GazeSearch evaluates generated gaze sequences with ScanMatch and string-edit distance, with additional imaging probes.",Single identified arXiv preprint.,https://arxiv.org/pdf/2605.23992,include,include_empirical,Autoregressively predicts the next gaze-ordered radiograph patch representation and completes unvisited regions.,Tests trajectory information on GazeSearch scanpath metrics and reports diagnostic transfer on three external datasets.,Distinct GazeWorld study; no duplicate record identified.,https://arxiv.org/abs/2605.23992,include,empirical,include_empirical,reviewer_consensus,A: The medical gaze-transition model has direct sequence-level evaluation of its predicted reading trajectories. B: A learned radiologist-reading trajectory model is empirically tested for scanpath fidelity and medical-image utility.
MWM-0011,Action-Conditioned World Model for Goal Plane Probe Guidance in Robotic Ultrasound,"We present an action-conditioned world model framework for goal plane probe guidance in robotic ultrasound, with a focus on neck ultrasound scanning. Autonomous ultrasound tasks often require large numbers of probe-motion trajectories for training, but collecting high-quality demonstrations is labor-intensive and explicit simulators are difficult to build because ultrasound appearance depends on contact, tissue deformation, and view-dependent acoustic artifacts. We address this problem with a two-stage model-based learning pipeline. First, a latent conditional diffusion world model predicts future ultrasound observations from recent context frames, probe motions and temporal offset. Second, a goal-conditioned temporal transformer predicts ordered probe motions and is fine-tuned using rewards from the frozen world model. Experiments on the self-collected dataset show that the world model preserves action-dependent anatomical structure on target-directed scans. In real-world closed loop experiments, the framework achieves success rates of 70.0\% for carotid guidance and 65.0\% for thyroid guidance. These results demonstrate the potential of learned ultrasound dynamics for training goal-directed robotic probe navigation.",Siqi Fan; Mingcong Chen; Ran Liu; Zixuan Yang; Xiaoyu Fu; Xiaoqing Gao; Yunhui Liu; Hongbin Liu,2026,2026-07-24,arXiv (Cornell University),,2607.21918,https://arxiv.org/abs/2607.21918,preprint,openalex,"""world model"" echocardiography;""world model"" medicine;""world model"" patient;""world model"" physiology",open-access,include,include_empirical,Learns action-conditioned ultrasound observation transitions for probe movements toward target planes.,Future-frame fidelity and closed-loop probe-guidance errors are evaluated on robotic ultrasound data.,Single identified arXiv preprint.,https://arxiv.org/pdf/2607.21918,include,include_empirical,"Predicts future ultrasound observations from recent frames, probe motion, and temporal offset.","Assesses action-dependent anatomy and closed-loop robot guidance, with 70% carotid and 65% thyroid success.",Distinct robotic-ultrasound study; no duplicate record identified.,https://arxiv.org/abs/2607.21918,include,empirical,include_empirical,reviewer_consensus,A: The model learns and directly evaluates action-conditioned medical-image dynamics for control. B: The action-conditioned observation model is evaluated directly and through real closed-loop control.
MWM-0012,Affective Music Recommendation: A Rollout-Based World Model for Offline Preference Optimization,"Functional music applications, from consumer focus and sleep aids to clinical interventions, share a distinctive recommendation problem: success is defined by the listener's affective state, but online experimentation on emotion is ethically constrained, particularly for clinical populations who cannot reliably skip a song or report distress. We describe AMRS, the Affective Music Recommendation System deployed on LUCID's health-and-wellness platforms, which serve clinical users (primarily older adults with neurocognitive conditions) and consumer-wellness users across energize, focus, calm, and sleep modes. AMRS is built around a rollout-based world model: a causal transformer trained on logged listening data to jointly predict engagement, binary rating, and self-reported valence and arousal. The world model serves both as an in-silico simulator for offline policy training and as a stress-testing tool before deployment. A recommender policy initialized by behaviour cloning is fine-tuned offline with Direct Preference Optimization (DPO) against a configurable multi-objective utility function. Under a strict cold-start protocol, the world model predicts both behavioural and affective signals with usable fidelity; DPO improves predicted valence and arousal over the cloned baseline while maintaining a similar diversity profile and avoiding the distributional collapse produced by greedy optimization. We position the work as an early deployed validation of a methodology for affective recommendation when online experimentation is ethically untenable.",Audrey Chan; Aaron Labbe; Jacob Lavoie; Jordan Bannister; Arsène Fansi Tchango; Guillaume Lajoie; Laurent Charlin,2026,2026-05-27,arXiv (Cornell University),10.48550/arxiv.2605.28810,2605.28810,https://arxiv.org/abs/2605.28810,preprint,openalex,"""world model"" clinical;""world model"" medicine;""world model"" patient;""world model"" treatment",open-access,exclude,wrong_domain,Models sequential listener preference dynamics for music recommendation.,"Rollout-based recommendation performance is evaluated, but the environment is non-medical.",Single identified arXiv preprint.,https://arxiv.org/pdf/2605.28810,include,include_empirical,"A causal transformer rolls forward engagement, rating, valence, and arousal under candidate song recommendations.","Reports cold-start feedback prediction, five-song simulated rollouts, counterfactual stress tests, and policy comparisons.",Distinct affective-health recommendation study; no duplicate record identified.,https://arxiv.org/abs/2605.28810,include,empirical,include_empirical,third_adjudication,The system is deployed on health-and-wellness platforms serving clinical populations and directly evaluates affective-state rollouts and offline policy optimization; retain as a peripheral clinical application.
MWM-0013,Agentifying Patient Dynamics within LLMs through Interacting with Clinical World Model,"Sepsis management in the ICU requires sequential treatment decisions under rapidly evolving patient physiology. Although large language models (LLMs) encode broad clinical knowledge and can reason over guidelines, they are not inherently grounded in action-conditioned patient dynamics. We introduce SepsisAgent, a world model-augmented LLM agent for sepsis treatment recommendation. SepsisAgent uses a learned Clinical World Model to simulate patient responses under candidate fluid--vasopressor interventions, and follows a propose--simulate--refine workflow before committing to a prescription. We first show that world-model access alone yields inconsistent LLM decision performance, motivating agent-specific training. We then train SepsisAgent through a three-stage curriculum: patient-dynamics supervised fine-tuning, propose--simulate--refine behavior cloning, and world-model-based agentic reinforcement learning. On MIMIC-IV sepsis trajectories, SepsisAgent outperforms all traditional RL and LLM-based baselines in off-policy value while achieving the best safety profile under guideline adherence and unsafe-action metrics. Further analysis shows that repeated interaction with the Clinical World Model enables the agent to learn regularities in patient evolution, which remain useful even when simulator access is removed.",Minghao Wu; Yuting Yan; Zhenyang Cai; Ke Ji; Chuangsen Fang; Ziying Sheng; Xidong Wang; Rongsheng Wang; Hejia Zhang; Shuang Li; Benyou Wang; Hongyuan Zha,2026,2026-05-14,arXiv (Cornell University),10.48550/arxiv.2605.14723,2605.14723,https://doi.org/10.48550/arxiv.2605.14723,preprint,openalex,"""clinical world model"";""world model"" clinical;""world model"" patient;""world model"" physiology;""world model"" treatment",open-access,include,include_empirical,Learns a clinical world model that simulates patient-state trajectories under treatment actions.,"Sepsis treatment policies are evaluated with clinical outcome, off-policy, and safety measures on EHR data.",Single identified arXiv preprint.,https://arxiv.org/pdf/2605.14723,include,include_empirical,Learns patient-state transitions under fluid and vasopressor actions for propose-simulate-refine reasoning.,"Reports transition MAE, outcome discrimination, off-policy value, guideline adherence, and unsafe-action results.",Distinct SepsisAgent study; no duplicate record identified.,https://arxiv.org/abs/2605.14723,include,empirical,include_empirical,reviewer_consensus,A: Learned patient dynamics are used and evaluated for clinical treatment planning. B: Both the clinical dynamics simulator and world-model-assisted treatment policy are tested.
MWM-0018,Arti-JEPA: Adapting Video World Model to Real-Time MRI of the Vocal Tract for Speech-Production Analysis,"Real-time MRI (rtMRI) captures the dynamics of the entire vocal tract during speech, but labeled data are scarce and the modality - single-slice, grayscale, low-resolution - differs substantially from the natural videos that video foundation models are trained on. We introduce Arti-JEPA, a joint embedding predictive architecture to model vocal tract rtMRI by continuing its self-supervised objective on about 62h of unlabelled vocal-tract videos, and evaluate the frozen representation on three tasks: cross-domain phoneme prediction (on typical speakers), fluent-vs-disfluent classification (a corpus containing stuttered speech), and characterizing pre/post-operative transfer (after partial glossectomy). Three key findings emerge. (1) A temporal video prior decisively outperforms per-frame image encoders, and latent prediction (V-JEPA) is at least as strong as pixel reconstruction (VideoMAE), with the edge on fine-grained phonemes. (2) Domain adaptation is \emph{task-dependent}: it roughly doubles cross-domain phoneme prediction $κ$ (to 0.352) but does not help binary stuttering classification. (3) Arti-JEPA was able to recover phoneme signal from pre/post glossectomy speech --- an in-domain probe decodes patients at least as well as a typical speaker, indicating that the residual transfer gap is cross-speaker/domain misalignment, not surgical signal loss, and post-operative decoding does not fall below performance on pre-operative speech. Together, these position a frozen, domain-adapted rtMRI encoder as a reusable measurement tool for articulatory and clinical speech science.",Hong Nguyen; Sean Foley; Christina Hagedorn; Yijing Lu; Sudarsana Reddy Kadiri; Dani Byrd; Shrikanth Narayanan,2026,2026-09-09,arXiv (Cornell University),10.48550/arxiv.2609.09757,,https://doi.org/10.48550/arxiv.2609.09757,preprint,openalex,"""world model"" clinical;""world model"" patient",open-access,include,include_empirical,Adapts a video predictive architecture to autoregressively roll out future latent vocal-tract MRI states.,Latent rollout error and sensitivity to audio conditioning are measured over future articulatory states.,Single identified arXiv preprint.,https://arxiv.org/pdf/2609.09757,include,include_empirical,Adapts a video JEPA to vocal-tract dynamics and tests an audio-conditioned future-latent rollout extension.,Reports teacher-forced versus autoregressive rollout errors and audio-shuffling tests; the conditioned rollout result is negative.,Distinct Arti-JEPA study; no duplicate record identified.,https://arxiv.org/abs/2609.09757,include,empirical,include_empirical,reviewer_consensus,"A: The study directly evaluates learned future-state rollouts in real-time physiological MRI. B: The medical rtMRI dynamics capability is directly evaluated, including a documented negative rollout result."
MWM-0032,BLINK: Behavioral Latent Modeling of NK Cell Cytotoxicity,"Machine learning models of cellular interaction dynamics hold promise for understanding cell behavior. Natural killer (NK) cell cytotoxicity is a prominent example of such interaction dynamics and is commonly studied using time-resolved multi-channel fluorescence microscopy. Although tumor cell death events can be annotated at single frames, NK cytotoxic outcome emerges over time from cellular interactions and cannot be reliably inferred from frame-wise classification alone. We introduce BLINK, a trajectory-based recurrent state-space model that serves as a cell world model for NK-tumor interactions. BLINK learns latent interaction dynamics from partially observed NK-tumor interaction sequences and predicts apoptosis increments that accumulate into cytotoxic outcomes. Experiments on long-term time-lapse NK-tumor recordings show improved cytotoxic outcome detection and enable forecasting of future outcomes, together with an interpretable latent representation that organizes NK trajectories into coherent behavioral modes and temporally structured interaction phases. BLINK provides a unified framework for quantitative evaluation and structured modeling of NK cytotoxic behavior at the single-cell level.",Iman Nematollahi; Jose Francisco Villena-Ossa; Alina Moter; Kiana Farhadyar; Gabriel Kalweit; Abhinav Valada; Toni Cathomen; Evelyn Ullrich; Maria Kalweit,2026,2026-03-05,arXiv (Cornell University),,2603.05110,http://arxiv.org/abs/2603.05110,preprint,openalex,"""world model"" medicine;""world model"" patient",open-access,include,include_empirical,Learns latent temporal transitions for NK-cell behavior and autoregressively forecasts future cellular states.,Thirty-frame latent rollout forecasting is evaluated against observed cytotoxicity sequences.,Single identified arXiv preprint.,https://arxiv.org/pdf/2603.05110,include,include_empirical,"Learns sequential latent NK-cell interaction dynamics, optionally conditioned on NK motion.","Evaluates full-trajectory rollouts and 30-frame future-outcome forecasts with MAE, RMSE, and correlation.",Distinct BLINK study; no duplicate record identified.,https://arxiv.org/abs/2603.05110,include,empirical,include_empirical,reviewer_consensus,A: The biomedical cell-dynamics model is directly evaluated on long-horizon forecasts. B: The cellular dynamics model is directly tested on free-running and future-outcome prediction.
MWM-0034,Brain-WM: Brain Glioblastoma World Model,"Precise prognostic modeling of glioblastoma (GBM) under varying treatment interventions is essential for optimizing clinical outcomes. While generative AI has shown promise in simulating GBM evolution, existing methods typically treat interventions as static conditional inputs rather than dynamic decision variables. Consequently, they fail to capture the complex, reciprocal interplay between tumor evolution and treatment response. To bridge this gap, we present Brain-WM, a pioneering brain GBM world model that unifies next-step treatment prediction and future MRI generation, thereby capturing the co-evolutionary dynamics between tumor and treatment. Specifically, Brain-WM encodes spatiotemporal dynamics into a shared latent space for joint autoregressive treatment prediction and flow-based future MRI generation. Then, instead of a conventional monolithic framework, Brain-WM adopts a novel Y-shaped Mixture-of-Transformers (MoT) architecture. This design structurally disentangles heterogeneous objectives, successfully leveraging cross-task synergies while preventing feature collapse. Finally, a synergistic multi-timepoint mask alignment objective explicitly anchors latent representations to anatomically grounded tumor structures and progression-aware semantics. Extensive validation on internal and external multi-institutional cohorts demonstrates the superiority of Brain-WM, achieving 91.5% accuracy in treatment planning and SSIMs of 0.8524, 0.8581, and 0.8404 for FLAIR, T1CE, and T2W sequences, respectively. Ultimately, Brain-WM offers a robust clinical sandbox for optimizing patient healthcare. The source code is made available at https://github.com/thibault-wch/Brain-GBM-world-model.",Chenhui Wang; Boyun Zheng; Liuxin Bao; Zhihao Peng; Peter Y. M. Woo; Hongming Shan; Yixuan Yuan,2026,2026-03-08,arXiv (Cornell University),10.48550/arxiv.2603.07562,2603.07562,http://arxiv.org/abs/2603.07562,preprint,openalex,"""world model"" clinical;""world model"" patient;""world model"" treatment",open-access,include,include_empirical,Generates treatment-conditioned future glioblastoma MRI states within a brain world model.,Future MRI similarity and treatment-planning performance are evaluated on longitudinal clinical imaging.,Single identified arXiv preprint.,https://arxiv.org/pdf/2603.07562,include,include_empirical,Jointly autoregresses treatment choices and generates future multimodal glioblastoma MRI states.,Reports treatment accuracy and future-image SSIM on internal and external cohorts.,Distinct Brain-WM study; separate from other glioma model papers in the set.,https://arxiv.org/abs/2603.07562,include,empirical,include_empirical,reviewer_consensus,A: The model directly evaluates intervention-conditioned tumor evolution and its planning use. B: Treatment-conditioned tumor evolution and planning outputs are directly evaluated.
MWM-0040,"CalTwin: Towards Calibrated, Shift-Robust Medical World Models via Fisher-Information Regularisation","Medical world models aim to learn a latent state of patient or organ physiology and a transition function that forecasts how that state evolves under interventions, supporting downstream tasks from imaging-based diagnosis to digital-twin treatment planning. Two failure modes threaten the reliability of such models in clinical deployment: (i)~\emph{covariate shift}, because training data are fragmented across hospitals, scanners, and time, so the feature distribution seen by the latent-dynamics predictor differs across fragments and from the distribution at deployment; and (ii)~\emph{confidence misalignment}, because multi-step forecasts are often overconfident exactly where clinical risk is highest. We argue that both problems admit a unified treatment via a single lightweight regularisation objective, \textbf{CalTwin}, which combines a Fisher-Information-based shift penalty adapted from our prior work on fragmented covariate-shift remediation~\cite{khan2025mitigating,khan2025causal} with a Confidence Misalignment Penalty adapted from our prior work on calibrated vision-language classification~\cite{khan2025confidence}, applied here to a GRU-based medical world model's latent transition predictor. We derive the combined objective, establish which proof steps transfer from the classification setting without modification and which require adaptation, and evaluate it on the PhysioNet 2019 Sepsis Challenge, treating the two hospital systems as sequential training fragments and the unseen system as an out-of-distribution test. CalTwin reduces OOD next-step latent-state MSE by 9.1\% relative to the no-penalty baseline (FIM penalty alone accounts for 7.0\%); the ECE reduction from the Confidence Misalignment Penalty is real but small (0.7\% for CalTwin, 1.3\% for CMP alone).",Behraj Khan; Shabir Ahmad; Syed Ahmad Chan Bukhari; Tahir Qasim Syed,2026,2026-07-29,arXiv (Cornell University),10.48550/arxiv.2607.26752,2607.26752,https://arxiv.org/abs/2607.26752,preprint,openalex,"""medical world model"";""world model"" EHR;""world model"" clinical;""world model"" medicine;""world model"" patient;""world model"" physiology;""world model"" treatment",open-access,include,include_empirical,Learns a calibrated latent patient-state transition predictor with shift regularization.,Next-state MSE and calibration are reported across a 23-step clinical sequence evaluation.,Single identified arXiv preprint.,https://arxiv.org/pdf/2607.26752,include,include_empirical,Regularizes a GRU latent transition predictor for hospital shift robustness and confidence alignment.,Directly compares next-step latent-state MSE and calibration across in-distribution and out-of-distribution hospitals.,Distinct CalTwin study; no duplicate record identified.,https://arxiv.org/abs/2607.26752,include,empirical,include_empirical,reviewer_consensus,A: The explicitly interpreted medical dynamics model has direct future-state accuracy and calibration evaluation. B: The learned clinical transition capability is directly evaluated under distribution shift.
MWM-0042,"Can Pharmaceutical World Models Become Scientific Instruments? A State-of-the-Art Review of Simulation, Reasoning, and Validation","Artificial intelligence is increasingly used to represent molecules, predict properties, generate candidates, infer biological states, plan syntheses, and coordinate experimental tools. These capabilities have encouraged the broader idea of a pharmaceutical world model: a computational system intended to represent relevant scientific states, anticipate how interventions alter those states over time, and support reasoning about downstream consequences. However, the evidentiary conditions under wh",Andreas Müller; Stefan Weber; Julia Hoffmann; Lukas Schneider; Tobias Klein,2026,2026-01-01,Pharmacophore,10.51847/hn9ejvqjoc,,https://doi.org/10.51847/hn9ejvqjoc,article,openalex,"""world model"" clinical;""world model"" medicine;""world model"" patient;""world model"" treatment",open-access,include,include_review,"Defines pharmaceutical world models and organizes simulation, reasoning, intervention, and validation capabilities.","Synthesizes validation evidence, readiness criteria, limitations, and translation requirements across the field.",Single peer-reviewed review article; no duplicate candidate identified.,https://doi.org/10.51847/hn9ejvqjoc,include,include_review,"Not applicable; the article defines pharmaceutical world models around persistent state, interventions, simulation, and reasoning.",Synthesizes component evidence and proposes validation requirements for scientific-instrument use.,Distinct review article; no duplicate record identified.,https://doi.org/10.51847/hn9ejvqjoc,include,review,include_review,reviewer_consensus,A: Medical and pharmaceutical world models are the review’s primary topic and receive a structured evidence synthesis. B: Pharmaceutical world models are the primary topic and the article supplies a field definition and validation framework.
MWM-0046,ChronoMedicalWorld: A Medical World Model for Learning Patient Trajectories from Longitudinal Care Data,"Long-horizon clinical simulation -- predicting how a patient's physiology evolves over years under specified interventions -- is central to chronic-disease care, yet existing electronic health record (EHR) models are predominantly discriminative, and general-purpose large language models drift under repeated interventions. We propose the \textbf{ChronoMedicalWorld Model (CMWM)}, an action-conditioned latent world-model framework for learning patient trajectories from longitudinal care data. CMWM couples a joint-embedding state encoder with a wide action encoder that admits both structured intervention indicators and free-text communication embeddings, and trains a recurrent latent transition module under a six-term objective: next-observation supervision, next-latent prediction, SIGReg latent regularisation, and three physiology-aware shape priors (slope, continuity, large-jump penalty). A closed-loop rollout-prefix protocol matches training to deployment, so the model is optimised against the same multi-step error it exhibits at inference. As a concrete case study, we instantiate CMWM for annual estimated glomerular filtration rate (eGFR) trajectory forecasting in chronic kidney disease (CKD). On a 2{,}232-patient nephrology cohort, the CKD instantiation achieves a dynamic-50\% history rollout test mean absolute error (MAE) of 7.384 and root-mean-square error (RMSE) of 10.256, against 7.964 and 11.069 for a tuned GPT-5.5 structured-prompting baseline ($-7.28\%$ MAE, $-7.35\%$ RMSE), with the gain dominated by the dialogue portion of patient--health-coach communication. The framework is not CKD-specific: its architecture, loss design, and training protocol apply to any chronic condition that can be cast as periodic clinical state interleaved with structured and conversational interventions.",Jiangyuan Wang; Xuyong Chen; Junwei He; Xu Xu; Shasha Xie; Fuman Han,2026,2026-05-21,arXiv (Cornell University),10.48550/arxiv.2605.21963,2605.21963,https://doi.org/10.48550/arxiv.2605.21963,preprint,openalex,"""medical world model"";""world model"" EHR;""world model"" clinical;""world model"" medicine;""world model"" patient;""world model"" physiology;""world model"" treatment",open-access,include,include_empirical,Learns longitudinal patient-state dynamics for free-running clinical trajectory generation.,Half-trajectory rollouts are evaluated with future eGFR MAE and RMSE on longitudinal care data.,Single identified arXiv preprint.,https://arxiv.org/pdf/2605.21963,include,include_empirical,Learns recurrent action-conditioned patient-state transitions with closed-loop rollout-prefix training.,Evaluates dynamic-history multistep eGFR rollouts using MAE and RMSE against clinical and LLM baselines.,Distinct ChronoMedicalWorld study; no duplicate record identified.,https://arxiv.org/abs/2605.21963,include,empirical,include_empirical,reviewer_consensus,A: The patient world model is directly evaluated on free-running medical trajectories. B: The longitudinal patient dynamics model is directly assessed in deployment-matched rollouts.
