audit_id,route,title,decision,corpus_type,reason_code,rationale,confidence
ALT-4ef2c988c864,fresh_alternate_public_search,1077-P: De-escalation Treatment (DET): A Personalized Pharmacological Intervention to Stop Disease Progression in Patients with Type 2 Diabetes,exclude,not_applicable,no_learned_dynamics,The 1077 p de escalation treatment personalized pharmacological intervention stop disease study is an ordinary prognostic or static prediction analysis without a learned rollout mechanism.,high
ALT-01667e1759b4,fresh_alternate_public_search,109 Predictors of Rapid Disease Progression from Initial Diagnosis of Erectile Dysfunction to Surgical Intervention,exclude,not_applicable,no_learned_dynamics,The 109 predictors rapid disease progression initial diagnosis erectile dysfunction surgical study is an ordinary prognostic or static prediction analysis without a learned rollout mechanism.,medium
ALT-2f499d0cb59f,fresh_alternate_public_search,1247 Temporal Dynamics of Acute Epstein–Barr Virus-Positive T Cell Lymphoid Hyperplasia,exclude,not_applicable,no_future_or_action_evaluation,"The 1247 temporal dynamics acute epstein barr virus positive t cell study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning.",medium
ALT-80e11fb00b1d,fresh_alternate_public_search,154 An Observational Study: An Examination of Eye Movements When Assessing a Deteriorating High-Fidelity Patient Simulator,exclude,not_applicable,no_future_or_action_evaluation,"The 154 observational examination eye movements when assessing deteriorating high fidelity study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning.",medium
ALT-71b8d7cba961,fresh_alternate_public_search,162. Digital twin campus intervention for stress adaptation in university students with depressive symptoms,exclude,not_applicable,no_learned_dynamics,"The 162 digital twin campus intervention stress adaptation university students depressive study evaluates education, training, or simulator hardware rather than learned patient dynamics.",high
ALT-7a3f166abf00,fresh_alternate_public_search,227Chapter 17 Machine Learning Algorithms for Predicting Disease Progression and Personalized Treatment in Chronic Diseases,exclude,not_applicable,review_not_primary,This review centers on 227chapter 17 machine learning algorithms predicting disease progression personalized treatment rather than evaluated medical learned world-model dynamics as its primary subject.,medium
ALT-29398f6f2107,fresh_alternate_public_search,23 AN INTERVENTION STUDY ON SOCIAL ANXIETY DISORDER USING DIGITAL TWIN VIRTUAL COMMUNITIES,exclude,not_applicable,no_learned_dynamics,"The 23 intervention social anxiety disorder digital twin virtual communities record describes a static, conceptual, or mechanistic twin without learned temporal transitions.",medium
ALT-3874f2131ca4,fresh_alternate_public_search,233 Benefit of Tolvaptan on Time to End-stage Renal Disease (ESRD) for Patients with Rapidly Progressing Autosomal Dominant Polycystic Kidney Disease (ADPKD): A Disease Progression Model,exclude,not_applicable,no_future_or_action_evaluation,"The 233 benefit tolvaptan time end stage renal disease patients rapidly study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning.",medium
ALT-ceb7f2ce717e,fresh_alternate_public_search,286 Association of urinary Dickkopf-3 levels with cardiovascular events and kidney disease progression in the Systolic Blood Pressure Intervention Trial participants,exclude,not_applicable,no_learned_dynamics,The 286 association urinary dickkopf 3 levels cardiovascular events kidney disease study is an ordinary prognostic or static prediction analysis without a learned rollout mechanism.,medium
ALT-505305aaea30,fresh_alternate_public_search,3D-Printed silicone anatomic patient simulator to enhance training on cardiopulmonary bypass.,exclude,not_applicable,no_learned_dynamics,"The 3d printed silicone anatomic patient simulator enhance training cardiopulmonary bypass study evaluates education, training, or simulator hardware rather than learned patient dynamics.",high
ALT-feac04cf3d5e,fresh_alternate_public_search,500 Hyponatremia Virtual Patient Simulator: An innovative educational tool with generative artificial intelligence and physiologic models,exclude,not_applicable,no_future_or_action_evaluation,"The 500 hyponatremia virtual patient simulator innovative educational tool generative artificial study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning.",medium
ALT-8803de121c39,fresh_alternate_public_search,[Digital twins in uro-oncology].,include,review,include_review,"This review primarily synthesizes dynamic medical digital twins for digital twins uro oncology, including prediction, simulation, or intervention use.",high
