candidate_id,title,highest_capability_claim,state_evidence,dynamics_evidence,rollout_evidence,action_evidence,uncertainty_evidence,causal_evidence,external_evidence,decision_evidence,safety_evidence,reproducibility_evidence,free_running_rollout,horizon_resolved_results,formal_calibration,frozen_external_validation,action_agnostic_comparator,action_perturbation,explicit_causal_estimand,closed_loop_evaluation,safety_hazard_test,public_code,disagreement_fields,reviewer_a_anchors,reviewer_b_anchors,adjudication_anchors,adjudication_notes,confidence
MWM-0008,A World Model of Radiologist Reading for Medical Image Representation Learning,passive_forecasting,2,1,0,NA,0,NA,1,1,0,1,no,no,no,no,NA,NA,NA,no,no,unclear,,Abstract p.1; Sec.3 and Fig.1 pp.3-5; Sec.4 and Tables 1-5 pp.5-9; Limitations p.10; Apps.A-B pp.13-15,Abstract p.1; Sec. 3 and Fig. 1 pp.3-5; Tables 1-5 pp.5-9; Limitations p.10,Abstract p.1; Sec.3 and Fig.1 pp.3-5; Sec.4 and Tables 1-5 pp.5-9; Limitations p.10; Apps.A-B pp.13-15,Reviewer consensus.,high
MWM-0011,Action-Conditioned World Model for Goal Plane Probe Guidance in Robotic Ultrasound,planning,2,2,1,2,1,NA,,2,1,,yes,yes,no,no,yes,yes,NA,real,no,no,external_evidence;reproducibility_evidence,Sec.II pp.2-4; Table I p.5; Fig.4 and Tables II-IV pp.5-7; Discussion p.8,Sec. II pp.2-4; Table I p.5; Fig. 4 and Tables II-IV pp.5-7; Discussion p.8,,,
MWM-0012,Affective Music Recommendation: A Rollout-Based World Model for Offline Preference Optimization,planning,2,1,1,2,0,0,0,1,1,0,yes,no,no,no,yes,yes,no,offline,no,unclear,,Abstract p.1; Sec.3 and Fig.1 pp.2-4; Sec.4 and Tables 1-5 pp.5-8; Sec.5.1-5.3 p.8,Abstract p.1; Sec. 3 and Fig. 1 pp.2-4; Tables 1-5 pp.5-8; safety scope pp.8,Abstract p.1; Sec.3 and Fig.1 pp.2-4; Sec.4 and Tables 1-5 pp.5-8; Sec.5.1-5.3 p.8,Reviewer consensus.,high
MWM-0013,Agentifying Patient Dynamics within LLMs through Interacting with Clinical World Model,planning,2,1,1,1,1,1,,2,1,2,yes,no,no,yes,no,no,yes,offline,yes,yes,external_evidence,Abstract and Secs.2-3 pp.1-5; Tables 3-4 pp.8-9; Apps.C-F pp.15-18; Apps.I-J pp.23-24,Secs.2-3 and Tables 1-2 pp.1-5; Sec.5 and Tables 3-4 pp.8-9; Apps.C-F and I-J pp.15-24,,,
MWM-0018,Arti-JEPA: Adapting Video World Model to Real-Time MRI of the Vocal Tract for Speech-Production Analysis,passive_forecasting,2,1,0,NA,0,NA,1,1,0,1,no,no,no,,NA,NA,NA,no,no,unclear,frozen_external_validation,Abstract pp.1-2; Sec.3 pp.3-5; Sec.4 pp.6-9; clinical evaluations pp.10-15; Limitations p.16; Appendix pp.19-25,Abstract pp.1-2; Secs.3-4 pp.3-9; Tables 1-9; clinical evaluations pp.10-15; Limitations p.16,,,
MWM-0032,BLINK: Behavioral Latent Modeling of NK Cell Cytotoxicity,action_conditioned,2,2,1,,,NA,0,1,0,0,yes,no,no,no,yes,yes,NA,no,no,no,action_evidence;uncertainty_evidence,Methods pp.3-5; dataset protocol p.6; Table 1 p.7; Fig.3 p.8,Methods pp.3-5; Dataset p.6; Table 1 p.7; Fig. 3 p.8,,,
MWM-0034,Brain-WM: Brain Glioblastoma World Model,counterfactual,2,1,0,,0,0,2,1,0,,no,no,no,yes,no,no,no,,no,yes,action_evidence;reproducibility_evidence;closed_loop_evaluation,Abstract and Fig.1 p.1; Sec.III pp.2-5; Tables I-II pp.5-6; Figs.4-7 and Tables III-IV pp.7-9,Abstract and Fig. 1 p.1; Sec. III pp.2-5; Tables I-IV and Figs.4-7 pp.5-9,,,
MWM-0040,"CalTwin: Towards Calibrated, Shift-Robust Medical World Models via Fisher-Information Regularisation",passive_forecasting,2,1,0,NA,2,NA,2,0,0,1,no,yes,yes,yes,NA,NA,NA,no,no,unclear,,Abstract and Secs.1-2 pp.1-4; Sec.3 pp.4-7; Sec.4 Tables 1-2 and Figs.1-2 pp.7-10; Secs.5-6 pp.11-12,Abstract and Secs.1-3 pp.1-7; Tables 1-2 and Figs.1-2 pp.7-10; Secs.5-6 pp.11-12,Abstract and Secs.1-2 pp.1-4; Sec.3 pp.4-7; Sec.4 Tables 1-2 and Figs.1-2 pp.7-10; Secs.5-6 pp.11-12,Reviewer consensus.,high
MWM-0046,ChronoMedicalWorld: A Medical World Model for Learning Patient Trajectories from Longitudinal Care Data,counterfactual,2,2,2,,0,0,0,0,1,0,yes,yes,no,no,,yes,no,no,no,unclear,action_evidence;action_agnostic_comparator,Abstract p.1; Sec.2.4 pp.3-4; Sec.3 and Fig.1 pp.4-6; Sec.4 Tables 1-3 pp.6-8; Sec.5 Tables 4-5 pp.8-9; Sec.6 p.10,Sec.2.4 pp.3-4; Sec.3 and Fig.1 pp.4-6; Tables 1-5 pp.6-9; Secs.6.2 and 6.4 p.10,,,
MWM-0054,CrossScope: A Role-Asymmetric World Model for Joint Dual-Scope Surgical Video Prediction,action_conditioned,2,,0,,0,NA,0,0,0,,no,,no,no,,,NA,no,no,no,dynamics_evidence;action_evidence;reproducibility_evidence;horizon_resolved_results;action_agnostic_comparator;action_perturbation,Benchmark overview p.2; Methods pp.3-5; Tables 1-2 and Fig.6 pp.5-7; Appendix Tables 4-10 pp.11-15,Benchmark p.2; Methods pp.3-5; Tables 1-2 and Fig.6 pp.5-7; Appendix Tables 4-10 pp.11-15,,,
MWM-0068,DreamReg: Belief-Driven World Model for 2D-3D Ultrasound Registration,planning,2,,1,1,,NA,1,2,0,2,yes,no,no,no,no,yes,NA,simulation,no,yes,dynamics_evidence;uncertainty_evidence,Abstract p.1; Sec.2 and Figs.1-2 pp.3-6; Sec.3 and Tables 1-2 pp.6-8; Conclusion p.9,Abstract p.1; Sec.2 and Figs.1-2 pp.3-6; Sec.3 and Tables 1-2 pp.6-8; Conclusion p.9,,,
MWM-0073,ECG-WM: A Physiology-Informed ECG World Model for Clinical Intervention Simulation,counterfactual,2,2,2,1,1,,2,1,2,1,yes,yes,no,yes,no,yes,no,offline,yes,unclear,causal_evidence,Abstract and Secs.1-4 pp.1-5; Sec.5 Tables 1-4 pp.6-9; Sec.6 pp.9-10; Apps.A-B pp.13-19,Secs.1-4 and Figs.1-2 pp.1-5; Tables 1-4 pp.6-9; Apps.A-B pp.13-19,,,
MWM-0074,EHRWorld: A Patient-Centric Medical World Model for Long-Horizon Clinical Trajectories,counterfactual,2,2,2,,0,0,0,0,0,0,yes,yes,no,no,no,no,no,no,no,unclear,action_evidence,Abstract pp.1-2; Sec.3 and Fig.2 pp.3-4; Sec.4 pp.4-5 and Algorithm 1 p.13; Sec.5 Tables 1-2 pp.5-8; Limitations p.9,Abstract pp.1-2; Secs.3-5 pp.3-8; Tables 1-2 and Fig.3; Limitations p.9; Appendix pp.11-14,,,
MWM-0077,EyeWorld: A Generative World Model of Ocular State and Dynamics,counterfactual,2,1,0,1,0,0,0,0,,0,no,no,no,,no,yes,no,no,no,no,safety_evidence;frozen_external_validation,Data overview pp.5-7; longitudinal synthesis Fig.7 pp.16-18; counterfactual edits Fig.8 pp.19-21; Limitations and Methods pp.24-31,Data pp.5-7; longitudinal synthesis Fig.7 pp.16-18; prompt edits Fig.8 pp.19-21; Limitations/Methods pp.24-31,,,
MWM-0078,Failure Detection for Surgical Robot Imitation Policies via Flow-Matching World Modeling,action_conditioned,,1,0,2,2,NA,1,1,,,no,yes,yes,no,yes,yes,NA,offline,yes,no,state_evidence;safety_evidence;reproducibility_evidence,Abstract p.1; Fig.1 p.2; Sec.III pp.3-4; Sec.IV and Table I pp.4-6; Figs.5-6 p.7; Limitations p.8,Abstract p.1; Sec. III pp.3-4; Sec. IV and Table I pp.4-6; Figs.5-6 p.7; Limitations p.8,,,
MWM-0094,Future Querying: Can LLMs Serve as Implicit Medical World Models?,passive_forecasting,1,1,0,NA,0,NA,1,0,0,0,no,no,no,no,NA,NA,NA,no,no,unclear,,Abstract and Secs.1-4 pp.1-4; Secs.5.1-5.3 pp.5-6; Secs.5.4-6 pp.7-8,Abstract and Secs.1-4 pp.1-4; Secs.5.1-5.3 pp.5-6; Secs.5.4-6 pp.7-8,Abstract and Secs.1-4 pp.1-4; Secs.5.1-5.3 pp.5-6; Secs.5.4-6 pp.7-8,Reviewer consensus.,high
MWM-0095,"GEMEO: the first patient world model for rare disease, grounding generative clinical trajectories in the genome and a biomedical knowledge graph",action_conditioned,2,,1,,2,NA,1,0,1,1,,,yes,unclear,yes,yes,NA,no,no,yes,dynamics_evidence;action_evidence;free_running_rollout;horizon_resolved_results,Abstract p.1; Sec.2 pp.2-3; Sec.3 Tables 1-3 pp.3-6; Sec.4 p.6; Methods and limitations pp.7-8,Abstract p.1; Secs.2-4 pp.2-6; Tables 1-3; Methods and limitations pp.7-8,,,
MWM-0103,Intervention-Aware Clinical World Model for Post-Op Outcome Forecasting in Cardiology,action_conditioned,2,2,0,2,2,NA,0,0,0,,no,yes,yes,no,yes,yes,NA,no,no,unclear,reproducibility_evidence,Methods and Table 1 pp.3-5; Tables 2-4 and Fig.3 pp.6-7; Fig.4 and Limitations p.8,Methods and Table 1 pp.3-5; Tables 2-4 and Fig.3 pp.6-7; Fig.4 and Limitations p.8,,,
