"audit_id","stratum","title","decision","corpus_type","reason_code","rationale","confidence"
"AUD-0169c0ec1ae9","alternate_dynamics_enriched","AI-Driven Personalized Fall Prevention for Older Adults","exclude","not_applicable","no_primary_empirical_evaluation","The abstract describes a five-year research proposal and expected outcomes rather than a completed empirical evaluation.","high"
"AUD-07c87bacbbe4","alternate_dynamics_enriched","An Improved Dyna-Q Algorithm Inspired by the Forward Prediction Mechanism in the Rat Brain for Mobile Robot Path Planning.","exclude","empirical","wrong_domain","The evaluated system is a mobile-robot navigation agent in maze environments, not a medical or biomedical model.","high"
"AUD-643f893ef318","alternate_dynamics_enriched","Applications of System Dynamics Models in Chronic Disease Prevention: A Systematic Review.","exclude","review","review_not_primary","The review concerns conventional system-dynamics models for chronic-disease prevention rather than medical world models as its primary topic.","high"
"AUD-15da41fa9469","alternate_dynamics_enriched","Artificial general intelligence and the clinical laboratory: a paradigm shift toward Lab 2.0","exclude","not_applicable","no_primary_empirical_evaluation","The abstract explicitly identifies an opinion paper with aspirational mechanisms requiring empirical validation.","high"
"AUD-669035784e86","alternate_dynamics_enriched","Clin-JEPA: A Multi-Phase Co-Training Framework for Joint-Embedding Predictive Pretraining on EHR Patient Trajectories","include","empirical","include_empirical","The study learns an autoregressive latent patient-trajectory model and evaluates 48-hour rollout behavior on MIMIC-IV.","high"
"AUD-23bda78572c9","alternate_dynamics_enriched","Combining machine learning and physiological network models for sepsis prediction","include","empirical","include_empirical","The hybrid model learns patient trajectories through a physiological parameter space and evaluates future critical-organ-state prediction on ICU data.","medium"
"AUD-906a4df1eae9","alternate_dynamics_enriched","Commercial impact of adding real-world evidence to clinical trials at regulatory approval: a Markovian-like transition model","uncertain","empirical","insufficient_abstract","The title suggests a medical transition model, but no abstract is available to establish learned dynamics or future/action evaluation.","low"
"AUD-31c7a05ff984","alternate_dynamics_enriched","Egocentric value maps of the near-body environment","exclude","empirical","wrong_domain","The study models general peripersonal-space learning and action in biological agents without a medical or disease setting.","medium"
"AUD-a2362b6cabf5","alternate_dynamics_enriched","Fetal Twin: a mechanistic computational model of fetal physiology for heart-rate-variability biomarker research","exclude","empirical","no_learned_dynamics","The fetal simulator is described as a mechanistic computational model rather than a learned or adapted transition model.","medium"
"AUD-53bc68e6b9c4","alternate_dynamics_enriched","Impact of provoked stress on model-free and model-based reinforcement learning in individuals with alcohol use disorder.","exclude","empirical","no_learned_dynamics","The study measures participants' model-based strategy use but does not evaluate a learned patient or physiological dynamics model.","high"
"AUD-2cc6cfea5438","alternate_dynamics_enriched","Mobility traces and spreading of COVID-19","exclude","empirical","no_learned_dynamics","The work attaches literature-derived infection rules to a mobility simulator rather than learning or adapting medical state transitions.","medium"
"AUD-0b39e7f4f951","alternate_dynamics_enriched","Model-based and model-free valuation signals in the human brain vary markedly in relation to individual differences in behavioral control.","exclude","empirical","wrong_domain","The fMRI study investigates general human decision mechanisms rather than a medical or disease world model.","medium"
"AUD-fa60370df827","alternate_dynamics_enriched","Model-based reinforcement learning for ultrasound-driven autonomous microrobots.","include","empirical","include_empirical","The biomedical microrobot learns recurrent imagined environments and is evaluated for autonomous control in vascular settings.","high"
"AUD-00558f757aa0","alternate_dynamics_enriched","Prefrontal meta-control incorporating mental simulation enhances the adaptivity of reinforcement learning agents in dynamic environments.","exclude","empirical","wrong_domain","The evaluated Meta-Dyna agents operate in generic Markov, GridWorld, and Atari environments rather than medical environments.","high"
"AUD-82f6e10de1f4","alternate_dynamics_enriched","Role of health digital twins in oncology drug development - a primer","uncertain","review","include_review","The primer centrally synthesizes predictive, intervention-oriented oncology digital twins, but full text is needed to determine whether it is a core medical-world-model review.","medium"
"AUD-33a686ae8415","alternate_dynamics_enriched","Structural requirements for intelligent clinical digital twins in feedback-driven care","uncertain","review","include_review","The abstract proposes structural requirements for decision-valid clinical digital twins, but its review methodology and scope are not clear.","medium"
"AUD-0f4c587f0fe3","alternate_dynamics_enriched","The Anterior Cingulate Cortex Predicts Future States to Mediate Model-Based Action Selection.","exclude","empirical","no_learned_dynamics","The experiment identifies neural future-state signals in mice but does not evaluate a learned biomedical transition or rollout model.","medium"
