audit_id,route,title,abstract,authors,year,publication_date,venue,doi,arxiv_id,url,record_type,sources,query_labels,source_status,original_exclusion_reason,reviewer_c_decision,reviewer_c_corpus_type,reviewer_c_reason_code,reviewer_c_rationale,reviewer_d_decision,reviewer_d_corpus_type,reviewer_d_reason_code,reviewer_d_rationale,final_decision,final_corpus_type,final_reason_code,resolution_route,adjudication_rationale,qc_decision,qc_corpus_type,qc_reason_code,qc_rationale,full_text_anchor,confidence
ALT-36a3691f146d,fresh_alternate_public_search,A data-driven Alzheimer's disease progression simulator for retrospective validation and prospective Phase III power design.,"Anti-amyloid immunotherapies have recently demonstrated the first significant slowing of cognitive decline in Alzheimer's disease (AD), yet clinical benefit varies markedly across drugs and scales with the completeness of amyloid clearance. Pharmacokinetic/pharmacodynamic (PK/PD) models are currently the standard tool for trial simulation, but they typically operate on single biomarkers and rely on drug-concentration assumptions, leaving the multi-scale cascade from amyloid clearance through tau, neurodegeneration, and cognition largely unmodelled. No existing framework has been jointly validated against the quantitative outcomes of multiple real-world phase III trials, spanning clearance kinetics, multi-modal biomarker trajectories, and statistical power. We present a trial simulation platform based on SimulAD, a disease progression model trained exclusively on longitudinal observational data from ADNI, with no access to trial-arm labels or drug-specific outcomes. SimulAD encodes intervention as piecewise amyloid clearance terms within a latent ordinary differential equation system that jointly governs amyloid, tau, structural MRI, and cognitive trajectories under the amyloid cascade hypothesis. We retrospectively simulated six landmark phase III anti-amyloid trials (TRAILBLAZER-ALZ2, CLARITY AD, EMERGE and ENGAGE, GRADUATE I and GRADUATE II) using a single trained model with trial-specific calibration limited to amyloid clearance kinetics. SimulAD reproduced published mean centiloid reductions within 5% error across all six trials and generated CDR-SB distributions broadly consistent with reported placebo and treated-arm outcomes. In a retrospective power analysis, calibrated simulations separated the three positive from the three null trials, with EMERGE near the decision boundary and ENGAGE and both GRADUATE trials below it. Across trials, higher amyloid-clearance rates were associated with larger calibrated clinical effects and lower estimated sample sizes. These results establish SimulAD as a valid disease-progression-centric trial simulator providing quantitative guidance on sample size planning and treatment kinetics optimisation that is grounded in the full multi-modal biomarker cascade of AD.",Marco Lorenzi; Anna Custo; Giovanni B Frisoni; Valentina Garibotto,2026,2026,medRxiv : the preprint server for health sciences,10.64898/2026.05.03.26352317,,https://pubmed.ncbi.nlm.nih.gov/42145636/,journal-article,europe_pmc;pubmed,europe_pmc_core;pubmed_core,indexed,,include,empirical,include_empirical,A data-trained latent dynamics model simulates intervention-conditioned biomarker trajectories and validates trial rollouts.,include,empirical,include_empirical,The data driven alzheimer s disease progression simulator retrospective validation prospective study learns or calibrates temporal dynamics and directly evaluates intervention-conditioned rollouts or planning outcomes.,include,empirical,include_empirical,reviewer_consensus+independent_inclusion_qc,"SimulAD learns a latent ODE transition over amyloid, tau, MRI, and cognition from longitudinal ADNI data, then evaluates intervention-conditioned multistep trajectories against six Phase III trials and power outcomes.",include,empirical,learned_multistep_dynamics,"SimulAD learns a latent ODE transition over amyloid, tau, MRI, and cognition from longitudinal ADNI data, then evaluates intervention-conditioned multistep trajectories against six Phase III trials and power outcomes.","Primary preprint, Methods and Results: latent ODE with piecewise amyloid-clearance interventions; retrospective simulation of TRAILBLAZER-ALZ2, CLARITY AD, EMERGE, ENGAGE, and GRADUATE I/II.",high
ALT-b41d73135078,fresh_alternate_public_search,A digital twin for hospital antimicrobial resistance forecasting and constrained intervention optimisation,"A bstract Hospital antimicrobial resistance (AMR) emanates from an array of complex interactions between patient turnover, heterogeneous patient–staff contact patterns, antibiotic-driven within-host selection, and imperfect surveillance. We present a hospital AMR digital twin that combines mechanistic simulation with temporal graph learning to forecast resistance emergence from evolving daily contact networks and enable support intervention planning. Our approach is twofold: graph neural networks and transformers to model predictions and mathematical programming optimization to provide decision support. The main predictive task asks whether future spread of resistant infections is more likely to be driven by endogenous hospital transmission and selection or from importation on admission. We evaluated this task under both fully observed and partially observed settings, using baseline benchmarks together with ablations, surveillance perturbations, and distribution-shift stress tests. Under canonical conditions, the model achieved very strong predictive performance, especially when ground-truth system states were available, and remained informative under partial observation. Ablations showed that contact-weight information was relatively robust, whereas compressed node-feature representations weakened performance more noticeably when observations were incomplete. Surveillance stress tests further showed that delayed or less frequent reporting can be tolerated in some settings, but threshold calibration becomes fragile under more severe observation changes. Across broader epidemiological and surveillance shifts, the ground-truth model generally preserved strong ranking ability, while partial-observation performance was less stable. When models were trained directly in the shifted regime, performance improved compared with zero-shot transfer, indicating that the digital twin can adapt to new and previously unseen operating conditions but that portability across regimes can improve, particularly when only partial surveillance data are available. We also evaluated intervention-conditioned forecasting by branching hospital states into a small library of screening and isolation policies under a shock-and-superspreader regime. The learned models supported useful within-state action ranking and frequently identified policies that improved on the baseline containment protocols or avoided worsening outcomes. The same digital twin can also support constrained intervention selection, although reliable deployment will require careful calibration, improved robustness under partial observation, and broader policy libraries.","Triantafyllidis CP, Aguas R.",2026,2026-05-22,openRxiv,10.64898/2026.05.15.26353296,,https://europepmc.org/article/PPR/PPR1237042,posted-content,crossref;europe_pmc,"""clinical digital twin"" intervention;""intervention-conditioned forecasting"" clinical;europe_pmc_core",indexed,,include,empirical,include_empirical,Temporal graph models forecast resistance dynamics and evaluate intervention-conditioned policy branches and rankings.,include,empirical,include_empirical,The digital twin hospital antimicrobial resistance forecasting constrained intervention optimisation study learns or calibrates temporal dynamics and directly evaluates intervention-conditioned rollouts or planning outcomes.,include,empirical,include_empirical,reviewer_consensus+independent_inclusion_qc,Temporal graph and transformer models learn resistance-spread transitions from evolving hospital contact states; branched screening and isolation policies are evaluated by future-state forecasts and within-state action ranking.,include,empirical,action_conditioned_closed_loop_control,Temporal graph and transformer models learn resistance-spread transitions from evolving hospital contact states; branched screening and isolation policies are evaluated by future-state forecasts and within-state action ranking.,"Primary preprint, forecasting and intervention experiments: daily contact-network prediction, surveillance stress tests, distribution shifts, and policy branching under shock and superspreader conditions.",high
ALT-10e1e2640b93,fresh_alternate_public_search,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,,Shoumik Roychowdhury; Shounak Roychowdhury,2020,2020,2020 International Joint Conference on Neural Networks (IJCNN),10.1109/ijcnn48605.2020.9206875,,https://doi.org/10.1109/ijcnn48605.2020.9206875,proceedings-article,crossref,"""disease progression model"" generative intervention",registered,,uncertain,empirical,insufficient_abstract,"The title suggests generative disease progression, but no abstract confirms temporal rollouts or evaluation.",uncertain,empirical,insufficient_abstract,"The modular predict alzheimer s disease progression conditional generative adversarial networks title plausibly denotes learned medical dynamics, but the missing abstract does not establish direct future or action evaluation.",include,empirical,include_empirical,reviewer_consensus+independent_inclusion_qc,A conditional GAN learns longitudinal Alzheimer state progression and recursively generates later disease-stage trajectories; future stage outputs are directly compared with held-out longitudinal patient sequences.,include,empirical,learned_multistep_dynamics,A conditional GAN learns longitudinal Alzheimer state progression and recursively generates later disease-stage trajectories; future stage outputs are directly compared with held-out longitudinal patient sequences.,"Author-hosted full paper, framework and experiments: modular cGAN progression across sequential Alzheimer stages with generated-versus-observed trajectory evaluation.",medium
ALT-99717b78a904,fresh_alternate_public_search,"AI-powered in silico twins: redefining precision medicine through simulation, personalization, and predictive healthcare.","In silico twins (ISTs) are emerging as a transformative paradigm in precision medicine, offering dynamic, high-fidelity representations of individual patients through real-time integration of multimodal data. In this work, we define an in silico twin (IST) as a high-fidelity, artificial intelligence(AI)-augmented computational replica of an individual's biological systems that integrates mechanistic modeling (e.g., PBPK, QSP) with patient-specific data streams to simulate, predict, and optimize therapeutic outcomes in real time. By combining AI, physiological and biomechanical modeling, and advanced simulation engines, these systems enable continuous monitoring, predictive diagnostics, and personalized treatment planning. Unlike conventional digital tools, ISTs provide iterative, adaptive simulations that evolve with patient states, fostering a shift from reactive to proactive healthcare. This review explores the technological foundations underpinning ISTs -including machine learning architectures, multi-scale physiological modeling, data integration, and cloud-edge infrastructure- and maps their clinical applications across the patient care continuum. We also distinguish ISTs from digital twins, virtual patients, and traditional computational models, emphasizing their unique contribution to decision support, drug development, and therapeutic optimization. As digital healthcare ecosystems mature, ISTs represent a crucial step toward simulation-driven, individualized medicine. Their continued development offers substantial potential for improving outcomes, accelerating discovery, and reshaping the clinical landscape. Uniquely, this review introduces a practical taxonomy of IST architectures, a verification and validation checklist for model credibility, and a deployment blueprint to guide their clinical translation and real-world adoption.",Alharthi S.,2025,2025-12-24,,10.1007/s44446-025-00055-x,,https://europepmc.org/article/MED/41441931,,europe_pmc,europe_pmc_core,indexed,,include,review,include_review,"This medical-twin review provides an architecture taxonomy, validation checklist, and clinical-translation blueprint.",include,review,include_review,"This review primarily synthesizes dynamic medical digital twins for ai powered silico twins redefining precision medicine through simulation personalization, including prediction, simulation, or intervention use.",include,review,include_review,reviewer_consensus+independent_inclusion_qc,"Learned and personalized medical dynamics are central: the review organizes in-silico twins around model layers, simulation engines, feedback loops, disease-progression simulation, treatment optimization, calibration, and validation.",include,review,substantive_dynamic_simulator_review,"Learned and personalized medical dynamics are central: the review organizes in-silico twins around model layers, simulation engines, feedback loops, disease-progression simulation, treatment optimization, calibration, and validation.","Full text sections: Core components; Simulation of disease progression; Treatment simulation and optimization; Model calibration and personalization; Verification, validation, and uncertainty quantification.",high
ALT-f6449fe2d40f,fresh_alternate_public_search,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,"Abstract Acute kidney injury in sepsis evolves over hours to days, yet most ICU models emphasize onset and provide limited insight into cardio-renal interactions. We developed AKI-twinX, an organ-structured, explainable digital twin that jointly forecasts acute kidney injury onset, acute kidney injury trajectory, and near-term mortality risk. The model learns renal and cardiovascular latent states with sparse feature gating and captures cross-organ coupling with attention. We trained AKI-twinX on MIMIC-IV sepsis using 5-fold cross-validation and evaluated it on an Indiana University Health cohort. Discrimination was consistent across systems (AUC: mortality 0.86-0.88, acute kidney injury onset 0.78-0.82, acute kidney injury trajectory 0.73-0.78). In vasopressor-treated windows, 12-hour systolic blood pressure forecasts tracked observed values (mean absolute error 8.5 mmHg). Counterfactual vasopressor withdrawal shifted predicted blood pressure downward and increased predicted risk, supporting sensitivity to clinically meaningful interventions. AKI-twinX enables trajectory-aware forecasting with bedside auditability in sepsis.",Jinjin Cai; Allison E Gatz; Jiangqiong Li; Deborupa Pal; Haixu Tang; Michael T Eadon; Baijian Yang; Lingzhong Meng; Jing Su,2026,2026,openRxiv,10.64898/2026.03.13.26346736,,https://doi.org/10.64898/2026.03.13.26346736,posted-content,crossref,"""medical digital twin"" trajectory;""physiological trajectory"" forecasting",registered,,include,empirical,include_empirical,Learned organ states support future blood-pressure forecasts and counterfactual vasopressor-withdrawal evaluation.,include,empirical,include_empirical,The aki twinx explainable organ structured digital twin sepsis aki trajectory study learns or calibrates temporal dynamics and directly evaluates intervention-conditioned rollouts or planning outcomes.,include,empirical,include_empirical,reviewer_consensus+independent_inclusion_qc,"The model learns coupled renal and cardiovascular latent transitions from MIMIC-IV, validates AKI and blood-pressure trajectories externally, and tests vasopressor-withdrawal counterfactual responses.",include,empirical,action_conditioned_closed_loop_control,"The model learns coupled renal and cardiovascular latent transitions from MIMIC-IV, validates AKI and blood-pressure trajectories externally, and tests vasopressor-withdrawal counterfactual responses.","Primary preprint, Methods and Results: organ-structured latent states, Indiana University Health external cohort, 12-hour blood-pressure forecasts, and vasopressor withdrawal perturbation.",high
ALT-db944a487acf,fresh_alternate_public_search,ARE-GAN: Adaptive Regression and ROI-Enhanced Generative Adversarial Network for Alzheimer Disease Progression Prediction,,U Bharathi; S Chitrakala,2026,2026,International Journal of Computational Intelligence Systems,10.1007/s44196-025-01133-7,,https://doi.org/10.1007/s44196-025-01133-7,journal-article,crossref,"""disease progression model"" generative intervention",registered,,uncertain,not_applicable,insufficient_abstract,Missing abstract prevents distinguishing generative trajectory forecasting from ordinary Alzheimer progression prediction.,uncertain,empirical,insufficient_abstract,"The are gan adaptive regression roi enhanced generative adversarial network alzheimer title plausibly denotes learned medical dynamics, but the missing abstract does not establish direct future or action evaluation.",include,empirical,include_empirical,reviewer_consensus+independent_inclusion_qc,ARE-GAN learns longitudinal MRI progression conditioned on patient information and evaluates generated future brain states and progression classification against observed Alzheimer follow-up data.,include,empirical,learned_multistep_dynamics,ARE-GAN learns longitudinal MRI progression conditioned on patient information and evaluates generated future brain states and progression classification against observed Alzheimer follow-up data.,"Springer full article, Methods and Results: adaptive regression and ROI-enhanced GAN generation of future MRIs with image-similarity and disease-stage evaluation.",high
ALT-6fb8e7370e1e,fresh_alternate_public_search,Autosomal Dominant Tubulointerstitial Kidney Disease Clinical Trial Simulator: Case Reports of Model-Informed Drug Development.,"Autosomal Dominant Tubulointerstitial Kidney Disease (ADTKD) is the third most common inherited monogenic kidney disorder. Mutations in UMOD and MUC1 account for most cases, with the disease characterized by progressive eGFR decline leading to kidney failure. No disease-modifying therapies exist, and transplantation is the only current option. Designing trials for ADTKD is hampered by small patient numbers, variable progression rates, and uncertainty around optimal endpoints. Building on natural history data from Wake Forest School of Medicine, nonlinear mixed-effects models were developed to describe eGFR decline in UMOD and MUC1 variants. These models formed the foundation for a web-based clinical trial simulation (CTS) tool (https://app.cop.ufl.edu/adtkd/) built in R Shiny. The tool allows users to define trial populations, configure design parameters, and estimate statistical power by simulating placebo vs. assumed treatment arms. Drug effects were modeled as percentage changes in key parameters of the developed disease progression models describing individual-level eGFR trajectory over age: DPT50 (age at which eGFR is half of its maximum decline), γ 1 $$ {\gamma}_1 $$ and γ 2 $$ {\gamma}_2 $$ (steepness before and after DPT50). Both slope-based eGFR change and end-of-trial eGFR measures functioned as effective surrogate endpoints. Herein, we present the model-based CTS tool developed for ADTKD and demonstrate its use in designing and evaluating clinical trial scenarios, illustrated by two representative case studies. The CTS tool provides a pragmatic framework for optimizing ADTKD trial design. By enabling scenario testing and highlighting genotype-specific considerations, it supports efficient, cost-effective planning and represents an example of model-informed drug development in rare kidney diseases.",Shyam S Ramesh; Mark Rogge; Jongjin Kim; Sanghoon Kang; Kendrah Kidd; Adrienne Williams; Julie Roignot; Katherine Blakeslee; Anthony J Bleyer; Sarah Kim,2026,2026,CPT: pharmacometrics & systems pharmacology,10.1002/psp4.70258,,https://pubmed.ncbi.nlm.nih.gov/42062819/,journal-article,europe_pmc;pubmed,europe_pmc_core;pubmed_core,indexed,,include,empirical,include_empirical,Data-fitted progression models simulate individualized eGFR trajectories under alternative treatment scenarios.,include,empirical,include_empirical,The autosomal dominant tubulointerstitial kidney disease clinical trial simulator case reports study learns or calibrates temporal dynamics and directly evaluates intervention-conditioned rollouts or planning outcomes.,include,empirical,include_empirical,reviewer_consensus+independent_inclusion_qc,Nonlinear mixed-effects models fit individual eGFR trajectories from longitudinal natural-history data; placebo and treatment trajectories are simulated across trial designs and evaluated by statistical power.,include,empirical,fitted_multistep_dynamics,Nonlinear mixed-effects models fit individual eGFR trajectories from longitudinal natural-history data; placebo and treatment trajectories are simulated across trial designs and evaluated by statistical power.,"Full text, Natural History Models and Case Studies: SAEM-fitted genotype-specific eGFR curves, parameterized drug effects, virtual populations, and trial power simulations.",high
ALT-1dfb4e7629f9,fresh_alternate_public_search,Brain Amyloid Plaque Levels Affect Clinical Progression in Alzheimer Disease: Assessment of Amyloid PET and Change in CDR-SB Utilizing Semi-Mechanistic Model.,"Lecanemab is a humanized IgG1 monoclonal antibody binding with high affinity to protofibrils of amyloid-beta (Aβ) protein. In clinical studies, lecanemab has been shown to reduce amyloid markers in early symptomatic Alzheimer's disease and slow decline on clinical endpoints of cognition and function. Nonlinear mixed-effects modeling assessed the correlation between amyloid PET and change in CDR-SB using data from lecanemab phase 2 study (Study 201) and phase 3 study (Study 301; Clarity AD). Data from placebo-treated subjects were used to establish a disease-progression model; the effect of amyloid reduction on disease progression was defined using data from lecanemab-treated subjects. CDR-SB scores were used with beta regression to fit a Richard's function parameterized in terms of baseline CDR-SB, intrinsic rate of disease progression, shape, and precision of the beta distribution. Simulations were conducted to evaluate the impact of lecanemab treatment over 4 years. Baseline CDR-SB was predicted by diagnosis and baseline mini-mental state examination (BMMSE) score. Intrinsic rate of disease progression was predicted by amyloid PET and BMMSE. Amyloid PET was a better predictor of drug effect than lecanemab exposure, demonstrating amyloid reduction as a surrogate marker of efficacy. Simulations projected the difference in CDR-SB between lecanemab and placebo treated subjects continued increasing over 4 years. Patients with low baseline amyloid and less severe disease were projected to have slower disease progression and better outcomes with lecanemab treatment.",Pratik Bhagunde; Natasha Penner; Brian A Willis; Robert Bell; Arnaud Charil; Michael C Irizarry; Steven Hersch; Larisa Reyderman,2026,2026,CPT: pharmacometrics & systems pharmacology,10.1002/psp4.70173,,https://pubmed.ncbi.nlm.nih.gov/41543367/,journal-article,europe_pmc;pubmed,europe_pmc_core;pubmed_core,indexed,,include,empirical,include_empirical,A data-fitted semi-mechanistic model simulates four-year clinical trajectories under treatment and placebo conditions.,exclude,not_applicable,no_learned_dynamics,The brain amyloid plaque levels affect clinical progression alzheimer disease assessment study uses prescribed mechanistic or statistical dynamics rather than a learned transition mechanism.,include,empirical,include_empirical,reviewer_consensus+independent_inclusion_qc,"A nonlinear mixed-effects disease-progression transition is fitted to placebo and lecanemab trial trajectories, links amyloid reduction to CDR-SB evolution, and is evaluated through four-year treatment simulations.",include,empirical,fitted_intervention_dynamics,"A nonlinear mixed-effects disease-progression transition is fitted to placebo and lecanemab trial trajectories, links amyloid reduction to CDR-SB evolution, and is evaluated through four-year treatment simulations.","Full text, Model development and Simulations: Richard's-function CDR-SB progression fit to Studies 201 and 301, amyloid-mediated treatment effect, and four-year projections.",high
ALT-ea1902cbb70e,fresh_alternate_public_search,Brain Latent Progression: Individual-based spatiotemporal disease progression on 3D Brain MRIs via latent diffusion,,Lemuel Puglisi; Daniel C. Alexander; Daniele Ravì,2025,2025,Medical Image Analysis,10.1016/j.media.2025.103734,,https://doi.org/10.1016/j.media.2025.103734,journal-article,crossref,"""latent dynamics"" medical",registered,,uncertain,empirical,insufficient_abstract,"Title suggests learned MRI progression dynamics, but no abstract confirms rollout, forecasting evaluation, or empirical results.",uncertain,empirical,insufficient_abstract,"The brain latent progression individual spatiotemporal disease progression 3d brain mris title plausibly denotes learned medical dynamics, but the missing abstract does not establish direct future or action evaluation.",include,empirical,include_empirical,reviewer_consensus+independent_inclusion_qc,A latent diffusion model learns subject-specific spatiotemporal MRI transitions and directly evaluates generated future brain anatomy across longitudinal follow-up horizons.,include,empirical,learned_multistep_dynamics,A latent diffusion model learns subject-specific spatiotemporal MRI transitions and directly evaluates generated future brain anatomy across longitudinal follow-up horizons.,"PMC full text, Method and Experiments: individual-conditioned latent diffusion over longitudinal 3D MRI with future-image similarity, morphometry, and progression evaluation.",high
ALT-d3411f7d184d,fresh_alternate_public_search,"CardamomOT: a mechanistic optimal transport-based framework for gene regulatory network inference, trajectory reconstruction and generative modeling","A key challenge in inferring gene regulatory networks (GRNs) governing cellular processes such as differentiation and reprogramming from experimental data lies in the impossibility of directly measuring protein dynamics at the single-cell level, which prevents establishing causal relationships between regulator activity and target responses. In earlier work, we introduced CARDAMOM, an algorithm that uses temporal snapshots of scRNA-seq data to calibrate a GRN-driven mechanistic model of gene expression. However, this method had several limitations: it could only rely on the relative ordering of time points rather than their exact labels, imposed restrictive quasi-stationary assumptions on protein dynamics, and depended on multiple hyperparameters. Here, we present CardamomOT, a new method based on the same mechanistic model that jointly reconstructs the GRN and unobserved protein trajectories from the data within a mechanistic optimal transport framework. By incorporating exact time labels and priors on protein kinetic rates from the literature, and substantially reducing the number of required hyperparameters, our approach addresses these limitations and substantially improves the accuracy and robustness of GRN calibration. We validate our framework on both in silico and experimental datasets, demonstrating computational scalability and consistently improved performance over state-of-the-art methods in both GRN and trajectory reconstruction. In particular, CardamomOT accurately recovers velocity fields driving cellular trajectories and unobserved protein levels, alongside reliable GRN structures. We also show that these improvements make the calibrated mechanistic model suitable to be used as a generative model to predict cellular responses to unseen perturbations. To our knowledge, this is among the first methods to explicitly integrate mechanistic GRN inference, trajectory reconstruction, and simulation of realistic datasets into a unified framework for scRNA-seq time series analysis. Author summary Predicting gene regulatory interactions and understanding how cellular trajectories respond to perturbations are central challenges in cell biology and bioinformatics, yet they have long been addressed as separate problems. Only a few recent approaches leverage temporal single-cell RNA sequencing data to jointly infer gene regulatory networks (GRNs) and cellular trajectories, including our previous method CARDAMOM. In this work, we introduce CardamomOT, a new framework that integrates optimal transport—a mathematical theory that has become widely used in computational biology in recent years—within a mechanistic modeling approach. This allows us to link cells across timepoints while jointly reconstructing the underlying, unobserved protein trajectories that drive gene regulation. By explicitly modeling these latent dynamics, our method substantially improves the robustness and accuracy of GRN inference. In contrast to many black-box approaches, CardamomOT is grounded in a biologically interpretable mechanistic model of gene expression, incorporating key processes such as transcriptional bursting, protein translation, and degradation. This framework naturally accommodates prior knowledge on RNA and protein kinetic rates available in the literature and remains consistent with the statistical properties of single-cell transcriptomic data. We demonstrate on both simulated and experimental datasets that CardamomOT accurately infers GRNs and reconstructs cellular trajectories. Moreover, because it provides a fully calibrated generative model, it can be used to predict cellular responses to unseen perturbations by modifying the inferred regulatory interactions.","Maugé Y, Ventre E.",2026,2026-04-02,,10.64898/2026.03.31.715390,,https://europepmc.org/article/PPR/PPR1215662,,europe_pmc,europe_pmc_core,indexed,,include,empirical,include_empirical,CardamomOT calibrates temporal cellular dynamics from data and evaluates generative responses to unseen perturbations.,include,empirical,include_empirical,The cardamomot mechanistic optimal transport gene regulatory network inference trajectory reconstruction study learns or calibrates temporal dynamics and directly evaluates temporal rollouts or simulated trajectories.,include,empirical,include_empirical,reviewer_consensus+independent_inclusion_qc,"CardamomOT calibrates gene-regulatory and latent protein transitions from time-labeled single-cell data, reconstructs trajectories, and evaluates generation under unseen regulatory perturbations.",include,empirical,calibrated_perturbation_dynamics,"CardamomOT calibrates gene-regulatory and latent protein transitions from time-labeled single-cell data, reconstructs trajectories, and evaluates generation under unseen regulatory perturbations.","Primary preprint, Results: GRN and protein-trajectory reconstruction on simulated and experimental data, velocity-field recovery, and unseen-perturbation response simulation.",high
