audit_id,final_decision,final_corpus_type,final_reason_code,lead_rationale,full_text_anchor,confidence
ALT-db944a487acf,exclude,not_applicable,outside_world_model_conceptual_boundary,"ARE-GAN performs ordinary Alzheimer disease-progression prediction by generating future MRI states and classifying progression; it is not framed as a world model, twin, or reusable dynamic simulator and is not used for model-based planning or closed-loop control.","Version-of-record Methods and Results: adaptive regression and ROI-enhanced GAN generation of future MRIs with image-similarity and disease-stage evaluation.",high
ALT-1dfb4e7629f9,exclude,not_applicable,outside_world_model_conceptual_boundary,"This is conventional semi-mechanistic pharmacometric disease-progression analysis linking amyloid reduction to CDR-SB and projecting treatment trajectories; it lacks qualifying simulator or twin identity and is not an internal planning or control environment.","Version-of-record Model development and Simulations sections: Richard's-function CDR-SB progression fitted to Studies 201 and 301, amyloid-mediated treatment effect, and four-year projections.",high
ALT-ea1902cbb70e,exclude,not_applicable,outside_world_model_conceptual_boundary,"The latent-diffusion model performs individualized future-MRI generation for disease-progression forecasting, but the authors do not frame it as a world model, twin, or reusable simulator and it is not used for iterative planning or control.","Version-of-record Method and Experiments: individual-conditioned latent diffusion over longitudinal 3D MRI with future-image similarity, morphometry, and progression evaluation.",high
ALT-949bc7547612,exclude,not_applicable,outside_world_model_conceptual_boundary,"Clinical-GAN is an ordinary subsequent-visit and clinical-event forecasting system; its generated trajectories are not given qualifying patient-simulator or world-model identity and do not support model-based planning or closed-loop control.","Version-of-record model and experiments: transformer generator and discriminator trained on more than 500,000 visits from about 196,000 patients and evaluated on subsequent-visit forecasting.",high
ALT-61ae05403063,exclude,not_applicable,outside_world_model_conceptual_boundary,"The continuous-time hidden Markov model is a conventional Huntington disease-progression and societal-cost model; synthetic-population intervention scenarios do not by themselves establish twin, patient-simulator, or world-model identity.","Version-of-record Methods and Results: cross-validated disease-state selection, transition-rate estimation, life-expectancy correction, and population-cost simulation under hypothetical interventions.",high
ALT-57f713cb9c2e,exclude,not_applicable,outside_world_model_conceptual_boundary,"This is a general model-discovery and selection method for noisy biological systems; simulations are used to recover equations and validate inference rather than to establish a reusable biomedical simulator or a planning environment.","Version-of-record Methods and Results: neural latent-dynamics fitting, SINDy model recovery, noise stress tests, and a single-cell transcriptomic state-transition application.",high
ALT-66f6aefba9e2,exclude,not_applicable,outside_world_model_conceptual_boundary,"DiSPAH is an ordinary latent-state disease-progression model estimating pathway and speed and forecasting future ALS course; it has no qualifying simulator, twin, planning, or closed-loop-control identity.","Version-of-record Model and Results: continuous-time hidden Markov transitions, individualized speed parameters, inferred ALS pathways, and held-out future-course prediction.",high
ALT-cf60ad3588b1,exclude,not_applicable,outside_world_model_conceptual_boundary,"The spatial neural network and hybrid PINN perform conventional epidemiological forecasting and latent-susceptible reconstruction; neither is framed as a qualifying dynamic simulator nor used as an environment for planning or control.","Version-of-record Forecasting experiments: England and Wales biweekly measles incidence, multi-horizon comparisons with TSIR, and latent-susceptible reconstruction.",high
ALT-50502bb290be,exclude,not_applicable,outside_world_model_conceptual_boundary,"The recurrent model performs ordinary multihorizon Alzheimer biomarker and clinical-status forecasting; it is not framed as a twin or reusable patient simulator and is not used for model-based planning or closed-loop control.","Version-of-record Methods and Experiments: joint imputation, biomarker forecasting, cognitive-trajectory estimation, and future clinical-status prediction on TADPOLE.",high
ALT-8b76200f7bab,exclude,not_applicable,outside_world_model_conceptual_boundary,"CKD-PM is a conventional patient-level state-transition and risk model assembled from published equations; use in patient-level simulations does not give it explicit world-model, twin, or reusable patient-simulator identity.","Version-of-record Model development and Validation: KDIGO state transitions, time-dependent eGFR and complication risks, calibration, and comparison with source and external cohorts.",high
ALT-d6d9b0f712ec,exclude,not_applicable,outside_world_model_conceptual_boundary,"SReFT-ML aligns fragmented observations to reconstruct a long-term diabetes disease course and associate it with outcomes; this is disease-progression estimation rather than an explicitly framed simulator or planning environment.","Version-of-record Method and Results: synthetic trajectory-recovery tests, ACCORD reconstruction, 30-year biomarker evolution, and outcome-risk associations.",high
ALT-f58f7b29b390,exclude,not_applicable,outside_world_model_conceptual_boundary,"The fitted tumor-growth-inhibition and survival model is conventional pharmacometric disease modeling and external qualification, without qualifying twin or simulator framing and without iterative planning or control.","Version-of-record TGI and TGI-OS model-development and external-qualification sections: CONFIRM fitting with PALOMA-3 and SANDPIPER validation.",high
