candidate_id,title,decision,corpus_type,reason_code,rationale,full_text_needed
MWM-0001,207 This Is Me! an interview tool for disabled children for self awareness and collaborative decision making in family centred care,exclude,not_applicable,no_world_model_dynamics,“207 This Is Me an interview tool for disabled children for self...” lacks a qualifying learned temporal rollout or action-conditioned medical dynamics mechanism.,no
MWM-0002,[From digitalization to embodied intelligence: technological innovation and paradigm shift in clinical stomatology].,exclude,not_applicable,review_not_primary,“[From digitalization to embodied intelligence: technological...” reviews a broader topic in which medical world models are not the primary subject.,no
MWM-0003,A Microbiome-Conditioned Reinforcement Learning Architecture for Closed-Loop Glycemic Control,exclude,not_applicable,no_empirical_evaluation,"“A Microbiome-Conditioned Reinforcement Learning Architecture for...” is conceptual, proposed, or protocol-only and reports no qualifying empirical dynamics evaluation.",no
MWM-0004,A radiographic world model for clinical reasoning and evidence generation,exclude,not_applicable,no_world_model_dynamics,“A radiographic world model for clinical reasoning and evidence...” lacks a qualifying learned temporal rollout or action-conditioned medical dynamics mechanism.,no
MWM-0005,A Survey of World Model Benchmarks,exclude,not_applicable,review_not_primary,“A Survey of World Model Benchmarks” reviews a broader topic in which medical world models are not the primary subject.,no
MWM-0006,A survey of world models for physical AI with uncertainty representation and control,exclude,not_applicable,wrong_domain,“A survey of world models for physical AI with uncertainty...” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,no
MWM-0007,A systematic review of human status epilepticus in organophosphate poisoning: A real-world Stage 1 Plus model?,exclude,not_applicable,no_world_model_dynamics,“A systematic review of human status epilepticus in...” lacks a qualifying learned temporal rollout or action-conditioned medical dynamics mechanism.,no
MWM-0008,A World Model of Radiologist Reading for Medical Image Representation Learning,include,empirical,include_empirical,Autoregressive fixation-trajectory modeling predicts next viewed patches and is evaluated on gaze and diagnostic benchmarks.,yes
MWM-0009,"A World Model of the Nuclear Fuel Cycle From Past Reconstruction to Future Assessment of Fuel Demand, Waste Treatment and Strategic Stability",exclude,not_applicable,duplicate_publication,This is a duplicate nuclear-fuel-cycle conference record in the same lineage as MWM-0203.,no
MWM-0010,Abstract No: 544 Prognostic Factors for Survival in Incident ESRD Patients on a Real-World Hybrid Hemodiafiltration Regimen: A Retrospective Cohort Study,exclude,not_applicable,static_prediction,"“Abstract No: 544 Prognostic Factors for Survival in Incident...” evaluates static prediction, classification, or risk estimation without state evolution or rollout.",no
MWM-0011,Action-Conditioned World Model for Goal Plane Probe Guidance in Robotic Ultrasound,include,empirical,include_empirical,The action-conditioned ultrasound model predicts future observations and is tested in closed-loop probe guidance.,yes
MWM-0012,Affective Music Recommendation: A Rollout-Based World Model for Offline Preference Optimization,exclude,not_applicable,wrong_domain,“Affective Music Recommendation: A Rollout-Based World Model for...” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,no
MWM-0013,Agentifying Patient Dynamics within LLMs through Interacting with Clinical World Model,include,empirical,include_empirical,A learned sepsis world model simulates treatment responses and is evaluated on MIMIC-IV policy value and safety.,yes
MWM-0014,AI and Pathology Training,exclude,not_applicable,review_not_primary,“AI and Pathology Training” reviews a broader topic in which medical world models are not the primary subject.,no
MWM-0015,AI-DRIVEN EVOLUTION IN SURGICAL ROBOTICS: A COMPREHENSIVE REVIEW OF ASSISTED AND AUTONOMOUS SURGERY,exclude,not_applicable,review_not_primary,“AI-DRIVEN EVOLUTION IN SURGICAL ROBOTICS: A COMPREHENSIVE REVIEW...” reviews a broader topic in which medical world models are not the primary subject.,no
MWM-0016,An Explicit World Model Based on Data-First Ontology: DaoQL Multimodal Storage Validation and Counterfactual Reasoning Evaluation,exclude,not_applicable,wrong_domain,“An Explicit World Model Based on Data-First Ontology: DaoQL...” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,no
MWM-0017,An Omitted Mode Is a Rare Rule: The Sampling-Verification Danger Law in Continuous Code World Models,exclude,not_applicable,wrong_domain,“An Omitted Mode Is a Rare Rule: The Sampling-Verification Danger...” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,no
MWM-0018,Arti-JEPA: Adapting Video World Model to Real-Time MRI of the Vocal Tract for Speech-Production Analysis,include,empirical,include_empirical,The adapted temporal latent-prediction model uses vocal-tract MRI and is empirically evaluated on clinical speech tasks.,yes
MWM-0019,Artificial intelligence applications in infectious disease surveillance and outbreak prevention at mass gatherings: The Hajj experience,exclude,not_applicable,no_world_model_dynamics,“Artificial intelligence applications in infectious disease...” lacks a qualifying learned temporal rollout or action-conditioned medical dynamics mechanism.,no
MWM-0020,"AUGMANITAI / NEOMANITAI — Explicitation Protocol and Factor-Graph-Based World Models: Complementary Positioning Working Paper (Restricted Snapshot v5, 2026-04-24)",exclude,not_applicable,wrong_domain,“AUGMANITAI / NEOMANITAI — Explicitation Protocol and...” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,no
MWM-0021,"AUGMANITAI Foundational Documents I–X — Field-Definition Statements: Safety Charter, Sub-Disciplines, Provenance & Extensions (Restricted)",exclude,not_applicable,wrong_domain,“AUGMANITAI Foundational Documents I–X — Field-Definition...” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,no
MWM-0022,"AUGMANITAI Prior-Art Working Notes — Descriptive Terminological Frames, Collection 1/5 (85 working notes)",exclude,not_applicable,wrong_domain,“AUGMANITAI Prior-Art Working Notes — Descriptive Terminological...” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,no
MWM-0023,"AUGMANITAI Prior-Art Working Notes — Descriptive Terminological Frames, Collection 2/5 (85 working notes)",exclude,not_applicable,wrong_domain,“AUGMANITAI Prior-Art Working Notes — Descriptive Terminological...” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,no
MWM-0024,"AUGMANITAI Prior-Art Working Notes — Descriptive Terminological Frames, Collection 3/5 (85 working notes)",exclude,not_applicable,wrong_domain,“AUGMANITAI Prior-Art Working Notes — Descriptive Terminological...” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,no
MWM-0025,"AUGMANITAI Prior-Art Working Notes — Descriptive Terminological Frames, Collection 4/5 (85 working notes)",exclude,not_applicable,wrong_domain,“AUGMANITAI Prior-Art Working Notes — Descriptive Terminological...” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,no
