"audit_id","title","qc_decision","qc_corpus_type","qc_reason_code","qc_rationale","full_text_anchor","confidence"
"AUD-33eaf98b7a7b","A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.","include","empirical","action_conditioned_closed_loop_control","Individual fMRI time series train nonlinear dynamical-system-reconstruction models of resting and sad-mood brain states; optimal-control rollouts directly evaluate target-state convergence, trajectory likelihood, and control energy.","Version-of-record Methods on DSR and optimal control; Results and Figures 3-4 on generated controlled trajectories, target NLL, and control-energy comparisons.","high"
"AUD-2032d96347c9","A Neurosymbolic Approach for Constructing Planning Domain Models from Clinical Narratives","include","empirical","learned_action_transition_model","From 2,660 appendectomy narratives, NSPIN learns PPDDL action preconditions, probabilistic effects, and a data-driven next-action transition model; held-out observation and action prediction are evaluated with top-k accuracy, NLL, and true-action-disallowed rate.","Primary arXiv full text, Data-Driven Induction and evaluation Tables 1-3 on learned PPDDL effects and held-out transition prediction.","high"
"AUD-cfaad4cb121e","Human–Machine Co-Adaptation for Robot-Assisted Rehabilitation via Dual-Agent Multiple Model Reinforcement Learning (DAMMRL)","exclude","not_applicable","policy_learning_without_learned_dynamics","The rehabilitation environment uses designable PD/PID human and machine subcontrollers plus a hand-built Simulink robot; neural networks learn submodel-switching policies, not a patient or robot transition mechanism from observed data.","Full arXiv text states that the submodels are designable and parameterized, while PPO learns adaptive switching; subject experiments evaluate control behavior rather than learned dynamics.","high"
"AUD-8a8d58a5c704","Learning Dynamic Representations and Policies from Multimodal Clinical Time-Series with Informative Missingness","include","empirical","learned_action_conditioned_latent_dynamics","MIMIC and eICU trajectories train an action-conditioned latent transition p(z[h+1] | z[h], phi[h], a[h]) with a dynamics-consistency loss; treatment policies using that state model are evaluated by FQE, bootstrap checks, and cross-dataset transfer.","ACL full text, Section 3.1.2 VAE transition equation and Section 4 plus appendices reporting FQE and cross-dataset policy evaluation.","high"
"AUD-f207351174df","MicroVerse: A Preliminary Exploration Toward a Micro-World Simulation","exclude","not_applicable","wrong_domain","The model is fine-tuned on public educational microscopy-style videos and evaluated for visual and instruction fidelity; it does not learn a transition for an observed medical or biomedical system and explicitly does not reproduce wet-lab dynamics.","ICLR 2026 full text, dataset construction and Limitation section stating that biomedical physical laws are not modeled and wet-lab results are not reproduced.","high"
"AUD-f860c86723ab","T-World Virtual Human Cardiomyocyte. I. Development, Validation, and Cell Arrhythmogenesis.","exclude","not_applicable","hand_specified_mechanistic_dynamics","T-World is a manually assembled system of biophysical ODE modules adapted from prior cardiomyocyte models, with selected parameters optimized to experimental targets; the transition law itself is not learned or adapted from observed state sequences.","Version-of-record Methods describes hand-constructed ionic-current, calcium, signaling, and contraction equations followed by component-level parameter optimization.","high"
"AUD-f3e048ff7f5e","A Bayesian mixture model for Poisson network autoregression.","include","empirical","learned_one_step_state_transition","Bayesian Poisson network-autoregressive coefficients and county clusters are inferred from weekly Irish COVID-19 counts, defining a learned next-week count transition; week-25 leave-future-out forecasts and predictive calibration are directly evaluated.","Version-of-record Sections 3 and 5, posterior predictive equation for Y[T+1], week-25 MASE comparison, and randomized-PIT calibration analysis.","high"
"AUD-c77c5cd83736","A Novel Model for Generating Patient Laboratory Test Orders from Admission: Transformer Model Approach","exclude","not_applicable","no_substantive_medical_state","GPT-2 learns the sequence of clinicians' laboratory-order tokens from admission to discharge, but the generated process is an ordering workflow rather than an evolving patient physiological, pathological, cellular, or device state.","Primary proceedings abstract and methods describe tokenized laboratory-order generation and F-score evaluation, with no modeled patient-state transition or physiological rollout.","high"
"AUD-47c956072226","GeneJepa: A Predictive World Model of the Transcriptome","exclude","not_applicable","static_or_endpoint_prediction","GeneJepa predicts masked gene-set embeddings within single-cell transcriptomic snapshots and transfers representations to drug-response and perturbation endpoints; it does not learn or evaluate baseline-to-future cellular state evolution or recursive rollout.","Primary bioRxiv text describes JEPA masked-gene latent prediction and downstream perturbation benchmarks, without a temporal or action-conditioned state-transition experiment.","high"
"AUD-df92422224c9","Integrating Process Mining and Machine Learning for Surgical Workflow Optimization: A Real-World Analysis Using the MOVER EHR Dataset","exclude","not_applicable","no_learned_transition","The study discovers a descriptive Petri-net workflow and trains a Random Forest for delayed-recovery classification; neither component learns a forward clinical-state transition or evaluates generated future workflow trajectories.","Full article methods and results report heuristic control-flow discovery, conformance scores, clustering, and a delayed-recovery endpoint classifier only.","high"
