audit_id,route,title,reviewer_a_decision,reviewer_a_corpus_type,reviewer_a_reason_code,reviewer_a_rationale,reviewer_b_decision,reviewer_b_corpus_type,reviewer_b_reason_code,reviewer_b_rationale,final_decision,final_corpus_type,final_reason_code,adjudication_rationale
AUD-7079600c723b,primary_medical_filter_residual,A frontal cortical world model shapes inference of causal relationships in hippocampus,exclude,empirical,no_learned_dynamics,"The reported world model is a cognitive representation, not a transition simulator learned or calibrated from biomedical observations.",exclude,not_applicable,wrong_domain,Abstract causal-task structure; The modeled system is outside a substantive medical or biomedical state.,,,,
AUD-5dde3c545ed5,primary_phrase_filter_residual,Deep Reinforcement Learning of Dynamic Treatment Policies for Chronic Kidney Disease from Longitudinal Electronic Health Records,uncertain,uncertain,inaccessible_full_text,"No abstract or stable full text was accessible, so model-based dynamics and their evaluation cannot be verified.",uncertain,uncertain,inaccessible_full_text,Unclear ckd treatment-policy dynamics; Primary text was insufficient to make a defensible eligibility decision.,,,,
AUD-5a52431a4a41,primary_phrase_filter_residual,Echo-POSED: Geometric Self-Distillation for Echocardiography Guidance,exclude,empirical,no_learned_dynamics,"Closed-loop guidance uses a proportional controller, but the ultrasound environment transition is not learned.",include,empirical,include_empirical,Action-to-view geometric transitions; directly evaluated through virtual perturbation and guidance trajectories.,,,,
AUD-f207351174df,primary_phrase_filter_residual,MicroVerse: A Preliminary Exploration Toward a Micro-World Simulation,include,empirical,include_empirical,The learned generator produces and directly evaluates biomedical micro-scale dynamics.,exclude,empirical,no_future_or_action_evaluation,"Text-to-video biological content generation; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics.",,,,
AUD-e7a5b608002f,primary_phrase_filter_residual,TwinCell: Large Causal Cell Model for Reliable and Interpretable Therapeutic Target Prioritisation,exclude,empirical,no_future_or_action_evaluation,It explicitly prioritizes targets rather than predicting or rolling out perturbation-induced cell-state transitions.,include,empirical,include_empirical,Causal cellular perturbation model; directly evaluated through held-out perturbation and target recovery.,,,,
AUD-47c956072226,primary_medical_filter_residual,GeneJepa: A Predictive World Model of the Transcriptome,exclude,empirical,no_future_or_action_evaluation,Masked representation and endpoint benchmarks do not directly evaluate cellular trajectories or action-conditioned transitions.,include,empirical,include_empirical,Transcriptomic perturbation model; directly evaluated through drug-response and perturbation prediction.,,,,
AUD-df92422224c9,primary_phrase_filter_residual,Integrating Process Mining and Machine Learning for Surgical Workflow Optimization: A Real-World Analysis Using the MOVER EHR Dataset,exclude,empirical,no_future_or_action_evaluation,Conformance and endpoint classification do not evaluate learned workflow rollouts or action responses.,include,empirical,include_empirical,Data-discovered surgical workflow transitions; directly evaluated through conformance fitness precision and timing.,,,,
AUD-c86bf88eead0,primary_phrase_filter_residual,Learning produces an orthogonalized state machine in the hippocampus.,include,empirical,include_empirical,Observed physiological neural dynamics are learned and directly reproduced.,exclude,not_applicable,wrong_domain,Hidden-state task model; The modeled system is outside a substantive medical or biomedical state.,,,,
AUD-4cbb5268d051,primary_phrase_filter_residual,Short- and long-term weekly patient-reported outcomes prediction undergoing radiotherapy: single-patient time series model vs. transformer-based multi-patient time series model,exclude,empirical,no_future_or_action_evaluation,This is ordinary outcome forecasting without action-conditioned patient-state dynamics.,include,empirical,include_empirical,Multivariate patient-reported outcome dynamics; directly evaluated through short and long multi-horizon forecasts.,,,,
AUD-9531c80046d7,primary_phrase_filter_residual,A Clinical Pathway Model for Severe Stroke Rehabilitation based on Process Mining,exclude,empirical,no_future_or_action_evaluation,The accessible report supports pathway discovery rather than evaluated future workflow generation or intervention response.,uncertain,uncertain,inaccessible_full_text,Possibly mined rehabilitation workflow; Primary text was insufficient to make a defensible eligibility decision.,,,,
AUD-b1df0d01e706,primary_phrase_filter_residual,Toward Personalized Salbutamol Therapy: Validating Virtual Patient-Derived Population Pharmacokinetic Model with Real-World Data,exclude,empirical,no_learned_dynamics,The transition model is not learned or calibrated from observed patient data in this study.,include,empirical,include_empirical,Fitted population pharmacokinetic dynamics; directly evaluated through real-patient concentration-trajectory validation.,,,,
AUD-94d47cf0b09a,primary_phrase_filter_residual,A Longitudinal Chronic Disease Risk Lifecycle Management Model for EHR-Based Systems,exclude,empirical,no_primary_empirical_evaluation,The paper does not report a separately extractable empirical dynamics experiment.,exclude,not_applicable,no_primary_empirical_evaluation,Conceptual lifecycle architecture; The primary record lacks extractable empirical dynamics methods and results.,,,,
AUD-f0bd315b247d,primary_phrase_filter_residual,BrainLM: A foundation model for brain activity recordings,include,empirical,include_empirical,The model directly predicts future physiological brain states from observed dynamics.,exclude,empirical,no_future_or_action_evaluation,"Masked brain-recording representation; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics.",,,,
AUD-4e37c79357ee,primary_phrase_filter_residual,A Blood Glucose Control Framework Based on Reinforcement Learning With Safety and Interpretability: In Silico Validation,exclude,empirical,no_learned_dynamics,"Training uses simulated trajectories rather than observed patient dynamics, while simulator transitions remain external.",include,empirical,include_empirical,Learned glucose predictor supporting control; directly evaluated through in-silico closed-loop glucose trajectories.,,,,
