candidate_id,title,abstract,final_corpus_type,authors,year,publication_date,venue,doi,arxiv_id,url,record_type,sources,query_labels,source_status,final_decision,final_reason_code,resolution_route,adjudication_rationale,source_routes,source_record_ids,exact_match_group_size,manual_lineage_review_required
MWM-XA9B007D895,A Blood Glucose Control Framework Based on Reinforcement Learning With Safety and Interpretability: In Silico Validation,"Controlling blood glucose levels in diabetic patients is important for managing their health and quality of life. Several algorithms based on model predictive control and reinforcement learning (RL) have been proposed so far, most of which use prior knowledge of physiological systems, the mathematical structure of blood glucose dynamics, and many episodes including failures for training the policy network in RL. To be smoothly adopted in clinical settings, we propose a fast online learning method underlining safety and interpretability. A random forest regressor and a dual attention network were exploited for glucose prediction and extension of state variables. The soft actor-critic network to determine insulin dosing was guided by proportional-integral-derivative (PID) control in the early phase, and an adaptive safe actor with suspension and additional insulin dosing was incorporated. The performance of the models was validated using an FDA-approved type 1 diabetes simulator. The results showed comparable outcomes with PID control. Using this system, glucose dynamics could be captured despite minimal prior knowledge. The extended state variables were correlated with basic states such as glucose, insulin, and meal intake, their derivatives, and their integrals, which can be fundamental elements of mathematical modeling of physiological responses. Attention scores and attribution scores in the prediction and control models represented the focused features and the internal operation of the models with interpretability. We expect this study to provide some insights on how RL can be practically adopted in clinical environments and how interpretability can provide hints of machines' thoughts for clinical applications.",empirical,Min Hyuk Lim; Woo Hyung Lee; Byoungjun Jeon; Sungwan Kim,2021,2021-01-01,IEEE Access,10.1109/access.2021.3100007,,https://doi.org/10.1109/access.2021.3100007,article,['openalex'],"['""world model"" clinical', '""world model"" medicine', '""world model"" patient', '""world model"" physiology']",open-access,include,include_empirical,merged_inclusion_sources,"Online RFR and dual-attention models learn 30-45-minute glucose transitions from glucose, insulin action, and meal histories; these predictions form extended states and safety triggers for SAC, with forecast and closed-loop trajectory evaluation in the UVA/Padova simulator.",exhaustive_rescreen,AUD-4e37c79357ee,1,no
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,"Altered affective state dynamics are a characteristic feature of depression and can persist beyond symptomatic remission. Individuals with remitted major depressive disorder (rMDD) often show heightened reactivity to negative mood states and reduced efficiency in recovering from them, consistent with changes in affective dynamics after remission. These patterns may reflect alterations in the brain's capacity to flexibly shift between neural states that support distinct affective modes. Characterizing the dynamical mechanisms that govern transitions into and out of experimentally induced affective states is therefore essential for understanding vulnerability to recurrence and informing mechanistic interventions. We developed a data-driven framework combining dynamical system reconstruction (DSR) with model-based control to infer optimal control policies for transitions between resting and sad mood brain states using functional magnetic resonance imaging (fMRI) data. Nonlinear DSR models trained on individuals with rMDD and healthy controls (HC) yielded region-specific, state-dependent control strategies. Small regions (e.g., sgACC, NAcc) showed higher controllability, requiring less energy for state transitions. Notably, rMDD participants required less control energy than HC to shift both into and, to a more spatially restricted extent, out of sad mood states. Despite reaching the resting state target with similar proximity, however, they remained closer to the sad mood distribution when returning to rest, reflecting a residual bias toward the sad mood distribution. Elevated coupling in rMDD, especially toward the DLPFC, was linked to lower control energy, suggesting that stronger network coupling facilitates transitions. These findings indicate rMDD dynamics that ease entry into sad mood states but impede full disengagement. More broadly, they demonstrate how closed-loop control applied to data-driven dynamical models can provide mechanistic insight into brain state transitions and inform future hypotheses about cognitive vulnerability or compensatory processes.",empirical,"Emonds N, Herberg E, Gerchen MF, Pritsch M, Rocha J, Zamoscik V, Kirsch P, Herzog R, Koppe G.",2026,2026-08-01,,10.1002/hbm.70600,,https://europepmc.org/article/MED/42454569,,['europe_pmc'],['europe_pmc_core'],indexed,include,include_empirical,merged_inclusion_sources,"Individual fMRI time series train nonlinear dynamical-system-reconstruction models of resting and sad-mood brain states; optimal-control rollouts directly evaluate target-state convergence, trajectory likelihood, and control energy.",exhaustive_rescreen,AUD-33eaf98b7a7b,1,no
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,,empirical,Shoumik Roychowdhury; Shounak Roychowdhury,2020,2020,2020 International Joint Conference on Neural Networks (IJCNN),10.1109/ijcnn48605.2020.9206875,,https://doi.org/10.1109/ijcnn48605.2020.9206875,proceedings-article,crossref,"""disease progression model"" generative intervention",registered,include,include_empirical,merged_inclusion_sources,A conditional GAN learns longitudinal Alzheimer state progression and recursively generates later disease-stage trajectories; future stage outputs are directly compared with held-out longitudinal patient sequences.,expanded_search,ALT-10e1e2640b93,1,no
MWM-0008,A World Model of Radiologist Reading for Medical Image Representation Learning,"Radiologist eye-tracking data provide a rich record of how experts search, compare, and accumulate evidence during image reading; yet, existing methods exploit this signal only partially, either as a static spatial prior or as an auxiliary prediction target decoupled from diagnosis. We propose GazeWorld, a medical imaging world model that treats the image as the world and the radiologist's fixation sequence as a trajectory through it. GazeWorld autoregressively predicts the latent representation of the next fixated patch from all previously visited ones, while a spatial-completion branch covers unvisited regions. At inference, GazeWorld generates a sequence of patch representations from the image alone without requiring real gaze data. Frozen GazeWorld features achieve state-of-the-art diagnostic accuracy across all nine supervised settings on CheXpert, RSNA Pneumonia, and SIIM-ACR Pneumothorax, as well as the highest zero-shot accuracy on all three benchmarks. On the GazeSearch benchmark, a generic decoder trained on the same frozen features outperforms the purpose-built LogitGaze-Med by over 16\% in ScanMatch and 22\% in SED, despite not being explicitly trained to predict gaze. GazeWorld demonstrates that modeling how experts read, not just what they conclude, offers a promising pretraining paradigm for medical imaging AI.",empirical,Yiwei Li; Zihao Wu; Huaqin Zhao; Yifan Zhou; Chao Cao; Dajiang Zhu; Tianming Liu; Lin Zhao,2026,2026-05-17,arXiv (Cornell University),,2605.23992,https://arxiv.org/abs/2605.23992,preprint,openalex,"""world model"" clinical;""world model"" patient",open-access,include,include_empirical,merged_inclusion_sources,A: The medical gaze-transition model has direct sequence-level evaluation of its predicted reading trajectories. B: A learned radiologist-reading trajectory model is empirically tested for scanpath fidelity and medical-image utility.,existing,MWM-0008,1,no
MWM-X36A3691F14,A data-driven Alzheimer's disease progression simulator for retrospective validation and prospective Phase III power design.,"Anti-amyloid immunotherapies have recently demonstrated the first significant slowing of cognitive decline in Alzheimer's disease (AD), yet clinical benefit varies markedly across drugs and scales with the completeness of amyloid clearance. Pharmacokinetic/pharmacodynamic (PK/PD) models are currently the standard tool for trial simulation, but they typically operate on single biomarkers and rely on drug-concentration assumptions, leaving the multi-scale cascade from amyloid clearance through tau, neurodegeneration, and cognition largely unmodelled. No existing framework has been jointly validated against the quantitative outcomes of multiple real-world phase III trials, spanning clearance kinetics, multi-modal biomarker trajectories, and statistical power. We present a trial simulation platform based on SimulAD, a disease progression model trained exclusively on longitudinal observational data from ADNI, with no access to trial-arm labels or drug-specific outcomes. SimulAD encodes intervention as piecewise amyloid clearance terms within a latent ordinary differential equation system that jointly governs amyloid, tau, structural MRI, and cognitive trajectories under the amyloid cascade hypothesis. We retrospectively simulated six landmark phase III anti-amyloid trials (TRAILBLAZER-ALZ2, CLARITY AD, EMERGE and ENGAGE, GRADUATE I and GRADUATE II) using a single trained model with trial-specific calibration limited to amyloid clearance kinetics. SimulAD reproduced published mean centiloid reductions within 5% error across all six trials and generated CDR-SB distributions broadly consistent with reported placebo and treated-arm outcomes. In a retrospective power analysis, calibrated simulations separated the three positive from the three null trials, with EMERGE near the decision boundary and ENGAGE and both GRADUATE trials below it. Across trials, higher amyloid-clearance rates were associated with larger calibrated clinical effects and lower estimated sample sizes. These results establish SimulAD as a valid disease-progression-centric trial simulator providing quantitative guidance on sample size planning and treatment kinetics optimisation that is grounded in the full multi-modal biomarker cascade of AD.",empirical,Marco Lorenzi; Anna Custo; Giovanni B Frisoni; Valentina Garibotto,2026,2026,medRxiv : the preprint server for health sciences,10.64898/2026.05.03.26352317,,https://pubmed.ncbi.nlm.nih.gov/42145636/,journal-article,europe_pmc;pubmed,europe_pmc_core;pubmed_core,indexed,include,include_empirical,merged_inclusion_sources,"SimulAD learns a latent ODE transition over amyloid, tau, MRI, and cognition from longitudinal ADNI data, then evaluates intervention-conditioned multistep trajectories against six Phase III trials and power outcomes.",expanded_search,ALT-36a3691f146d,1,no
MWM-XB41D731350,A digital twin for hospital antimicrobial resistance forecasting and constrained intervention optimisation,"A bstract Hospital antimicrobial resistance (AMR) emanates from an array of complex interactions between patient turnover, heterogeneous patient–staff contact patterns, antibiotic-driven within-host selection, and imperfect surveillance. We present a hospital AMR digital twin that combines mechanistic simulation with temporal graph learning to forecast resistance emergence from evolving daily contact networks and enable support intervention planning. Our approach is twofold: graph neural networks and transformers to model predictions and mathematical programming optimization to provide decision support. The main predictive task asks whether future spread of resistant infections is more likely to be driven by endogenous hospital transmission and selection or from importation on admission. We evaluated this task under both fully observed and partially observed settings, using baseline benchmarks together with ablations, surveillance perturbations, and distribution-shift stress tests. Under canonical conditions, the model achieved very strong predictive performance, especially when ground-truth system states were available, and remained informative under partial observation. Ablations showed that contact-weight information was relatively robust, whereas compressed node-feature representations weakened performance more noticeably when observations were incomplete. Surveillance stress tests further showed that delayed or less frequent reporting can be tolerated in some settings, but threshold calibration becomes fragile under more severe observation changes. Across broader epidemiological and surveillance shifts, the ground-truth model generally preserved strong ranking ability, while partial-observation performance was less stable. When models were trained directly in the shifted regime, performance improved compared with zero-shot transfer, indicating that the digital twin can adapt to new and previously unseen operating conditions but that portability across regimes can improve, particularly when only partial surveillance data are available. We also evaluated intervention-conditioned forecasting by branching hospital states into a small library of screening and isolation policies under a shock-and-superspreader regime. The learned models supported useful within-state action ranking and frequently identified policies that improved on the baseline containment protocols or avoided worsening outcomes. The same digital twin can also support constrained intervention selection, although reliable deployment will require careful calibration, improved robustness under partial observation, and broader policy libraries.",empirical,"Triantafyllidis CP, Aguas R.",2026,2026-05-22,openRxiv,10.64898/2026.05.15.26353296,,https://europepmc.org/article/PPR/PPR1237042,posted-content,crossref;europe_pmc,"""clinical digital twin"" intervention;""intervention-conditioned forecasting"" clinical;europe_pmc_core",indexed,include,include_empirical,merged_inclusion_sources,Temporal graph and transformer models learn resistance-spread transitions from evolving hospital contact states; branched screening and isolation policies are evaluated by future-state forecasts and within-state action ranking.,expanded_search,ALT-b41d73135078,1,no
MWM-XF6449FE2D4,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,"Abstract Acute kidney injury in sepsis evolves over hours to days, yet most ICU models emphasize onset and provide limited insight into cardio-renal interactions. We developed AKI-twinX, an organ-structured, explainable digital twin that jointly forecasts acute kidney injury onset, acute kidney injury trajectory, and near-term mortality risk. The model learns renal and cardiovascular latent states with sparse feature gating and captures cross-organ coupling with attention. We trained AKI-twinX on MIMIC-IV sepsis using 5-fold cross-validation and evaluated it on an Indiana University Health cohort. Discrimination was consistent across systems (AUC: mortality 0.86-0.88, acute kidney injury onset 0.78-0.82, acute kidney injury trajectory 0.73-0.78). In vasopressor-treated windows, 12-hour systolic blood pressure forecasts tracked observed values (mean absolute error 8.5 mmHg). Counterfactual vasopressor withdrawal shifted predicted blood pressure downward and increased predicted risk, supporting sensitivity to clinically meaningful interventions. AKI-twinX enables trajectory-aware forecasting with bedside auditability in sepsis.",empirical,Jinjin Cai; Allison E Gatz; Jiangqiong Li; Deborupa Pal; Haixu Tang; Michael T Eadon; Baijian Yang; Lingzhong Meng; Jing Su,2026,2026,openRxiv,10.64898/2026.03.13.26346736,,https://doi.org/10.64898/2026.03.13.26346736,posted-content,crossref,"""medical digital twin"" trajectory;""physiological trajectory"" forecasting",registered,include,include_empirical,merged_inclusion_sources,"The model learns coupled renal and cardiovascular latent transitions from MIMIC-IV, validates AKI and blood-pressure trajectories externally, and tests vasopressor-withdrawal counterfactual responses.",expanded_search,ALT-f6449fe2d40f,1,no
MWM-0011,Action-Conditioned World Model for Goal Plane Probe Guidance in Robotic Ultrasound,"We present an action-conditioned world model framework for goal plane probe guidance in robotic ultrasound, with a focus on neck ultrasound scanning. Autonomous ultrasound tasks often require large numbers of probe-motion trajectories for training, but collecting high-quality demonstrations is labor-intensive and explicit simulators are difficult to build because ultrasound appearance depends on contact, tissue deformation, and view-dependent acoustic artifacts. We address this problem with a two-stage model-based learning pipeline. First, a latent conditional diffusion world model predicts future ultrasound observations from recent context frames, probe motions and temporal offset. Second, a goal-conditioned temporal transformer predicts ordered probe motions and is fine-tuned using rewards from the frozen world model. Experiments on the self-collected dataset show that the world model preserves action-dependent anatomical structure on target-directed scans. In real-world closed loop experiments, the framework achieves success rates of 70.0\% for carotid guidance and 65.0\% for thyroid guidance. These results demonstrate the potential of learned ultrasound dynamics for training goal-directed robotic probe navigation.",empirical,Siqi Fan; Mingcong Chen; Ran Liu; Zixuan Yang; Xiaoyu Fu; Xiaoqing Gao; Yunhui Liu; Hongbin Liu,2026,2026-07-24,arXiv (Cornell University),,2607.21918,https://arxiv.org/abs/2607.21918,preprint,openalex,"""world model"" echocardiography;""world model"" medicine;""world model"" patient;""world model"" physiology",open-access,include,include_empirical,merged_inclusion_sources,A: The model learns and directly evaluates action-conditioned medical-image dynamics for control. B: The action-conditioned observation model is evaluated directly and through real closed-loop control.,existing,MWM-0011,1,no
MWM-0012,Affective Music Recommendation: A Rollout-Based World Model for Offline Preference Optimization,"Functional music applications, from consumer focus and sleep aids to clinical interventions, share a distinctive recommendation problem: success is defined by the listener's affective state, but online experimentation on emotion is ethically constrained, particularly for clinical populations who cannot reliably skip a song or report distress. We describe AMRS, the Affective Music Recommendation System deployed on LUCID's health-and-wellness platforms, which serve clinical users (primarily older adults with neurocognitive conditions) and consumer-wellness users across energize, focus, calm, and sleep modes. AMRS is built around a rollout-based world model: a causal transformer trained on logged listening data to jointly predict engagement, binary rating, and self-reported valence and arousal. The world model serves both as an in-silico simulator for offline policy training and as a stress-testing tool before deployment. A recommender policy initialized by behaviour cloning is fine-tuned offline with Direct Preference Optimization (DPO) against a configurable multi-objective utility function. Under a strict cold-start protocol, the world model predicts both behavioural and affective signals with usable fidelity; DPO improves predicted valence and arousal over the cloned baseline while maintaining a similar diversity profile and avoiding the distributional collapse produced by greedy optimization. We position the work as an early deployed validation of a methodology for affective recommendation when online experimentation is ethically untenable.",empirical,Audrey Chan; Aaron Labbe; Jacob Lavoie; Jordan Bannister; Arsène Fansi Tchango; Guillaume Lajoie; Laurent Charlin,2026,2026-05-27,arXiv (Cornell University),10.48550/arxiv.2605.28810,2605.28810,https://arxiv.org/abs/2605.28810,preprint,openalex,"""world model"" clinical;""world model"" medicine;""world model"" patient;""world model"" treatment",open-access,include,include_empirical,merged_inclusion_sources,The system is deployed on health-and-wellness platforms serving clinical populations and directly evaluates affective-state rollouts and offline policy optimization; retain as a peripheral clinical application.,existing,MWM-0012,1,no
MWM-0013,Agentifying Patient Dynamics within LLMs through Interacting with Clinical World Model,"Sepsis management in the ICU requires sequential treatment decisions under rapidly evolving patient physiology. Although large language models (LLMs) encode broad clinical knowledge and can reason over guidelines, they are not inherently grounded in action-conditioned patient dynamics. We introduce SepsisAgent, a world model-augmented LLM agent for sepsis treatment recommendation. SepsisAgent uses a learned Clinical World Model to simulate patient responses under candidate fluid--vasopressor interventions, and follows a propose--simulate--refine workflow before committing to a prescription. We first show that world-model access alone yields inconsistent LLM decision performance, motivating agent-specific training. We then train SepsisAgent through a three-stage curriculum: patient-dynamics supervised fine-tuning, propose--simulate--refine behavior cloning, and world-model-based agentic reinforcement learning. On MIMIC-IV sepsis trajectories, SepsisAgent outperforms all traditional RL and LLM-based baselines in off-policy value while achieving the best safety profile under guideline adherence and unsafe-action metrics. Further analysis shows that repeated interaction with the Clinical World Model enables the agent to learn regularities in patient evolution, which remain useful even when simulator access is removed.",empirical,Minghao Wu; Yuting Yan; Zhenyang Cai; Ke Ji; Chuangsen Fang; Ziying Sheng; Xidong Wang; Rongsheng Wang; Hejia Zhang; Shuang Li; Benyou Wang; Hongyuan Zha,2026,2026-05-14,arXiv (Cornell University),10.48550/arxiv.2605.14723,2605.14723,https://doi.org/10.48550/arxiv.2605.14723,preprint,openalex,"""clinical world model"";""world model"" clinical;""world model"" patient;""world model"" physiology;""world model"" treatment",open-access,include,include_empirical,merged_inclusion_sources,A: Learned patient dynamics are used and evaluated for clinical treatment planning. B: Both the clinical dynamics simulator and world-model-assisted treatment policy are tested.,existing,MWM-0013,1,no
