audit_id,route,title,reviewer_c_decision,reviewer_c_reason_code,reviewer_c_rationale,reviewer_d_decision,reviewer_d_reason_code,reviewer_d_rationale
ALT-f2248af7866f,fresh_alternate_public_search,A Bayesian disease progression model for Major Depressive Disorder,uncertain,insufficient_abstract,The missing abstract prevents determining whether this Bayesian progression model supports transitions or rollouts.,exclude,no_future_or_action_evaluation,"The bayesian disease progression major depressive disorder study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning."
ALT-b2249eb31bfe,fresh_alternate_public_search,A Model to Assess the Outcomes Associated With Dementia With Lewy Bodies.,include,include_empirical,Longitudinally estimated state transitions drive cohort rollouts and a counterfactual progression-risk intervention.,exclude,review_not_primary,This review centers on assess outcomes associated dementia lewy bodies rather than evaluated medical learned world-model dynamics as its primary subject.
ALT-7637963d5f0f,fresh_alternate_public_search,A multidimensional ODE-based model of Alzheimer's disease progression,include,include_empirical,Longitudinal data fit multivariate dynamics that roll out biomarker trajectories and predict diagnostic conversion.,exclude,no_learned_dynamics,The multidimensional ode alzheimer s disease progression study uses prescribed mechanistic or statistical dynamics rather than a learned transition mechanism.
ALT-6fcc7e27909c,fresh_alternate_public_search,A Multimodal Disease Progression Model for Genetic Associations with Disease Dynamics,exclude,no_future_or_action_evaluation,"The title emphasizes genetic association with disease dynamics, not evaluated future-state rollouts or interventions.",uncertain,insufficient_abstract,"The multimodal disease progression genetic associations disease dynamics title plausibly denotes learned medical dynamics, but the missing abstract does not establish direct future or action evaluation."
ALT-eb7ba539fd65,fresh_alternate_public_search,A Novel Coupling Model of Physiological Degradation and Emotional State for Prediction of Alzheimer's Disease Progression.,include,include_empirical,The coupling model represents physiological and emotional state transitions and directly evaluates longitudinal cognitive prediction.,exclude,no_future_or_action_evaluation,"The coupling physiological degradation emotional state prediction alzheimer s disease progression study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning."
ALT-bc44662f8af7,fresh_alternate_public_search,A tool to measure the impact of inaction toward elimination of hepatitis C: A case study in Korea.,include,include_empirical,A calibrated Markov state-transition model simulates treatment-policy counterfactuals and future clinical outcomes.,exclude,no_learned_dynamics,The tool measure impact inaction elimination hepatitis c case korea study is an ordinary prognostic or static prediction analysis without a learned rollout mechanism.
ALT-cf23547c69b1,fresh_alternate_public_search,AI-Guided Inference of Morphodynamic Attractor-like States in Glioblastoma.,include,include_empirical,A learned neural ODE rolls out latent tumor trajectories and evaluates perturbation and control.,exclude,no_learned_dynamics,The ai guided inference morphodynamic attractor like states glioblastoma study uses prescribed mechanistic or statistical dynamics rather than a learned transition mechanism.
ALT-6236c0921f50,fresh_alternate_public_search,Application of Hidden Markov Model to Identify Disease Progression Process in Medical Research,uncertain,insufficient_abstract,The unavailable abstract prevents assessing whether the medical HMM evaluates future-state transition capability.,exclude,no_future_or_action_evaluation,"The application hidden markov identify disease progression process medical research study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning."
ALT-4ebd98e25663,fresh_alternate_public_search,Automatic Interactive Evaluation for Large Language Models with State Aware Patient Simulator,uncertain,insufficient_abstract,Missing abstract prevents determining whether the state-aware patient simulator models clinical dynamics or dialogue.,exclude,no_future_or_action_evaluation,"The automatic interactive large language state aware patient simulator study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning."
ALT-1dfb4e7629f9,fresh_alternate_public_search,Brain Amyloid Plaque Levels Affect Clinical Progression in Alzheimer Disease: Assessment of Amyloid PET and Change in CDR-SB Utilizing Semi-Mechanistic Model.,include,include_empirical,A data-fitted semi-mechanistic model simulates four-year clinical trajectories under treatment and placebo conditions.,exclude,no_learned_dynamics,The brain amyloid plaque levels affect clinical progression alzheimer disease assessment study uses prescribed mechanistic or statistical dynamics rather than a learned transition mechanism.
