audit_id,route,title,abstract,authors,year,publication_date,venue,doi,arxiv_id,url,record_type,sources,query_labels,source_status,original_exclusion_reason,reviewer_e_decision,reviewer_e_corpus_type,reviewer_e_reason_code,reviewer_e_rationale,reviewer_f_decision,reviewer_f_corpus_type,reviewer_f_reason_code,reviewer_f_rationale,final_decision,final_corpus_type,final_reason_code,resolution_route,adjudication_rationale,qc_decision,qc_corpus_type,qc_reason_code,qc_rationale,full_text_anchor,confidence
AUD-33eaf98b7a7b,primary_phrase_filter_residual,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,"Altered affective state dynamics are a characteristic feature of depression and can persist beyond symptomatic remission. Individuals with remitted major depressive disorder (rMDD) often show heightened reactivity to negative mood states and reduced efficiency in recovering from them, consistent with changes in affective dynamics after remission. These patterns may reflect alterations in the brain's capacity to flexibly shift between neural states that support distinct affective modes. Characterizing the dynamical mechanisms that govern transitions into and out of experimentally induced affective states is therefore essential for understanding vulnerability to recurrence and informing mechanistic interventions. We developed a data-driven framework combining dynamical system reconstruction (DSR) with model-based control to infer optimal control policies for transitions between resting and sad mood brain states using functional magnetic resonance imaging (fMRI) data. Nonlinear DSR models trained on individuals with rMDD and healthy controls (HC) yielded region-specific, state-dependent control strategies. Small regions (e.g., sgACC, NAcc) showed higher controllability, requiring less energy for state transitions. Notably, rMDD participants required less control energy than HC to shift both into and, to a more spatially restricted extent, out of sad mood states. Despite reaching the resting state target with similar proximity, however, they remained closer to the sad mood distribution when returning to rest, reflecting a residual bias toward the sad mood distribution. Elevated coupling in rMDD, especially toward the DLPFC, was linked to lower control energy, suggesting that stronger network coupling facilitates transitions. These findings indicate rMDD dynamics that ease entry into sad mood states but impede full disengagement. More broadly, they demonstrate how closed-loop control applied to data-driven dynamical models can provide mechanistic insight into brain state transitions and inform future hypotheses about cognitive vulnerability or compensatory processes.","Emonds N, Herberg E, Gerchen MF, Pritsch M, Rocha J, Zamoscik V, Kirsch P, Herzog R, Koppe G.",2026,2026-08-01,,10.1002/hbm.70600,,https://europepmc.org/article/MED/42454569,,['europe_pmc'],['europe_pmc_core'],indexed,world-model phrase absent from title and abstract,include,empirical,potential_empirical,Learns a sequential policy or controller for brain and mental-health processes with action-dependent responses.,include,empirical,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control.",include,empirical,include_empirical,reviewer_consensus+independent_inclusion_qc,"Individual fMRI time series train nonlinear dynamical-system-reconstruction models of resting and sad-mood brain states; optimal-control rollouts directly evaluate target-state convergence, trajectory likelihood, and control energy.",include,empirical,action_conditioned_closed_loop_control,"Individual fMRI time series train nonlinear dynamical-system-reconstruction models of resting and sad-mood brain states; optimal-control rollouts directly evaluate target-state convergence, trajectory likelihood, and control energy.","Version-of-record Methods on DSR and optimal control; Results and Figures 3-4 on generated controlled trajectories, target NLL, and control-energy comparisons.",high
AUD-2032d96347c9,primary_phrase_filter_residual,A Neurosymbolic Approach for Constructing Planning Domain Models from Clinical Narratives,"Surgical procedures such as laparoscopic appendectomy are complex, high-stakes processes, yet formalizing their workflows for decision support remains a significant challenge. Inducing probabilistic planning domain models in this setting is particularly difficult due to the lack of structured event data and the prevalence of implicit actions in clinical narratives, which neither empirical symbolic methods nor Large Language Models (LLMs) can adequately address on their own. We introduce NSPIN, a neurosymbolic framework for inducing probabilistic planning domain models from unstructured clinical narratives. Our method extracts and imputes structured event sequences from raw text using a pretrained LLM, then induces a PPDDL model and refines its preconditions with LLM-proposed revisions, guided by empirical validation. We evaluate the approach on 2,660 laparoscopic appendectomy notes written by 9 surgeons. NSPIN yields models that generalize to unseen notes, and expert clinical review indicates its induced knowledge is largely consistent with surgical practice.",Ranveer Singh; Saurabh Mathur; Michael Skinner; Prasad Tadepalli; Kristian Kersting; Sriraam Natarajan,2026,2026-08-21,arXiv (Cornell University),10.48550/arxiv.2608.21186,2608.21186,https://arxiv.org/abs/2608.21186,preprint,['openalex'],"['""world model"" clinical']",open-access,world-model phrase absent from title and abstract,include,empirical,potential_empirical,Learns a sequential policy or controller for procedural and surgical care with action-dependent responses.,exclude,empirical,no_learned_or_adapted_dynamics,No learned or data-adapted biomedical state evolution is described.,include,empirical,include_empirical,reviewer_consensus+independent_inclusion_qc,"From 2,660 appendectomy narratives, NSPIN learns PPDDL action preconditions, probabilistic effects, and a data-driven next-action transition model; held-out observation and action prediction are evaluated with top-k accuracy, NLL, and true-action-disallowed rate.",include,empirical,learned_action_transition_model,"From 2,660 appendectomy narratives, NSPIN learns PPDDL action preconditions, probabilistic effects, and a data-driven next-action transition model; held-out observation and action prediction are evaluated with top-k accuracy, NLL, and true-action-disallowed rate.","Primary arXiv full text, Data-Driven Induction and evaluation Tables 1-3 on learned PPDDL effects and held-out transition prediction.",high
AUD-8a8d58a5c704,primary_phrase_filter_residual,Learning Dynamic Representations and Policies from Multimodal Clinical Time-Series with Informative Missingness,"Multimodal clinical records contain structured measurements and clinical notes recorded over time, offering rich temporal information about the evolution of patient health. Yet these observations are sparse, and whether they are recorded depends on the patient's latent condition. Observation patterns also differ across modalities, as structured measurements and clinical notes arise under distinct recording processes. While prior work has developed methods that accommodate missingness in clinical time series, how to extract and use the information carried by the observation process itself remains underexplored. We therefore propose a patient representation learning framework for multimodal clinical time series that explicitly leverages informative missingness. The framework combines (1) a multimodal encoder that captures signals from structured and textual data together with their observation patterns, (2) a Bayesian filtering module that updates a latent patient state over time from observed multimodal signals, and (3) downstream modules for offline treatment policy learning and patient outcome prediction based on the learned patient state. We evaluate the framework on ICU sepsis cohorts from MIMIC-III, MIMIC-IV, and eICU. It improves both offline treatment policy learning and adverse outcome prediction, achieving FQE 0.679 versus 0.528 for clinician behavior and AUROC 0.886 for post-72-hour mortality prediction on MIMIC-III.",Zihan Liang; Ziwen Pan; Ruoxuan Xiong,2026,2026-01-01,arXiv (Cornell University),10.18653/v1/2026.findings-acl.1313,2604.21235,https://doi.org/10.18653/v1/2026.findings-acl.1313,conference-paper,['openalex'],"['""world model"" EHR', '""world model"" clinical', '""world model"" patient']",open-access,world-model phrase absent from title and abstract,include,empirical,potential_empirical,Learns a sequential policy or controller for patient-state modeling with action-dependent responses.,include,empirical,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control.",include,empirical,include_empirical,reviewer_consensus+independent_inclusion_qc,"MIMIC and eICU trajectories train an action-conditioned latent transition p(z[h+1] | z[h], phi[h], a[h]) with a dynamics-consistency loss; treatment policies using that state model are evaluated by FQE, bootstrap checks, and cross-dataset transfer.",include,empirical,learned_action_conditioned_latent_dynamics,"MIMIC and eICU trajectories train an action-conditioned latent transition p(z[h+1] | z[h], phi[h], a[h]) with a dynamics-consistency loss; treatment policies using that state model are evaluated by FQE, bootstrap checks, and cross-dataset transfer.","ACL full text, Section 3.1.2 VAE transition equation and Section 4 plus appendices reporting FQE and cross-dataset policy evaluation.",high
AUD-f3e048ff7f5e,primary_phrase_filter_residual,A Bayesian mixture model for Poisson network autoregression.,"Multivariate count time series arise in a wide range of applications, including the number of COVID-19 cases recorded each week in different counties of the Republic of Ireland. In this example, it is natural to view the counties as nodes in a network, with edges between counties reflecting proximity. One could then model disease spread on a network through a regression model. Often Gaussian errors are assumed for such a model, but for count data this assumption may not be natural. With this motivating example in mind, we develop a model with the following features. We assume that the time series occur on the nodes of a known underlying network where the edges dictate the form of a structural vector autoregression model. In contrast to using a full vector autoregressive model, the network assumption is a means of imposing sparsity. Moreover we aim for a model that is able to accommodate heterogeneous node dynamics, and to cluster nodes that exhibit similar behaviour. To address these aims, we propose a new Bayesian Poisson network autoregression mixture model that we call a PNARM model, which combines ideas from Poisson network autoregression models, grouped network autoregression models, and non-uniform co-clustering priors.","Hung E, Mantziou A, Reinert G.",2025,2025-07-17,,10.1007/s13278-025-01485-0,,https://europepmc.org/article/MED/40688699,,['europe_pmc'],['europe_pmc_core'],indexed,world-model phrase absent from title and abstract,exclude,not_applicable,wrong_domain,"Addresses a nonmedical topic, not a medical or biomedical state-dynamics system.",include,empirical,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control.",include,empirical,include_empirical,reviewer_consensus+independent_inclusion_qc,"Bayesian Poisson network-autoregressive coefficients and county clusters are inferred from weekly Irish COVID-19 counts, defining a learned next-week count transition; week-25 leave-future-out forecasts and predictive calibration are directly evaluated.",include,empirical,learned_one_step_state_transition,"Bayesian Poisson network-autoregressive coefficients and county clusters are inferred from weekly Irish COVID-19 counts, defining a learned next-week count transition; week-25 leave-future-out forecasts and predictive calibration are directly evaluated.","Version-of-record Sections 3 and 5, posterior predictive equation for Y[T+1], week-25 MASE comparison, and randomized-PIT calibration analysis.",high
AUD-4cbb5268d051,primary_phrase_filter_residual,Short- and long-term weekly patient-reported outcomes prediction undergoing radiotherapy: single-patient time series model vs. transformer-based multi-patient time series model,,Yang Yan; Zhong Chen; Xinglei Shen; Ronald C. Chen; Hao Gao,2025,2025,BioData Mining,10.1186/s13040-025-00464-7,,https://doi.org/10.1186/s13040-025-00464-7,journal-article,['crossref'],"['""patient world model""', '""world model"" patient']",registered,world-model phrase absent from title and abstract,uncertain,uncertain,insufficient_abstract,"The title suggests patient-state modeling dynamics or control, but no abstract establishes whether transitions are learned or adapted.",uncertain,uncertain,insufficient_abstract,"The title suggests possible biomedical state dynamics, but no usable abstract is available.",include,empirical,include_empirical,third_full_text_adjudication+independent_inclusion_qc,"VAR and TFT models learn weekly multivariate patient-reported-outcome evolution from longitudinal radiotherapy data; short- and long-horizon weekly trajectories, trends, and variations are evaluated against ground truth with MAE and RMSE.",include,empirical,learned_multistep_dynamics,"VAR and TFT models learn weekly multivariate patient-reported-outcome evolution from longitudinal radiotherapy data; short- and long-horizon weekly trajectories, trends, and variations are evaluated against ground truth with MAE and RMSE.","Version-of-record Methods on VAR, VAR-Inc, and TFT; Results on weekly trajectory prediction, long-horizon errors, and trend capture.",medium
AUD-69448c657186,primary_phrase_filter_residual,A mini-review on perturbation modelling across single-cell omic modalities.,"Recent advances in single-cell omics technology have transformed the landscape of cellular and molecular research, enriching the scope and intricacy of cellular characterisation. Perturbation modelling seeks to comprehensively grasp the effects of external influences like disease onset or molecular knock-outs or external stimulants on cellular physiology, specifically on transcription factors, signal transducers, biological pathways, and dynamic cell states. Machine and deep learning tools transform complex perturbational phenomena in algorithmically tractable tasks to formulate predictions based on various types of single-cell datasets. However, the recent surge in tools and datasets makes it challenging for experimental biologists and computational scientists to keep track of the recent advances in this rapidly expanding filed of single-cell modelling. Here, we recapitulate the main objectives of perturbation modelling and summarise novel single-cell perturbation technologies based on genetic manipulation like CRISPR or compounds, spanning across omic modalities. We then concisely review a burgeoning group of computational methods extending from classical statistical inference methodologies to various machine and deep learning architectures like shallow models or autoencoders, to biologically informed approaches based on gene regulatory networks, and to combinatorial efforts reminiscent of ensemble learning. We also discuss the rising trend of large foundational models in single-cell perturbation modelling inspired by large language models. Lastly, we critically assess the challenges that underline single-cell perturbation modelling while pointing towards relevant future perspectives like perturbation atlases, multi-omics and spatial datasets, causal machine learning for interpretability, multi-task learning for performance and explainability as well as prospects for solving interoperability and benchmarking pitfalls.","Gavriilidis GI, Vasileiou V, Orfanou A, Ishaque N, Psomopoulos F.",2024,2024-04-25,,10.1016/j.csbj.2024.04.058,,https://europepmc.org/article/MED/38721585,,['europe_pmc'],['europe_pmc_core'],indexed,world-model phrase absent from title and abstract,exclude,review,review_not_primary,"Reviews procedural and surgical care but does not centrally synthesize learned or adapted transition, rollout, or control systems.",include,review,potential_review,"The review centrally examines learned biomedical dynamics, simulation, intervention response, or sequential control.",include,review,include_review,reviewer_consensus+independent_inclusion_qc,"The review centrally synthesizes learned single-cell perturbation-response models that predict intervention-driven changes in cellular physiology and dynamic cell state, including extrapolation to unseen perturbations and time-dependent responses.",include,review,substantive_dynamic_simulator_review,"The review centrally synthesizes learned single-cell perturbation-response models that predict intervention-driven changes in cellular physiology and dynamic cell state, including extrapolation to unseen perturbations and time-dependent responses.",Version-of-record Introduction and objectives O1-O4 define perturbation modeling as predicting external-intervention effects on dynamic cell states across time and modalities.,medium
AUD-d2a31182ebf8,primary_phrase_filter_residual,OMG-RL:Offline Model-based Guided Reward Learning for Heparin Treatment,"Accurate medication dosing holds an important position in the overall patient therapeutic process. Therefore, much research has been conducted to develop optimal administration strategy based on Reinforcement learning (RL). However, Relying solely on a few explicitly defined reward functions makes it difficult to learn a treatment strategy that encompasses the diverse characteristics of various patients. Moreover, the multitude of drugs utilized in clinical practice makes it infeasible to construct a dedicated reward function for each medication. Here, we tried to develop a reward network that captures clinicians' therapeutic intentions, departing from explicit rewards, and to derive an optimal heparin dosing policy. In this study, we introduce Offline Model-based Guided Reward Learning (OMG-RL), which performs offline inverse RL (IRL). Through OMG-RL, we learn a parameterized reward function that captures the expert's intentions from limited data, thereby enhancing the agent's policy. We validate the proposed approach on the heparin dosing task. We show that OMG-RL policy is positively reinforced not only in terms of the learned reward network but also in activated partial thromboplastin time (aPTT), a key indicator for monitoring the effects of heparin. This means that the OMG-RL policy adequately reflects clinician's intentions. This approach can be widely utilized not only for the heparin dosing problem but also for RL-based medication dosing tasks in general.",Yooseok Lim; Sujee Lee,2024,2024-09-20,arXiv (Cornell University),10.48550/arxiv.2409.13299,2409.13299,http://arxiv.org/abs/2409.13299,preprint,['openalex'],"['""world model"" treatment']",open-access,world-model phrase absent from title and abstract,include,empirical,potential_empirical,Fits or validates clinical exposure-response dynamics to support individualized drug dosing.,include,empirical,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control.",include,empirical,include_empirical,reviewer_consensus+independent_inclusion_qc,"Clinical heparin trajectories train an ensemble probabilistic dynamics model of patient state under dosing actions; recursive model rollouts generate trajectories for reward and policy learning, followed by off-policy return and treatment-success evaluation.",include,empirical,learned_multistep_dynamics,"Clinical heparin trajectories train an ensemble probabilistic dynamics model of patient state under dosing actions; recursive model rollouts generate trajectories for reward and policy learning, followed by off-policy return and treatment-success evaluation.","Primary arXiv full text, Methods and Algorithm 2 on probabilistic dynamics-ensemble rollouts; Results Figures 3-7 on model-based returns and treatment success.",high
AUD-93cb6bb435b3,primary_medical_filter_residual,Structure-aware World Model for Probe Guidance via Large-scale Self-supervised Pre-train,"The complex structure of the heart leads to significant challenges in echocardiography, especially in acquisition cardiac ultrasound images. Successful echocardiography requires a thorough understanding of the structures on the two-dimensional plane and the spatial relationships between planes in three-dimensional space. In this paper, we innovatively propose a large-scale self-supervised pre-training method to acquire a cardiac structure-aware world model. The core innovation lies in constructing a self-supervised task that requires structural inference by predicting masked structures on a 2D plane and imagining another plane based on pose transformation in 3D space. To support large-scale pre-training, we collected over 1.36 million echocardiograms from ten standard views, along with their 3D spatial poses. In the downstream probe guidance task, we demonstrate that our pre-trained model consistently reduces guidance errors across the ten most common standard views on the test set with 0.29 million samples from 74 routine clinical scans, indicating that structure-aware pre-training benefits the scanning.",Haojun Jiang; Meng Li; Zhenguo Sun; Ning Jia; Yu Sun; Shaqi Luo; Shiji Song; Gao Huang,2024,2024-06-28,arXiv (Cornell University),10.48550/arxiv.2406.19756,2406.19756,http://arxiv.org/abs/2406.19756,preprint,['openalex'],"['""world model"" clinical', '""world model"" echocardiography', '""world model"" medicine']",open-access,medical-domain term absent from title and abstract,include,empirical,potential_empirical,"Learns or fits evolving procedural and surgical care states for trajectory, simulation, or intervention analysis.",include,empirical,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control.",include,empirical,include_empirical,reviewer_consensus+independent_inclusion_qc,Paired echocardiographic planes and their pose changes train a model to predict target-plane features from a source plane and probe transformation; the learned spatial transition is operationally evaluated through six-degree-of-freedom probe-guidance error.,include,empirical,action_conditioned_state_transition,Paired echocardiographic planes and their pose changes train a model to predict target-plane features from a source plane and probe transformation; the learned spatial transition is operationally evaluated through six-degree-of-freedom probe-guidance error.,"Primary full text, Figure 2 and equations 4-6 for pose-conditioned target prediction; Table 1 for downstream translation and rotation MAE.",high
AUD-f0bd315b247d,primary_phrase_filter_residual,BrainLM: A foundation model for brain activity recordings,"A bstract We introduce the Brain Language Model (BrainLM), a foundation model for brain activity dynamics trained on 6,700 hours of fMRI recordings. Utilizing self-supervised masked-prediction training, BrainLM demonstrates proficiency in both fine-tuning and zero-shot inference tasks. Fine-tuning allows for the accurate prediction of clinical variables like age, anxiety, and PTSD as well as forecasting of future brain states. Critically, the model generalizes well to entirely new external cohorts not seen during training. In zero-shot inference mode, BrainLM can identify intrinsic functional networks directly from raw fMRI data without any network-based supervision during training. The model also generates interpretable latent representations that reveal relationships between brain activity patterns and cognitive states. Overall, BrainLM offers a versatile and interpretable framework for elucidating the complex spatiotemporal dynamics of human brain activity. It serves as a powerful “lens” through which massive repositories of fMRI data can be analyzed in new ways, enabling more effective interpretation and utilization at scale. The work demonstrates the potential of foundation models to advance computational neuroscience research.",Josue Ortega; Antonio H. de O. Fonseca; Christopher L. Averill; Syed Asad Rizvi; Matteo Rosati; James M. Cross; Prateek Mittal; Emanuele Zappala; Daniel S. Levine; Rahul M. Dhodapkar; Insu Han; Amin Karbasi; Chadi G. Abdallah; David van Dijk,2023,2023-09-13,bioRxiv (Cold Spring Harbor Laboratory),10.1101/2023.09.12.557460,,https://doi.org/10.1101/2023.09.12.557460,preprint,['openalex'],"['""world model"" clinical', '""world model"" patient']",open-access,world-model phrase absent from title and abstract,include,empirical,potential_empirical,Fits data-adapted temporal models to forecast brain and mental-health processes over time.,include,empirical,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control.",include,empirical,include_empirical,third_full_text_adjudication+independent_inclusion_qc,"BrainLM learns spatiotemporal fMRI transitions by masked sequence prediction over 6,700 recording hours and directly evaluates forecasting of future brain-state blocks, including transfer to external cohorts.",include,empirical,learned_future_state_transition,"BrainLM learns spatiotemporal fMRI transitions by masked sequence prediction over 6,700 recording hours and directly evaluates forecasting of future brain-state blocks, including transfer to external cohorts.","Most complete ICLR 2024 paper and associated bioRxiv record, future-brain-state forecasting experiment and external-cohort evaluation.",medium
AUD-2f16c363ccd1,primary_phrase_filter_residual,Deep Dynamic Epidemiological Modelling for COVID-19 Forecasting in Multi-level Districts,"Objective: COVID-19 has spread worldwide and made a huge influence across the world. Modeling the infectious spread situation of COVID-19 is essential to understand the current condition and to formulate intervention measurements. Epidemiological equations based on the SEIR model simulate disease development. The traditional parameter estimation method to solve SEIR equations could not precisely fit real-world data due to different situations, such as social distancing policies and intervention strategies. Additionally, learning-based models achieve outstanding fitting performance, but cannot visualize mechanisms. Methods: Thus, we propose a deep dynamic epidemiological (DDE) method that combines epidemiological equations and deep-learning advantages to obtain high accuracy and visualization. The DDE contains deep networks to fit the effect function to simulate the ever-changing situations based on the neural ODE method in solving variants' equations, ensuring the fitting performance of multi-level areas. Results: We introduce four SEIR variants to fit different situations in different countries and regions. We compare our DDE method with traditional parameter estimation methods (Nelder-Mead, BFGS, Powell, Truncated Newton Conjugate-Gradient, Neural ODE) in fitting the real-world data in the cases of countries (the USA, Columbia, South Africa) and regions (Wuhan in China, Piedmont in Italy). Our DDE method achieves the best Mean Square Error and Pearson coefficient in all five areas. Further, compared with the state-of-art learning-based approaches, the DDE outperforms all techniques, including LSTM, RNN, GRU, Random Forest, Extremely Random Trees, and Decision Tree. Conclusion: DDE presents outstanding predictive ability and visualized display of the changes in infection rates in different regions and countries.",Ruhan Liu; Jiajia Li; Yang Wen; Huating Li; Ping Zhang; Bin Sheng; Dagan Feng,2023,2023-06-21,arXiv (Cornell University),10.48550/arxiv.2306.12457,2306.12457,http://arxiv.org/abs/2306.12457,preprint,['openalex'],"['""world model"" clinical', '""world model"" medicine', '""world model"" patient']",open-access,world-model phrase absent from title and abstract,include,empirical,potential_empirical,Fits data-adapted temporal models to forecast infectious-disease spread over time.,include,empirical,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control.",include,empirical,include_empirical,reviewer_consensus+independent_inclusion_qc,"A neural parameter generator learns state-dependent epidemic rates from regional observations, and a Neural ODE repeatedly advances compartment states; 20-day trajectories are evaluated across countries and districts against recurrent and tree baselines.",include,empirical,learned_multistep_dynamics,"A neural parameter generator learns state-dependent epidemic rates from regional observations, and a Neural ODE repeatedly advances compartment states; 20-day trajectories are evaluated across countries and districts against recurrent and tree baselines.","Primary arXiv full text, system diagram and Neural ODE transition procedure; Results Figures 7 and Tables I-II on held-out 20-day trajectories.",high
