audit_id,stratum,title,abstract,authors,year,publication_date,venue,doi,arxiv_id,url,record_type,sources,query_labels,source_status,original_exclusion_reason
AUD-fee4df5f894b,expanded_alternate_terms,A Definition and Roadmap for World Models,"World models -- internal simulators that learn the structure and dynamics of an environment -- have become one of the most actively debated concepts in AI. From model-based reinforcement learning and video generation to embodied robotics and ultimately, physical AI, researchers across AI subfields are building systems that they call ""world models"", yet there is no consensus on what a world model fundamentally is, what it should predict, or how it should be built. This perspective article provides a scientific definition of world models, discussions of their key technical aspects, and a staged roadmap for developing effective world models.",Xinyuan Chen; Haoyu Guo; Shi Guo; Bingqi Jiang; Chunhua Shen; Xing Shen; Tianfan Xue; Yufei Xue; Mulin Yu; Weinan Zhang; Bin Zhao; Bowen Zhou; Ming Zhou,2026,2026-07-07,arXiv (Cornell University),,2607.06401,https://arxiv.org/abs/2607.06401,preprint,['openalex'],"['""medical world model""', '""world model"" medicine', '""world model"" treatment']",open-access,medical-domain term absent from title and abstract
AUD-97627d3f131b,expanded_alternate_terms,A Discussion of Building a Smart SHM Platform for Long-Span Bridge Monitoring.,"This paper explores the development of a smart Structural Health Monitoring (SHM) platform tailored for long-span bridge monitoring, using the Forth Road Bridge (FRB) as a case study. It discusses the selection of smart sensors available for real-time monitoring, the formulation of an effective data strategy encompassing the collection, processing, management, analysis, and visualization of monitoring data sets to support decision-making, and the establishment of a cost-effective and intelligent sensor network aligned with the objectives set through comprehensive communication with asset owners. Due to the high data rates and dense sensor installations, conventional processing techniques are inadequate for fulfilling monitoring functionalities and ensuring security. Cloud-computing emerges as a widely adopted solution for processing and storing vast monitoring data sets. Drawing from the authors' experience in implementing long-span bridge monitoring systems in the UK and China, this paper compares the advantages and limitations of employing cloud- computing for long-span bridge monitoring. Furthermore, it explores strategies for developing a robust data strategy and leveraging artificial intelligence (AI) and digital twin (DT) technologies to extract relevant information or patterns regarding asset health conditions. This information is then visualized through the interaction between physical and virtual worlds, facilitating timely and informed decision-making in managing critical road transport infrastructure.","Xie Y, Meng X, Nguyen DT, Xiang Z, Ye G, Hu L.",2024,2024-05-16,,10.3390/s24103163,,https://europepmc.org/article/MED/38794018,,['europe_pmc'],['europe_pmc_core'],indexed,world-model phrase absent from title and abstract
AUD-135313be3540,expanded_alternate_terms,A General Technique for Real-Time Robotic Simulation in Manufacturing System,"This paper describes a real-time simulator that allows the user in the factories to simulate arbitrary interaction between machinery and equipment. We discussed in details not only the general technique for developing such a real-time simulator but also the implementation of the simulator in its actual use. As such, people on the production line could benefit from observing and controlling robots in factories for preventing or reducing the severity of a collision, using the proposed simulator and its related technique. For that purpose, we divided the simulator into two main models: the real-time communication model and the simulation model. For the communication model, we present the distributed messaging server structure and the database semaphore technique for handling the real-time peer-to-peer (P2P) connections and control. For the simulation model, we used parallel programming and the general-purpose GPU (GPGPU) technique to speed up the processing time of the simulation. In the paper, we exhaustively explain how the simulator’s techniques are designed and implemented and verify two real world models with robots and robot-operating systems (ROS). Moreover, we compare the results between our technique and the traditional method.",Ting-Hsuan Chien; Cheng-Yan Siao; Rong‐Guey Chang,2021,2021-01-01,Intelligent Automation & Soft Computing,10.32604/iasc.2021.018256,,https://doi.org/10.32604/iasc.2021.018256,article,['openalex'],"['""world model"" treatment']",open-access,medical-domain term absent from title and abstract
AUD-f0edffe9525d,expanded_alternate_terms,A maladaptive feedback mechanism between the extracellular matrix and cytoskeleton contributes to hypertrophic cardiomyopathy pathophysiology.,"Hypertrophic cardiomyopathy is an inherited disorder due to mutations in contractile proteins that results in a stiff, hypercontractile myocardium. To understand the role of cardiac stiffness in disease progression, here we create an in vitro model of hypertrophic cardiomyopathy utilizing hydrogel technology. Culturing wild-type cardiac myocytes on hydrogels with a Young's Moduli (stiffness) mimicking hypertrophic cardiomyopathy myocardium is sufficient to induce a hypermetabolic mitochondrial state versus myocytes plated on hydrogels simulating healthy myocardium. Significantly, these data mirror that of myocytes isolated from a murine model of human hypertrophic cardiomyopathy (cTnI-G203S). Conversely, cTnI-G203S myocyte mitochondrial function is completely restored when plated on hydrogels mimicking healthy myocardium. We identify a mechanosensing feedback mechanism between the extracellular matrix and cytoskeletal network that regulates mitochondrial function under healthy conditions, but participates in the progression of hypertrophic cardiomyopathy pathophysiology resulting from sarcomeric gene mutations. Importantly, we pinpoint key 'linker' sites in this schema that may represent potential therapeutic targets.","Viola HM, Richworth C, Solomon T, Chin IL, Szappanos HC, Sundararaj S, Shishmarev D, Casarotto MG, Choi YS, Hool LC.",2023,2023-01-03,Communications Biology,10.1038/s42003-022-04278-9,,https://europepmc.org/article/MED/36596888,article,"['europe_pmc', 'openalex']","['""world model"" physiology', 'europe_pmc_core']",indexed,world-model phrase absent from title and abstract
AUD-b0da08d3d97c,expanded_alternate_terms,A rapidly changing understanding of COPD: World COPD Day from the COPD Foundation,"World COPD Day raises awareness about chronic obstructive pulmonary disease (COPD). COPD accounts for over 150,000 US deaths per year. A major challenge is that COPD receives only a fraction of the research funding provided to other major diseases. Control of COPD is dependent on developing new approaches to diagnose the disease earlier with a recognition of either pre-COPD or established COPD based on symptoms, lung structural change and/or loss of lung function that occurs before meeting long established criteria for a population-based definition of obstruction. Optimization of current therapies improves lung function, exercise capacity, quality of life, and survival. New pathways of disease progression are being identified creating new opportunities for development of therapies that could stop or cure this disease.",Byron M. Thomashow; David M. Mannino; Ruth Tal-Singer; James D. Crapo,2021,2021,American Journal of Physiology-Lung Cellular and Molecular Physiology,10.1152/ajplung.00400.2021,,https://doi.org/10.1152/ajplung.00400.2021,journal-article,['crossref'],"['""world model"" physiology']",registered,world-model phrase absent from title and abstract
AUD-7ece4f9d3f4f,expanded_alternate_terms,Advances in generative biology and bio-inspired artificial intelligence,"The convergence of artificial intelligence (AI) and life sciences has evolved from unidirectional tool-assisted research into a bidirectional, co-evolutionary paradigm characterized by mutual knowledge transfer and synergistic advancement. This review aims to systematically examine the latest progress in this interdisciplinary fusion, delineate the underlying logic of their interactive empowerment, and discuss the transformative potential and remaining challenges of this symbiotic relationship for future scientific research. The foundational logic of AI-life science integration rests on three pillars: the analogy between biological and computational information-processing paradigms, a shared mathematical language for modeling systemic complexity, and a spiraling cycle of bidirectional knowledge transfer from “AI understanding life” to “life inspiring AI”. Building on this foundation, the review first surveys the innovative development of Generative Biology across multiple scales. At the molecular level, breakthroughs such as AlphaFold-series models and diffusion-based protein design frameworks (e.g., RFdiffusion) have fundamentally shifted the paradigm from observation to de novo creation, enabling atomic-precision design of proteins, enzymes, and drug candidates. At the cellular level, single-cell foundation models and virtual cell frameworks leverage deep generative architectures to learn transferable cell-state representations, supporting perturbation response prediction and causal mechanistic reasoning. At the organ level, deep learning empowers medical imaging analysis, organ-on-chip integration, and digital twin construction for individualized intervention simulation. At the individual and ecological levels, AI-driven models integrate electronic health records, wearable sensor streams, wastewater-based epidemiological surveillance, and biodiversity monitoring to bridge data gaps across personal health, public health, and environmental stewardship. The review then examines Bio-inspired AI, encompassing brain-inspired learning rules and neuromorphic hardware that replicate neural computation with event-driven, energy-efficient architectures, biomimetic optimization algorithms including genetic algorithms, artificial immune systems, and swarm intelligence, as well as molecular computing and biological hybrid intelligence platforms that employ DNA circuits and living organoid networks as computational substrates. Despite remarkable progress, critical challenges persist, including the “black-box” accountability dilemma in clinical and regulatory contexts, the corrosive risks of AI hallucinations in molecular and clinical design, algorithmic adaptability to the inherent fuzziness and nonlinearity of biological systems, and multi-scale data heterogeneity. Addressing these challenges demands the establishment of robust “dry-wet closed-loop” validation systems, transparent and explainable model architectures, and globally coordinated governance frameworks that balance innovation incentives with biosecurity, privacy protection, and algorithmic fairness, thereby ensuring a safe and sustainable trajectory for this transformative convergence.",Wen-Ye ZENG; Sen-Yu ZHENG; Xiao-Qin ZHAO; Zhu WANG; Yong-Juan ZHANG; Zheng-Yuan MA,2026,2026-02-01,Shengming kexue,10.3724/cbls.2026038,,https://doi.org/10.3724/cbls.2026038,article,['openalex'],"['""world model"" EHR']",open-access,world-model phrase absent from title and abstract
AUD-e6bbe8cc0227,expanded_alternate_terms,"AI and Machine Learning Terminology in Medicine, Psychology, and Social Sciences: Tutorial and Practical Recommendations.","Unlabelled Recent applications of artificial intelligence (AI) and machine learning in medicine, psychology, and social sciences have led to common terminological confusions. In this paper, we review emerging evidence from systematic reviews documenting widespread misuse of key terms, particularly ""prediction"" being applied to studies merely demonstrating association or retrospective analysis. We clarify when ""prediction"" should be used and recommend using ""prospective prediction"" for future prediction; explain validation procedures essential for model generalizability; discuss overfitting and generalization in machine learning and traditional regression methods; clarify relationships between features, independent variables, predictors, risk factors, and causal factors; and clarify the hierarchical relationship between AI, machine learning, deep learning, large language models, and generative AI. We provide evidence-based recommendations for terminology use that can facilitate clearer communication among researchers from different disciplines and between the research community and the public, ultimately advancing the rigorous application of AI in medicine, psychology, and social sciences.","Cao B, Greiner R, Greenshaw A, Sui J.",2025,2025-08-18,,10.2196/66100,,https://europepmc.org/article/MED/40825233,,['europe_pmc'],['europe_pmc_core'],indexed,world-model phrase absent from title and abstract
AUD-69d00dbc80ec,expanded_alternate_terms,AI-powered programmable virtual humans toward human physiologically-based drug discovery.,"Artificial intelligence (AI) has generated great interest in drug discovery, but current approaches merely digitize existing experiments, failing to predict clinical outcomes of new compounds. Likewise, pharmacology digital twins, designed for late-phase drug development, lack the ability to bridge translational gaps, limiting their value in early-stage drug discovery. The true potential of AI lies in enabling virtual experiments impossible in the real world, 'testing' novel compounds directly within the human body. Advances in AI, high-throughput assays, and single-cell and spatial omics now enable programmable virtual humans: dynamic, multiscale models that establish a new paradigm of physiologically-based drug discovery. This approach offers a transformative path to evaluate and optimize compound efficacy and safety earlier than ever in the drug discovery process.","Wu Y, Bourne PE, Xie L.",2025,2025-10-08,,10.1016/j.drudis.2025.104497,,https://europepmc.org/article/MED/41072842,,['europe_pmc'],['europe_pmc_core'],indexed,world-model phrase absent from title and abstract
AUD-3fb40fcbf790,expanded_alternate_terms,"AI‐Driven Revolution of Medical Robotics Across Surgical Innovation, Rehabilitation Intelligence, and Multimodal Healthcare Delivery","Artificial intelligence (AI) is catalyzing a paradigm shift in medical robotics, transforming medical robots from teleoperated tools into intelligent partners across clinical domains. This evolution is pivotal in addressing global challenges like aging populations, driven by core AI pillars-including computer vision (CV), deep reinforcement learning, and large language models (LLMs)-that support perception, decision-making, and naturalistic communication, enabling varying degrees of autonomy and adaptive care. However, the literature still lacks a holistic analysis that integrates these advances and tackles the translational challenges hindering clinical adoption. This review bridges this gap by systematically charting the evolution of AI-driven robotics across intelligent surgery, adaptive rehabilitation, and multimodal healthcare delivery. We dissect the core technologies powering this revolution, from digital twins for surgical simulation to LLMs for enhanced human-robot interaction, and critically analyze the associated technical, ethical, and regulatory hurdles. By synthesizing current progress and outlining future frontiers, including embodied AI, nanorobotics, and the concept of the AI-augmented surgeon, this review provides a comprehensive roadmap for accelerating the translation of intelligent medical robotics into routine clinical practice.",Fanxuan Chen; Haoman Chen; Ting Yu; Ruoyun Wang; Yi Wang; Xian Zhang; Jiachen Li; Kaishuo Liu; Darong Hai; Xueying Bao; Zefei Mo; Dongren Yang; Zhao Wang; Yuxin Lin; Qinghua Xia; Gen Yang; Jianwei Shuai,2026,2026-03-01,MedComm,10.1002/mco2.70597,,https://doi.org/10.1002/mco2.70597,article,['openalex'],"['""world model"" clinical', '""world model"" medicine']",open-access,world-model phrase absent from title and abstract
AUD-10820ef6273a,expanded_alternate_terms,An optimal deep learning model for the scoring of radiographic damage in patients with ankylosing spondylitis.,"Background: Detecting vertebral structural damage in patients with ankylosing spondylitis (AS) is crucial for understanding disease progression and in research settings. Objectives: This study aimed to use deep learning to score the modified Stoke Ankylosing Spondylitis Spinal Score (mSASSS) using lateral X-ray images of the cervical and lumbar spine in patients with AS in Asian populations. Design: A deep learning model was developed to automate the scoring of mSASSS based on X-ray images. Methods: We enrolled patients with AS at a tertiary medical center in Taiwan from August 1, 2001 to December 30, 2020. A localization module was used to locate the vertebral bodies in the images of the cervical and lumbar spine. Images were then extracted from these localized points and fed into a classification module to determine whether common lesions of AS were present. The scores of each localized point were calculated based on the presence of these lesions and summed to obtain the total mSASSS score. The performance of the model was evaluated on both validation set and testing set. Results: This study reviewed X-ray image data from 554 patients diagnosed with AS, which were then annotated by 3 medical experts for structural changes. The accuracy for judging various structural changes in the validation set ranged from 0.886 to 0.985, whereas the accuracy for scoring the single vertebral corner in the test set was 0.865. Conclusion: This study demonstrated a well-trained deep learning model of mSASSS scoring for detecting the vertebral structural damage in patients with AS at an accuracy rate of 86.5%. This artificial intelligence model would provide real-time mSASSS assessment for physicians to help better assist in radiographic status evaluation with minimal human errors. Furthermore, it can assist in a research setting by offering a consistent and objective method of scoring, which could enhance the reproducibility and reliability of clinical studies.","Chen YJ, Chen DY, Lan HC, Huang AC, Chen YH, Huang WN, Chen HH.",2024,2024-10-07,Therapeutic Advances in Musculoskeletal Disease,10.1177/1759720x241285973,,https://europepmc.org/article/MED/39381056,article,"['europe_pmc', 'openalex']","['""world model"" clinical', '""world model"" patient', 'europe_pmc_core']",indexed,world-model phrase absent from title and abstract
