candidate_id,final_decision,final_corpus_type,final_reason_code,adjudication_rationale
MWM-0012,include,empirical,include_empirical,"The system is deployed on health-and-wellness platforms serving clinical populations and directly evaluates affective-state rollouts and offline policy optimization; retain as a peripheral clinical application."
MWM-0036,exclude,not_applicable,no_primary_empirical_evaluation,"The registered abstract proposes coupled micro- and macro-health dynamics but reports no implemented model, dataset experiment, or empirical capability evaluation."
MWM-0090,exclude,not_applicable,no_primary_empirical_evaluation,"The official publication is a commentary on language and surgical world models rather than an empirical study or a structured review of the field."
MWM-0101,exclude,not_applicable,no_learned_dynamics,"VCHarness searches architectures for perturbation-response prediction, but the evaluated models are endpoint mappings described as components toward a future virtual-cell world model rather than temporal state dynamics."
MWM-0111,exclude,not_applicable,inaccessible_full_text,"Stable metadata exists, but sufficient primary methods and results were not accessible to verify learned dynamics and capability evaluation."
MWM-0135,include,empirical,include_empirical,"The stable report empirically tests an adaptive world-model agent in antimicrobial-resistance and sepsis treatment environments in addition to a non-medical falsification battery."
MWM-0137,include,empirical,include_empirical,"The journal abstract establishes a spatiotemporal surgical-dynamics model, sim-to-real adaptation, policy optimization, task evaluation, and expert assessment of temporal and anatomical plausibility."
MWM-0146,exclude,not_applicable,no_future_or_action_evaluation,"The Koopman world model supplies state representations and model-based reward computation, but the accessible primary report evaluates policy value and action safety without direct transition, rollout, or simulator-validity evidence."
MWM-0154,include,empirical,include_empirical,"The study trains a masked-latent world-model policy on real dialysis records and evaluates model-based scheduling and resource-allocation behavior in a calibrated digital-twin environment."
MWM-0166,include,empirical,include_empirical,"The primary text reports direct horizon-48 future inertial-signal forecasting in addition to representation probes, satisfying the dynamics-capability evaluation requirement."
MWM-0176,include,empirical,include_empirical,"Susagi learns microbiome community stability and directly evaluates zero-shot community-composition dynamics across three biomedical microbiome datasets."
MWM-0207,include,empirical,include_empirical,"The journal abstract specifies a variational recurrent state-space world model, Monte Carlo treatment-response rollouts, resistance-trajectory prediction, and adaptive-therapy evaluation."
