audit_id,title,qc_decision,qc_corpus_type,qc_reason_code,qc_rationale,full_text_anchor,confidence
"AUD-669035784e86","Clin-JEPA: A Multi-Phase Co-Training Framework for Joint-Embedding Predictive Pretraining on EHR Patient Trajectories","include","empirical","learned_multistep_patient_dynamics","Clin-JEPA jointly trains an encoder and learned latent transition predictor, then directly evaluates autoregressive patient-trajectory rollout over a 48-hour horizon on clinical EHR data. This is a learned dynamic state-transition model with explicit multistep evaluation, not merely static risk prediction.","arXiv:2605.10840, author abstract: Qwen3-8B encoder plus 92M-parameter latent trajectory predictor; evaluation item 1 reports latent rollout drift over 48 hours on MIMIC-IV. https://arxiv.org/abs/2605.10840","high"
"AUD-2cc6cfea5438","Mobility traces and spreading of COVID-19","exclude","not_applicable","hand_specified_mechanistic_dynamics","The epidemic transition rules and disease-progression probabilities are imported from the literature and manually embedded in an agent-based mobility simulator. Calibrating a transmission-rate scalar does not turn this otherwise hand-specified mechanistic simulator into a learned or substantively data-fitted dynamic transition model under the frozen boundary.","Full text sections 2.1-2.2: MATSim supplies mobility; infection dynamics are explicitly described as taken from the literature; beta is a calibration parameter and progression probabilities are literature-derived. https://doi.org/10.1101/2020.03.27.20045302","high"
"AUD-fa60370df827","Model-based reinforcement learning for ultrasound-driven autonomous microrobots.","include","empirical","learned_action_conditioned_world_model","The study uses a recurrent learned world model to predict latent microrobot-environment transitions and outcomes, learns control through imagined trajectories, and evaluates the resulting policy in biomedical vascular environments. It directly satisfies learned dynamics, rollout/planning, and biomedical-setting requirements.","Nature Machine Intelligence full text, Introduction and Methods subsection on model-based reinforcement learning: DreamerV3 learns recurrent latent dynamics, reward and continuation models and trains behavior from imagined trajectories; experiments assess navigation and manipulation in complex vasculatures. https://doi.org/10.1038/s42256-025-01054-2","high"
"AUD-82f6e10de1f4","Role of health digital twins in oncology drug development - a primer","exclude","not_applicable","review_not_focused_on_learned_dynamics","This is a broad oncology-trial primer covering digital models, digital shadows, synthetic controls, mechanistic models, static data-driven prediction, governance, and prospective use cases. It does not substantially synthesize evaluated learned or adapted dynamic transition models, so its central scope is broader and more generic than the frozen review boundary.","Full text sections 1-2 and Tables 1-2: taxonomy spans static digital models, data-driven predictors, mechanistic and hybrid architectures, synthetic controls and trial applications; the worked discussion is not a synthesis of learned transition-model evaluations. https://doi.org/10.3389/fonc.2026.1885797","high"
"AUD-33a686ae8415","Structural requirements for intelligent clinical digital twins in feedback-driven care","exclude","not_applicable","conceptual_framework_not_dynamic_model_review","The article is a diagnostic and normative requirements framework for future clinical digital twins. It neither evaluates a qualifying learned transition model nor substantially synthesizes empirical learned/adapted dynamic simulators; the Alzheimer example illustrates feedback-induced epistemic drift rather than reviewing model evidence.","Full text Introduction and section 'Structural requirements for intelligent clinical digital twins': the authors state that the contribution is diagnostic and normative, not a prescribed algorithmic architecture, and develop four structural requirements using ADRD as an illustrative example. https://doi.org/10.1038/s44401-026-00143-7","high"
"AUD-5b8afa4dfc3d","Towards Effective Patient Simulators","include","review","substantive_interactive_simulator_synthesis","The paper centrally reviews and compares interactive patient simulators whose transition component predicts future patient state in response to clinical interventions. Its synthesis includes data-derived simulators such as GYMIC and the MIMIC-IV-trained GraphSim, alongside explicit evaluation criteria for learned transition accuracy, making learned/adapted medical dynamics a substantial part of the review.","Full text sections 1.1-1.2 and 2-4: the survey scope requires intervention-conditioned future-state prediction; contributions identify a systematic review plus MIMIC-IV-based GraphSim; simulator tables compare data sources, learning algorithms, transition observations and rewards. https://doi.org/10.3389/frai.2021.798659","high"
"AUD-5087605e130b","Towards Surgical World-Action Modeling: A Preliminary Joint Visual-Trajectory Forecasting for Surgical Motion Planning","include","empirical","learned_surgical_autoregressive_rollout","The model learns joint surgical visual-state and instrument-trajectory transitions from observed video and tool histories, then directly evaluates fifteen-step chunked autoregressive rollouts. This is learned multistep medical dynamics rather than an isolated endpoint predictor.","arXiv:2608.20284, author abstract: temporal-spatial encoder with visual-state and trajectory heads; chunked autoregressive rollout predicts fifteen future steps and is evaluated across horizons using PSNR and ADE. https://arxiv.org/abs/2608.20284","high"
"AUD-c38374316b5f","1042-P: Long-Term Complications after Add-on Treatment to Metformin—UK Real-World Progression in Diabetes (RAPIDS) Model","include","empirical","calibrated_intervention_response_simulator","The RAPIDS microsimulation was updated with trial evidence and calibrated to UK real-world data, then used to roll forward alternative treatment choices, real-world treatment durations, and treatment switching. It therefore assesses longitudinal intervention responses using an adapted dynamic disease-progression model rather than making one static endpoint prediction.","Authoritative conference abstract, Methods and Results: US RAPIDS was updated to trial evidence and calibrated to UK CPRD; counterfactual outcomes under alternative second-line therapies, durations and subsequent switching were projected over five years. https://doi.org/10.2337/db24-1042-p","medium"
"AUD-da73d883b73b","An Extended Epidemic Model on Interconnected Networks for COVID-19 to Explore the Epidemic Dynamics","exclude","not_applicable","hand_specified_epidemic_equations","The study constructs an extended SEIRAH-style network epidemic simulator through hand-specified compartment equations and topology assumptions. Selecting a network parameter to improve fit to Tokyo observations is limited calibration of a mechanistic model, not learning or substantively adapting the state-transition law required by the frozen boundary.","Full text sections 'Model construction' and 'Model validation and fitting': compartment transitions are explicitly formulated from epidemic assumptions, while parameter p is varied to fit Tokyo case data. https://europepmc.org/article/PPR/PPR343083","high"
"AUD-1b17af3adfb3","A model for human action potential dynamics in vivo","exclude","not_applicable","hand_specified_ionic_model","The work develops a minimal ionic electrophysiology model by manually incorporating known current relationships and clinically observed gradients, then demonstrates simulated responses to stimulation. It is a hypothesis-driven hand-specified mechanistic model rather than a learned or data-fitted/adapted transition model under the frozen operational boundary.","Publisher/PubMed abstract, model-development and results statements: a minimal ionic model incorporates voltage-clamp evidence and observed APD gradients to reproduce programmed-stimulation, conduction-block and reentry behavior. https://doi.org/10.1152/ajpheart.00557.2019","high"
