split,horizon_hours,metric,model_a,model_a_label,model_b,model_b_label,patients,fixed_neural_seeds,difference_a_minus_b,ci_95_lower,ci_95_upper,interpretation
internal_test,12,patient_nmae,grud,Probabilistic GRU-D-style model,transformer,Causally masked Transformer,1806,1,0.0009413834445325953,-0.0013157419640194498,0.003239030850619925,Negative values favor model A because lower NMAE is better.
internal_test,12,patient_nmae,grud,Probabilistic GRU-D-style model,ridge_var,Ridge vector autoregression,1806,1,-0.015350674158663535,-0.021060950226428947,-0.011256351346702389,Negative values favor model A because lower NMAE is better.
internal_test,12,patient_nmae,transformer,Causally masked Transformer,ridge_var,Ridge vector autoregression,1806,1,-0.01629205760319613,-0.021110935063125447,-0.011584032822802898,Negative values favor model A because lower NMAE is better.
internal_test,12,patient_nmae,rssm,Recurrent state-space model,ridge_var,Ridge vector autoregression,1806,1,0.07864995624610882,0.07331687934297365,0.08415618680603762,Negative values favor model A because lower NMAE is better.
internal_test,12,patient_nmae,ridge_var,Ridge vector autoregression,locf,Last observation carried forward,1806,1,-0.042289318375889784,-0.0491876381515499,-0.03510990931935325,Negative values favor model A because lower NMAE is better.
external_test,12,patient_nmae,grud,Probabilistic GRU-D-style model,transformer,Causally masked Transformer,10178,1,0.0027827103103637008,0.0018176400543821359,0.003906178910564506,Negative values favor model A because lower NMAE is better.
external_test,12,patient_nmae,grud,Probabilistic GRU-D-style model,ridge_var,Ridge vector autoregression,10178,1,-0.008636231133182237,-0.010421268942292141,-0.006924357231430506,Negative values favor model A because lower NMAE is better.
external_test,12,patient_nmae,transformer,Causally masked Transformer,ridge_var,Ridge vector autoregression,10178,1,-0.011418941443545938,-0.013786798064915961,-0.009534653515230002,Negative values favor model A because lower NMAE is better.
external_test,12,patient_nmae,rssm,Recurrent state-space model,ridge_var,Ridge vector autoregression,10178,1,0.08640531724498646,0.0838756980850112,0.08877984444168803,Negative values favor model A because lower NMAE is better.
external_test,12,patient_nmae,ridge_var,Ridge vector autoregression,locf,Last observation carried forward,10178,1,-0.045244684928839596,-0.04889723420389962,-0.041295344029320724,Negative values favor model A because lower NMAE is better.
