candidate_id,title,highest_capability_claim,required_domains_strong,required_domains_partial,required_domains_absent,descriptive_feature_limits,priority_for_human_claim_review,extracted_claim_boundary,causal_language,decision_utility,safety_evaluation,evidence_anchors,reviewer_confidence
MWM-XA9B007D895,A Blood Glucose Control Framework Based on Reinforcement Learning With Safety and Interpretability: In Silico Validation,planning,decision;safety,rollout;action,uncertainty,formal_calibration=no;frozen_external_validation=no;explicit_causal_estimand=NA,medium,Planning — sequential insulin control optimized through model rollouts with an explicit safety layer.,The article motivates safe control but does not make an identified causal treatment-effect claim,"Closed-loop simulated glucose control versus PID, including time in target ranges and CVGA outcomes.",Predicted-glucose rules suspend insulin below 70 mg/dL and add insulin above 180 mg/dL; hypoglycemia outcomes are reported in simulation only,"Official IEEE Access article, DOI 10.1109/ACCESS.2021.3100007: Methods Sec. III and Algorithms 1-3; Experiments Sec. IV, Tables 1-4, Figs. 3-7; Appendices A-B.",high
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,planning,rollout;action,decision,uncertainty;safety,formal_calibration=no;frozen_external_validation=no;explicit_causal_estimand=no;safety_hazard_test=no,high,Planning: optimize controls that move reconstructed brain dynamics between rest and sad-mood targets,"Authors describe model-based causal intervention analyses and mechanistic insight, but interventions occur only in a learned latent model",Simulated target attainment and energy quantify control feasibility; no clinician or patient decision outcome,"No clinical hazard, physiological constraint, failure-recovery, or override evaluation","Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",high
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,passive_forecasting,none,none,rollout;uncertainty,formal_calibration=no;frozen_external_validation=no,high,Passive forecasting/simulation of Alzheimer-related atrophy,Prediction/simulation language for atrophy progression without a causal intervention claim,"Conceptual early-diagnosis/atrophy visualization only; no clinician, workflow, or decision comparison",NI: no safety or failure-mode evaluation,"Primary IJCNN PDF Sec. IV-A/IV-E and V-A/V-B; Figs. 3, 11-21; Conclusion; DOI 10.1109/IJCNN48605.2020.9206875",high
MWM-0008,A World Model of Radiologist Reading for Medical Image Representation Learning,passive_forecasting,none,none,rollout;uncertainty,formal_calibration=no;frozen_external_validation=no,high,"Passive behavioral forecasting and representation learning, not intervention simulation",Uses causal attention/order terminology only; no causal treatment-effect claim,Frozen-feature diagnosis and scanpath probing only; no decision-impact study,NA,Abstract p.1; Sec. 3 and Fig. 1 pp.3-5; Sec. 4 and Tables 1-5 pp.5-9; Limitations p.10; Appendices A-B pp.13-15,high
MWM-X36A3691F14,A data-driven Alzheimer's disease progression simulator for retrospective validation and prospective Phase III power design.,counterfactual,rollout;action,uncertainty;causal,none,formal_calibration=no;frozen_external_validation=no,medium,Counterfactual — compares simulated placebo and alternative anti-amyloid interventions and estimates treatment effects/power.,Uses causal-intervention and counterfactual terminology for amyloid lowering and downstream outcomes,"Prospective power and sample-size design for Phase III trials, compared with statistical and machine-learning simulators.","NI/negative: adverse events such as ARIA, treatment discontinuation, and treatment-related hazard are not modeled","medRxiv v1 full text, DOI 10.64898/2026.05.03.26352317: Results, Tables 1-2 and Figs. 1-5; Methods sections on ADNI cohort, latent ODE dynamics, intervention calibration, virtual trials, and power.",high
MWM-XB41D731350,A digital twin for hospital antimicrobial resistance forecasting and constrained intervention optimisation,planning,action;decision,rollout;safety,uncertainty,formal_calibration=no;frozen_external_validation=no,medium,Planning: forecast action-conditioned outcomes and optimize constrained screening/isolation policy,The paper labels a causal/intervention branch and generates matched counterfactual futures from identical states,Seventy held-out states support action ranking; MILP demonstrates constrained policy selection in simulation,Containment burden and non-worsening are measured; budget/max-use/cooldown constraints and stress regimes are tested; no clinical deployment safety,"medRxiv version 1 full text: Methods on the synthetic hospital, T=7/H=7 temporal graph task, partial observation, common-state/common-noise intervention branching, and constrained MILP; Results on surveillance and distribution shifts and within-state policy ranking; Code Availability links the predictive and causal repositories.",high
MWM-XF6449FE2D4,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,counterfactual,none,action,rollout;uncertainty;causal,formal_calibration=no;explicit_causal_estimand=no,high,counterfactual,Calls withdrawal counterfactual while explicitly stating it is not a causal estimate because treatment is confounded,"Retrospective bedside what-if illustration; no clinician study, silent deployment, or measured benefit","Safety-oriented tapering discussion only; no defined hazard threshold, override, stress/recovery test, or prospective safety endpoint","medRxiv v1 Abstract; Results model performance, Figs. 2 and 4-5; Methods Input features, Preprocessing, Phase 1/2, cross-validation; Discussion limitations; Data/Code availability",high
MWM-0011,Action-Conditioned World Model for Goal Plane Probe Guidance in Robotic Ultrasound,planning,action;decision,rollout;uncertainty;safety,none,formal_calibration=no;frozen_external_validation=no;explicit_causal_estimand=NA;safety_hazard_test=no,medium,closed-loop planning for action-conditioned robotic probe guidance,Uses action-dynamics and guidance language and explicitly limits the model to visual dynamics in the observed data distribution rather than a physical simulator,"20 physical trials per task; goal-plane success was 70% for carotid and 65% for thyroid, with steps and completion time reported","Force controller and restricted command axes are described; no force outcomes, adverse-event taxonomy, override test, or monitoring analysis","Sec. II, pp. 2-4: cohort, latent diffusion world model, actions, and policy; Table I, p. 5: trajectory/frame counts and patient split; Fig. 4 and Tables II-IV, pp. 5-7: horizon fidelity, controls, and robot results; Discussion, p. 8: evidence boundary and limitations",high
MWM-0012,Affective Music Recommendation: A Rollout-Based World Model for Offline Preference Optimization,planning,action,rollout;decision;safety,uncertainty,formal_calibration=no;frozen_external_validation=no;explicit_causal_estimand=no;closed_loop_evaluation=offline;safety_hazard_test=no,high,Closed-loop offline preference optimization and predeployment simulation; real-user causal efficacy is not demonstrated,Uses counterfactual-history and in-silico-simulator language without causal identification,Simulator-predicted DPO valence-arousal and diversity gains; no online patient or user outcomes,"Fully offline evaluation, Copycat and KL anchoring, diversity and alignment monitoring, and synthetic or perturbed-history stress tests; no deployment hazard protocol","p.1 Abstract; pp.2-4 Sec. 3 and Fig. 1 for data, state, action and model; pp.5-8 Sec. 4 and Tables 1-5 for splits, metrics, ablations and policy rollouts; p.8 Sec. 5.1-5.3 for safety scope and limitations",High
MWM-0013,Agentifying Patient Dynamics within LLMs through Interacting with Clinical World Model,planning,decision,rollout;action;uncertainty;safety,none,formal_calibration=no;closed_loop_evaluation=offline,high,Counterfactual treatment comparison and closed-loop treatment planning,Calls simulated alternatives counterfactual treatment responses and treatment-policy optimization,"DR, WIS, and WPDIS policy-value estimates; guideline adherence and unsafe-action rates; no prospective clinician-use study",Guideline adherence; extreme under/overdosing rules; 241-episode failure analysis manually checked by four emergency-medicine reviewers,"pp.1-5 Abstract, Secs.2-3, Tables 1-2; pp.8-9 Sec.5, Tables 3-4; pp.15-18 Apps.C-F, Tables 5-10; pp.23-24 Apps.I-J, Table 11, Figs.7-8",High
