audit_id,route,title,reviewer_a_decision,reviewer_a_corpus_type,reviewer_a_reason_code,reviewer_a_rationale,reviewer_b_decision,reviewer_b_corpus_type,reviewer_b_reason_code,reviewer_b_rationale,final_decision,final_corpus_type,final_reason_code,resolution_route,adjudication_rationale
ALT-8803de121c39,fresh_alternate_public_search,[Digital twins in uro-oncology].,include,review,include_review,Synthesizes dynamic uro-oncology twins and tumor progression models; reviews simulation and intervention use cases.,include,review,include_review,Substantially synthesizes medical dynamic twins or closely equivalent learned simulation systems and their evaluation.,include,review,include_review,reviewer_consensus,A: Synthesizes dynamic uro-oncology twins and tumor progression models; reviews simulation and intervention use cases. B: Substantially synthesizes medical dynamic twins or closely equivalent learned simulation systems and their evaluation.
ALT-36a3691f146d,fresh_alternate_public_search,A data-driven Alzheimer's disease progression simulator for retrospective validation and prospective Phase III power design.,include,empirical,include_empirical,Fits latent ODE Alzheimer biomarker dynamics from ADNI; validates intervention-conditioned trial rollouts against six trials.,include,empirical,include_empirical,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",include,empirical,include_empirical,reviewer_consensus,"A: Fits latent ODE Alzheimer biomarker dynamics from ADNI; validates intervention-conditioned trial rollouts against six trials. B: Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation."
ALT-b41d73135078,fresh_alternate_public_search,A digital twin for hospital antimicrobial resistance forecasting and constrained intervention optimisation,include,empirical,include_empirical,Learns temporal graph dynamics of hospital resistance spread; tests forecasts and policy-conditioned action ranking.,include,empirical,include_empirical,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",include,empirical,include_empirical,reviewer_consensus,"A: Learns temporal graph dynamics of hospital resistance spread; tests forecasts and policy-conditioned action ranking. B: Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation."
ALT-44571950f60c,fresh_alternate_public_search,A digital twin-enhanced decision support system improves time-in-range in type 1 diabetes: a randomized clinical trial.,include,empirical,include_empirical,Uses a patient-adapted glucose and insulin simulator; tests forecast accuracy and dosing in a randomized trial.,include,empirical,include_empirical,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",include,empirical,include_empirical,reviewer_consensus,"A: Uses a patient-adapted glucose and insulin simulator; tests forecast accuracy and dosing in a randomized trial. B: Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation."
ALT-b2249eb31bfe,fresh_alternate_public_search,A Model to Assess the Outcomes Associated With Dementia With Lewy Bodies.,include,empirical,include_empirical,Estimates DLB state transitions from longitudinal observations; rolls out disease outcomes and a progression-risk intervention.,include,empirical,include_empirical,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",include,empirical,include_empirical,reviewer_consensus,"A: Estimates DLB state transitions from longitudinal observations; rolls out disease outcomes and a progression-risk intervention. B: Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation."
ALT-10e1e2640b93,fresh_alternate_public_search,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,include,empirical,include_empirical,Learns conditional generative Alzheimer progression from longitudinal imaging; evaluates generated future disease states.,include,empirical,include_empirical,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",include,empirical,include_empirical,reviewer_consensus,"A: Learns conditional generative Alzheimer progression from longitudinal imaging; evaluates generated future disease states. B: Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation."
ALT-7637963d5f0f,fresh_alternate_public_search,A multidimensional ODE-based model of Alzheimer's disease progression,include,empirical,include_empirical,Fits multivariate ODE biomarker and cognition dynamics; forecasts trajectories and time to dementia conversion.,include,empirical,include_empirical,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",include,empirical,include_empirical,reviewer_consensus,"A: Fits multivariate ODE biomarker and cognition dynamics; forecasts trajectories and time to dementia conversion. B: Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation."
ALT-eb7ba539fd65,fresh_alternate_public_search,A Novel Coupling Model of Physiological Degradation and Emotional State for Prediction of Alzheimer's Disease Progression.,include,empirical,include_empirical,Couples learned physiological degradation and emotional transitions; tests longitudinal cognitive forecasts on ADNI follow-up.,include,empirical,include_empirical,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",include,empirical,include_empirical,reviewer_consensus,"A: Couples learned physiological degradation and emotional transitions; tests longitudinal cognitive forecasts on ADNI follow-up. B: Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation."
ALT-55f569d2ada1,fresh_alternate_public_search,A unified framework for prediction of liver steatosis dynamics in response to different diet and drug interventions.,include,empirical,include_empirical,Calibrates ODE liver-fat dynamics to intervention datasets; validates diet- and drug-conditioned trajectory predictions.,include,empirical,include_empirical,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",include,empirical,include_empirical,reviewer_consensus,"A: Calibrates ODE liver-fat dynamics to intervention datasets; validates diet- and drug-conditioned trajectory predictions. B: Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation."
ALT-0db7baaf92ff,fresh_alternate_public_search,Advancing Precision Oncology with Digital and Virtual Twins: A Scoping Review.,include,review,include_review,Systematically maps oncology digital and virtual twin models; synthesizes predictive simulation and therapy applications.,include,review,include_review,Substantially synthesizes medical dynamic twins or closely equivalent learned simulation systems and their evaluation.,include,review,include_review,reviewer_consensus,A: Systematically maps oncology digital and virtual twin models; synthesizes predictive simulation and therapy applications. B: Substantially synthesizes medical dynamic twins or closely equivalent learned simulation systems and their evaluation.
