audit_id,route,title,decision,corpus_type,reason_code,dynamics,evaluation,lineage,full_text_url,rationale,confidence
ALT-8803de121c39,fresh_alternate_public_search,[Digital twins in uro-oncology].,include,review,include_review,synthesis of learned/adapted medical dynamics,"simulation, forecasting, or intervention evidence synthesized",retained review,https://doi.org/10.1007/s00120-026-02827-2,Substantially synthesizes medical dynamic twins or closely equivalent learned simulation systems and their evaluation.,medium
ALT-f2248af7866f,fresh_alternate_public_search,A Bayesian disease progression model for Major Depressive Disorder,uncertain,uncertain,inaccessible_full_text,not verifiable from accessible primary text,not verifiable from accessible primary text,single record; lineage unresolved,https://doi.org/10.70534/sgcb2032,"A relevant title was located, but stable primary text with extractable methods and results was not available for a defensible decision.",low
ALT-36a3691f146d,fresh_alternate_public_search,A data-driven Alzheimer's disease progression simulator for retrospective validation and prospective Phase III power design.,include,empirical,include_empirical,learned or calibrated action-conditioned simulator,future trajectories or next states evaluated,retained primary version,https://doi.org/10.64898/2026.05.03.26352317,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",medium
ALT-b41d73135078,fresh_alternate_public_search,A digital twin for hospital antimicrobial resistance forecasting and constrained intervention optimisation,include,empirical,include_empirical,learned or calibrated action-conditioned simulator,intervention or policy simulations evaluated,retained primary version,https://doi.org/10.64898/2026.05.15.26353296,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",medium
ALT-2f2ac4647872,fresh_alternate_public_search,A Digital Twin Framework for Predictive Modeling and Intervention Optimization in Inflammatory Bowel Disease,uncertain,uncertain,inaccessible_full_text,not verifiable from accessible primary text,not verifiable from accessible primary text,single record; lineage unresolved,https://doi.org/10.1109/urtc68753.2025.11533070,"A relevant title was located, but stable primary text with extractable methods and results was not available for a defensible decision.",low
ALT-44571950f60c,fresh_alternate_public_search,A digital twin-enhanced decision support system improves time-in-range in type 1 diabetes: a randomized clinical trial.,include,empirical,include_empirical,learned or calibrated action-conditioned simulator,intervention or policy simulations evaluated,retained primary version,https://pmc.ncbi.nlm.nih.gov/articles/PMC12615814/,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",high
ALT-dc913f452db6,fresh_alternate_public_search,A Hybrid Deep Learning Framework to Predict Alzheimer’s Disease Progression Using Generative Adversarial Networks and Deep Convolutional Neural Networks,exclude,not_applicable,no_future_or_action_evaluation,"static, associative, staging, or ordinary endpoint model",no direct evolving-state rollout or action-response evaluation,single primary record,https://doi.org/10.1007/s13369-023-07973-9,"The study evaluates classification, staging, synthetic augmentation, or isolated prediction rather than operational state dynamics.",medium
ALT-b2249eb31bfe,fresh_alternate_public_search,A Model to Assess the Outcomes Associated With Dementia With Lewy Bodies.,include,empirical,include_empirical,fitted continuous-time state dynamics,simulator fidelity or dynamic predictions evaluated,retained primary version,https://doi.org/10.1097/wad.0000000000000412,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",medium
ALT-10e1e2640b93,fresh_alternate_public_search,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,include,empirical,include_empirical,learned longitudinal generative dynamics,future trajectories or next states evaluated,retained primary version,https://doi.org/10.1109/ijcnn48605.2020.9206875,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",medium
ALT-7637963d5f0f,fresh_alternate_public_search,A multidimensional ODE-based model of Alzheimer's disease progression,include,empirical,include_empirical,fitted continuous-time state dynamics,future trajectories or next states evaluated,retained primary version,https://doi.org/10.21203/rs.3.rs-1903006/v1,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",medium
ALT-6fcc7e27909c,fresh_alternate_public_search,A Multimodal Disease Progression Model for Genetic Associations with Disease Dynamics,uncertain,uncertain,inaccessible_full_text,not verifiable from accessible primary text,not verifiable from accessible primary text,single record; lineage unresolved,https://doi.org/10.1007/978-3-031-43904-9_58,"A relevant title was located, but stable primary text with extractable methods and results was not available for a defensible decision.",low
ALT-eb7ba539fd65,fresh_alternate_public_search,A Novel Coupling Model of Physiological Degradation and Emotional State for Prediction of Alzheimer's Disease Progression.,include,empirical,include_empirical,fitted continuous-time state dynamics,future trajectories or next states evaluated,retained primary version,https://pmc.ncbi.nlm.nih.gov/articles/PMC9496856/,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",high
ALT-bc44662f8af7,fresh_alternate_public_search,A tool to measure the impact of inaction toward elimination of hepatitis C: A case study in Korea.,exclude,not_applicable,no_learned_dynamics,hand-specified or simulation-trained dynamics without observed-data transition fitting,scenario simulation does not validate learned medical transitions,single primary record,https://pmc.ncbi.nlm.nih.gov/articles/PMC7188208/,"The simulator is mechanistic, economic, or surrogate-based without a data-fitted transition component meeting the rubric.",high
ALT-55f569d2ada1,fresh_alternate_public_search,A unified framework for prediction of liver steatosis dynamics in response to different diet and drug interventions.,include,empirical,include_empirical,learned or calibrated action-conditioned simulator,intervention or policy simulations evaluated,retained primary version,https://doi.org/10.1016/j.clnu.2024.05.017,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",medium
ALT-0db7baaf92ff,fresh_alternate_public_search,Advancing Precision Oncology with Digital and Virtual Twins: A Scoping Review.,include,review,include_review,synthesis of learned/adapted medical dynamics,"simulation, forecasting, or intervention evidence synthesized",retained review,https://pmc.ncbi.nlm.nih.gov/articles/PMC11593079/,Substantially synthesizes medical dynamic twins or closely equivalent learned simulation systems and their evaluation.,high
ALT-e973e602f301,fresh_alternate_public_search,AI-Driven Digital Twin Framework for Predictive Healthcare,uncertain,uncertain,inaccessible_full_text,not verifiable from accessible primary text,not verifiable from accessible primary text,single record; lineage unresolved,https://doi.org/10.1201/9781003726913-20,"A relevant title was located, but stable primary text with extractable methods and results was not available for a defensible decision.",low
ALT-cf23547c69b1,fresh_alternate_public_search,AI-Guided Inference of Morphodynamic Attractor-like States in Glioblastoma.,exclude,not_applicable,no_future_or_action_evaluation,"static, associative, staging, or ordinary endpoint model",no direct evolving-state rollout or action-response evaluation,single primary record,https://pmc.ncbi.nlm.nih.gov/articles/PMC12785452/,"The study evaluates classification, staging, synthetic augmentation, or isolated prediction rather than operational state dynamics.",high
ALT-99717b78a904,fresh_alternate_public_search,"AI-powered in silico twins: redefining precision medicine through simulation, personalization, and predictive healthcare.",include,review,include_review,synthesis of learned/adapted medical dynamics,"simulation, forecasting, or intervention evidence synthesized",retained review,https://pmc.ncbi.nlm.nih.gov/articles/PMC12738446/,Substantially synthesizes medical dynamic twins or closely equivalent learned simulation systems and their evaluation.,high
ALT-f6449fe2d40f,fresh_alternate_public_search,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,include,empirical,include_empirical,learned longitudinal generative dynamics,future trajectories or next states evaluated,retained primary version,https://doi.org/10.64898/2026.03.13.26346736,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",medium
ALT-0e16f0063c94,fresh_alternate_public_search,AlzheimerODE: A Knowledge-Guided Generative Model for Alzheimer's Disease Progression,uncertain,uncertain,inaccessible_full_text,not verifiable from accessible primary text,not verifiable from accessible primary text,single record; lineage unresolved,https://doi.org/10.1145/3770855.3818833,"A relevant title was located, but stable primary text with extractable methods and results was not available for a defensible decision.",low
ALT-eefa5c2463e3,fresh_alternate_public_search,An Open Source Patient Simulator for Design and Evaluation of Computer Based Multiple Drug Dosing Control for Anesthetic and Hemodynamic Variables,exclude,not_applicable,no_learned_dynamics,hand-specified or simulation-trained dynamics without observed-data transition fitting,scenario simulation does not validate learned medical transitions,single primary record,https://doi.org/10.1109/access.2021.3049880,"The simulator is mechanistic, economic, or surrogate-based without a data-fitted transition component meeting the rubric.",medium
ALT-7c951eb38f74,fresh_alternate_public_search,Anticipatory Healthcare Analytics: Inferring Latent Disease Dynamics from Noisy Clinical Observations,include,empirical,include_empirical,learned or calibrated longitudinal dynamics,simulator fidelity or dynamic predictions evaluated,retained primary version,https://doi.org/10.11648/j.jfmhc.20261201.11,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",medium
ALT-6236c0921f50,fresh_alternate_public_search,Application of Hidden Markov Model to Identify Disease Progression Process in Medical Research,exclude,not_applicable,no_primary_empirical_evaluation,proposed or discussed dynamics only,no sufficiently extractable primary methods and results,"editorial, abstract, perspective, or proposal",https://doi.org/10.18502/ijph.v49i6.3382,The record lacks a complete primary empirical evaluation sufficient to verify eligible dynamics and results.,high
ALT-db944a487acf,fresh_alternate_public_search,ARE-GAN: Adaptive Regression and ROI-Enhanced Generative Adversarial Network for Alzheimer Disease Progression Prediction,include,empirical,include_empirical,learned longitudinal generative dynamics,future trajectories or next states evaluated,retained primary version,https://doi.org/10.1007/s44196-025-01133-7,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",medium
ALT-7c5ab8c52279,fresh_alternate_public_search,"Artificial Intelligence, LLM-based generation of synthetic patients with Parkinson’s Disease: towards a digital twin paradigm for in silico studies",exclude,not_applicable,no_future_or_action_evaluation,"static, associative, staging, or ordinary endpoint model",no direct evolving-state rollout or action-response evaluation,single primary record,https://doi.org/10.64898/2026.04.28.26351471,"The study evaluates classification, staging, synthetic augmentation, or isolated prediction rather than operational state dynamics.",high
ALT-4ebd98e25663,fresh_alternate_public_search,Automatic Interactive Evaluation for Large Language Models with State Aware Patient Simulator,include,empirical,include_empirical,fitted continuous-time state dynamics,simulator fidelity or dynamic predictions evaluated,retained primary version,https://doi.org/10.2139/ssrn.4890649,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",medium
ALT-6fb8e7370e1e,fresh_alternate_public_search,Autosomal Dominant Tubulointerstitial Kidney Disease Clinical Trial Simulator: Case Reports of Model-Informed Drug Development.,include,empirical,include_empirical,fitted continuous-time state dynamics,intervention or policy simulations evaluated,retained primary version,https://pmc.ncbi.nlm.nih.gov/articles/PMC13274743/,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",high
