candidate_id,title,domain_group,corpus_boundary,source_tier,annotation_status
MWM-XA9B007D895,A Blood Glucose Control Framework Based on Reinforcement Learning With Safety and Interpretability: In Silico Validation,longitudinal_physiology_decision,strict_core,peer_reviewed,lead_reviewed
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,imaging_biological,strict_core,peer_reviewed,lead_reviewed
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,imaging_biological,strict_core,peer_reviewed,lead_reviewed
MWM-0008,A World Model of Radiologist Reading for Medical Image Representation Learning,imaging_biological,strict_core,preprint_or_unreviewed,carried_forward
MWM-X36A3691F14,A data-driven Alzheimer's disease progression simulator for retrospective validation and prospective Phase III power design.,longitudinal_physiology_decision,strict_core,preprint_or_unreviewed,lead_reviewed
MWM-XB41D731350,A digital twin for hospital antimicrobial resistance forecasting and constrained intervention optimisation,longitudinal_physiology_decision,strict_core,preprint_or_unreviewed,lead_reviewed
MWM-XF6449FE2D4,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,longitudinal_physiology_decision,strict_core,preprint_or_unreviewed,lead_reviewed
MWM-0011,Action-Conditioned World Model for Goal Plane Probe Guidance in Robotic Ultrasound,procedural_embodied,strict_core,preprint_or_unreviewed,carried_forward
MWM-0012,Affective Music Recommendation: A Rollout-Based World Model for Offline Preference Optimization,peripheral_health_adjacent,extended_peripheral,preprint_or_unreviewed,carried_forward
MWM-0013,Agentifying Patient Dynamics within LLMs through Interacting with Clinical World Model,longitudinal_physiology_decision,strict_core,preprint_or_unreviewed,carried_forward
MWM-0018,Arti-JEPA: Adapting Video World Model to Real-Time MRI of the Vocal Tract for Speech-Production Analysis,imaging_biological,strict_core,preprint_or_unreviewed,carried_forward
MWM-X6FB8E7370E,Autosomal Dominant Tubulointerstitial Kidney Disease Clinical Trial Simulator: Case Reports of Model-Informed Drug Development.,longitudinal_physiology_decision,strict_core,peer_reviewed,lead_reviewed
