candidate_id,title,abstract,authors,year,publication_date,venue,doi,arxiv_id,url,record_type,sources,query_labels,source_status
MWM-0001,207 This Is Me! an interview tool for disabled children for self awareness and collaborative decision making in family centred care,"Goals Neurodevelopmental disabilities (NDD) are best conceptualised within the ICF’s biopsychosocial framework. CanChild’s F-words (Functioning, Fitness, Fun, Family, Friends and Future) encourage strengths-based, family-centred care, yet structured tools for direct child participation are scarce. This study evaluated This Is Me (TIM), an adapted child-interviewing tool, for feasibility, acceptability, and its role in enhancing self-awareness and collaborative goal-setting in young children with disabilities.Methods A prospective, cross-sectional, mixed-methods study was conducted among children aged 6–11 years with NDD attending Sethu, a community-based Child Development Centre in Goa, India from January to May 2025. TIM was used to elicit children’s strengths, supports and barriers, followed by selection of goals and formulating action plans with families which they could implement with support. Child and parent feedback was obtained after two months.Results Thirty-four children with autism, ADHD, specific learning disability, intellectual disability, or epilepsy participated. Children identified a range of strengths, interests and supports across the established F-words framework. The additional area (Fences) to explore barriers elicited interpersonal difficulties with siblings and peers, academic challenges, and fears. Child-selected goals focused on relationships, preferred activities, and academic support. At follow-up, most families implemented the action plans, and both children and parents reported positive experiences.Conclusions The TIM is a feasible, acceptable child-friendly tool that lends itself to interventions that strengthen child participation in neurodevelopmental care. It supports self-awareness, goal setting, and shared decision-making with families, offering a real-world model to integrate the perspectives of young children with disabilities in community based clinical services.",Nandita De Souza; Rucha Mehta,2026,2026-06-01,,10.1136/bmjpo-2026-idpa.132,,https://doi.org/10.1136/bmjpo-2026-idpa.132,conference-abstract,openalex,"""world model"" clinical;""world model"" patient",open-access
MWM-0002,[From digitalization to embodied intelligence: technological innovation and paradigm shift in clinical stomatology].,"In the critical stage of digital and intelligent transformation of stomatology, artificial intelligence (AI) technology has shown significant advantages in diagnosis, treatment planning and other fields. However, limited by the nature of disembodied intelligence, the clinical execution end still faces the ""last centimeter"" bottleneck such as weak environmental perception and lack of dynamic interaction. As a new AI paradigm emphasizing the closed loop of ""perception-decision-action"", embodied intelligence provides a new theoretical direction and technical path to break through the execution limitations of existing digital technologies. This paper sorts out the technical core of embodied intelligence and its adaptation logic to oral clinical scenarios. From the perspective of different evaluation dimensions, it compares the conventional medical robot autonomy classification with intelligence-oriented frameworks, and further introduces the embodied intelligence grading system in the context of oral healthcare, systematically describes the development direction of core technologies such as visuo-tactile fusion perception, oral-specific world model, and simulation-to-reality (Sim2Real) simulation training, prospects its application scenarios in subspecialties such as oral implantology, prosthodontics, endodontics, and orthodontics, and puts forward expert suggestions on core issues such as data islands, regulatory ethics, and technical boundaries faced by the current field, so as to provide a reference for the rational development and standardized application of oral embodied intelligence.",L W Liu; B Yan,2026,2026,Zhonghua kou qiang yi xue za zhi = Zhonghua kouqiang yixue zazhi = Chinese journal of stomatology,10.3760/cma.j.cn112144-20260227-00136,,https://pubmed.ncbi.nlm.nih.gov/42219725/,journal-article,europe_pmc;openalex;pubmed,"""world model"" clinical;""world model"" treatment;europe_pmc_core;pubmed_core",indexed
MWM-0003,A Microbiome-Conditioned Reinforcement Learning Architecture for Closed-Loop Glycemic Control,"We present a microbiome-conditioned reinforcement learning (RL) architecture that reframesclosed-loop control as a problem of predictive metabolic modeling rather than reactiveglucose regulation. The system integrates multimodal physiological signals across multipletimescales, including continuous glucose monitoring, insulin delivery history, behavioral context,and microbiome-derived features that represent an individual’s metabolic phenotype. Aconstrained RL policy is coupled with a predictive world model and a supervisory safety layerto ensure clinically viable insulin recommendations. To enhance interpretability, we introduce the Microbiome Metabolic Index (MMI), a derivedrepresentation that summarizes microbiome-driven metabolic tendencies, including insulinsensitivity, postprandial response characteristics, and inflammatory burden. By incorporatingupstream biological context into the control loop, the proposed framework is designed to enableanticipatory insulin adjustments and individualized control strategies.This work proposes a new class of biology-aware control systems for diabetes managementand establishes a foundation for adaptive, interpretable, and clinically scalable closed-loop therapies.",Steven Sikes,2026,2026-07-23,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.21521486,,https://doi.org/10.5281/zenodo.21521486,article,openalex,"""world model"" clinical;""world model"" physiology",open-access
MWM-0004,A radiographic world model for clinical reasoning and evidence generation,"Medical imaging artificial intelligence (AI) is commonly developed as separate mappings from radiographs to diagnostic outputs or from clinical descriptions to generated images, although both arise from the same underlying radiographic state. A world - model formulation instead seeks to learn an internal representation of this state that can support both clinical readout and conditional simulation of radiographic observations. Here we introduce MedDream, a radiographic world model that learns a shared continuous latent state from paired chest radiograph-text observations for diagnostic reasoning and report-conditioned evidence generation. MedDream was pretrained on 2.65 million leakage-controlled chest radiograph-text pairs curated from 4.40 million candidates. Across eight clinical datasets and two independent reader cohorts, MedDream outperformed leading diagnostic and generative comparators. For diagnostic reasoning, MedDream showed strong generalization across disease recognition, label-scarce adaptation, severity assessment, and localization, while MedDream-supported review increased mean resident concordance with independent radiologist consensus from 56.3% to 63.0%. For evidence generation, MedDream produced radiographs that preserved clinically relevant pathology and improved downstream performance on held-out real data, with synthetic augmentation increasing external VinDr-CXR macro-AUROC from 76.4% to 81.4%. More importantly, conditioning generation on prespecified subgroup performance gaps enabled targeted evidence construction, increasing weighted F1 by 3.1 percentage points in Asian patients , whereas matched-volume unguided augmentation decreased it by 2.3 points. These findings establish radiographic world models as a path toward medical AI that learns clinically meaningful internal states for interpreting, simulating, and constructing evidence for clinical use.",Suyang Xi; Songtao Hu; Shansong Wang; Mojtaba Safari; Luke del Balzo; Ehsan Ul Karim; Mingzhe Hu; Kuo Zhang; Tonghe Wang; Ralph R. Weichselbaum; Xiaofeng Yang,2026,2026-09-07,arXiv (Cornell University),10.48550/arxiv.2609.07719,2609.07719,https://arxiv.org/abs/2609.07719,preprint,arxiv;openalex,"""world model"" clinical;""world model"" patient;arxiv_html_fallback",open-access
MWM-0005,A Survey of World Model Benchmarks,"World models are increasingly used to predict and simulate how environments evolve, yet their evaluation remains fragmented across video generation, autonomous driving, and robotics. World-model benchmarks differ in four respects: what capability is evaluated, how the model is evaluated, which metrics are used, and where the data come from. Thus, similar scores may reflect different evidence and should not support the same capability claims. We present an evaluation-centric survey of 102 representative benchmarks released between 2018 and 2026. We characterize them through four coupled dimensions: Evaluation Target, Evaluation Protocol, Evaluation Metrics, and Evaluation Data. Evaluation Target encompasses visual and temporal quality, spatial and state consistency, long-horizon memory and state persistence, physical plausibility, causal and counterfactual reasoning, control fidelity and interactive dynamics, and functional utility. Our analysis reveals that evaluation targets are expanding beyond visual and temporal quality toward functional utility, while corresponding protocols, metrics, and data lag behind. This evidence gap allows open-loop prediction scores to be overinterpreted as evidence of intervention response or closed-loop reliability beyond what a benchmark directly tests. We identify priorities for evaluating functional utility across downstream roles, developing intervention-based and closed-loop protocols, combining prediction-level and downstream outcome metrics, constructing multimodal action-grounded data, and building standardized and reproducible evaluation toolkits. By clarifying what each benchmark measures and which claims its evidence can support, this survey provides a roadmap toward credible and comparable world-model evaluation. The survey website is available at https://world-model-benchmarks.github.io/.","Zhang Z, Guo Z, Si Y, Liang S, Liu S, Gao W, Wang S, Rutkowski L, Valenzise G, Yang M, Cong LW, Deen MJ, Cripps S, Tao D.",2026,2026-09-08,,10.20944/preprints202609.0665.v1,,https://europepmc.org/article/PPR/PPR1315236,,europe_pmc,europe_pmc_core,indexed
MWM-0006,A survey of world models for physical AI with uncertainty representation and control,"Abstract Physical AI systems must reason about real-world dynamics in order to perceive, predict, and act safely under partial observability and uncertainty. World models–learned predictive representations of environment dynamics and action consequences–have emerged as a unifying framework for integrating perception, prediction, planning, and control in embodied agents. This survey provides a comprehensive and technically grounded review of learning-based world models for Physical AI, with particular emphasis on closed-loop decision-making. We organize existing approaches along six compositional design dimensions: state abstraction, temporal dynamics, uncertainty source and treatment, structural prior, observation modality, and decision coupling. Beyond this design-oriented taxonomy, we analyze how world models interact with optimization–highlighting compounding error, planner exploitation, rollout horizon management, and uncertainty calibration as central design tensions. We further examine evaluation methodologies, benchmark ecosystems, and sim-to-real transfer challenges, and synthesize open problems in long-horizon consistency, physical constraint enforcement, data efficiency, and safety. By clarifying recurring trade-offs across robotics and model-based reinforcement learning, this survey outlines principled directions for building reliable and scalable Physical AI systems.",Sven Kirchner; Nils Purschke; Alois Knoll,2026,2026-09-03,Discover Artificial Intelligence,10.1007/s44163-026-02122-1,,https://doi.org/10.1007/s44163-026-02122-1,article,openalex,"""world model"" clinical;""world model"" treatment",open-access
MWM-0007,A systematic review of human status epilepticus in organophosphate poisoning: A real-world Stage 1 Plus model?,"OBJECTIVE: To describe clinical phenotypes of organophosphate (OP)-related status epilepticus (SE) and to determine whether they could represent a real-world model of Stage 1 Plus SE, a stage possibly requiring early polytherapy from the start. METHODS: We conducted a systematic review, searching PubMed and Scopus, complemented by Google Scholar and reference/citation screening to find human OP-related SE. Two reviewers independently screened records, extracted patient-level data, and appraised methodological quality following the PRISMA guidelines; disagreements were resolved by consensus. Studies including single epileptic seizures not meeting the International League Against Epilepsy (ILAE) criteria for SE were excluded. RESULTS: Twelve cases met the inclusion criteria. A specific OP agent was identified in 7/12. Convulsive SE was reported in 8/12, while nonconvulsive and myoclonic SE were documented in a minority of cases; phenotypes could overlap. SE onset after exposure ranged from 2 to 36 h, with one case linked to chronic intoxication. Concomitant cholinergic features were reported in almost all cases (11/12). Seizure persistence after an initial benzodiazepine (BDZ) bolus was reported in all cases in which a first-line BDZ bolus was administered (7/7), prompting a sequential shift to antiseizure medications or anesthetic agents. Mechanical ventilation was required in 11/12; reported outcomes were favorable in 11/12. SIGNIFICANCE: OP poisoning is a polymorphic entity including several cholinergic features and a broad SE spectrum, mainly convulsive SE. Ongoing seizures after early BDZ therapy suggest a possible direction toward a Stage 1 Plus phenotype, mirroring experimental evidence from preclinical animal models of OP-induced SE, possibly requiring early polytherapy.",Giuseppe Magro; Oreste Marsico,2026,2026,Epileptic disorders : international epilepsy journal with videotape,10.1002/epd2.70240,,https://pubmed.ncbi.nlm.nih.gov/41925632/,journal-article,europe_pmc;openalex;pubmed,"""world model"" clinical;""world model"" patient;europe_pmc_core;pubmed_core",indexed
MWM-0008,A World Model of Radiologist Reading for Medical Image Representation Learning,"Radiologist eye-tracking data provide a rich record of how experts search, compare, and accumulate evidence during image reading; yet, existing methods exploit this signal only partially, either as a static spatial prior or as an auxiliary prediction target decoupled from diagnosis. We propose GazeWorld, a medical imaging world model that treats the image as the world and the radiologist's fixation sequence as a trajectory through it. GazeWorld autoregressively predicts the latent representation of the next fixated patch from all previously visited ones, while a spatial-completion branch covers unvisited regions. At inference, GazeWorld generates a sequence of patch representations from the image alone without requiring real gaze data. Frozen GazeWorld features achieve state-of-the-art diagnostic accuracy across all nine supervised settings on CheXpert, RSNA Pneumonia, and SIIM-ACR Pneumothorax, as well as the highest zero-shot accuracy on all three benchmarks. On the GazeSearch benchmark, a generic decoder trained on the same frozen features outperforms the purpose-built LogitGaze-Med by over 16\% in ScanMatch and 22\% in SED, despite not being explicitly trained to predict gaze. GazeWorld demonstrates that modeling how experts read, not just what they conclude, offers a promising pretraining paradigm for medical imaging AI.",Yiwei Li; Zihao Wu; Huaqin Zhao; Yifan Zhou; Chao Cao; Dajiang Zhu; Tianming Liu; Lin Zhao,2026,2026-05-17,arXiv (Cornell University),10.48550/arxiv.2605.23992,2605.23992,https://arxiv.org/abs/2605.23992,preprint,arxiv;openalex,"""world model"" clinical;""world model"" patient;arxiv_html_fallback",open-access
MWM-0009,"A World Model of the Nuclear Fuel Cycle From Past Reconstruction to Future Assessment of Fuel Demand, Waste Treatment and Strategic Stability",,アレッシオ ロッシ; Alessio Rossi; 中瀬正彦; Masahiko Nakase; 岡村知拓; Tomohiro Okamura; 西原健司; Kenji Nishihara; 小野航希; Kouki ONO,2026,2026-03-25,Tokyo Tech Research Repository (Tokyo Institute of Technology),,,http://t2r2.star.titech.ac.jp/cgi-bin/publicationinfo.cgi?q_publication_content_number=CTT100941712,conference-paper,openalex,"""world model"" treatment",indexed
MWM-0010,Abstract No: 544 Prognostic Factors for Survival in Incident ESRD Patients on a Real-World Hybrid Hemodiafiltration Regimen: A Retrospective Cohort Study,"Unlike the thrice-weekly high-volume hemodiafiltration (HDF) regimen common in Europe and Japan, a hybrid schedule (one HDF and two hemodialysis sessions per week) is prevalent in China. Evidence on prognostic factors for patients initiating this real-world model is scarce. This study investigated factors influencing survival in this population.",Li Wang,2026,2026-09-01,Kidney International Reports,10.1016/j.ekir.2026.106763,,https://doi.org/10.1016/j.ekir.2026.106763,conference-abstract,openalex,"""world model"" clinical;""world model"" patient;""world model"" treatment",open-access
