audit_id,stratum,title,abstract,authors,year,publication_date,venue,doi,arxiv_id,url,record_type,sources,query_labels,source_status,original_exclusion_reason
AUD-0169c0ec1ae9,alternate_dynamics_enriched,AI-Driven Personalized Fall Prevention for Older Adults,"Falls among older adults pose a significant public health challenge, impacting quality of life and healthcare costs. This research proposal aims to develop an innovative AI-driven personalized fall prevention system for older adults, leveraging advanced machine learning techniques in computer vision, natural language processing, and reinforcement learning. The proposed system will encompass five key components: (1) Advanced pose estimation and activity recognition using HRNet with attention mechanisms and hybrid LSTM-GCN models; (2) Personalized risk assessment through multi-modal deep learning, combining CNNs, RNNs, and federated learning for privacy-preserving distributed training; (3) Adaptive intervention strategies employing Deep Q-Networks and model-based reinforcement learning with GAN-simulated environments; (4) Human-AI interaction utilizing SHAP values for explainable AI and fine-tuned GPT-3 for natural language communication; and (5) Privacy-preserving techniques including differential privacy and homomorphic encryption. The research will be conducted over a five-year period, involving data collection, model development, large-scale testing, and clinical trials. Expected outcomes include a scalable, privacy-preserving AI system capable of significantly reducing fall incidents among older adults, thereby improving quality of life and reducing healthcare costs. This interdisciplinary research contributes to advancing AI techniques in real-world healthcare applications while addressing critical ethical and privacy concerns, potentially transforming elderly care on a global scale.",Katherine Xu,2025,2025-04-11,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v39i28.35342,,https://doi.org/10.1609/aaai.v39i28.35342,conference-paper,['openalex'],"['""world model"" clinical']",open-access,world-model phrase absent from title and abstract
AUD-07c87bacbbe4,alternate_dynamics_enriched,An Improved Dyna-Q Algorithm Inspired by the Forward Prediction Mechanism in the Rat Brain for Mobile Robot Path Planning.,"The traditional Model-Based Reinforcement Learning (MBRL) algorithm has high computational cost, poor convergence, and poor performance in robot spatial cognition and navigation tasks, and it cannot fully explain the ability of animals to quickly adapt to environmental changes and learn a variety of complex tasks. Studies have shown that vicarious trial and error (VTE) and the hippocampus forward prediction mechanism in rats and other mammals can be used as key components of action selection in MBRL to support ""goal-oriented"" behavior. Therefore, we propose an improved Dyna-Q algorithm inspired by the forward prediction mechanism of the hippocampus to solve the above problems and tackle the exploration-exploitation dilemma of Reinforcement Learning (RL). This algorithm alternately presents the potential path in the future for mobile robots and dynamically adjusts the sweep length according to the decision certainty, so as to determine action selection. We test the performance of the algorithm in a two-dimensional maze environment with static and dynamic obstacles, respectively. Compared with classic RL algorithms like State-Action-Reward-State-Action (SARSA) and Dyna-Q, the algorithm can speed up spatial cognition and improve the global search ability of path planning. In addition, our method reflects key features of how the brain organizes MBRL to effectively solve difficult tasks such as navigation, and it provides a new idea for spatial cognitive tasks from a biological perspective.","Huang J, Zhang Z, Ruan X.",2024,2024-05-23,Biomimetics,10.3390/biomimetics9060315,,https://europepmc.org/article/MED/38921195,article,"['europe_pmc', 'openalex']","['""world model"" physiology', 'europe_pmc_core']",indexed,world-model phrase absent from title and abstract
AUD-643f893ef318,alternate_dynamics_enriched,Applications of System Dynamics Models in Chronic Disease Prevention: A Systematic Review.,"INTRODUCTION: Chronic disease is a serious health problem worldwide. Given that health care resources are limited, a comprehensive, effective, and affordable way is needed to provide insights to prevent chronic diseases. System dynamics models provide a comprehensive and systematic method that can predict results over time. These models can simulate and predict appropriate prevention measures for chronic diseases to determine the best practice. METHODS: Two researchers (Y.W., B.H.) independently searched databases (PubMed, Web of Science, Scopus, and Embase) for full-text articles published from January 2000 through February 2021. A PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analysis) 2020-compliant search was carried out to review system dynamics models of chronic disease prevention. A total of 34 articles were included in our study. RESULTS: We divided the prevention measures of system dynamics models into 2 main categories: upstream prevention and downstream prevention. Upstream prevention measures include lifestyle (eg, tobacco control, balanced diet, mental health, moderate exercise), obesity prevention, and social factors. Downstream prevention measures include clinical treatment of chronic diseases. Results showed that effective upstream prevention measures could reduce the prevalence of chronic diseases, and downstream prevention measures could reduce the incidence of complications, improve quality of life, prolong life, save medical costs, and reduce mortality. CONCLUSION: To our knowledge, our systematic review is the first to evaluate the application of system dynamics models in preventing chronic diseases. Such models can provide effective simulations. Hence, we can use system dynamics models to design and implement effective prevention measures for people with chronic diseases.","Wang Y, Hu B, Zhao Y, Kuang G, Zhao Y, Liu Q, Zhu X.",2021,2021-12-23,Preventing Chronic Disease,10.5888/pcd18.210175,,https://europepmc.org/article/MED/34941481,review,"['europe_pmc', 'openalex']","['""world model"" clinical', '""world model"" medicine', '""world model"" patient', '""world model"" treatment', 'europe_pmc_core']",indexed,world-model phrase absent from title and abstract
AUD-15da41fa9469,alternate_dynamics_enriched,Artificial general intelligence and the clinical laboratory: a paradigm shift toward Lab 2.0,"Clinical laboratory medicine faces converging structural pressures: workforce shortages, growing data complexity, and rapid advances in artificial intelligence (AI). Some prominent developers, including Demis Hassabis of Google DeepMind, have projected the arrival of artificial general intelligence (AGI) around 2030; such timelines remain contested and should be read as one plausible scenario rather than an established forecast. This Opinion Paper does not depend on any specific arrival date. Instead, it argues that the trajectory of increasingly capable AI is itself reason enough to reconsider how the clinical laboratory creates value. At the core of this reconsideration is a shift from ""Clinical Lab 1.0"" (reactive test confirmation) toward ""Clinical Lab 2.0"", a proactive, lab-initiated care loop in which the laboratory stratifies populations by risk, closes care gaps, prompts targeted intervention, and measures its impact on patient outcomes. We propose that increasingly capable AI can accelerate this loop, and we synthesize three converging capabilities - agentic reasoning for longitudinal biomarker surveillance, causal world modeling via ""Virtual Cells"", and medical digital twin integration - into a single conceptual roadmap. We reconceive laboratory professionals as ""Diagnostic Data Scientists"" who govern AI-assisted workflows spanning the full brain-to-brain loop, within interoperable infrastructures aligned with HL7 FHIR standards. We also consider the equity dimension and acknowledge substantial barriers to realizing this vision. Key proposals include a new generation of algorithmic quality indicators (aQIs) that extend established quality indicator frameworks to encompass continuous monitoring of AI model performance. The mechanisms described are aspirational and require empirical validation.",Koichiro Yuji; Wakako Yuji,2026,2026-07-05,Clinical Chemistry and Laboratory Medicine (CCLM),10.1515/cclm-2026-0789,,https://doi.org/10.1515/cclm-2026-0789,article,['openalex'],"['""world model"" clinical', '""world model"" medicine', '""world model"" patient']",indexed,world-model phrase absent from title and abstract
AUD-669035784e86,alternate_dynamics_enriched,Clin-JEPA: A Multi-Phase Co-Training Framework for Joint-Embedding Predictive Pretraining on EHR Patient Trajectories,"We present Clin-JEPA, a multi-phase co-training framework for joint-embedding predictive (JEPA) pretraining on EHR patient trajectories. JEPA architectures have enabled latent-space planning in robotics and high-quality representation learning in vision, but extending the paradigm to EHR data -- to obtain a single backbone that simultaneously forecasts patient trajectories and serves diverse downstream risk-prediction tasks without per-task fine-tuning -- remains an open challenge. Existing JEPA frameworks either discard the predictor after pretraining (I-JEPA, V-JEPA) or train it on a frozen pretrained encoder (V-JEPA 2-AC), leaving the encoder unaware of the rollout signal that the retained predictor must use at inference; co-training the encoder and predictor under a shared JEPA prediction objective would supply this grounding, but naïve co-training is unstable, with representation collapse and online/target drift causing autoregressive rollout to diverge. Clin-JEPA's five-phase pretraining curriculum -- predictor warmup, joint refinement, EMA target alignment, hard sync, and predictor finalization -- addresses each failure mode by phase, stably co-training a Qwen3-8B-based encoder and a 92M-parameter latent trajectory predictor. On MIMIC-IV ICU data, three independent evaluations support the framework: (1) latent $\ell_1$ rollout drift uniquely converges ($-$15.7%) over 48-hour horizons while baselines and ablations diverge (+3% to +4951%); (2) the encoder learns a clinically discriminative latent geometry (deteriorating-patient cohorts displace 4.83$\times$ further than stable patients in latent space, vs $\leq$2.62$\times$ for baseline encoders); (3) a single backbone outperforms strong tabular and sequence baselines on multi-task downstream evaluation. Clin-JEPA achieves mean AUROC 0.851 on ICareFM EEP and 0.883 on 8 binary risk tasks (+0.038 and +0.041 vs baseline average).",Yixuan Yang; Mehak Arora; Ryan Zhang; Baraa Abed; Junseob Kim; Tilendra Choudhary; Md Hassanuzzaman; Kevin Zhu; Ayman Ali; Chengkun Yang; A.E. Gent; Victor Moas; Rishikesan Kamaleswaran,2026,2026-05-11,arXiv (Cornell University),,2605.10840,https://arxiv.org/abs/2605.10840,preprint,['openalex'],"['""medical world model""', '""world model"" EHR', '""world model"" patient']",open-access,world-model phrase absent from title and abstract
AUD-23bda78572c9,alternate_dynamics_enriched,Combining machine learning and physiological network models for sepsis prediction,"As the most extreme course of an infectious disease, sepsis poses a serious health threat, with a high mortality rate and frequent long-term consequences for survivors. Despite its enormous burden on global healthcare and ongoing research efforts, early sepsis onset prediction remains challenging due to the complex nature of its pathophysiology. Current approaches face a fundamental trade-off: data-driven machine learning models achieve strong performance but lack interpretability, while biologically inspired models provide mechanistic insights but have limited clinical validation. In this study, we propose the Latent Dynamics Model , a hybrid machine learning approach that integrates a functional model of coupled oscillators representing organ- and immune-cell populations and their interactions. Here, the model parameters encode physiological conditions and allow for an interpretable differentiation between healthy and pathological states. By projecting high-dimensional patient data into the low-dimensional parameter space of the functional model, machine-learned trajectories through this space allow the prediction of critical organ system states and simultaneously offer interpretability beyond plain risk estimates. The proposed method is trained and evaluated on real intensive care patients, achieving competitive AUROC/AUPRC performance on a retrospective MIMIC-IV cohort. Additional qualitative analysis reveals that the learned trajectories exhibit clinically plausible patterns of deterioration, recovery, and stability. We demonstrate that a physiological network model can be embedded within a deep learning architecture without compromising predictive performance while providing an interpretable latent structure for sepsis onset prediction.",Juri Backes; Artyom Tsanda; Tobias Knopp; Wolfgang Renz; Eckehard Schöll,2026,2026-06-19,Frontiers in Network Physiology,10.3389/fnetp.2026.1852577,,https://doi.org/10.3389/fnetp.2026.1852577,article,['openalex'],"['""world model"" physiology']",open-access,world-model phrase absent from title and abstract
AUD-906a4df1eae9,alternate_dynamics_enriched,Commercial impact of adding real-world evidence to clinical trials at regulatory approval: a Markovian-like transition model,,Ravi Jandhyala,2023,2023,Current Medical Research and Opinion,10.1080/03007995.2023.2174330,,https://doi.org/10.1080/03007995.2023.2174330,journal-article,['crossref'],"['""medical world model""']",registered,world-model phrase absent from title and abstract
AUD-31c7a05ff984,alternate_dynamics_enriched,Egocentric value maps of the near-body environment,"Abstract Body-part centric response fields are pervasive: they are observed in single neurons, fMRI, EEG, and multiple behavioural measures. This prevalence across scales and measures makes them excellent candidates for studying systems-level neuroscience. Nonetheless, they remain poorly understood because we lack a unifying formal explanation of their origins and role in wider brain function. Here, we provide such explanation. We use reinforcement learning to analytically explain the existence of body-part centric receptive fields, also known as peripersonal field. We then simulate multiple experimental findings considered foundational in the peripersonal space literature. Our results demonstrate that peripersonal fields naturally arise from two simple and plausible assumptions about living agents: 1) they experience reward when they contact objects in the environment, and 2) they act to maximise reward. These simple assumptions are enough to explain empirical findings on stimulus kinematics, tool use, valence, and network-architecture. Our explanation provides further insight. First, it offers multiple empirically testable predictions. Second, it offers a formal description of the notion that the world-agent state is encoded in parieto-premotor cortices, using motor primitives: peripersonal fields provide building blocks that together create a short-term model of the world near the agent in terms of its future states; a successor representation. This short-term, close-range egocentric peripersonal map is analogous to the long-term, long-range allocentric spatial map of place and grid cells, which underlie locomotion and navigation to reach distant objects. Together, these allocentric and egocentric maps allow efficient interactions with a changing environment across multiple spatial and temporal scales. Abstract Figure",Rory John Bufacchi; Richard Somervail; Aoife M. Fitzpatrick; Roberto Caminiti; Gian Domenico Iannetti,2022,2022-08-19,bioRxiv (Cold Spring Harbor Laboratory),10.1101/2022.08.18.504456,,https://doi.org/10.1101/2022.08.18.504456,preprint,['openalex'],"['""world model"" physiology']",open-access,world-model phrase absent from title and abstract
AUD-a2362b6cabf5,alternate_dynamics_enriched,Fetal Twin: a mechanistic computational model of fetal physiology for heart-rate-variability biomarker research,"Abstract Fetal-monitoring biomarkers for neonatal hypoxic-ischemic brain injury face a structural gap: the mechanistic ground truth that would label a training set — perfusion pressure, the moment of decompensation, the injury time course — cannot be measured at scale or ethically in human pregnancy or labor, and generative synthetic data carry no mechanistic labels. We address this with a mechanistic computational model of the fetal cardiovascular, autonomic, and metabolic response to controlled hypoxic stress, and use it to test how beat detection and acquisition fidelity alter the interpretation of fetal-heart-rate-variability (HRV) biomarkers. The model integrates these systems forward in time across antepartum development (gestational-age growth scaling) and intrapartum stress (umbilical-cord occlusions), emitting synthetic monitoring signals (fetal heart rate, RR intervals) co-registered with model-computed latent labels (pH, base deficit, lactate, perfusion pressure, decompensation and injury states). In a fetal-sheep-derived autonomic-loop configuration we report three results. First, a phase-accumulator beat detector shows that the apparently physiologic baseline HRV of an earlier build was largely a detector artifact, and a noise-off control shows beat-to-beat variability requires an explicit stochastic driver rather than self-sustained autonomic oscillation. Second, a sampling-fidelity sweep yields a fidelity-matched selection rule: a deceleration-area biomarker is preserved at CTG-grade 4 Hz whereas RMSSD is corrupted there (inflated about 8-fold by timing quantization) and recovers only at fetal-ECG rates. Third, autonomic modulation alone does not reproduce the published RMSSD rise-then-collapse — a negative result that motivates, but does not prove, an intrinsic sinoatrial-pacemaker contribution as a testable hypothesis. This is an in-silico, hypothesis-generating study: the model is not validated for individual fetal prediction, clinical risk estimation, or clinical decision-making. The model is implemented as Fetal Twin (engine fetaltwin ), a source-available research instrument released under a noncommercial license, together with all figure configurations, so that these controlled experiments are reproducible. Key Points Progress on fetal-monitoring biomarkers for neonatal brain-injury risk is constrained by a structural gap: the mechanistic ground truth that would label a training set — perfusion pressure, the moment of cardiovascular decompensation, the time course of injury — cannot be measured at scale or ethically during human pregnancy or labor. We present Fetal Twin (source-available engine fetaltwin ), a publicly available, noncommercially-licensed mechanistic testbed for fetal physiological development. It integrates the fetal cardiovascular, metabolic, and autonomic systems forward in time across antepartum development (gestational-age growth scaling) and intrapartum stress (umbilical-cord occlusions), and emits synthetic monitoring signals (fetal heart rate, RR intervals) co-registered with model-computed latent labels (pH, lactate, perfusion pressure, decompensation and injury states). The name’s digital-twin connotation is deliberate but bounded: Fetal Twin is a mechanistic, population-level twin of fetal physiology used as a research instrument — not a validated, patient-specific clinical digital twin or predictor. Its purpose is to interrogate what candidate biomarkers can and cannot mean, via in-silico controls impossible in vivo — swapping the beat detector, turning a noise source off, ablating a reflex, or quantizing the signal to a monitor’s sampling grid. Demonstrations in a fetal-sheep-derived autonomic-loop configuration show that beat-to-beat HRV amplitude can be a numerical artifact of the beat detector, and that in this model class beat-to-beat variability requires an explicit stochastic driver — it does not arise as a self-sustained oscillation of the deterministic autonomic loop. A further demonstration establishes a fidelity-matched biomarker-selection rule — a deceleration-area biomarker survives CTG-grade 4 Hz sampling whereas RMSSD is corrupted at that rate and needs fetal-ECG timing — and a negative result shows the published RMSSD “rise-then-collapse” is not reproducible from autonomic modulation in this model class, motivating (but not proving) an intrinsic-pacemaker hypothesis.",Martin G. Frasch,2026,2026,openRxiv,10.64898/2026.07.14.738362,,https://doi.org/10.64898/2026.07.14.738362,posted-content,['crossref'],"['""world model"" physiology']",registered,world-model phrase absent from title and abstract
AUD-53bc68e6b9c4,alternate_dynamics_enriched,Impact of provoked stress on model-free and model-based reinforcement learning in individuals with alcohol use disorder.,"• The role of Model-Free (MF) and Model-Based (MB) learning under stress in AUD is underexplored. • This study examines how social stress affects decision-making in 55 AUD patients vs. 62 controls. • Coordination between MB and MF learning was assessed using a Two-Step Markov task. • Without stress, AUD individuals rely less on MB strategies compared to healthy controls. • Stress reduces MB strategy use in healthy participants, but AUD individuals are less impacted. From both clinical and theoretical perspectives, understanding the functionality of evaluative reinforcement learning mechanisms (Model-Free, MF, and Model-Based, MB) under provoked stress, particularly in Alcohol Use Disorder (AUD), is crucial yet underexplored. This study aims to evaluate whether individuals with AUD who do not seek treatment show a greater tendency towards retrospective behaviors (MF) rather than prospective and deliberative simulations (MB) compared to controls. Additionally, it examines the impact of induced social stress on these decision-making processes. A cohort comprising 117 participants, including 55 individuals with AUD and 62 controls, was examined. Acute social stress was induced through the socially evaluated cold pressor task (SECPT), followed by engagement in a Two-Step Markov task to assess MB and MF learning tendencies. We measured hypothalamic–pituitary–adrenal axis stress response using salivary cortisol levels. Both groups showed similar baseline cortisol levels and responses to the SECPT. Our findings indicate that participants with AUD exhibit a reduced reliance on MB strategies compared to those without AUD. Furthermore, stress decreases reliance on MB strategies in healthy participants, but this effect is not observed in those with AUD. An atypical pattern of stress modulation impacting the balance between MB and MF reinforcement learning was identified in individuals with AUD who are not seeking treatment. Potential explanations for these findings and their clinical implications are explored.","Wyckmans F, Chatard A, Kornreich C, Gruson D, Jaafari N, Noël X.",2024,2024-11-23,Addictive Behaviors Reports,10.1016/j.abrep.2024.100574,,https://europepmc.org/article/MED/39659897,article,"['europe_pmc', 'openalex']","['""world model"" clinical', '""world model"" patient', '""world model"" treatment', 'europe_pmc_core']",indexed,world-model phrase absent from title and abstract
