audit_id,route,title,reviewer_e_decision,reviewer_e_reason_code,reviewer_e_rationale,reviewer_f_decision,reviewer_f_reason_code,reviewer_f_rationale
AUD-7079600c723b,primary_medical_filter_residual,A frontal cortical world model shapes inference of causal relationships in hippocampus,exclude,no_learned_or_adapted_dynamics,"Applies data-driven methods to brain and mental-health processes without modeling evolving states, rollouts, or action response.",include,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control."
AUD-af3f2d334073,primary_phrase_filter_residual,A Multimodal Foundation Model for Longitudinal Patient Representation and Scalable Insight Generation in Oncology,exclude,static_or_isolated_prediction,"Performs static representation learning in cancer care, rather than trajectory simulation or learned control.",include,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control."
AUD-2032d96347c9,primary_phrase_filter_residual,A Neurosymbolic Approach for Constructing Planning Domain Models from Clinical Narratives,include,potential_empirical,Learns a sequential policy or controller for procedural and surgical care with action-dependent responses.,exclude,no_learned_or_adapted_dynamics,No learned or data-adapted biomedical state evolution is described.
AUD-6b30999a35dc,primary_phrase_filter_residual,Deep Reinforcement Learning for Surgical Robotics with State and Image Information: A Survey,uncertain,insufficient_abstract,"The title suggests procedural and surgical care dynamics or control, but no abstract establishes whether transitions are learned or adapted.",include,potential_review,"The review centrally examines learned biomedical dynamics, simulation, intervention response, or sequential control."
AUD-5dde3c545ed5,primary_phrase_filter_residual,Deep Reinforcement Learning of Dynamic Treatment Policies for Chronic Kidney Disease from Longitudinal Electronic Health Records,uncertain,insufficient_abstract,"The title suggests clinical records and healthcare operations dynamics or control, but no abstract establishes whether transitions are learned or adapted.",include,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control."
AUD-5b4c2424bdb2,primary_phrase_filter_residual,Dengue hospitalizations in Brazil: Forecasting with climatic and physicians' digital search data under real-world reporting delays.,exclude,no_learned_or_adapted_dynamics,"Reports on clinical records and healthcare operations without a learned, fitted, calibrated, or data-adapted dynamics model.",include,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control."
AUD-94598ea01630,primary_phrase_filter_residual,Developing a pan-cancer foundation model for digital patient representation and clinical prediction across real-world oncology data.,exclude,static_or_isolated_prediction,"Performs static representation learning in cancer care, rather than trajectory simulation or learned control.",include,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control."
AUD-f1a37b57a6d1,primary_phrase_filter_residual,Development of a Biological Age Model for Rheumatoid Arthritis and Longitudinal Trajectories by Antirheumatic Treatment: A Real-World Observational Study,include,potential_empirical,Fits or validates clinical exposure-response dynamics to support individualized drug dosing.,uncertain,potential_empirical,"Biomedical state generation or longitudinal response is plausible, but transition learning is not fully explicit."
AUD-b3bcf559b0b8,primary_medical_filter_residual,Dopamine ramps as a normative consequence of dual-process control,exclude,wrong_domain,"Addresses general AI systems, not a medical or biomedical state-dynamics system.",include,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control."
AUD-8edd0658e1bb,primary_phrase_filter_residual,Embodied Cross-Domain Intelligence in Biomedical Microrobots: A Review.,include,potential_review,"Centrally synthesizes learned or adapted procedural and surgical care simulation, transition, or sequential-control systems.",exclude,no_learned_or_adapted_dynamics,No learned or data-adapted biomedical state evolution is described.
AUD-f291d518f076,primary_phrase_filter_residual,Embodied Intelligence in Surgical Robotics: From Perception-Action Loops to Cognitive Collaboration,include,potential_review,"Centrally synthesizes learned or adapted procedural and surgical care simulation, transition, or sequential-control systems.",exclude,static_or_isolated_prediction,"The learned model does not generate biomedical trajectories, transitions, or action responses."
