audit_id,route,title,decision,corpus_type,reason_code,rationale,confidence
ALT-4ef2c988c864,fresh_alternate_public_search,1077-P: De-escalation Treatment (DET): A Personalized Pharmacological Intervention to Stop Disease Progression in Patients with Type 2 Diabetes,exclude,empirical,no_learned_dynamics,Clinical treatment outcomes are reported without any learned temporal dynamics or simulator.,high
ALT-01667e1759b4,fresh_alternate_public_search,109 Predictors of Rapid Disease Progression from Initial Diagnosis of Erectile Dysfunction to Surgical Intervention,exclude,empirical,no_learned_dynamics,The title indicates ordinary prognostic predictor analysis without learned transitions or rollouts.,high
ALT-2f499d0cb59f,fresh_alternate_public_search,1247 Temporal Dynamics of Acute Epstein–Barr Virus-Positive T Cell Lymphoid Hyperplasia,exclude,empirical,no_learned_dynamics,The title concerns biological temporal patterns rather than a learned dynamics model.,high
ALT-80e11fb00b1d,fresh_alternate_public_search,154 An Observational Study: An Examination of Eye Movements When Assessing a Deteriorating High-Fidelity Patient Simulator,exclude,empirical,no_learned_dynamics,"This observational simulator study measures clinician eye movements, not learned patient dynamics.",high
ALT-71b8d7cba961,fresh_alternate_public_search,162. Digital twin campus intervention for stress adaptation in university students with depressive symptoms,exclude,empirical,no_learned_dynamics,The digital twin is an immersive therapy environment without learned patient-state dynamics.,high
ALT-7a3f166abf00,fresh_alternate_public_search,227Chapter 17 Machine Learning Algorithms for Predicting Disease Progression and Personalized Treatment in Chronic Diseases,exclude,review,review_not_primary,"This chapter concerns generic disease prediction and treatment personalization, not healthcare world models.",high
ALT-29398f6f2107,fresh_alternate_public_search,23 AN INTERVENTION STUDY ON SOCIAL ANXIETY DISORDER USING DIGITAL TWIN VIRTUAL COMMUNITIES,exclude,empirical,no_learned_dynamics,A virtual-community intervention does not indicate a learned patient dynamics model.,medium
ALT-3874f2131ca4,fresh_alternate_public_search,233 Benefit of Tolvaptan on Time to End-stage Renal Disease (ESRD) for Patients with Rapidly Progressing Autosomal Dominant Polycystic Kidney Disease (ADPKD): A Disease Progression Model,exclude,empirical,no_learned_dynamics,The title indicates treatment-benefit extrapolation through an ordinary disease progression model.,high
ALT-ceb7f2ce717e,fresh_alternate_public_search,286 Association of urinary Dickkopf-3 levels with cardiovascular events and kidney disease progression in the Systolic Blood Pressure Intervention Trial participants,exclude,empirical,no_learned_dynamics,This is a biomarker association study without learned temporal dynamics or simulation.,high
ALT-505305aaea30,fresh_alternate_public_search,3D-Printed silicone anatomic patient simulator to enhance training on cardiopulmonary bypass.,exclude,empirical,no_learned_dynamics,The physical simulator is evaluated for education and contains no learned dynamics.,high
ALT-feac04cf3d5e,fresh_alternate_public_search,500 Hyponatremia Virtual Patient Simulator: An innovative educational tool with generative artificial intelligence and physiologic models,exclude,empirical,no_learned_dynamics,"This is an educational simulator using generative AI and physiological models, not learned patient dynamics.",high
ALT-8803de121c39,fresh_alternate_public_search,[Digital twins in uro-oncology].,include,review,include_review,This primary medical digital-twin review defines the concept and synthesizes clinical applications and translation barriers.,high
ALT-3e8bbbae3586,fresh_alternate_public_search,[Patient simulation for hand therapy in an anesthesiologist after an occupational injury: A case study].,exclude,empirical,no_learned_dynamics,Patient simulation serves occupational rehabilitation and does not model learned physiological dynamics.,high
ALT-f2248af7866f,fresh_alternate_public_search,A Bayesian disease progression model for Major Depressive Disorder,uncertain,empirical,insufficient_abstract,The missing abstract prevents determining whether this Bayesian progression model supports transitions or rollouts.,low
ALT-68f07e4a5981,fresh_alternate_public_search,A Chinese patent medicine's long-term efficacy on non-dialysis patients with CKD stages 3-5: a retrospective cohort study.,exclude,empirical,no_learned_dynamics,This retrospective treatment-effect analysis uses regression and survival models without learned dynamics.,high
ALT-71b98f1a16fa,fresh_alternate_public_search,A comprehensive view of cell-type-specific temporal dynamics in human and mouse brains,exclude,empirical,no_learned_dynamics,The study characterizes cellular trajectories experimentally without learning a predictive transition model.,high
ALT-355f8469ec53,fresh_alternate_public_search,A controller of robot constant force grinding based on proximal policy optimization algorithm.,exclude,empirical,wrong_domain,"This model-free reinforcement-learning controller concerns industrial robot grinding, not medicine.",high
