candidate_id,title,abstract,reviewer_a_decision,reviewer_a_reason,reviewer_a_rationale,reviewer_b_decision,reviewer_b_reason,reviewer_b_rationale
MWM-0012,Affective Music Recommendation: A Rollout-Based World Model for Offline Preference Optimization,"Functional music applications, from consumer focus and sleep aids to clinical interventions, share a distinctive recommendation problem: success is defined by the listener's affective state, but online experimentation on emotion is ethically constrained, particularly for clinical populations who cannot reliably skip a song or report distress. We describe AMRS, the Affective Music Recommendation System deployed on LUCID's health-and-wellness platforms, which serve clinical users (primarily older adults with neurocognitive conditions) and consumer-wellness users across energize, focus, calm, and sleep modes. AMRS is built around a rollout-based world model: a causal transformer trained on logged listening data to jointly predict engagement, binary rating, and self-reported valence and arousal. The world model serves both as an in-silico simulator for offline policy training and as a stress-testing tool before deployment. A recommender policy initialized by behaviour cloning is fine-tuned offline with Direct Preference Optimization (DPO) against a configurable multi-objective utility function. Under a strict cold-start protocol, the world model predicts both behavioural and affective signals with usable fidelity; DPO improves predicted valence and arousal over the cloned baseline while maintaining a similar diversity profile and avoiding the distributional collapse produced by greedy optimization. We position the work as an early deployed validation of a methodology for affective recommendation when online experimentation is ethically untenable.",exclude,wrong_domain,“Affective Music Recommendation: A Rollout-Based World Model for...” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,include,include_empirical,The abstract describes empirical evaluation of learned medical or biomedical dynamics in “Affective Music Recommendation: A Rollout-Based World Model for Offline Preference Opti…”.
MWM-0027,AuricularWorld: Hierarchical Action-Guided World Modeling for Fine-Grained Auricular Structure Segmentation from CT Scans,"Fine-grained segmentation of auricular structures in CT is challenging because the ear occupies a small image region, cartilage boundaries are highly irregular, and interfaces between cartilage and surrounding soft tissues are often ambiguous. Clinical annotations may also include both composite structures containing cartilage and adjacent skin and their corresponding cartilage-only regions, producing nested and overlapping labels. We propose a world-model-based segmentation framework that enables iterative anatomical reasoning beyond conventional feed-forward prediction. Built on an encoder-decoder architecture, the framework introduces a deterministic recurrent state-space model into the intermediate latent space. Multi-scale encoder features and partially decoded representations are fused to form a structural observation that initializes the latent dynamics. During inference, the model performs a three-step latent rollout without ground-truth guidance. Hierarchical anatomical actions update the recurrent state and progressively refine the latent representation. The resulting latent trajectory is projected back into the decoder and combined with high-resolution features to produce the final segmentation. To learn reliable latent transitions, we introduce a balanced hierarchical action objective that addresses foreground sparsity, missing anatomical groups, and imbalance between add and remove operations. Extensive experiments show that the proposed framework consistently improves segmentation accuracy and reduces HD95 by more than 43% for small, irregular, and overlapping auricular structures in CT. These results demonstrate the effectiveness of latent world-model reasoning for challenging medical image segmentation.",include,include_empirical,The model learns a three-step latent rollout with anatomical actions and evaluates it for CT segmentation.,exclude,static_prediction,"“AuricularWorld: Hierarchical Action-Guided World Modeling for Fine-Grained Auricular St…” evaluates a static classifier, predictor, representation, or dataset without qualifying rollout dynamics."
MWM-0059,DepthPilot: From Controllability to Interpretability in Colonoscopy Video Generation,"Controllable medical video generation has achieved remarkable progress, but it still lacks interpretability, which requires the alignment of generated contents with physical priors and faithful clinical manifestations. To push the boundaries from mere controllability to interpretability, we propose DepthPilot, the first interpretable framework for colonoscopy video generation. This work takes a step toward trustworthy generation through two synergistic paradigms. To achieve explicit geometric grounding, DepthPilot devises a prior distribution alignment strategy, injecting depth constraints into the diffusion backbone via parameter-efficient fine-tuning to ensure anatomical fidelity. To enhance intrinsic nonlinear modeling under these geometric constraints, DepthPilot employs an adaptive spline denoising module, replacing fixed linear weights with learnable spline functions to capture complex spatio-temporal dynamics. Extensive evaluations across three public datasets and in-house clinical data confirm DepthPilot's robust ability to produce physically consistent videos. It achieves FID scores below 15 across all benchmarks and ranks first in clinician assessments, bridging the gap between ""visually realistic"" and ""clinically interpretable"". Moreover, DepthPilot-generated videos are expected to enable reliable 3D reconstruction, facilitating surgical navigation and blind region identification, and serve as a foundation toward the colorectal world model.",exclude,no_world_model_dynamics,“DepthPilot: From Controllability to Interpretability in...” lacks a qualifying learned temporal rollout or action-conditioned medical dynamics mechanism.,include,include_empirical,The abstract describes empirical evaluation of learned medical or biomedical dynamics in “DepthPilot: From Controllability to Interpretability in Colonoscopy Video Generation”.
MWM-0060,Desegregation of neuronal predictive processing.,"Neural circuits construct internal 'world-models' to guide behavior. The predictive processing framework posits that neural activity signaling sensory predictions and concurrently computing prediction-errors is a signature of those internal models. To understand how the brain generates predictions for complex sensorimotor signals, we investigate the emergence of high-dimensional, multi-modal predictive representations in recurrent networks. Contrary to previous proposals of functionally specialized cell-types, stimulus and prediction-error representations are desegregated in networks performing robust predictive processing. We confirmed these model predictions by using a rich stimulus-set to violate animals' learned expectations. We propose that predictive processing is optimal when excitation/inhibition balance is loose, and reveal distinct functional roles of excitatory and inhibitory neurons. Together, we demonstrate that neural representations of internal models are highly distributed, yet structured to support flexible readout of behaviorally-relevant information. Our results advance the understanding of how internal models are computed, by incorporating different computations into a unifying model.",exclude,no_world_model_dynamics,“Desegregation of neuronal predictive processing” lacks a qualifying learned temporal rollout or action-conditioned medical dynamics mechanism.,include,include_empirical,The abstract describes empirical evaluation of learned medical or biomedical dynamics in “Desegregation of neuronal predictive processing.”.
MWM-0070,Dynamic Representational Synchrony through Collective Predictive Coding: A Computational Model of Parent-Infant Homeostatic Co-Regulation,"Inter-brain synchrony (IBS) observed in real-time dyadic interactions, including parent-infant exchanges, suggests that two agents can align their internal representations through interaction. Yet computational accounts of how such alignment can arise between agents that have only local sensory access and asymmetric internal knowledge remain underdeveloped. We propose a constructive model of parent-infant homeostatic co-regulation that integrates a POMDP formulation of active interoceptive inference with the Metropolis-Hastings Naming Game (MHNG) derived from the Collective Predictive Coding (CPC) hypothesis. In our model, the parent and infant agents agree on homeostatic regulatory actions for the infant's visceral state through a shared communicative variable generated by a locally computable Metropolis-Hastings probability. The parent observes the infant through body-generated exteroceptive cues, whereas the infant directly senses its own visceral state through interoception. This difference in access modality is implemented as asymmetric generative-model knowledge: the parent knows how actions transform visceral states but must learn what the infant's bodily cues indicate, whereas the infant perceives its visceral state directly but must learn how actions affect it. We quantify the degree of representational alignment using the Jensen-Shannon divergence between the two agents' latent representations. Notably, this synchrony emerged far earlier than the generative-model convergence and was maintained despite heterogeneous generative-model knowledge, indicating that it does not require fully shared world models. These findings support CPC as a candidate computational framework for explaining how dynamic representational synchrony relevant to IBS can emerge through local interactions.",exclude,no_world_model_dynamics,“Dynamic Representational Synchrony through Collective Predictive...” lacks a qualifying learned temporal rollout or action-conditioned medical dynamics mechanism.,include,include_empirical,The abstract describes empirical evaluation of learned medical or biomedical dynamics in “Dynamic Representational Synchrony through Collective Predictive Coding: A Computationa…”.
MWM-0093,From Static Risk to Dynamic Trajectories: Toward World-Model-Inspired Clinical Prediction,"Clinical decision-making is a feedback system where risk estimates influence treatment, which in turn changes disease trajectories, and both shape clinicians' measurement practices. Static prediction often fails clinically: models trained on observational care logs conflate disease biology with clinician behavior, particularly under treatment confounder feedback and irregular or informative observation. This Review focuses on intervention-aware disease trajectory modeling in clinical AI--methods estimating patient-specific longitudinal disease evolution and assessing trajectory changes under alternative treatments. We organize the field around six linked components: three decision tasks (factual forecasting, counterfactual estimation, policy evaluation) and three data-generating mechanisms (disease evolution, treatment assignment, observation process) that determine identifiability. We present the first unified framework bridging forecasting, counterfactual trajectories, and policy evaluation across discrete/continuous time, explicitly addressing treatment assignment, time-varying confounding, and observation bias. We synthesize key method families (multistate/joint models, temporal point-process, deep sequence architectures, longitudinal causal inference), map them to relevant components, and align evaluation with claim strength via overlap diagnostics, uncertainty quantification, off-policy robustness, and target-trial validation. This synthesis advances benchmark prediction to decision-grade clinical evidence, enabling treatment-sensitive individualized futures, pre-deployment policy stress-testing, and safer closed-loop learning health systems that adapt/abstain when evidence is insufficient.",exclude,review_not_primary,“From Static Risk to Dynamic Trajectories: Toward...” reviews a broader topic in which medical world models are not the primary subject.,include,include_review,“From Static Risk to Dynamic Trajectories: Toward World-Model-Inspired Clinical Predicti…” is centered on defining or synthesizing evidence for medical or biomedical world models.
MWM-0135,Nonstationary Battery,"Project Magha — Paper 1 We test an architectural prediction: that an active-inference agent built on a Beta-Bernoulli pairwise world model with multiplicative posterior decay should dominate a memory-greedy sliding-window baseline in non-stationary worlds — the regime where, by structural argument, posterior-driven exploration ought to outperform sample-mean greedy with epsilon-exploration. Three falsification batteries are run with identical agent code, identical seeds, and identical episode budgets: A procedurally generated tabular bandit with hidden-rule shifts at trials 100, 200, and 300. The agent loses by 7–15 percentage points across all four discount settings (γ ∈ {0.90, 0.95, 0.99, 0.999}). An antimicrobial-resistance (AMR) environment with a mid-run geographic prevalence shift (south_asia → north_america; NDM-dominant → KPC-dominant). The agent wins by 22.3pp on post-shift optimal-treatment rate.A sepsis environment with a mid-run patient-cohort shift (Gram-positive-leaning → Gram-negative-leaning). The agent versus memory-greedy. The architectural rule that emerges is narrower than the original prediction: the agent wins only in regimes where per-instance diagnostic signals carry high information about the latent state. The AMR win is driven not by world-model adaptation across the shift, but by per-isolate test-information access — Magha drops 5.7pp pre→post-shift while still beating the memory-greedy baseline by a wide margin. On the bandit (no per-instance test channel) and on sepsis (low-information vital-signs tests), the categorical Beta-Bernoulli world model has no structural advantage. The headline implication: this architecture is closer to a diagnostic decision-support architecture than to a general Turing-ASI substrate. We document the falsification because it is load-bearing for every subsequent paper in the series — particularly the gap-1 hypothesis that replacing the categorical pairwise world model with a learned hierarchical neural one delivers calibration gains and sample-efficiency wins. This is paper 1 in the Project Magha series, an empirical research notebook documenting the path toward a Turing-shaped child-machine via the Era-of-Experience loop (Sutton & Silver 2024) with active inference (Friston / Da Costa / Parr) as the efficiency layer.",exclude,wrong_domain,“Nonstationary Battery” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,include,include_empirical,The abstract describes empirical evaluation of learned medical or biomedical dynamics in “Nonstationary Battery”.
MWM-0172,Surgical Video Generation From Diffusion to World Models: A Survey,"Surgical video data provides the primary training resource for models of intraoperative perception, surgical workflow understanding, and robotic decision-making. However, clinical data acquisition remains constrained by privacy, cost, and class imbalance. Surgical video generation has emerged as a transformative approach to addressing data scarcity and as a foundation for surgical simulation, training, and robotic policy learning. The field has developed rapidly without a clear conceptual framework. This survey organizes the 2024-2026 literature into three categories: unconditional generation, conditional generation, and world modeling generation, revealing a fundamental shift in how the task is defined from synthesizing visually plausible frames to modeling the causal dynamics of surgical scenes. We examine the persistent gap between pixel-level fidelity and clinical plausibility, and identify generalization, physical realism, controllability, and interpretability as bottlenecks. We further summarize experimental results of representative methods on public datasets to provide a quantitative reference for the field. This survey provides a structured overview of the current state and open challenges, offering a reference for researchers working at the intersection of intelligent perception, multi-modal fusion, generative AI, and surgical data science.",exclude,review_not_primary,“Surgical Video Generation From Diffusion to World Models: A Survey” reviews a broader topic in which medical world models are not the primary subject.,include,include_review,“Surgical Video Generation From Diffusion to World Models: A Survey” is centered on defining or synthesizing evidence for medical or biomedical world models.
MWM-0175,SurgWMBench: A Vision-Based Benchmark for World-Modeling Surgical Instrument Motion Planning,"Reliable surgical planning requires models that move beyond recognizing the current surgical step or imitating expert demonstrations, and instead anticipate how instrument motion reshapes subsequent operative states. Most surgical video understanding methods focus on recognizing phases, actions, or workflow states, while providing limited support for explicitly modeling instrument motion. Conversely, existing tool motion prediction methods can forecast instrument trajectories, but they generally do not capture the coupled evolution of future surgical video states. World models offer a natural framework for jointly modeling visual state transitions and instrument motion dynamics. However, existing surgical world model studies remain largely centered on visual generation quality, relying on generation-oriented metrics such as FVD and CD-FVD. These metrics are poorly aligned with instrument motion planning, as they do not directly measure whether predicted trajectories are geometrically accurate, temporally coherent, or actionable for downstream planning. This limitation is partly structural, since the field lacks public datasets and standardized evaluation protocols that provide the benchmarking infrastructure needed to assess motion-centric capabilities in surgical world models. In this paper, we introduce SurgWMBench, a vision-based benchmark for short-horizon surgical motion planning and dynamics prediction. Given intraoperative image sequences and historical instrument trajectory, SurgWMBench evaluates both near-future instrument motion prediction and stability under continuous rollout or input perturbations.",include,include_empirical,The benchmark directly evaluates surgical future-motion prediction and continuous rollout stability.,uncertain,uncertain,"“SurgWMBench: A Vision-Based Benchmark for World-Modeling Surgical Instrument Motion Pla…” is plausibly eligible, but the available abstract or metadata cannot confirm both dynamics and empirical evaluation."
MWM-0257,How Far Are Surgeons from Surgical World Models? A Pilot Study on Zero-shot Surgical Video Generation with Expert Assessment,"Foundation models in video generation are demonstrating remarkable capabilities as potential world models for simulating the physical world. However, their application in high-stakes domains like surgery, which demand deep, specialized causal knowledge rather than general physical rules, remains a critical unexplored gap. To systematically address this challenge, we present SurgVeo, the first expert-curated benchmark for video generation model evaluation in surgery, and the Surgical Plausibility Pyramid (SPP), a novel, four-tiered framework tailored to assess model outputs from basic appearance to complex surgical strategy. On the basis of the SurgVeo benchmark, we task the advanced Veo-3 model with a zero-shot prediction task on surgical clips from laparoscopic and neurosurgical procedures. A panel of four board-certified surgeons evaluates the generated videos according to the SPP. Our results reveal a distinct ""plausibility gap"": while Veo-3 achieves exceptional Visual Perceptual Plausibility, it fails critically at higher levels of the SPP, including Instrument Operation Plausibility, Environment Feedback Plausibility, and Surgical Intent Plausibility. This work provides the first quantitative evidence of the chasm between visually convincing mimicry and causal understanding in surgical AI. Our findings from SurgVeo and the SPP establish a crucial foundation and roadmap for developing future models capable of navigating the complexities of specialized, real-world healthcare domains.",exclude,no_world_model_dynamics,“How Far Are Surgeons from Surgical World Models A Pilot Study on...” lacks a qualifying learned temporal rollout or action-conditioned medical dynamics mechanism.,include,include_empirical,The abstract describes empirical evaluation of learned medical or biomedical dynamics in “How Far Are Surgeons from Surgical World Models? A Pilot Study on Zero-shot Surgical Vi…”.
