candidate_id,title,field,reviewer_a,reviewer_b,reviewer_a_notes,reviewer_b_notes,reviewer_a_anchors,reviewer_b_anchors
MWM-XA9B007D895,A Blood Glucose Control Framework Based on Reinforcement Learning With Safety and Interpretability: In Silico Validation,dynamics_evidence,2,1,"Planning is demonstrated only in the UVA/Padova in-silico environment. Fifty-step imagined trajectories are used for learning, but performance is not reported as a function of rollout horizon. PID guides early training and is a control baseline, not an action-agnostic dynamics comparator. No formal uncertainty calibration or external cohort is reported.","Closed-loop simulator utility and safety are strong, but learned dynamics have only a fixed 30-minute error test; no calibration, action ablation, external validation, or public artifacts.","Official IEEE Access PDF, DOI 10.1109/ACCESS.2021.3100007: pp. 5-9 define the extended state, random-forest glucose transition model, 30-min prediction target, and safe-SAC actions; pp. 12-16 and Tables 3-5 report recursive prediction errors and 20-day closed-loop outcomes; Figs. 6-10 show virtual-subject control and safety behavior.","Methods Sec. III, Figs. 1–2, Algorithms 1–3; Experiments Sec. IV-A–C, Tables 1–2, Figs. 3–4; Appendix A."
MWM-XA9B007D895,A Blood Glucose Control Framework Based on Reinforcement Learning With Safety and Interpretability: In Silico Validation,uncertainty_evidence,1,0,"Planning is demonstrated only in the UVA/Padova in-silico environment. Fifty-step imagined trajectories are used for learning, but performance is not reported as a function of rollout horizon. PID guides early training and is a control baseline, not an action-agnostic dynamics comparator. No formal uncertainty calibration or external cohort is reported.","Closed-loop simulator utility and safety are strong, but learned dynamics have only a fixed 30-minute error test; no calibration, action ablation, external validation, or public artifacts.","Official IEEE Access PDF, DOI 10.1109/ACCESS.2021.3100007: pp. 5-9 define the extended state, random-forest glucose transition model, 30-min prediction target, and safe-SAC actions; pp. 12-16 and Tables 3-5 report recursive prediction errors and 20-day closed-loop outcomes; Figs. 6-10 show virtual-subject control and safety behavior.","Methods Sec. III, Figs. 1–2, Algorithms 1–3; Experiments Sec. IV-A–C, Tables 1–2, Figs. 3–4; Appendix A."
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,rollout_evidence,1,2,"Planning is demonstrated only inside an individually fitted latent model. Region-restricted controls support action sensitivity, but there is no action-agnostic predictive comparator, formal calibration, external cohort, identified causal estimand, or physiological hazard test. Hyperparameters/model selection used test data in a subset.","Planning is demonstrated only in the learned fMRI model. The controls are simulated and not clinical interventions. Test-segment loss is used to select among five initialized models, and there is no external validation, formal calibration, causal treatment claim, or safety test.","PMC13370802 Methods: held-out fMRI reconstruction and closed-loop control; Results Figs. 2-6 report spectra, functional connectivity, target likelihood and control energy; Limitations state one dataset and no empirical stimulation validation; GitHub humml-lab/fmri-control.","Methods 'Data', 'Dynamical system reconstruction', and 'Control framework'; Results figures report power-spectrum Hellinger distance, functional-connectivity agreement, 80-step controlled trajectories, target proximity, control energy, and 11 region-restricted controls; Data Availability identifies humml-lab/fmri-control."
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,action_evidence,1,2,"Planning is demonstrated only inside an individually fitted latent model. Region-restricted controls support action sensitivity, but there is no action-agnostic predictive comparator, formal calibration, external cohort, identified causal estimand, or physiological hazard test. Hyperparameters/model selection used test data in a subset.","Planning is demonstrated only in the learned fMRI model. The controls are simulated and not clinical interventions. Test-segment loss is used to select among five initialized models, and there is no external validation, formal calibration, causal treatment claim, or safety test.","PMC13370802 Methods: held-out fMRI reconstruction and closed-loop control; Results Figs. 2-6 report spectra, functional connectivity, target likelihood and control energy; Limitations state one dataset and no empirical stimulation validation; GitHub humml-lab/fmri-control.","Methods 'Data', 'Dynamical system reconstruction', and 'Control framework'; Results figures report power-spectrum Hellinger distance, functional-connectivity agreement, 80-step controlled trajectories, target proximity, control energy, and 11 region-restricted controls; Data Availability identifies humml-lab/fmri-control."
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,causal_evidence,0,NA,"Planning is demonstrated only inside an individually fitted latent model. Region-restricted controls support action sensitivity, but there is no action-agnostic predictive comparator, formal calibration, external cohort, identified causal estimand, or physiological hazard test. Hyperparameters/model selection used test data in a subset.","Planning is demonstrated only in the learned fMRI model. The controls are simulated and not clinical interventions. Test-segment loss is used to select among five initialized models, and there is no external validation, formal calibration, causal treatment claim, or safety test.","PMC13370802 Methods: held-out fMRI reconstruction and closed-loop control; Results Figs. 2-6 report spectra, functional connectivity, target likelihood and control energy; Limitations state one dataset and no empirical stimulation validation; GitHub humml-lab/fmri-control.","Methods 'Data', 'Dynamical system reconstruction', and 'Control framework'; Results figures report power-spectrum Hellinger distance, functional-connectivity agreement, 80-step controlled trajectories, target proximity, control energy, and 11 region-restricted controls; Data Availability identifies humml-lab/fmri-control."
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,horizon_resolved_results,no,yes,"Planning is demonstrated only inside an individually fitted latent model. Region-restricted controls support action sensitivity, but there is no action-agnostic predictive comparator, formal calibration, external cohort, identified causal estimand, or physiological hazard test. Hyperparameters/model selection used test data in a subset.","Planning is demonstrated only in the learned fMRI model. The controls are simulated and not clinical interventions. Test-segment loss is used to select among five initialized models, and there is no external validation, formal calibration, causal treatment claim, or safety test.","PMC13370802 Methods: held-out fMRI reconstruction and closed-loop control; Results Figs. 2-6 report spectra, functional connectivity, target likelihood and control energy; Limitations state one dataset and no empirical stimulation validation; GitHub humml-lab/fmri-control.","Methods 'Data', 'Dynamical system reconstruction', and 'Control framework'; Results figures report power-spectrum Hellinger distance, functional-connectivity agreement, 80-step controlled trajectories, target proximity, control energy, and 11 region-restricted controls; Data Availability identifies humml-lab/fmri-control."
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,action_agnostic_comparator,no,yes,"Planning is demonstrated only inside an individually fitted latent model. Region-restricted controls support action sensitivity, but there is no action-agnostic predictive comparator, formal calibration, external cohort, identified causal estimand, or physiological hazard test. Hyperparameters/model selection used test data in a subset.","Planning is demonstrated only in the learned fMRI model. The controls are simulated and not clinical interventions. Test-segment loss is used to select among five initialized models, and there is no external validation, formal calibration, causal treatment claim, or safety test.","PMC13370802 Methods: held-out fMRI reconstruction and closed-loop control; Results Figs. 2-6 report spectra, functional connectivity, target likelihood and control energy; Limitations state one dataset and no empirical stimulation validation; GitHub humml-lab/fmri-control.","Methods 'Data', 'Dynamical system reconstruction', and 'Control framework'; Results figures report power-spectrum Hellinger distance, functional-connectivity agreement, 80-step controlled trajectories, target proximity, control energy, and 11 region-restricted controls; Data Availability identifies humml-lab/fmri-control."
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,explicit_causal_estimand,no,NA,"Planning is demonstrated only inside an individually fitted latent model. Region-restricted controls support action sensitivity, but there is no action-agnostic predictive comparator, formal calibration, external cohort, identified causal estimand, or physiological hazard test. Hyperparameters/model selection used test data in a subset.","Planning is demonstrated only in the learned fMRI model. The controls are simulated and not clinical interventions. Test-segment loss is used to select among five initialized models, and there is no external validation, formal calibration, causal treatment claim, or safety test.","PMC13370802 Methods: held-out fMRI reconstruction and closed-loop control; Results Figs. 2-6 report spectra, functional connectivity, target likelihood and control energy; Limitations state one dataset and no empirical stimulation validation; GitHub humml-lab/fmri-control.","Methods 'Data', 'Dynamical system reconstruction', and 'Control framework'; Results figures report power-spectrum Hellinger distance, functional-connectivity agreement, 80-step controlled trajectories, target proximity, control energy, and 11 region-restricted controls; Data Availability identifies humml-lab/fmri-control."
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,rollout_evidence,0,1,"Visit-stage images and fractal trends are reported, but no held-out patient trajectory, demonstrated full cascade, calibration, baseline, or external test.","Recursive visit-conditioned generation is shown, but no patient split, matched future-image error, uncertainty, external validation, or clinical comparison is reported.",Primary PDF pp. 3-7; Fig. 3; Sec. V-A/V-B; Fig. 21; DOI 10.1109/IJCNN48605.2020.9206875,pp. 3-7; Fig. 3; Experiments V.A-V.B; Figs. 11-21
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,reproducibility_evidence,1,0,"Visit-stage images and fractal trends are reported, but no held-out patient trajectory, demonstrated full cascade, calibration, baseline, or external test.","Recursive visit-conditioned generation is shown, but no patient split, matched future-image error, uncertainty, external validation, or clinical comparison is reported.",Primary PDF pp. 3-7; Fig. 3; Sec. V-A/V-B; Fig. 21; DOI 10.1109/IJCNN48605.2020.9206875,pp. 3-7; Fig. 3; Experiments V.A-V.B; Figs. 11-21
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,free_running_rollout,unclear,yes,"Visit-stage images and fractal trends are reported, but no held-out patient trajectory, demonstrated full cascade, calibration, baseline, or external test.","Recursive visit-conditioned generation is shown, but no patient split, matched future-image error, uncertainty, external validation, or clinical comparison is reported.",Primary PDF pp. 3-7; Fig. 3; Sec. V-A/V-B; Fig. 21; DOI 10.1109/IJCNN48605.2020.9206875,pp. 3-7; Fig. 3; Experiments V.A-V.B; Figs. 11-21
MWM-X36A3691F14,A data-driven Alzheimer's disease progression simulator for retrospective validation and prospective Phase III power design.,closed_loop_evaluation,offline,simulation,"The paper implements intervention-conditioned trial simulations and explicit treated-versus-placebo endpoint/power calculations. Trial-specific and leave-one-trial-out calibration means the external trial comparison is not a fully frozen independent validation. Repeated simulations quantify Monte Carlo variation, but no reliability, coverage, or calibration-slope analysis is reported. Public source code is identified in the paper.","Six placebo/treatment profiles and power simulations support action evidence. External RCT comparison is adapted with trial-specific calibration, so it is not frozen; safety and full causal identification remain absent.","medRxiv full text, DOI 10.64898/2026.05.03.26352317: Abstract and pp. 2-4 state the six-trial retrospective/prospective design; Results pp. 5-11, Tables 1-2, and Figs. 1-5 report biomarker trajectories, placebo/treatment contrasts, endpoint predictions, and power curves; Methods pp. 14-21 define the VAE-neural-ODE state and amyloid-clearance intervention; pp. 13-14 discuss limitations.",Abstract; Methods pp. 6–16 and Algorithm 1; Results/trial figures pp. 17–27; code/data statements.
MWM-XB41D731350,A digital twin for hospital antimicrobial resistance forecasting and constrained intervention optimisation,causal_evidence,1,2,"This is strong within-simulator planning evidence with baseline containment, multiple policy perturbations and constraints. Causal evidence is partial because the estimand and matched random streams are explicit only within an assumed synthetic system; no real-hospital identification or external validation exists. Safety is a constraint/stress proxy, not clinical safety.","The causal/policy contrast is fully defined inside a known synthetic simulator, hence causal evidence is strong for that simulated data-generating process but does not establish real-hospital effects. The learned predictor is fixed-horizon, not shown consuming its own generated states recursively. Frozen validation is synthetic zero-shot shift.","medRxiv v1 Methods: synthetic hospital, H=7 graph forecasting, matched policy branches and MILP; Results report stress tests, held-out action-ranking accuracy/regret/non-worsening; official predictive and causal GitHub repositories.","Preprint Methods define the synthetic 10-ward/200-patient/300-staff hospital, T=7/H=7 prediction, partial surveillance, five-policy branch, common deterministic noise, and constrained optimization; Results report surveillance and distribution-shift stress tests and policy ranking; equation defines ΔB7(a)=B7(baseline)-B7(a)."
MWM-XB41D731350,A digital twin for hospital antimicrobial resistance forecasting and constrained intervention optimisation,external_evidence,0,1,"This is strong within-simulator planning evidence with baseline containment, multiple policy perturbations and constraints. Causal evidence is partial because the estimand and matched random streams are explicit only within an assumed synthetic system; no real-hospital identification or external validation exists. Safety is a constraint/stress proxy, not clinical safety.","The causal/policy contrast is fully defined inside a known synthetic simulator, hence causal evidence is strong for that simulated data-generating process but does not establish real-hospital effects. The learned predictor is fixed-horizon, not shown consuming its own generated states recursively. Frozen validation is synthetic zero-shot shift.","medRxiv v1 Methods: synthetic hospital, H=7 graph forecasting, matched policy branches and MILP; Results report stress tests, held-out action-ranking accuracy/regret/non-worsening; official predictive and causal GitHub repositories.","Preprint Methods define the synthetic 10-ward/200-patient/300-staff hospital, T=7/H=7 prediction, partial surveillance, five-policy branch, common deterministic noise, and constrained optimization; Results report surveillance and distribution-shift stress tests and policy ranking; equation defines ΔB7(a)=B7(baseline)-B7(a)."
MWM-XB41D731350,A digital twin for hospital antimicrobial resistance forecasting and constrained intervention optimisation,free_running_rollout,yes,no,"This is strong within-simulator planning evidence with baseline containment, multiple policy perturbations and constraints. Causal evidence is partial because the estimand and matched random streams are explicit only within an assumed synthetic system; no real-hospital identification or external validation exists. Safety is a constraint/stress proxy, not clinical safety.","The causal/policy contrast is fully defined inside a known synthetic simulator, hence causal evidence is strong for that simulated data-generating process but does not establish real-hospital effects. The learned predictor is fixed-horizon, not shown consuming its own generated states recursively. Frozen validation is synthetic zero-shot shift.","medRxiv v1 Methods: synthetic hospital, H=7 graph forecasting, matched policy branches and MILP; Results report stress tests, held-out action-ranking accuracy/regret/non-worsening; official predictive and causal GitHub repositories.","Preprint Methods define the synthetic 10-ward/200-patient/300-staff hospital, T=7/H=7 prediction, partial surveillance, five-policy branch, common deterministic noise, and constrained optimization; Results report surveillance and distribution-shift stress tests and policy ranking; equation defines ΔB7(a)=B7(baseline)-B7(a)."
MWM-XB41D731350,A digital twin for hospital antimicrobial resistance forecasting and constrained intervention optimisation,frozen_external_validation,no,yes,"This is strong within-simulator planning evidence with baseline containment, multiple policy perturbations and constraints. Causal evidence is partial because the estimand and matched random streams are explicit only within an assumed synthetic system; no real-hospital identification or external validation exists. Safety is a constraint/stress proxy, not clinical safety.","The causal/policy contrast is fully defined inside a known synthetic simulator, hence causal evidence is strong for that simulated data-generating process but does not establish real-hospital effects. The learned predictor is fixed-horizon, not shown consuming its own generated states recursively. Frozen validation is synthetic zero-shot shift.","medRxiv v1 Methods: synthetic hospital, H=7 graph forecasting, matched policy branches and MILP; Results report stress tests, held-out action-ranking accuracy/regret/non-worsening; official predictive and causal GitHub repositories.","Preprint Methods define the synthetic 10-ward/200-patient/300-staff hospital, T=7/H=7 prediction, partial surveillance, five-policy branch, common deterministic noise, and constrained optimization; Results report surveillance and distribution-shift stress tests and policy ranking; equation defines ΔB7(a)=B7(baseline)-B7(a)."
MWM-XB41D731350,A digital twin for hospital antimicrobial resistance forecasting and constrained intervention optimisation,safety_hazard_test,yes,no,"This is strong within-simulator planning evidence with baseline containment, multiple policy perturbations and constraints. Causal evidence is partial because the estimand and matched random streams are explicit only within an assumed synthetic system; no real-hospital identification or external validation exists. Safety is a constraint/stress proxy, not clinical safety.","The causal/policy contrast is fully defined inside a known synthetic simulator, hence causal evidence is strong for that simulated data-generating process but does not establish real-hospital effects. The learned predictor is fixed-horizon, not shown consuming its own generated states recursively. Frozen validation is synthetic zero-shot shift.","medRxiv v1 Methods: synthetic hospital, H=7 graph forecasting, matched policy branches and MILP; Results report stress tests, held-out action-ranking accuracy/regret/non-worsening; official predictive and causal GitHub repositories.","Preprint Methods define the synthetic 10-ward/200-patient/300-staff hospital, T=7/H=7 prediction, partial surveillance, five-policy branch, common deterministic noise, and constrained optimization; Results report surveillance and distribution-shift stress tests and policy ranking; equation defines ΔB7(a)=B7(baseline)-B7(a)."
MWM-XF6449FE2D4,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,uncertainty_evidence,0,1,"The withdrawal analysis is explicitly a sensitivity probe rather than a causal effect. External IUH evaluation is frozen, but forecasts are one-step and uncalibrated.","Strong next-window and external discrimination evidence; withdrawal is an altered-input forecast, not a causally identified effect. Main text is inconsistent about 12- versus 24-hour horizon.",Preprint pp. 16-24; Fig. 2; Fig. 4; Case-based intervention section; DOI 10.64898/2026.03.13.26346736,Figs. 2-5; Methods Phase 1/2 and external validation; Discussion counterfactual limitations
MWM-XF6449FE2D4,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,safety_evidence,0,1,"The withdrawal analysis is explicitly a sensitivity probe rather than a causal effect. External IUH evaluation is frozen, but forecasts are one-step and uncalibrated.","Strong next-window and external discrimination evidence; withdrawal is an altered-input forecast, not a causally identified effect. Main text is inconsistent about 12- versus 24-hour horizon.",Preprint pp. 16-24; Fig. 2; Fig. 4; Case-based intervention section; DOI 10.64898/2026.03.13.26346736,Figs. 2-5; Methods Phase 1/2 and external validation; Discussion counterfactual limitations
MWM-0011,Action-Conditioned World Model for Goal Plane Probe Guidance in Robotic Ultrasound,external_evidence,0,1,"Real closed-loop guidance and zero/inverse-action controls support planning and action evidence. The image model predicts offsets rather than recursively consuming generated images, and force safety is not measured.","Physical closed-loop guidance supports planning and decision evidence; zero/inverse-action controls support action evidence, but the world model itself is not recursively rolled out and force safety is not tested.",Sec.II pp.2-4; Table I p.5; Fig.4 and Tables II-IV pp.5-7; Discussion p.8,Sec. II pp.2-4; Table I p.5; Fig. 4 and Tables II-IV pp.5-7; Discussion p.8
MWM-0011,Action-Conditioned World Model for Goal Plane Probe Guidance in Robotic Ultrasound,reproducibility_evidence,0,1,"Real closed-loop guidance and zero/inverse-action controls support planning and action evidence. The image model predicts offsets rather than recursively consuming generated images, and force safety is not measured.","Physical closed-loop guidance supports planning and decision evidence; zero/inverse-action controls support action evidence, but the world model itself is not recursively rolled out and force safety is not tested.",Sec.II pp.2-4; Table I p.5; Fig.4 and Tables II-IV pp.5-7; Discussion p.8,Sec. II pp.2-4; Table I p.5; Fig. 4 and Tables II-IV pp.5-7; Discussion p.8
MWM-0013,Agentifying Patient Dynamics within LLMs through Interacting with Clinical World Model,external_evidence,2,1,"Planning is evaluated with model rollouts and OPE, including unsafe-action review, but transition fidelity is mainly one-step and causal identification, overlap, and calibrated uncertainty are incomplete.","Policy-value estimators justify partial causal and decision evidence, not identified individual counterfactuals; unsafe-dose rules and expert failure review are meaningful but lack severity/recovery testing.",Abstract and Secs.2-3 pp.1-5; Tables 3-4 pp.8-9; Apps.C-F pp.15-18; Apps.I-J pp.23-24,Secs.2-3 and Tables 1-2 pp.1-5; Sec.5 and Tables 3-4 pp.8-9; Apps.C-F and I-J pp.15-24
MWM-0018,Arti-JEPA: Adapting Video World Model to Real-Time MRI of the Vocal Tract for Speech-Production Analysis,frozen_external_validation,no,unclear,"Masked representation prediction and probes provide indirect temporal evidence, not a free-running clinical trajectory simulator. Audio conditioning was not an effective action channel.","Masked latent prediction and frozen probes support narrow dynamics evidence, not a free-running clinical trajectory model; external cohorts are small and target fitting is incompletely clear.",Abstract pp.1-2; Sec.3 pp.3-5; Sec.4 pp.6-9; clinical evaluations pp.10-15; Limitations p.16; Appendix pp.19-25,Abstract pp.1-2; Secs.3-4 pp.3-9; Tables 1-9; clinical evaluations pp.10-15; Limitations p.16
MWM-X6FB8E7370E,Autosomal Dominant Tubulointerstitial Kidney Disease Clinical Trial Simulator: Case Reports of Model-Informed Drug Development.,dynamics_evidence,2,1,"Alternative assumed treatment effects are simulated against placebo to support trial-design decisions. The disease models have prior test/VPC support, but intervention response is hypothetical rather than clinically validated, and no confounding or overlap analysis supports causal interpretation. The public Shiny interface and snippets aid inspection but do not constitute a complete downloadable analysis repository.","Placebo plus parameter-effect scenarios support action testing and trial utility, but treatment effects are imposed rather than empirically validated; external, causal, safety, and calibration evidence are absent.","Clinical and Translational Science full text, DOI 10.1002/psp4.70258: Methods sections 'Development of the CTS tool' and 'Clinical trial simulations' describe the UMOD/MUC1 registry models, synthetic cohorts, placebo and treatment parameter changes, durations, and 100 replicates; Results case reports and associated figures/tables report power across effect sizes and trial designs; Discussion states assumptions and validation limits; Data S1 supplies selected code examples.",Model/Methods and Fig. 1; case studies and Figs./Tables 2–5; Discussion and Data S1.
MWM-X6FB8E7370E,Autosomal Dominant Tubulointerstitial Kidney Disease Clinical Trial Simulator: Case Reports of Model-Informed Drug Development.,rollout_evidence,2,1,"Alternative assumed treatment effects are simulated against placebo to support trial-design decisions. The disease models have prior test/VPC support, but intervention response is hypothetical rather than clinically validated, and no confounding or overlap analysis supports causal interpretation. The public Shiny interface and snippets aid inspection but do not constitute a complete downloadable analysis repository.","Placebo plus parameter-effect scenarios support action testing and trial utility, but treatment effects are imposed rather than empirically validated; external, causal, safety, and calibration evidence are absent.","Clinical and Translational Science full text, DOI 10.1002/psp4.70258: Methods sections 'Development of the CTS tool' and 'Clinical trial simulations' describe the UMOD/MUC1 registry models, synthetic cohorts, placebo and treatment parameter changes, durations, and 100 replicates; Results case reports and associated figures/tables report power across effect sizes and trial designs; Discussion states assumptions and validation limits; Data S1 supplies selected code examples.",Model/Methods and Fig. 1; case studies and Figs./Tables 2–5; Discussion and Data S1.
MWM-X6FB8E7370E,Autosomal Dominant Tubulointerstitial Kidney Disease Clinical Trial Simulator: Case Reports of Model-Informed Drug Development.,causal_evidence,1,0,"Alternative assumed treatment effects are simulated against placebo to support trial-design decisions. The disease models have prior test/VPC support, but intervention response is hypothetical rather than clinically validated, and no confounding or overlap analysis supports causal interpretation. The public Shiny interface and snippets aid inspection but do not constitute a complete downloadable analysis repository.","Placebo plus parameter-effect scenarios support action testing and trial utility, but treatment effects are imposed rather than empirically validated; external, causal, safety, and calibration evidence are absent.","Clinical and Translational Science full text, DOI 10.1002/psp4.70258: Methods sections 'Development of the CTS tool' and 'Clinical trial simulations' describe the UMOD/MUC1 registry models, synthetic cohorts, placebo and treatment parameter changes, durations, and 100 replicates; Results case reports and associated figures/tables report power across effect sizes and trial designs; Discussion states assumptions and validation limits; Data S1 supplies selected code examples.",Model/Methods and Fig. 1; case studies and Figs./Tables 2–5; Discussion and Data S1.
