candidate_id,title,highest_capability_claim,state_evidence,dynamics_evidence,rollout_evidence,action_evidence,uncertainty_evidence,causal_evidence,external_evidence,decision_evidence,safety_evidence,reproducibility_evidence,free_running_rollout,horizon_resolved_results,formal_calibration,frozen_external_validation,action_agnostic_comparator,action_perturbation,explicit_causal_estimand,closed_loop_evaluation,safety_hazard_test,public_code,evidence_anchors,reviewer_notes,confidence
MWM-0008,"A World Model of Radiologist Reading for Medical Image Representation Learning",passive_forecasting,2,1,0,NA,0,NA,1,1,0,1,no,no,no,no,NA,NA,NA,no,no,unclear,"Abstract p.1; Sec.3 and Fig.1 pp.3-5; Sec.4 and Tables 1-5 pp.5-9; Limitations p.10; Apps.A-B pp.13-15","Direct gaze and downstream task evaluation supports state evidence, but pretraining is teacher-forced and does not establish free-running clinical dynamics.",high
MWM-0011,"Action-Conditioned World Model for Goal Plane Probe Guidance in Robotic Ultrasound",planning,2,2,1,2,1,NA,0,2,1,0,yes,yes,no,no,yes,yes,NA,real,no,no,"Sec.II pp.2-4; Table I p.5; Fig.4 and Tables II-IV pp.5-7; Discussion p.8","Real closed-loop guidance and zero/inverse-action controls support planning and action evidence. The image model predicts offsets rather than recursively consuming generated images, and force safety is not measured.",high
MWM-0012,"Affective Music Recommendation: A Rollout-Based World Model for Offline Preference Optimization",planning,2,1,1,2,0,0,0,1,1,0,yes,no,no,no,yes,yes,no,offline,no,unclear,"Abstract p.1; Sec.3 and Fig.1 pp.2-4; Sec.4 and Tables 1-5 pp.5-8; Sec.5.1-5.3 p.8","The five-song simulator is free-running and used for offline optimization, but utility is evaluated inside the learned simulator. Counterfactual-history wording lacks causal identification.",high
MWM-0013,"Agentifying Patient Dynamics within LLMs through Interacting with Clinical World Model",planning,2,1,1,1,1,1,2,2,1,2,yes,no,no,yes,no,no,yes,offline,yes,yes,"Abstract and Secs.2-3 pp.1-5; Tables 3-4 pp.8-9; Apps.C-F pp.15-18; Apps.I-J pp.23-24","Planning is evaluated with model rollouts and OPE, including unsafe-action review, but transition fidelity is mainly one-step and causal identification, overlap, and calibrated uncertainty are incomplete.",high
MWM-0018,"Arti-JEPA: Adapting Video World Model to Real-Time MRI of the Vocal Tract for Speech-Production Analysis",passive_forecasting,2,1,0,NA,0,NA,1,1,0,1,no,no,no,no,NA,NA,NA,no,no,unclear,"Abstract pp.1-2; Sec.3 pp.3-5; Sec.4 pp.6-9; clinical evaluations pp.10-15; Limitations p.16; Appendix pp.19-25","Masked representation prediction and probes provide indirect temporal evidence, not a free-running clinical trajectory simulator. Audio conditioning was not an effective action channel.",high
MWM-0032,"BLINK: Behavioral Latent Modeling of NK Cell Cytotoxicity",action_conditioned,2,2,1,1,0,NA,0,1,0,0,yes,no,no,no,yes,yes,NA,no,no,no,"Methods pp.3-5; dataset protocol p.6; Table 1 p.7; Fig.3 p.8","A 30-step free latent forecast supports dynamics, but there is no horizon-resolved drift analysis. The no-action ablation is limited, and motion is observed rather than an intervention.",high
MWM-0034,"Brain-WM: Brain Glioblastoma World Model",counterfactual,2,1,0,0,0,0,2,1,0,2,no,no,no,yes,no,no,no,no,no,yes,"Abstract and Fig.1 p.1; Sec.III pp.2-5; Tables I-II pp.5-6; Figs.4-7 and Tables III-IV pp.7-9","The paper claims a counterfactual sandbox, but evidence is one observed next-treatment/next-MRI transition without alternative-treatment ground truth or confounding adjustment.",high
MWM-0040,"CalTwin: Towards Calibrated, Shift-Robust Medical World Models via Fisher-Information Regularisation",passive_forecasting,2,1,0,NA,2,NA,2,0,0,1,no,yes,yes,yes,NA,NA,NA,no,no,unclear,"Abstract and Secs.1-2 pp.1-4; Sec.3 pp.4-7; Sec.4 Tables 1-2 and Figs.1-2 pp.7-10; Secs.5-6 pp.11-12","ECE and reliability analysis support formal calibration, and held-out hospitals support frozen external evidence. The authors explicitly report teacher-forced next-step evaluation only.",high
MWM-0046,"ChronoMedicalWorld: A Medical World Model for Learning Patient Trajectories from Longitudinal Care Data",counterfactual,2,2,2,1,0,0,0,0,1,0,yes,yes,no,no,no,yes,no,no,no,unclear,"Abstract p.1; Sec.2.4 pp.3-4; Sec.3 and Fig.1 pp.4-6; Sec.4 Tables 1-3 pp.6-8; Sec.5 Tables 4-5 pp.8-9; Sec.6 p.10","Free-running multiyear prediction is evaluated, but the what-if/counterfactual interface is explicitly not a causal estimator. Action tests vary channels and intensity without an action-agnostic causal comparator.",high
MWM-0054,"CrossScope: A Role-Asymmetric World Model for Joint Dual-Scope Surgical Video Prediction",action_conditioned,2,1,0,1,0,NA,0,0,0,0,no,yes,no,no,no,no,NA,no,no,no,"Benchmark overview p.2; Methods pp.3-5; Tables 1-2 and Fig.6 pp.5-7; Appendix Tables 4-10 pp.11-15","The geometric trajectory is a visual conditioning proxy, not a commanded operator action. Eight-frame windows are independently predicted and explicitly not chained autoregressively.",high
