candidate_id,title,field,reviewer_a,reviewer_b,reviewer_a_notes,reviewer_b_notes,reviewer_a_anchors,reviewer_b_anchors
MWM-0011,Action-Conditioned World Model for Goal Plane Probe Guidance in Robotic Ultrasound,external_evidence,0,1,"Real closed-loop guidance and zero/inverse-action controls support planning and action evidence. The image model predicts offsets rather than recursively consuming generated images, and force safety is not measured.","Physical closed-loop guidance supports planning and decision evidence; zero/inverse-action controls support action evidence, but the world model itself is not recursively rolled out and force safety is not tested.",Sec.II pp.2-4; Table I p.5; Fig.4 and Tables II-IV pp.5-7; Discussion p.8,Sec. II pp.2-4; Table I p.5; Fig. 4 and Tables II-IV pp.5-7; Discussion p.8
MWM-0011,Action-Conditioned World Model for Goal Plane Probe Guidance in Robotic Ultrasound,reproducibility_evidence,0,1,"Real closed-loop guidance and zero/inverse-action controls support planning and action evidence. The image model predicts offsets rather than recursively consuming generated images, and force safety is not measured.","Physical closed-loop guidance supports planning and decision evidence; zero/inverse-action controls support action evidence, but the world model itself is not recursively rolled out and force safety is not tested.",Sec.II pp.2-4; Table I p.5; Fig.4 and Tables II-IV pp.5-7; Discussion p.8,Sec. II pp.2-4; Table I p.5; Fig. 4 and Tables II-IV pp.5-7; Discussion p.8
MWM-0013,Agentifying Patient Dynamics within LLMs through Interacting with Clinical World Model,external_evidence,2,1,"Planning is evaluated with model rollouts and OPE, including unsafe-action review, but transition fidelity is mainly one-step and causal identification, overlap, and calibrated uncertainty are incomplete.","Policy-value estimators justify partial causal and decision evidence, not identified individual counterfactuals; unsafe-dose rules and expert failure review are meaningful but lack severity/recovery testing.",Abstract and Secs.2-3 pp.1-5; Tables 3-4 pp.8-9; Apps.C-F pp.15-18; Apps.I-J pp.23-24,Secs.2-3 and Tables 1-2 pp.1-5; Sec.5 and Tables 3-4 pp.8-9; Apps.C-F and I-J pp.15-24
MWM-0018,Arti-JEPA: Adapting Video World Model to Real-Time MRI of the Vocal Tract for Speech-Production Analysis,frozen_external_validation,no,unclear,"Masked representation prediction and probes provide indirect temporal evidence, not a free-running clinical trajectory simulator. Audio conditioning was not an effective action channel.","Masked latent prediction and frozen probes support narrow dynamics evidence, not a free-running clinical trajectory model; external cohorts are small and target fitting is incompletely clear.",Abstract pp.1-2; Sec.3 pp.3-5; Sec.4 pp.6-9; clinical evaluations pp.10-15; Limitations p.16; Appendix pp.19-25,Abstract pp.1-2; Secs.3-4 pp.3-9; Tables 1-9; clinical evaluations pp.10-15; Limitations p.16
MWM-0032,BLINK: Behavioral Latent Modeling of NK Cell Cytotoxicity,action_evidence,1,2,"A 30-step free latent forecast supports dynamics, but there is no horizon-resolved drift analysis. The no-action ablation is limited, and motion is observed rather than an intervention.","A 30-step free latent forecast is present but is not reported across multiple horizons; the no-action ablation supports action evidence, while observed cell motion is not a causal intervention.",Methods pp.3-5; dataset protocol p.6; Table 1 p.7; Fig.3 p.8,Methods pp.3-5; Dataset p.6; Table 1 p.7; Fig. 3 p.8
MWM-0032,BLINK: Behavioral Latent Modeling of NK Cell Cytotoxicity,uncertainty_evidence,0,1,"A 30-step free latent forecast supports dynamics, but there is no horizon-resolved drift analysis. The no-action ablation is limited, and motion is observed rather than an intervention.","A 30-step free latent forecast is present but is not reported across multiple horizons; the no-action ablation supports action evidence, while observed cell motion is not a causal intervention.",Methods pp.3-5; dataset protocol p.6; Table 1 p.7; Fig.3 p.8,Methods pp.3-5; Dataset p.6; Table 1 p.7; Fig. 3 p.8
MWM-0034,Brain-WM: Brain Glioblastoma World Model,action_evidence,0,1,"The paper claims a counterfactual sandbox, but evidence is one observed next-treatment/next-MRI transition without alternative-treatment ground truth or confounding adjustment.","Counterfactual sandbox language sets the claim level, but evidence is one-step factual treatment-conditioned synthesis without confounding control or alternative-treatment outcomes.",Abstract and Fig.1 p.1; Sec.III pp.2-5; Tables I-II pp.5-6; Figs.4-7 and Tables III-IV pp.7-9,Abstract and Fig. 1 p.1; Sec. III pp.2-5; Tables I-IV and Figs.4-7 pp.5-9
MWM-0034,Brain-WM: Brain Glioblastoma World Model,reproducibility_evidence,2,1,"The paper claims a counterfactual sandbox, but evidence is one observed next-treatment/next-MRI transition without alternative-treatment ground truth or confounding adjustment.","Counterfactual sandbox language sets the claim level, but evidence is one-step factual treatment-conditioned synthesis without confounding control or alternative-treatment outcomes.",Abstract and Fig.1 p.1; Sec.III pp.2-5; Tables I-II pp.5-6; Figs.4-7 and Tables III-IV pp.7-9,Abstract and Fig. 1 p.1; Sec. III pp.2-5; Tables I-IV and Figs.4-7 pp.5-9
MWM-0034,Brain-WM: Brain Glioblastoma World Model,closed_loop_evaluation,no,offline,"The paper claims a counterfactual sandbox, but evidence is one observed next-treatment/next-MRI transition without alternative-treatment ground truth or confounding adjustment.","Counterfactual sandbox language sets the claim level, but evidence is one-step factual treatment-conditioned synthesis without confounding control or alternative-treatment outcomes.",Abstract and Fig.1 p.1; Sec.III pp.2-5; Tables I-II pp.5-6; Figs.4-7 and Tables III-IV pp.7-9,Abstract and Fig. 1 p.1; Sec. III pp.2-5; Tables I-IV and Figs.4-7 pp.5-9
MWM-0046,ChronoMedicalWorld: A Medical World Model for Learning Patient Trajectories from Longitudinal Care Data,action_evidence,1,2,"Free-running multiyear prediction is evaluated, but the what-if/counterfactual interface is explicitly not a causal estimator. Action tests vary channels and intensity without an action-agnostic causal comparator.","The paper explicitly disclaims causal estimation, so what-if wording receives causal score 0; free-running multiyear prediction and action-channel removal/intensity tests support rollout/action evidence.",Abstract p.1; Sec.2.4 pp.3-4; Sec.3 and Fig.1 pp.4-6; Sec.4 Tables 1-3 pp.6-8; Sec.5 Tables 4-5 pp.8-9; Sec.6 p.10,Sec.2.4 pp.3-4; Sec.3 and Fig.1 pp.4-6; Tables 1-5 pp.6-9; Secs.6.2 and 6.4 p.10
