candidate_id,title,field,reviewer_a,reviewer_b,adjudicated_value,adjudication_notes
MWM-XA9B007D895,A Blood Glucose Control Framework Based on Reinforcement Learning With Safety and Interpretability: In Silico Validation,publication_status,Peer-reviewed journal article,"Peer-reviewed journal article (IEEE Access, 2021).",,
MWM-XA9B007D895,A Blood Glucose Control Framework Based on Reinforcement Learning With Safety and Interpretability: In Silico Validation,domain,Type 1 diabetes; automated insulin delivery; in-silico control,Type 1 diabetes; automated blood-glucose control in silico.,,
MWM-XA9B007D895,A Blood Glucose Control Framework Based on Reinforcement Learning With Safety and Interpretability: In Silico Validation,dataset_or_cohort,UVA/Padova type 1 diabetes simulator adult cohort,UVA/Padova Type 1 Diabetes Simulator v3.2 virtual adult and adolescent populations.,,
MWM-XA9B007D895,A Blood Glucose Control Framework Based on Reinforcement Learning With Safety and Interpretability: In Silico Validation,sample_scale,10 virtual adult subjects; 20-day closed-loop evaluation per subject; three meals per day,"20 virtual subjects (10 adults and 10 adolescents), each simulated for 20 days.",,
MWM-XA9B007D895,A Blood Glucose Control Framework Based on Reinforcement Learning With Safety and Interpretability: In Silico Validation,institution_count,NA: simulator study with no clinical institution or patient recruitment,NA — FDA-accepted in-silico simulator rather than a clinical institution cohort.,,
MWM-XA9B007D895,A Blood Glucose Control Framework Based on Reinforcement Learning With Safety and Interpretability: In Silico Validation,split_strategy,Random-forest out-of-bag assessment plus closed-loop testing in the same simulator population; no independent external split,Online prediction models use the most recent 250 minutes; no independent subject-level train/test split for the control experiment was reported.,,
MWM-XA9B007D895,A Blood Glucose Control Framework Based on Reinforcement Learning With Safety and Interpretability: In Silico Validation,observation_process,"Glucose, insulin, meal, and time information sampled every 3 minutes; 45-minute history used in the extended state","Glucose, delivered insulin, and meal intake sampled every 5 minutes in simulation; randomized meals and timing.",,
MWM-XA9B007D895,A Blood Glucose Control Framework Based on Reinforcement Learning With Safety and Interpretability: In Silico Validation,missingness,NA: simulator observations are generated as complete trajectories; no missing-data mechanism reported,NA — complete simulator-generated observations; missingness was not modeled.,,
MWM-XA9B007D895,A Blood Glucose Control Framework Based on Reinforcement Learning With Safety and Interpretability: In Silico Validation,censoring_or_competing_events,"NA: no censoring, death, or competing event in the virtual-subject experiment","NA — fixed-duration simulated episodes; no dropout, death, or competing events.",,
MWM-XA9B007D895,A Blood Glucose Control Framework Based on Reinforcement Learning With Safety and Interpretability: In Silico Validation,state,"Extended history state containing glucose, insulin, meal, and temporal features, with predicted future glucose","Observed glucose, delivered pump insulin, meal intake, and a 9-dimensional DAN context representation used by the controller.",,
MWM-XA9B007D895,A Blood Glucose Control Framework Based on Reinforcement Learning With Safety and Interpretability: In Silico Validation,observation_decoder,Random-forest regression directly forecasts glucose; auxiliary deep architecture processes the extended state for policy learning,DAN or random-forest regression predicts future glucose; the simulator supplies subsequent glucose observations.,,
MWM-XA9B007D895,A Blood Glucose Control Framework Based on Reinforcement Learning With Safety and Interpretability: In Silico Validation,action,Continuous insulin-delivery command with safety overrides,Insulin delivery; the safety actor may suspend/add insulin or recommend oral carbohydrate.,,
MWM-XA9B007D895,A Blood Glucose Control Framework Based on Reinforcement Learning With Safety and Interpretability: In Silico Validation,action_provenance,Safe soft actor-critic policy; PID control guides initial data collection/training,Model-selected simulated pump commands and simulated safety interventions; not clinical orders or administrations.,,
MWM-XA9B007D895,A Blood Glucose Control Framework Based on Reinforcement Learning With Safety and Interpretability: In Silico Validation,transition_mechanism,Random-forest glucose transition predictor recursively applied during imagined rollouts,"Online data-driven glucose predictor embedded in soft actor-critic control, with short imagined trajectories and a rule-based safety actor.",,
