candidate_id,title,highest_capability_claim,state_evidence,dynamics_evidence,rollout_evidence,action_evidence,uncertainty_evidence,causal_evidence,external_evidence,decision_evidence,safety_evidence,reproducibility_evidence,free_running_rollout,horizon_resolved_results,formal_calibration,frozen_external_validation,action_agnostic_comparator,action_perturbation,explicit_causal_estimand,closed_loop_evaluation,safety_hazard_test,public_code,evidence_anchors,reviewer_notes,confidence
"MWM-0008","A World Model of Radiologist Reading for Medical Image Representation Learning","passive_forecasting","2","1","0","NA","0","NA","1","1","0","1","no","no","no","no","NA","NA","NA","no","no","unclear","Abstract p.1; Sec. 3 and Fig. 1 pp.3-5; Tables 1-5 pp.5-9; Limitations p.10","Direct scanpath and downstream-task evidence supports state coding, but training is teacher-forced and external probes require fitting on target datasets.","high"
"MWM-0011","Action-Conditioned World Model for Goal Plane Probe Guidance in Robotic Ultrasound","planning","2","2","1","2","1","NA","1","2","1","1","yes","yes","no","no","yes","yes","NA","real","no","no","Sec. II pp.2-4; Table I p.5; Fig. 4 and Tables II-IV pp.5-7; Discussion p.8","Physical closed-loop guidance supports planning and decision evidence; zero/inverse-action controls support action evidence, but the world model itself is not recursively rolled out and force safety is not tested.","high"
"MWM-0012","Affective Music Recommendation: A Rollout-Based World Model for Offline Preference Optimization","planning","2","1","1","2","0","0","0","1","1","0","yes","no","no","no","yes","yes","no","offline","no","unclear","Abstract p.1; Sec. 3 and Fig. 1 pp.2-4; Tables 1-5 pp.5-8; safety scope pp.8","Five-step simulator rollouts and action removal support rollout/action codes, but utility is evaluated inside the learned simulator and counterfactual wording lacks causal identification.","high"
"MWM-0013","Agentifying Patient Dynamics within LLMs through Interacting with Clinical World Model","planning","2","1","1","1","1","1","1","2","1","2","yes","no","no","yes","no","no","yes","offline","yes","yes","Secs.2-3 and Tables 1-2 pp.1-5; Sec.5 and Tables 3-4 pp.8-9; Apps.C-F and I-J pp.15-24","Policy-value estimators justify partial causal and decision evidence, not identified individual counterfactuals; unsafe-dose rules and expert failure review are meaningful but lack severity/recovery testing.","high"
"MWM-0018","Arti-JEPA: Adapting Video World Model to Real-Time MRI of the Vocal Tract for Speech-Production Analysis","passive_forecasting","2","1","0","NA","0","NA","1","1","0","1","no","no","no","unclear","NA","NA","NA","no","no","unclear","Abstract pp.1-2; Secs.3-4 pp.3-9; Tables 1-9; clinical evaluations pp.10-15; Limitations p.16","Masked latent prediction and frozen probes support narrow dynamics evidence, not a free-running clinical trajectory model; external cohorts are small and target fitting is incompletely clear.","high"
"MWM-0032","BLINK: Behavioral Latent Modeling of NK Cell Cytotoxicity","action_conditioned","2","2","1","2","1","NA","0","1","0","0","yes","no","no","no","yes","yes","NA","no","no","no","Methods pp.3-5; Dataset p.6; Table 1 p.7; Fig. 3 p.8","A 30-step free latent forecast is present but is not reported across multiple horizons; the no-action ablation supports action evidence, while observed cell motion is not a causal intervention.","high"
"MWM-0034","Brain-WM: Brain Glioblastoma World Model","counterfactual","2","1","0","1","0","0","2","1","0","1","no","no","no","yes","no","no","no","offline","no","yes","Abstract and Fig. 1 p.1; Sec. III pp.2-5; Tables I-IV and Figs.4-7 pp.5-9","Counterfactual sandbox language sets the claim level, but evidence is one-step factual treatment-conditioned synthesis without confounding control or alternative-treatment outcomes.","high"
"MWM-0040","CalTwin: Towards Calibrated, Shift-Robust Medical World Models via Fisher-Information Regularisation","passive_forecasting","2","1","0","NA","2","NA","2","0","0","1","no","yes","yes","yes","NA","NA","NA","no","no","unclear","Abstract and Secs.1-3 pp.1-7; Tables 1-2 and Figs.1-2 pp.7-10; Secs.5-6 pp.11-12","ECE and reliability analysis support formal calibration, and held-out hospitals support frozen external evidence; evaluation remains teacher-forced one-step forecasting.","high"
"MWM-0046","ChronoMedicalWorld: A Medical World Model for Learning Patient Trajectories from Longitudinal Care Data","counterfactual","2","2","2","2","0","0","0","0","1","0","yes","yes","no","no","yes","yes","no","no","no","unclear","Sec.2.4 pp.3-4; Sec.3 and Fig.1 pp.4-6; Tables 1-5 pp.6-9; Secs.6.2 and 6.4 p.10","The paper explicitly disclaims causal estimation, so what-if wording receives causal score 0; free-running multiyear prediction and action-channel removal/intensity tests support rollout/action evidence.","high"
"MWM-0054","CrossScope: A Role-Asymmetric World Model for Joint Dual-Scope Surgical Video Prediction","action_conditioned","2","2","0","2","0","NA","0","0","0","1","no","no","no","no","yes","yes","NA","no","no","no","Benchmark p.2; Methods pp.3-5; Tables 1-2 and Fig.6 pp.5-7; Appendix Tables 4-10 pp.11-15","Eight-frame windows are independent rather than autoregressive. Shuffled-target and constant-prior controls support action sensitivity, although the conditioning trajectory is only an action proxy.","high"
