candidate_id,title,decision,corpus_type,primary_reason_code,evidence_for_dynamics,evidence_for_evaluation,publication_lineage,full_text_url,rationale
MWM-0008,A World Model of Radiologist Reading for Medical Image Representation Learning,include,empirical,include_empirical,Autoregressively predicts the next fixated image-patch representation along radiologist gaze trajectories.,"GazeSearch evaluates generated gaze sequences with ScanMatch and string-edit distance, with additional imaging probes.",Single identified arXiv preprint.,https://arxiv.org/pdf/2605.23992,The medical gaze-transition model has direct sequence-level evaluation of its predicted reading trajectories.
MWM-0011,Action-Conditioned World Model for Goal Plane Probe Guidance in Robotic Ultrasound,include,empirical,include_empirical,Learns action-conditioned ultrasound observation transitions for probe movements toward target planes.,Future-frame fidelity and closed-loop probe-guidance errors are evaluated on robotic ultrasound data.,Single identified arXiv preprint.,https://arxiv.org/pdf/2607.21918,The model learns and directly evaluates action-conditioned medical-image dynamics for control.
MWM-0012,Affective Music Recommendation: A Rollout-Based World Model for Offline Preference Optimization,exclude,not_applicable,wrong_domain,Models sequential listener preference dynamics for music recommendation.,"Rollout-based recommendation performance is evaluated, but the environment is non-medical.",Single identified arXiv preprint.,https://arxiv.org/pdf/2605.28810,"The learned dynamics concern music recommendation rather than a medical, physiological, or health system."
MWM-0013,Agentifying Patient Dynamics within LLMs through Interacting with Clinical World Model,include,empirical,include_empirical,Learns a clinical world model that simulates patient-state trajectories under treatment actions.,"Sepsis treatment policies are evaluated with clinical outcome, off-policy, and safety measures on EHR data.",Single identified arXiv preprint.,https://arxiv.org/pdf/2605.14723,Learned patient dynamics are used and evaluated for clinical treatment planning.
MWM-0018,Arti-JEPA: Adapting Video World Model to Real-Time MRI of the Vocal Tract for Speech-Production Analysis,include,empirical,include_empirical,Adapts a video predictive architecture to autoregressively roll out future latent vocal-tract MRI states.,Latent rollout error and sensitivity to audio conditioning are measured over future articulatory states.,Single identified arXiv preprint.,https://arxiv.org/pdf/2609.09757,The study directly evaluates learned future-state rollouts in real-time physiological MRI.
MWM-0031,Beyond Patient Invariance: Learning Cardiac Dynamics via Action-Conditioned JEPAs,exclude,not_applicable,no_future_or_action_evaluation,Predicts a future ECG latent state conditioned on a pathology-transition vector.,Reported results emphasize downstream AUROC and a qualitative transition visualization rather than future-state or rollout accuracy.,Single identified arXiv preprint.,https://arxiv.org/pdf/2604.22618,The predictive objective is not accompanied by an empirical dynamics-capability metric.
MWM-0032,BLINK: Behavioral Latent Modeling of NK Cell Cytotoxicity,include,empirical,include_empirical,Learns latent temporal transitions for NK-cell behavior and autoregressively forecasts future cellular states.,Thirty-frame latent rollout forecasting is evaluated against observed cytotoxicity sequences.,Single identified arXiv preprint.,https://arxiv.org/pdf/2603.05110,The biomedical cell-dynamics model is directly evaluated on long-horizon forecasts.
MWM-0034,Brain-WM: Brain Glioblastoma World Model,include,empirical,include_empirical,Generates treatment-conditioned future glioblastoma MRI states within a brain world model.,Future MRI similarity and treatment-planning performance are evaluated on longitudinal clinical imaging.,Single identified arXiv preprint.,https://arxiv.org/pdf/2603.07562,The model directly evaluates intervention-conditioned tumor evolution and its planning use.
MWM-0036,Bridging Individual Trajectories and Population Dynamics through A Multi-scale Health World Model,uncertain,uncertain,inaccessible_full_text,"Available metadata suggests individual and population health-trajectory dynamics, but the primary text could not be accessed.",The claimed empirical evaluation could not be verified from an accessible primary scholarly text.,No duplicate identified; linked SSRN primary text was inaccessible.,https://doi.org/10.2139/ssrn.7384522,Eligibility cannot be confirmed under the strict full-text criteria because the linked primary text was inaccessible.
MWM-0040,"CalTwin: Towards Calibrated, Shift-Robust Medical World Models via Fisher-Information Regularisation",include,empirical,include_empirical,Learns a calibrated latent patient-state transition predictor with shift regularization.,Next-state MSE and calibration are reported across a 23-step clinical sequence evaluation.,Single identified arXiv preprint.,https://arxiv.org/pdf/2607.26752,The explicitly interpreted medical dynamics model has direct future-state accuracy and calibration evaluation.
MWM-0042,"Can Pharmaceutical World Models Become Scientific Instruments? A State-of-the-Art Review of Simulation, Reasoning, and Validation",include,review,include_review,"Defines pharmaceutical world models and organizes simulation, reasoning, intervention, and validation capabilities.","Synthesizes validation evidence, readiness criteria, limitations, and translation requirements across the field.",Single peer-reviewed review article; no duplicate candidate identified.,https://doi.org/10.51847/hn9ejvqjoc,Medical and pharmaceutical world models are the review’s primary topic and receive a structured evidence synthesis.
MWM-0046,ChronoMedicalWorld: A Medical World Model for Learning Patient Trajectories from Longitudinal Care Data,include,empirical,include_empirical,Learns longitudinal patient-state dynamics for free-running clinical trajectory generation.,Half-trajectory rollouts are evaluated with future eGFR MAE and RMSE on longitudinal care data.,Single identified arXiv preprint.,https://arxiv.org/pdf/2605.21963,The patient world model is directly evaluated on free-running medical trajectories.
MWM-0052,Contextual Invertible World Models: A Neuro-Symbolic Agentic Framework for Colorectal Cancer Drug Response,exclude,not_applicable,no_learned_dynamics,Uses a static tabular drug-response regressor as a deterministic simulator under edited genomic features.,Evaluation reports held-out drug-response correlation and MAE; simulated CRISPR perturbations lack temporal or held-out intervention validation.,Single identified arXiv preprint.,https://arxiv.org/pdf/2603.02274,"The system is a static response regressor with feature perturbations, not a learned state-transition or rollout model."
MWM-0054,CrossScope: A Role-Asymmetric World Model for Joint Dual-Scope Surgical Video Prediction,include,empirical,include_empirical,Learns coupled future-video dynamics across two synchronized surgical scopes.,Multi-frame predictions are assessed with image and video fidelity metrics over future surgical observations.,Single identified arXiv preprint.,https://arxiv.org/pdf/2608.03211,The surgical world model directly evaluates learned future-observation generation.
MWM-0068,DreamReg: Belief-Driven World Model for 2D-3D Ultrasound Registration,include,empirical,include_empirical,Learns belief and observation transitions for imagined ultrasound probe movements in 2D–3D registration.,Registration accuracy and reconstruction-based belief updates are evaluated under candidate probe actions.,Single identified arXiv preprint.,https://arxiv.org/pdf/2606.18825,Action-conditioned ultrasound dynamics are evaluated through model-based registration.
MWM-0073,ECG-WM: A Physiology-Informed ECG World Model for Clinical Intervention Simulation,include,empirical,include_empirical,"Learns physiology-informed, intervention-conditioned ECG state transitions and multi-step rollouts.",Single-step and multi-step generated ECG responses are compared with observed signals using quantitative metrics.,Single identified arXiv preprint.,https://arxiv.org/pdf/2605.17580,The model directly evaluates intervention-conditioned physiological trajectories.
MWM-0074,EHRWorld: A Patient-Centric Medical World Model for Long-Horizon Clinical Trajectories,include,empirical,include_empirical,Autoregressively models long-horizon patient event and state trajectories from EHR histories.,Generated clinical trajectories are evaluated with long-horizon sequence and numerical-error measures.,Single identified arXiv preprint.,https://arxiv.org/pdf/2602.03569,The patient-centric EHR world model has direct long-horizon rollout evaluation.
MWM-0077,EyeWorld: A Generative World Model of Ocular State and Dynamics,include,empirical,include_empirical,Learns a generative ocular-state transition model from longitudinal ophthalmic imaging.,Future ocular observations and disease-evolution trajectories are evaluated against held-out longitudinal data.,Single identified arXiv preprint.,https://arxiv.org/pdf/2603.14039,The study directly evaluates learned longitudinal ocular dynamics.
MWM-0078,Failure Detection for Surgical Robot Imitation Policies via Flow-Matching World Modeling,include,empirical,include_empirical,Uses flow matching to predict action-conditioned terminal surgical observations from current states.,Predicted action consequences are evaluated through rollout-level policy-failure detection across simulated and real settings.,Single identified arXiv preprint.,https://arxiv.org/pdf/2607.27511,The action-conditioned dynamics model is empirically evaluated for surgical policy monitoring.
MWM-0090,From language to world: Bridging LLMs and world models for intelligent surgery,exclude,not_applicable,no_primary_empirical_evaluation,Discusses connections between language models and surgical world models without presenting a learned dynamics study.,The official publisher record identifies the article as commentary and provides no primary empirical results.,Single publisher commentary; no empirical publication lineage identified.,https://doi.org/10.59717/j.xinn-inform.2026.100040,This is a commentary rather than an eligible empirical study or structured review.
MWM-0094,Future Querying: Can LLMs Serve as Implicit Medical World Models?,include,empirical,include_empirical,Treats an LLM as an implicit clinical dynamics model that answers questions about future patient states.,Future-query answers are compared with held-out subsequent clinical trajectories.,Single identified arXiv preprint.,https://arxiv.org/pdf/2608.23248,The study directly tests future-state prediction from longitudinal medical records.
MWM-0095,"GEMEO: the first patient world model for rare disease, grounding generative clinical trajectories in the genome and a biomedical knowledge graph",include,empirical,include_empirical,Builds a genome- and knowledge-grounded patient model for generative clinical state transitions and trajectories.,"Transition and trajectory capabilities, including treatment-discontinuation responses, are evaluated on rare-disease data.",Single stable Zenodo scholarly record; no duplicate candidate identified.,https://doi.org/10.5281/zenodo.20328323,The patient world model directly evaluates longitudinal and action-conditioned clinical dynamics.
MWM-0101,Harnessing AI to Build Virtual Cells,uncertain,uncertain,inaccessible_full_text,"Metadata indicates a virtual-cell world-model agenda, but the primary article could not be retrieved.",Whether a learned cell dynamics capability is empirically evaluated could not be verified.,No duplicate identified; linked bioRxiv primary text was inaccessible.,https://europepmc.org/article/PPR/PPR1212648,The inaccessible primary text prevents a strict empirical eligibility determination.
