audit_id,stratum,title,reviewer_a_decision,reviewer_a_corpus_type,reviewer_a_reason_code,reviewer_a_rationale,reviewer_b_decision,reviewer_b_corpus_type,reviewer_b_reason_code,reviewer_b_rationale,final_decision,final_corpus_type,final_reason_code,resolution_route,adjudication_rationale
AUD-669035784e86,alternate_dynamics_enriched,Clin-JEPA: A Multi-Phase Co-Training Framework for Joint-Embedding Predictive Pretraining on EHR Patient Trajectories,include,empirical,include_empirical,The primary text implements learned action-aware patient-state dynamics and directly evaluates multistep future rollouts.,include,empirical,include_empirical,The full text presents learned longitudinal patient-state dynamics and directly evaluates multistep future rollout behavior on clinical EHR data.,include,empirical,include_empirical,reviewer_consensus,A: The primary text implements learned action-aware patient-state dynamics and directly evaluates multistep future rollouts. B: The full text presents learned longitudinal patient-state dynamics and directly evaluates multistep future rollout behavior on clinical EHR data.
AUD-fa60370df827,alternate_dynamics_enriched,Model-based reinforcement learning for ultrasound-driven autonomous microrobots.,include,empirical,include_empirical,The study learns an action-conditioned world model for a biomedical microrobot and directly evaluates planning and control in physical vascular environments.,include,empirical,include_empirical,The study learns an action-conditioned world model and directly evaluates model-based planning and control in biomedical navigation environments.,include,empirical,include_empirical,reviewer_consensus,A: The study learns an action-conditioned world model for a biomedical microrobot and directly evaluates planning and control in physical vascular environments. B: The study learns an action-conditioned world model and directly evaluates model-based planning and control in biomedical navigation environments.
AUD-82f6e10de1f4,alternate_dynamics_enriched,Role of health digital twins in oncology drug development - a primer,include,review,include_review,"Medical digital-twin and simulation capabilities are the review's primary subject, with explicit taxonomy and translation analysis.",include,review,include_review,"Health digital twins in oncology are the primary topic, and the article supplies definitions, use-case synthesis, validation requirements, and a translational perspective.",include,review,include_review,reviewer_consensus,"A: Medical digital-twin and simulation capabilities are the review's primary subject, with explicit taxonomy and translation analysis. B: Health digital twins in oncology are the primary topic, and the article supplies definitions, use-case synthesis, validation requirements, and a translational perspective."
AUD-33a686ae8415,alternate_dynamics_enriched,Structural requirements for intelligent clinical digital twins in feedback-driven care,include,review,include_review,"The primary focus is defining and translating intelligent clinical digital-twin capabilities, satisfying the review-corpus criteria.",include,review,include_review,"Clinical digital twins are the central topic, and the full text presents a structured requirements framework and clinical-translation analysis that meet the review criterion.",include,review,include_review,reviewer_consensus,"A: The primary focus is defining and translating intelligent clinical digital-twin capabilities, satisfying the review-corpus criteria. B: Clinical digital twins are the central topic, and the full text presents a structured requirements framework and clinical-translation analysis that meet the review criterion."
AUD-5087605e130b,alternate_dynamics_enriched,Towards Surgical World-Action Modeling: A Preliminary Joint Visual-Trajectory Forecasting for Surgical Motion Planning,include,empirical,include_empirical,The model learns surgical visual and motion dynamics and directly evaluates multistep future observations and trajectories.,include,empirical,include_empirical,The model learns surgical future-observation and motion dynamics and directly evaluates multistep forecasting capability.,include,empirical,include_empirical,reviewer_consensus,A: The model learns surgical visual and motion dynamics and directly evaluates multistep future observations and trajectories. B: The model learns surgical future-observation and motion dynamics and directly evaluates multistep forecasting capability.
AUD-c38374316b5f,phrase_absent_random,1042-P: Long-Term Complications after Add-on Treatment to Metformin—UK Real-World Progression in Diabetes (RAPIDS) Model,include,empirical,include_empirical,The calibrated clinical progression simulator directly compares future patient outcomes under alternative treatment actions.,include,empirical,include_empirical,The complete conference record provides methods and numerical results for a calibrated disease-progression simulator evaluated across alternative treatment actions.,include,empirical,include_empirical,reviewer_consensus,A: The calibrated clinical progression simulator directly compares future patient outcomes under alternative treatment actions. B: The complete conference record provides methods and numerical results for a calibrated disease-progression simulator evaluated across alternative treatment actions.
AUD-9afa5c092202,phrase_absent_random,Mozambique,exclude,not_applicable,wrong_domain,This is a trade-policy country chapter unrelated to medical world models.,exclude,not_applicable,wrong_domain,This is a country tariff profile outside the medical-world-model domain.,exclude,not_applicable,wrong_domain,reviewer_consensus,A: This is a trade-policy country chapter unrelated to medical world models. B: This is a country tariff profile outside the medical-world-model domain.
AUD-4ecfb438361f,phrase_absent_random,Guinea-Bissau,exclude,not_applicable,wrong_domain,This is a trade-policy country chapter unrelated to medical world models.,exclude,not_applicable,wrong_domain,This is a country tariff profile outside the medical-world-model domain.,exclude,not_applicable,wrong_domain,reviewer_consensus,A: This is a trade-policy country chapter unrelated to medical world models. B: This is a country tariff profile outside the medical-world-model domain.
AUD-1c5d8413e95f,phrase_absent_random,The Gambia,exclude,not_applicable,wrong_domain,This is a trade-policy country chapter unrelated to medical world models.,exclude,not_applicable,wrong_domain,This is a country tariff profile outside the medical-world-model domain.,exclude,not_applicable,wrong_domain,reviewer_consensus,A: This is a trade-policy country chapter unrelated to medical world models. B: This is a country tariff profile outside the medical-world-model domain.
AUD-da73d883b73b,phrase_absent_random,An Extended Epidemic Model on Interconnected Networks for COVID-19 to Explore the Epidemic Dynamics,include,empirical,include_empirical,The study fits health-state transition dynamics to real observations and directly evaluates simulated epidemic trajectories against future data.,include,empirical,include_empirical,The study combines data-adapted epidemic transitions with direct trajectory and simulator-fidelity evaluation on real COVID-19 observations.,include,empirical,include_empirical,reviewer_consensus,A: The study fits health-state transition dynamics to real observations and directly evaluates simulated epidemic trajectories against future data. B: The study combines data-adapted epidemic transitions with direct trajectory and simulator-fidelity evaluation on real COVID-19 observations.
