audit_id,stratum,title,reviewer_a_decision,reviewer_a_corpus_type,reviewer_a_reason_code,reviewer_a_rationale,reviewer_b_decision,reviewer_b_corpus_type,reviewer_b_reason_code,reviewer_b_rationale,final_decision,final_corpus_type,final_reason_code,adjudication_rationale
AUD-23bda78572c9,alternate_dynamics_enriched,Combining machine learning and physiological network models for sepsis prediction,exclude,empirical,no_future_or_action_evaluation,The model requires incoming observations at every step and lacks direct evaluation of autonomous future or action-conditioned dynamics.,exclude,not_applicable,no_learned_dynamics,"The recurrent classifier consumes observed history, while the full text explicitly separates its oscillator trajectories from actual temporal patient evolution.",,,,
AUD-906a4df1eae9,alternate_dynamics_enriched,Commercial impact of adding real-world evidence to clinical trials at regulatory approval: a Markovian-like transition model,exclude,empirical,wrong_domain,"Despite medical-product context, the modeled dynamics and outcomes are commercial rather than clinical or biomedical.",exclude,not_applicable,wrong_domain,"The modeled state is the commercial and regulatory lifecycle of a product, not a medical patient, physiological system, or care environment.",,,,
AUD-a2362b6cabf5,alternate_dynamics_enriched,Fetal Twin: a mechanistic computational model of fetal physiology for heart-rate-variability biomarker research,uncertain,empirical,inaccessible_full_text,"The official full text was inaccessible, leaving the rubric-critical learned or data-adapted dynamics criterion unresolved.",include,empirical,include_empirical,The primary text provides a data-informed physiological transition simulator and directly evaluates forward responses and signal fidelity under controlled interventions.,,,,
AUD-2cc6cfea5438,alternate_dynamics_enriched,Mobility traces and spreading of COVID-19,exclude,empirical,no_learned_dynamics,"The study simulates health-related dynamics, but its transition rules and parameters are prescribed rather than learned or fitted as a world model.",include,empirical,include_empirical,The calibrated agent-based epidemic model directly evaluates future spread and intervention-dependent trajectories in a health setting.,,,,
AUD-5b8afa4dfc3d,alternate_dynamics_enriched,Towards Effective Patient Simulators,exclude,empirical,no_future_or_action_evaluation,The paper proposes relevant dynamics but does not provide the direct capability evaluation required for empirical inclusion.,include,review,include_review,"The paper's primary contribution includes a systematic review and benchmark-oriented synthesis of medical patient simulators, satisfying the review-corpus criterion despite limited validation of its proposed models.",,,,
AUD-36855051ce31,phrase_absent_random,Application of the woodchuck animal model for the treatment of hepatitis B virus-induced liver cancer,exclude,review,review_not_primary,The paper is a review of an animal disease model rather than a primary medical world-model review or empirical learned-dynamics study.,exclude,not_applicable,review_not_primary,"The review's primary subject is the woodchuck experimental animal model, not medical or healthcare world models as defined by the rubric.",,,,
AUD-6121d25433ab,phrase_absent_random,The Impact of Low EHR-Continuity on Effect Estimates: Evidence from Two EHR-Medicare Linked Databases,exclude,empirical,no_learned_dynamics,The study uses prediction and epidemiologic models but does not learn or adapt temporal patient dynamics.,exclude,not_applicable,no_learned_dynamics,This is a data-continuity and causal-estimation study without learned temporal patient dynamics.,,,,
AUD-a7cc87cf05d8,phrase_absent_random,Model Assessment,exclude,review,no_learned_dynamics,"The healthcare context is relevant, but the chapter concerns conventional statistical model assessment rather than medical world models.",exclude,not_applicable,review_not_primary,"The review topic is general healthcare model assessment, not medical world models or action-conditioned simulation.",,,,
AUD-2d381c43d614,phrase_absent_random,"Patient Data Privacy, Protected Health Information, and Ethics of Real-World Evidence",exclude,review,review_not_primary,This ethics chapter is neither a primary empirical world-model study nor a review centered on medical world models.,exclude,not_applicable,review_not_primary,"The chapter is a real-world-evidence ethics review, not a review of medical world models.",,,,
AUD-041c95e05141,phrase_absent_random,,uncertain,not_applicable,inaccessible_full_text,"The record lacks an identifiable article and accessible primary full text, so eligibility cannot be determined.",exclude,not_applicable,no_primary_empirical_evaluation,The record is a whole journal issue with no article title or extractable primary study.,,,,
AUD-50a6df459488,phrase_absent_random,,uncertain,not_applicable,inaccessible_full_text,"The record lacks an identifiable article and accessible primary full text, so eligibility cannot be determined.",exclude,not_applicable,no_primary_empirical_evaluation,The record is a whole journal issue with no article title or extractable primary study.,,,,
AUD-09ac7bfff329,phrase_absent_random,,uncertain,not_applicable,inaccessible_full_text,The issue-level record does not identify a primary study that can be screened against the rubric.,exclude,not_applicable,no_primary_empirical_evaluation,The record is a whole journal issue with no article title or extractable primary study.,,,,
AUD-1b17af3adfb3,phrase_absent_random,A model for human action potential dynamics in vivo,uncertain,empirical,inaccessible_full_text,"The official full text was inaccessible, leaving whether the mechanistic dynamics meet the learned or adapted criterion unresolved.",include,empirical,include_empirical,The data-adapted physiological dynamics model is directly evaluated on future electrical responses to controlled stimulation actions.,,,,
AUD-319773f66d63,phrase_absent_random,An analytical study of the dynamic behavior of Lotka-Volterra based models of COVID-19.,exclude,empirical,no_learned_dynamics,The study concerns epidemic dynamics but uses prescribed mathematical equations without learned or data-adapted transitions.,exclude,not_applicable,no_learned_dynamics,"Although medically themed and dynamic, the primary text does not establish learned or data-adapted transition dynamics.",,,,
AUD-b2d23387165b,medical_term_absent_random,Inside insight: decoding how insight emerges from competing world models,exclude,empirical,wrong_domain,"The learned dynamics concern general cognition and behavior without a medical, physiological, or health-intervention domain.",exclude,not_applicable,wrong_domain,The study addresses basic cognitive insight in mouse tasks and is outside the review's medical and health-intervention scope.,,,,
