candidate_id,title,field,reviewer_a,reviewer_b,adjudicated_value,adjudication_notes
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,primary_source_url,https://arxiv.org/html/2605.28111,https://arxiv.org/abs/2605.28111,,
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,publication_status,preprint,"preprint (arXiv v1, 27 May 2026)",,
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,domain,Single-cell developmental dynamics and genetic-perturbation prediction,single-cell transcriptomics; developmental dynamics and genetic perturbation prediction,,
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,dataset_or_cohort,"Pretraining: seven public mouse embryonic datasets (tome-mouse, GSE140802, GSE115943, E-MTAB-6967, GSE106340, GSE132188, GSE275562); downstream: Weinreb hematopoiesis, Veres islet differentiation, Norman Perturb-seq, and CellStream appendix datasets","Pretraining: seven public mouse embryonic datasets aggregated into ten leaf trajectories; downstream: Weinreb hematopoiesis, Veres islet differentiation, Norman Perturb-seq, and CellStream EMT/MOSTA analyses",,
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,sample_scale,"2,477,217 pretraining cells across ten leaf trajectories, 88 sampled timepoints, and developmental times from 0 to 19 days; downstream task sample counts are dataset-specific","2,477,217 pretraining cells across 135 files, ten leaf trajectories, and 88 sampled timepoints; downstream sample counts not reported in the inspected paper",,
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,institution_count,Multiple public datasets and laboratories; exact aggregate institution count NI,NA: public multi-study cell atlases; contributing institution count and geography were not enumerated,,
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,split_strategy,All downstream datasets are held out from pretraining; task-specific train/test splits are shared across methods; Weinreb fate evaluation is clonally held out,"Held-out downstream datasets were excluded from both pretraining stages; downstream comparisons used common task-specific train/test splits, but exact split proportions were not reported",,
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,observation_process,"Population snapshots of single-cell gene expression across developmental time; counts are harmonized, library-size normalized to 10,000, log1p transformed, and encoded in a shared latent space",Destructive scRNA-seq population snapshots across developmental time; unpaired source and target cells; normalized counts encoded into a shared scVI latent,,
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,missingness,"Gene vocabularies are restricted to 16,520 one-to-one mouse-human orthologs for cross-species transfer; no cell-level missingness analysis is reported","Gene space harmonized to 16,520 mouse-human one-to-one orthologs, with 35 aliases; normalize_total(10^4) plus log1p; cell-level missingness was not modeled as an observation process",,
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,censoring_or_competing_events,NA for population-transition benchmarks; lineage fate is evaluated on clones with sufficient released annotations,"NA: population-snapshot tasks without patient discharge, death, or dropout; no competing-event model",,
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,state,A 128-dimensional scVI latent representation of cell state and its population distribution,"128-dimensional scVI latent transcriptional state over a fixed ortholog vocabulary; source population, elapsed time, optional action token, and stochastic noise",,
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,observation_decoder,The frozen scVI decoder maps latent states toward gene-expression space; most headline transition metrics are computed in the shared latent space,"One-step future latent-cell population, optionally decoded to gene expression; downstream outputs also include clonal fate scores and GEARS perturbation predictions",,
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,action,"Optional action token in the Waddington-DiT transition; it is null during developmental pretraining, while downstream perturbation transfer inserts the learned representation into GEARS for CRISPRi single-gene knockout prediction",Optional intervention token in the architecture; genetic knockout identity is handled only through the downstream GEARS embedding-replacement experiment,,
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,action_provenance,Observed developmental time differences and labeled genetic perturbations from public single-cell datasets,"The temporal-pretraining action token is null; Norman CRISPR perturbations are observed experimental labels processed by GEARS, not by a demonstrated standalone Chreode action encoder",,
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,transition_mechanism,"A stochastic one-step Waddington-DiT residual transition conditioned on source state, elapsed time, and an optional action, with potential-gradient, antisymmetric-flow, and stochastic-spread components","Single-pass additive Waddington-DiT residual combining a potential gradient, antisymmetric flow, and learned stochastic spread with an elapsed-time gate",,
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,maximum_horizon,One learned transition over a requested elapsed-time delta; evaluated from Weinreb day 2 to days 4 or 6 and from Veres t0 to seven later targets,One model step for any supplied elapsed time; evaluated from Weinreb day 2 to days 4 and 6 and from Veres time 0 to seven target timepoints; no recursive rollout,,
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,rollout_regime,Single-pass population generation with 32 stochastic samples per source cell; no chained free-running multistep rollout,Single-pass one-step prediction; no teacher-forced or free-running recursive rollout,,
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,capability_claim,One-step future population prediction plus transferable cellular-dynamics representations for fate and perturbation tasks,"Claims an action-conditioned one-step cell transition and perturbation prediction; evidence directly supports passive temporal population forecasting and transferable dynamics representations, but not a standalone action-conditioned perturbation operator, counterfactual validity, planning, or rollout",,
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,baselines,"Matched scratch Waddington-DiT, PI-SDE, PRESCIENT, identity/source replay, linear time-delta, scDiffEq, moscot, WOT, static-DiT, official GEARS, and scVI replacement","Matched scratch W-DiT, PI-SDE, PRESCIENT, identity/source replay, linear time-delta, static-DiT, GEARS official, scVI replacement, scDiffEq, moscot, WOT, CellStream, and architectural/training ablations",,
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,state_fidelity_metrics,"Sinkhorn W2 in the standardized scVI latent, decoded gene-space analyses, MMD appendices, clonal-fate Pearson correlation, and DE20 gene-expression metrics",Sinkhorn W2 and MMD in shared latent space; decoded gene-space DE20 MSE and Pearson correlations; clonal-fate Pearson correlation; velocity consistency,,
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,transition_metrics,"Per-target Sinkhorn W2 for developmental transitions; masked fate Pearson correlation; DE20 MSE, correlation, and delta-correlation for perturbation transfer",Per-target Sinkhorn W2 at Weinreb days 4/6 and Veres times 1-7; endpoint and average W2; fate correlation; DE20 perturbation-prediction error,,
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,rollout_stability,"Long-delta behavior and architecture ablations are reported, but there is no recursive rollout-drift evaluation because inference is one step","No free-running stability test; one-step performance is reported at multiple elapsed times, and time-embedding/multi-delta ablations examine long-delta one-step behavior",,
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,action_sensitivity,Perturbation-transfer embedding replacements and action-conditioned architecture are evaluated; pretraining uses a null action and no dose-response or action-shuffle audit is reported,"No action removal, shuffle, timing, dose, or action-agnostic comparator for Chreode's action token; GEARS embedding arms isolate representation transfer rather than action sensitivity",,
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,calibration_and_uncertainty,"Stochastic samples are generated, but calibrated uncertainty, coverage, and predictive-interval evaluation are explicitly absent","K stochastic samples and a learned per-dimension noise scale are used, but the paper explicitly reports no calibrated uncertainty or credible-interval evaluation",,
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,external_validation,"Evaluation uses multiple held-out public datasets and cross-species ortholog transfer; no adult-human-tissue, wet-lab, or clinical validation","Held-out downstream datasets and cross-species human tasks are evaluated, but Weinreb, Veres, and CellStream dynamics results use downstream fine-tuning; therefore this is adapted transfer, not frozen external validation",,
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,decision_utility,"Biological transition, fate, and perturbation-prediction benchmarks only; no experimental intervention-selection study","No clinician, policy, screening, or control decision evaluation; downstream tasks are forecasting, representation, and fate/perturbation prediction",,
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,safety_evaluation,"Broader-impact discussion is provided, but there is no wet-lab hazard, off-target, or downstream intervention-safety evaluation","A qualitative dual-use discussion is provided, but no defined biological hazard, severity, failure stress test, constraint, override, or monitoring evaluation is reported",,
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,statistical_analysis,Mean and standard deviation over three downstream seeds; matched data representations and splits; no formal hypothesis-test family is reported,Mean and sample standard deviation over three downstream seeds for many results; pretraining uses one checkpoint; several tables report descriptive differences without formal hypothesis tests or confidence intervals,,
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,causal_language,Uses action-conditioned and perturbation language without identifying an individual causal treatment effect,"Uses intervention and do(a) notation and calls the model action-conditioned, while explicitly stating that the world-model analogy is predictive only and that planning or rollout is not claimed",,
