candidate_id,title,lineage_action,canonical_candidate_id,relation_type,lineage_rationale,source_anchor,confidence
MWM-XA9B007D895,A Blood Glucose Control Framework Based on Reinforcement Learning With Safety and Interpretability: In Silico Validation,retain,MWM-XA9B007D895,no_related_version_identified,"The IEEE Access article is the stable full publication. Exact-title, author, DOI, update, and corpus comparisons found no duplicate, successor, correction, withdrawal, or retraction record.",https://doi.org/10.1109/access.2021.3100007,high
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,retain,MWM-XD5F16C34AE,preprint_to_journal_successor,"The Human Brain Mapping article is the journal successor of the same-author, same-title bioRxiv preprint 10.1101/2025.07.21.665992. Only the journal article should represent the study; no duplicate candidate occurs in either corpus.",https://doi.org/10.1101/2025.07.21.665992;https://doi.org/10.1002/hbm.70600,high
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,retain,MWM-X10E1E2640B,no_related_version_identified,"The IJCNN proceedings article is a distinct cGAN progression study by the Roychowdhury authors. It does not share authors, identifier, or study lineage with the SimulAD family or another corpus record, and no update or unstable-publication signal was found.",https://doi.org/10.1109/ijcnn48605.2020.9206875,high
MWM-X36A3691F14,A data-driven Alzheimer's disease progression simulator for retrospective validation and prospective Phase III power design.,retain,MWM-X36A3691F14,companion_study_family,"This preprint explicitly applies and extends SimulAD to retrospective Phase III trial validation and prospective power design. It is a distinct evaluation extension of MWM-XC71FC75483 and MWM-XB6F8EC5868, not a duplicate publication of either paper.",https://doi.org/10.64898/2026.05.03.26352317;https://doi.org/10.1016/j.neurobiolaging.2021.12.015;https://doi.org/10.1093/braincomms/fcab091,high
MWM-XB41D731350,A digital twin for hospital antimicrobial resistance forecasting and constrained intervention optimisation,retain,MWM-XB41D731350,current_preprint_no_successor_identified,"The medRxiv/openRxiv DOI resolves to the current preprint. No same-title publication successor, duplicate corpus record, correction, withdrawal, or retraction was identified by the cutoff.",https://doi.org/10.64898/2026.05.15.26353296,medium
MWM-XF6449FE2D4,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,retain,MWM-XF6449FE2D4,current_preprint_no_successor_identified,"The medRxiv record is the current public version. The AKI topic overlaps with MWM-0215, but authors, model, title, and study design differ, so this is not a publication-family duplicate; no successor or unstable-publication signal was found.",https://doi.org/10.64898/2026.03.13.26346736;https://doi.org/10.53941/aim.2026.100002,medium
MWM-X6FB8E7370E,Autosomal Dominant Tubulointerstitial Kidney Disease Clinical Trial Simulator: Case Reports of Model-Informed Drug Development.,retain,MWM-X6FB8E7370E,companion_trial_simulator_series,"This is a disease-specific ADTKD case-study article in the model-informed clinical-trial-simulator series. It shares platform lineage with MWM-X872C154484 and MWM-X2E0B832A46 but has a different disease model, evidence set, and article, so all three remain separate.",https://doi.org/10.1002/psp4.70258;https://doi.org/10.1002/psp4.12753;https://doi.org/10.1002/psp4.13193,high
MWM-XD3411F7D18,"CardamomOT: a mechanistic optimal transport-based framework for gene regulatory network inference, trajectory reconstruction and generative modeling",retain,MWM-XD3411F7D18,current_preprint_no_successor_identified,"The bioRxiv DOI is the current primary report of CardamomOT. Searches found later applications of the framework but no renamed publication of this study, corpus duplicate, correction, withdrawal, or retraction.",https://doi.org/10.64898/2026.03.31.715390,medium
MWM-X1BBCF32528,"CellPace: A temporal diffusion-forcing framework for simulation, interpolation and forecasting of single-cell dynamics",retain,MWM-X1BBCF32528,current_preprint_no_successor_identified,"The bioRxiv DOI is the current CellPace report. It is methodologically and authorially distinct from CardamomOT, Chreode, and the virtual-cell roadmap; no successor or unstable-publication signal was identified.",https://doi.org/10.64898/2026.02.25.707938,medium
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,retain,MWM-X962473BB89,arxiv_version_current_no_successor_identified,arXiv 2605.28111 remains at v1 and no publisher successor or duplicate corpus record was found. The sampled decision to retain and recheck is therefore confirmed at the cutoff.,https://arxiv.org/abs/2605.28111v1,medium
MWM-XC0A20D0271,Clin-JEPA: A Multi-Phase Co-Training Framework for Joint-Embedding Predictive Pretraining on EHR Patient Trajectories,retain,MWM-XC0A20D0271,arxiv_version_supersession,"arXiv v4 dated 2026-07-04 is the current version and supersedes v1-v3. No separate publisher successor or duplicate corpus candidate was identified, so the candidate remains self-canonical but must be cited and extracted as v4.",https://arxiv.org/abs/2605.10840v4,high
MWM-XA5A2F4844E,Control of Magnetic Surgical Robots With Model-Based Simulators and Reinforcement Learning.,retain,MWM-XA5A2F4844E,no_related_version_identified,"The IEEE Transactions on Medical Robotics and Bionics article is the stable full report. No same-study preprint or conference record in the corpus, publication correction, withdrawal, or retraction was identified.",https://doi.org/10.1109/tmrb.2022.3214426,high
MWM-XD7F5DAFF27,DITTO: A Visual Digital Twin for Interventions and Temporal Treatment Outcomes in Head and Neck Cancer.,retain,MWM-XD7F5DAFF27,preprint_to_journal_successor,arXiv 2407.13107 and the IEEE TVCG DOI describe the same DITTO study. The journal article is the canonical publication and the corpus contains no second DITTO candidate.,https://arxiv.org/abs/2407.13107;https://doi.org/10.1109/tvcg.2024.3456160,high
MWM-XFA677C184B,DRIFT: Direct-Recursive Intervention-Conditioned Forecasting of ICU Physiological Trajectories,retain,MWM-XFA677C184B,arxiv_version_current_no_successor_identified,"arXiv 2607.25864 remains at v1. No renamed publisher version, duplicate corpus record, withdrawal, or correction was identified by the cutoff.",https://arxiv.org/abs/2607.25864v1,medium
MWM-X2BD39C3B8E,Deep Generative Model of Macrophage Immune Response for Hepato-intestinal Tumor Therapy Optimization.,retain,MWM-X2BD39C3B8E,no_related_version_identified,"The Cyborg and Bionic Systems DOI is the stable journal article. Exact-title and author checks found no prior version represented elsewhere in the corpus and no correction, withdrawal, or retraction signal.",https://doi.org/10.34133/cbsystems.0559,high
MWM-X872C154484,Development of a model-based clinical trial simulation platform to optimize the design of clinical trials for Duchenne muscular dystrophy.,retain,MWM-X872C154484,companion_trial_simulator_series,"This article develops the Duchenne muscular dystrophy simulator platform. It shares model-informed-development lineage with the later T1D and ADTKD case studies, but each paper has a distinct disease model, dataset, and validation target; it is not a duplicate.",https://doi.org/10.1002/psp4.12753;https://doi.org/10.1002/psp4.13193;https://doi.org/10.1002/psp4.70258,high
MWM-X1305C7353F,Digital twin brain simulator for real-time consciousness monitoring and virtual intervention using primate electrocorticogram data,retain,MWM-X1305C7353F,preprint_to_journal_successor,The bioRxiv preprint 10.1101/2024.05.17.594789 and npj Digital Medicine article are the same study with a lightly revised title. The journal DOI is canonical and no duplicate candidate is present.,https://doi.org/10.1101/2024.05.17.594789;https://doi.org/10.1038/s41746-025-01444-1,high
MWM-XF38CEA9063,Digital twin models for predicting venetoclax and azacitidine-induced neutropenia in patients with acute myeloid leukemia.,retain,MWM-XF38CEA9063,no_related_version_identified,"The npj Digital Medicine DOI is the stable full article. No same-title preprint, renamed publication, corpus duplicate, correction, withdrawal, or retraction was identified.",https://doi.org/10.1038/s41746-025-01978-4,high
MWM-X056BF65776,Generating whole-brain neural activity and behavior through unified latent dynamics,retain,MWM-X056BF65776,current_preprint_no_successor_identified,"The bioRxiv DOI is the current report. It is distinct in authors, data, and model from the primate ECoG digital-twin article and other neural-dynamics records; no successor or unstable-publication signal was found.",https://doi.org/10.64898/2026.06.05.730482,medium
MWM-X6A64D732FB,Koopman-based linearization of preparatory EEG dynamics in Parkinson's disease during galvanic vestibular stimulation.,retain,MWM-X6A64D732FB,no_related_version_identified,"The Frontiers in Human Neuroscience article is the stable report. No same-study preprint, duplicate corpus record, correction, withdrawal, or retraction was identified.",https://doi.org/10.3389/fnhum.2025.1566566,high
MWM-XEA4B3285B2,Learning Temporal Basis Vectors for Closed-Loop Neural Stimulation.,retain,MWM-XEA4B3285B2,conference_full_paper_no_successor_identified,"The seven-page EMBC proceedings paper is the current full conference publication, not merely an abstract. It has no matching corpus duplicate, journal successor, correction, withdrawal, or retraction signal.",https://doi.org/10.1109/embc58623.2025.11254522,high
MWM-XC890A9B151,Machine Learning for Mechanical Ventilation Control,retain,MWM-XC890A9B151,cross_repository_versions_and_extended_abstract,medRxiv 10.1101/2021.02.26.21252524 and arXiv 2102.06779 are the same full study; arXiv 2111.10434 is a later extended abstract with overlapping authors and results. The full study remains canonical and no second corpus candidate exists.,https://doi.org/10.1101/2021.02.26.21252524;https://arxiv.org/abs/2102.06779v4;https://arxiv.org/abs/2111.10434v3,high
MWM-X6C3AA8358E,Model-based reinforcement learning for ultrasound-driven autonomous microrobots.,retain,MWM-X6C3AA8358E,preprint_to_journal_successor,Crossref explicitly links bioRxiv 10.1101/2024.09.28.615576 as the preprint of the Nature Machine Intelligence article. The journal article is canonical; the sampled retain-journal-only decision is confirmed.,https://doi.org/10.1101/2024.09.28.615576;https://doi.org/10.1038/s42256-025-01054-2,high
MWM-X21155DF63C,Modelling neural coding in the auditory midbrain with high resolution and accuracy.,retain,MWM-X21155DF63C,preprint_to_journal_successor,"Crossref identifies bioRxiv 10.1101/2024.06.17.599294 as the preprint of the Nature Machine Intelligence article. The spelling change from Modeling to Modelling is a publication-version change, not a separate study.",https://doi.org/10.1101/2024.06.17.599294;https://doi.org/10.1038/s42256-025-01104-9,high
MWM-X772584A789,Multi-Objective Model-based Reinforcement Learning for Infectious Disease Control,retain,MWM-X772584A789,cross_repository_preprint_versions,"The Europe PMC preprint record corresponds to arXiv 2009.04607, whose current public version is v3. It is a distinct Wan-Zhang-Song multi-objective study, not a renamed version of the single-author malaria-control paper MWM-0369; no publisher successor was found.",https://arxiv.org/abs/2009.04607v3;https://europepmc.org/article/PPR/PPR597469;https://doi.org/10.24963/ijcai.2021/71,high
MWM-XBAD327876F,OMG-RL:Offline Model-based Guided Reward Learning for Heparin Treatment,retain,MWM-XBAD327876F,preprint_to_journal_successor,arXiv 2409.13299 v2 was published with the same title and authors in Biomedical Engineering Advances as DOI 10.1016/j.bea.2025.100198. Retain the candidate but use the journal article as its canonical publication version.,https://arxiv.org/abs/2409.13299v2;https://doi.org/10.1016/j.bea.2025.100198,high
MWM-XB062A5A9FB,Optimized glycemic control of type 2 diabetes with reinforcement learning: a proof-of-concept trial.,retain,MWM-XB062A5A9FB,conference_abstract_to_full_article,The 2022 ADA 63-OR conference abstract is a preliminary report from the same clinical-trial program; the 2023 Nature Medicine paper is the full article with complete methods and results. No duplicate full article appears in the corpus.,https://diabetesjournals.org/diabetes/article/71/Supplement_1/63-OR/145996/63-OR-Type-1-Diabetes-Clinical-Trial-Simulator-A;https://doi.org/10.1038/s41591-023-02552-9,high
MWM-X7FD0DBDE79,Predictive modeling of hemodynamics during viscerosensory neurostimulation via neural computation mechanism in the brainstem.,retain,MWM-X7FD0DBDE79,no_related_version_identified,"The npj Digital Medicine article is the stable full report. No same-study preprint, duplicate corpus record, correction, withdrawal, or retraction was identified.",https://doi.org/10.1038/s41746-025-01635-w,high
MWM-XC71FC75483,SimulAD: a dynamical model for personalized simulation and disease staging in Alzheimer's disease.,retain,MWM-XC71FC75483,companion_study_family,"This article validates the SimulAD disease-progression model and staging measure on an external cohort. It is related to the earlier intervention simulation MWM-XB6F8EC5868 and later Phase III extension MWM-X36A3691F14, but each has a distinct primary question and evidence set.",https://doi.org/10.1016/j.neurobiolaging.2021.12.015;https://doi.org/10.1093/braincomms/fcab091;https://doi.org/10.64898/2026.05.03.26352317,high
MWM-XB6F8EC5868,Simulating the outcome of amyloid treatments in Alzheimer's disease from imaging and clinical data.,retain,MWM-XB6F8EC5868,preprint_to_journal_successor_and_companion_study_family,bioRxiv 10.1101/2020.09.02.279521 is the preprint of the Brain Communications article. This is the SimulAD intervention-simulation study and remains separate from the external-cohort validation MWM-XC71FC75483 and Phase III extension MWM-X36A3691F14.,https://doi.org/10.1101/2020.09.02.279521;https://doi.org/10.1093/braincomms/fcab091;https://doi.org/10.1016/j.neurobiolaging.2021.12.015;https://doi.org/10.64898/2026.05.03.26352317,high
MWM-X9C071A2447,Structure-aware World Model for Probe Guidance via Large-scale Self-supervised Pre-train,retain,MWM-X9C071A2447,preprint_to_workshop_proceedings_and_companion_study_family,"arXiv 2406.19756 v2 corresponds to the ASMUS/MICCAI workshop chapter DOI 10.1007/978-3-031-73647-6_6. It shares the full author team with Cardiac Copilot MWM-0294, but uses a distinct self-supervised objective, substantially larger ten-view dataset, and separate evaluation, so it is a companion rather than a duplicate.",https://arxiv.org/abs/2406.19756v2;https://doi.org/10.1007/978-3-031-73647-6_6;https://doi.org/10.1007/978-3-031-72378-0_18,high
MWM-XCC1C1352D9,The Coupled Stochastic Dynamical System: A Generative Model for Simulating and Forecasting Youth Mental Health Trajectories,retain,MWM-XCC1C1352D9,current_preprint_no_successor_identified,"The medRxiv DOI is the current primary report. No same-title successor, duplicate corpus record, correction, withdrawal, or retraction was identified by the cutoff.",https://doi.org/10.64898/2026.07.26.26358943,medium
MWM-X009A6E0F91,Towards Causality-Aware Inferring: A Sequential Discriminative Approach for Medical Diagnosis.,retain,MWM-X009A6E0F91,preprint_to_journal_successor,arXiv 2003.06534 and IEEE TPAMI DOI 10.1109/TPAMI.2023.3292363 are the preprint and journal versions of the same study. The TPAMI article is canonical and no duplicate candidate occurs in the corpus.,https://arxiv.org/abs/2003.06534;https://doi.org/10.1109/tpami.2023.3292363,high
MWM-X5E3C456867,Towards Surgical World-Action Modeling: A Preliminary Joint Visual-Trajectory Forecasting for Surgical Motion Planning,retain,MWM-X5E3C456867,companion_study_family,"The arXiv v1 paper presents a joint visual-trajectory forecasting model. It shares authors and the surgical motion-planning program with benchmark paper MWM-0175, but the latter contributes the SurgWMBench benchmark and evaluation protocol; they are companion studies, not duplicate publications.",https://arxiv.org/abs/2608.20284v1;https://arxiv.org/abs/2608.08070,high
MWM-X2E0B832A46,Type 1 diabetes prevention clinical trial simulator: Case reports of model-informed drug development tool.,retain,MWM-X2E0B832A46,conference_abstract_to_full_article_and_companion_trial_simulator_series,"The 2022 ADA 63-OR report is a conference-abstract precursor to the full 2024 CPT article. The article also belongs to the simulator series with MWM-X872C154484 and MWM-X6FB8E7370E, but its T1D model and case studies are distinct and remain separately retained.",https://diabetesjournals.org/diabetes/article/71/Supplement_1/63-OR/145996/63-OR-Type-1-Diabetes-Clinical-Trial-Simulator-A;https://doi.org/10.1002/psp4.13193;https://doi.org/10.1002/psp4.12753;https://doi.org/10.1002/psp4.70258,high
MWM-X99717B78A9,"AI-powered in silico twins: redefining precision medicine through simulation, personalization, and predictive healthcare.",retain,MWM-X99717B78A9,no_related_version_identified,"The Saudi Pharmaceutical Journal review is a stable journal article with a distinct author and scope. No matching preprint, duplicate review in either corpus, correction, withdrawal, or retraction was identified.",https://doi.org/10.1007/s44446-025-00055-x,high
MWM-X531FFBB6AD,Data-driven discovery of digital twins in biomedical research.,retain,MWM-X531FFBB6AD,preprint_to_journal_successor,arXiv 2508.21484 and Briefings in Bioinformatics DOI 10.1093/bib/bbaf722 are the preprint and journal versions of the same review. The journal article is canonical and no duplicate candidate is present.,https://arxiv.org/abs/2508.21484;https://doi.org/10.1093/bib/bbaf722,high
MWM-X9655500E17,Medical World Model: From Passive Prediction to Active Simulation in Medicine,retain,MWM-X9655500E17,companion_review_family,"This 2026 review shares Qazi and Yaqub with MWM-0234 and develops a closely related capability-ladder agenda, but public metadata and abstracts show a different title, expanded author group, revised ladder, and broader causal-validation framing. Retain it as a companion review, but do not treat the two reviews as independent corroboration.",https://doi.org/10.20944/preprints202604.2168.v1;https://arxiv.org/abs/2511.16333,medium
MWM-XA5E34A98D0,Towards Effective Patient Simulators,retain,MWM-XA5E34A98D0,no_related_version_identified,"The Frontiers in Artificial Intelligence article is the stable publisher version. No duplicate or successor with the same title and authors, correction, withdrawal, or retraction was identified; the prior sampled retain decision is confirmed.",https://doi.org/10.3389/frai.2021.798659,high
MWM-X198B3126D0,"What Makes a Virtual Cell a World Model? Three Gaps, Three Experiments, and a Roadmap",retain,MWM-X198B3126D0,expanded_preprint_supersedes_workshop_poster,"The Research Square v1 preprint expands the AI4Mat NeurIPS 2026 workshop poster titled What Makes a Virtual Cell a World Model? Three Gaps, Three Axes, and a Roadmap. The poster has five core authors; the preprint has an expanded author list and adds the three motivation experiments, so retain the preprint and do not count the poster separately.",https://doi.org/10.21203/rs.3.rs-10404367/v1;https://openreview.net/forum?id=YyI469JbU3,high
