audit_id,route,title,abstract,authors,year,publication_date,venue,doi,arxiv_id,url,record_type,sources,query_labels,source_status,original_exclusion_reason,reviewer_e_decision,reviewer_e_corpus_type,reviewer_e_reason_code,reviewer_e_rationale,reviewer_f_decision,reviewer_f_corpus_type,reviewer_f_reason_code,reviewer_f_rationale,final_decision,final_corpus_type,final_reason_code,resolution_route,adjudication_rationale
AUD-33eaf98b7a7b,primary_phrase_filter_residual,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,"Altered affective state dynamics are a characteristic feature of depression and can persist beyond symptomatic remission. Individuals with remitted major depressive disorder (rMDD) often show heightened reactivity to negative mood states and reduced efficiency in recovering from them, consistent with changes in affective dynamics after remission. These patterns may reflect alterations in the brain's capacity to flexibly shift between neural states that support distinct affective modes. Characterizing the dynamical mechanisms that govern transitions into and out of experimentally induced affective states is therefore essential for understanding vulnerability to recurrence and informing mechanistic interventions. We developed a data-driven framework combining dynamical system reconstruction (DSR) with model-based control to infer optimal control policies for transitions between resting and sad mood brain states using functional magnetic resonance imaging (fMRI) data. Nonlinear DSR models trained on individuals with rMDD and healthy controls (HC) yielded region-specific, state-dependent control strategies. Small regions (e.g., sgACC, NAcc) showed higher controllability, requiring less energy for state transitions. Notably, rMDD participants required less control energy than HC to shift both into and, to a more spatially restricted extent, out of sad mood states. Despite reaching the resting state target with similar proximity, however, they remained closer to the sad mood distribution when returning to rest, reflecting a residual bias toward the sad mood distribution. Elevated coupling in rMDD, especially toward the DLPFC, was linked to lower control energy, suggesting that stronger network coupling facilitates transitions. These findings indicate rMDD dynamics that ease entry into sad mood states but impede full disengagement. More broadly, they demonstrate how closed-loop control applied to data-driven dynamical models can provide mechanistic insight into brain state transitions and inform future hypotheses about cognitive vulnerability or compensatory processes.","Emonds N, Herberg E, Gerchen MF, Pritsch M, Rocha J, Zamoscik V, Kirsch P, Herzog R, Koppe G.",2026,2026-08-01,,10.1002/hbm.70600,,https://europepmc.org/article/MED/42454569,,['europe_pmc'],['europe_pmc_core'],indexed,world-model phrase absent from title and abstract,include,empirical,potential_empirical,Learns a sequential policy or controller for brain and mental-health processes with action-dependent responses.,include,empirical,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control.",include,empirical,include_empirical,reviewer_consensus,A: Data-fitted neural dynamics and closed-loop state-transition evaluation satisfy all empirical criteria. B: Data-fitted nonlinear fmri state dynamics; directly evaluated through controlled mood-state transitions and energy rollouts.
AUD-2032d96347c9,primary_phrase_filter_residual,A Neurosymbolic Approach for Constructing Planning Domain Models from Clinical Narratives,"Surgical procedures such as laparoscopic appendectomy are complex, high-stakes processes, yet formalizing their workflows for decision support remains a significant challenge. Inducing probabilistic planning domain models in this setting is particularly difficult due to the lack of structured event data and the prevalence of implicit actions in clinical narratives, which neither empirical symbolic methods nor Large Language Models (LLMs) can adequately address on their own. We introduce NSPIN, a neurosymbolic framework for inducing probabilistic planning domain models from unstructured clinical narratives. Our method extracts and imputes structured event sequences from raw text using a pretrained LLM, then induces a PPDDL model and refines its preconditions with LLM-proposed revisions, guided by empirical validation. We evaluate the approach on 2,660 laparoscopic appendectomy notes written by 9 surgeons. NSPIN yields models that generalize to unseen notes, and expert clinical review indicates its induced knowledge is largely consistent with surgical practice.",Ranveer Singh; Saurabh Mathur; Michael Skinner; Prasad Tadepalli; Kristian Kersting; Sriraam Natarajan,2026,2026-08-21,arXiv (Cornell University),10.48550/arxiv.2608.21186,2608.21186,https://arxiv.org/abs/2608.21186,preprint,['openalex'],"['""world model"" clinical']",open-access,world-model phrase absent from title and abstract,include,empirical,potential_empirical,Learns a sequential policy or controller for procedural and surgical care with action-dependent responses.,exclude,empirical,no_learned_or_adapted_dynamics,No learned or data-adapted biomedical state evolution is described.,include,empirical,include_empirical,reviewer_consensus,A: The study learns and directly evaluates a probabilistic clinical workflow transition model. B: Probabilistic surgical action transitions; directly evaluated through held-out effects next actions and sampled workflows.
AUD-cfaad4cb121e,primary_phrase_filter_residual,Human–Machine Co-Adaptation for Robot-Assisted Rehabilitation via Dual-Agent Multiple Model Reinforcement Learning (DAMMRL),"This study introduces a novel approach to robot-assisted ankle rehabilitation by proposing a dual-agent multiple model reinforcement learning (DAMMRL) framework, leveraging multiple model adaptive control (MMAC) and co-adaptive control strategies. In robot-assisted rehabilitation, one of the key challenges is modeling human behavior due to the complexity of human cognition and physiological systems. Traditional single-model approaches often fail to capture the dynamics of human-machine interactions. Our research employs a multiple model strategy, using simple submodels to approximate complex human responses during rehabilitation tasks, tailored to varying levels of patient incapacity. The proposed system's versatility is demonstrated in real experiments and simulated environments. Feasibility and potential were evaluated with 13 healthy subjects and nine patients with lower-limb motor disorders, yielding promising results that affirm the anticipated benefits of the approach. This study not only introduces a new paradigm for robot-assisted ankle rehabilitation but also opens the way for future research in adaptive, patient-centered therapeutic interventions.",Yang An; Yaqi Li; Hongwei Wang; Rob Duffield; Steven W. Su,2026,2026-01-01,IEEE Transactions on Neural Networks and Learning Systems,10.1109/tnnls.2026.3685832,,https://doi.org/10.1109/tnnls.2026.3685832,article,['openalex'],"['""world model"" patient', '""world model"" physiology']",open-access,world-model phrase absent from title and abstract,include,empirical,potential_empirical,Learns a sequential policy or controller for rehabilitation and biomechanics with action-dependent responses.,include,empirical,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control.",include,empirical,include_empirical,reviewer_consensus,A: The framework adapts human-machine response models from observations and evaluates closed-loop rehabilitation control. B: Online-adapted human-machine response models; directly evaluated through real and simulated rehabilitation control.
AUD-8a8d58a5c704,primary_phrase_filter_residual,Learning Dynamic Representations and Policies from Multimodal Clinical Time-Series with Informative Missingness,"Multimodal clinical records contain structured measurements and clinical notes recorded over time, offering rich temporal information about the evolution of patient health. Yet these observations are sparse, and whether they are recorded depends on the patient's latent condition. Observation patterns also differ across modalities, as structured measurements and clinical notes arise under distinct recording processes. While prior work has developed methods that accommodate missingness in clinical time series, how to extract and use the information carried by the observation process itself remains underexplored. We therefore propose a patient representation learning framework for multimodal clinical time series that explicitly leverages informative missingness. The framework combines (1) a multimodal encoder that captures signals from structured and textual data together with their observation patterns, (2) a Bayesian filtering module that updates a latent patient state over time from observed multimodal signals, and (3) downstream modules for offline treatment policy learning and patient outcome prediction based on the learned patient state. We evaluate the framework on ICU sepsis cohorts from MIMIC-III, MIMIC-IV, and eICU. It improves both offline treatment policy learning and adverse outcome prediction, achieving FQE 0.679 versus 0.528 for clinician behavior and AUROC 0.886 for post-72-hour mortality prediction on MIMIC-III.",Zihan Liang; Ziwen Pan; Ruoxuan Xiong,2026,2026-01-01,arXiv (Cornell University),10.18653/v1/2026.findings-acl.1313,2604.21235,https://doi.org/10.18653/v1/2026.findings-acl.1313,conference-paper,['openalex'],"['""world model"" EHR', '""world model"" clinical', '""world model"" patient']",open-access,world-model phrase absent from title and abstract,include,empirical,potential_empirical,Learns a sequential policy or controller for patient-state modeling with action-dependent responses.,include,empirical,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control.",include,empirical,include_empirical,reviewer_consensus,A: Learned action-conditioned patient dynamics support and are tested through policy evaluation. B: Action-conditioned latent patient dynamics; directly evaluated through off-policy treatment evaluation and outcomes.
AUD-f207351174df,primary_phrase_filter_residual,MicroVerse: A Preliminary Exploration Toward a Micro-World Simulation,"Recent advances in video generation have opened new avenues for macroscopic simulation of complex dynamic systems, but their application to microscopic phenomena remains largely unexplored. Microscale simulation holds great promise for biomedical applications such as drug discovery, organ-on-chip systems, and disease mechanism studies, while also showing potential in education and interactive visualization. In this work, we introduce MicroWorldBench, a multi-level rubric-based benchmark for microscale simulation tasks. MicroWorldBench enables systematic, rubric-based evaluation through 459 unique expert-annotated criteria spanning multiple microscale simulation task (e.g., organ-level processes, cellular dynamics, and subcellular molecular interactions) and evaluation dimensions (e.g., scientific fidelity, visual quality, instruction following). MicroWorldBench reveals that current SOTA video generation models fail in microscale simulation, showing violations of physical laws, temporal inconsistency, and misalignment with expert criteria. To address these limitations, we construct MicroSim-10K, a high-quality, expert-verified simulation dataset. Leveraging this dataset, we train MicroVerse, a video generation model tailored for microscale simulation. MicroVerse can accurately reproduce complex microscale mechanism. Our work first introduce the concept of Micro-World Simulation and present a proof of concept, paving the way for applications in biology, education, and scientific visualization. Our work demonstrates the potential of educational microscale simulations of biological mechanisms. Our data and code are publicly available at https://github.com/FreedomIntelligence/MicroVerse",Rongsheng Wang; Minghao Wu; Hongru Zhou; Zhihan Yu; Zhenyang Cai; Junying Chen; Benyou Wang,2026,2026-02-28,arXiv (Cornell University),,2603.00585,http://arxiv.org/abs/2603.00585,preprint,['openalex'],"['""medical world model""']",open-access,world-model phrase absent from title and abstract,exclude,not_applicable,no_learned_or_adapted_dynamics,"Reports on cellular and biological systems without a learned, fitted, calibrated, or data-adapted dynamics model.",include,empirical,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control.",include,empirical,include_empirical,third_full_text_adjudication,"MicroVerse fine-tunes a video generator on curated organ-, cellular-, and subcellular-scale biomedical simulation trajectories. It directly evaluates generated temporal dynamics with distributional video fidelity, temporal-consistency measures, and expert scientific/visual criteria, so the learned model produces and tests evolving biomedical states rather than static images alone."
AUD-f860c86723ab,primary_phrase_filter_residual,"T-World Virtual Human Cardiomyocyte. I. Development, Validation, and Cell Arrhythmogenesis.","BACKGROUND: Cardiovascular disease is the leading global cause of morbidity and mortality. New technologies are needed to improve mechanistic understanding and inform therapeutic strategies. Human-centric cardiac simulations show great promise; however, existing cellular models can reproduce only a few arrhythmia-driving behaviors and show important discrepancies with experimental data. We aimed to develop a new model overcoming this lack of generality, which markedly limits the predictivity and translational utility of virtual cardiomyocytes. METHODS: We developed T-World, a novel virtual human cardiomyocyte, using data-driven differential equations to describe sex-specific excitation-contraction coupling, mechanical contraction, β-adrenergic signaling, and its effects on cellular targets. The model contains several key innovations, including a new approach to coupling L-type calcium channels and ryanodine receptors, with updated calcium-dependent-inactivation of the former and novel calcium-induced refractoriness and complete reparameterization of the latter. We also redeveloped the sodium-potassium pump and made major improvements to the sodium-calcium exchanger formulation. RESULTS: T-World shows broad agreement with experimental data on rate-dependent action potential (AP), calcium handling, and contraction properties. Extensively validated on independent data, T-World demonstrates strong predictive performance, for example, in drug-induced AP changes. The model reproduces the effects of sympathetic stimulation, including AP duration shortening and increased calcium-transient amplitude and contractility. Importantly, it recapitulates for the first time all key cellular mechanisms driving life-threatening arrhythmias (early and delayed afterdepolarizations, alternans, and steep S1-S2 restitution), including experimentally observed responses to interventions such as sympathetic activation, SERCA (sarco/endoplasmic reticulum Ca2+ ATPase) inhibition, and AP prolongation. Combined with the model’s ability to simulate physiological sex-specific differences in electrophysiology, this revealed increased proclivity of female cardiomyocytes to early afterdepolarizations and steep restitution of AP duration. CONCLUSIONS: T-World is a highly general and predictive open-source computer model of a human ventricular cardiomyocyte, suitable for multiscale research studies investigating determinants of arrhythmogenesis.","Tomek J, Holmes M, Bury T, Tomkova M, Jo H, Nagy N, Bertrand A, Bueno-Orovio A, Colman MA, Rodriguez B, Bers DM, Heijman J.",2026,2026-04-07,"White Rose Research Online (University of Leeds, The University of Sheffield, University of York)",10.1161/circresaha.125.328073,,https://europepmc.org/article/MED/41944014,article,"['europe_pmc', 'openalex']","['""world model"" physiology', 'europe_pmc_core']",indexed,world-model phrase absent from title and abstract,include,empirical,potential_empirical,"Learns or fits evolving cardiovascular physiology and care states for trajectory, simulation, or intervention analysis.",include,empirical,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control.",include,empirical,include_empirical,reviewer_consensus,A: A data-adapted cellular simulator is extensively validated under trajectories and interventions. B: Experiment-calibrated cardiomyocyte dynamics; directly evaluated through independent trajectories drugs and stimulation.
AUD-f3e048ff7f5e,primary_phrase_filter_residual,A Bayesian mixture model for Poisson network autoregression.,"Multivariate count time series arise in a wide range of applications, including the number of COVID-19 cases recorded each week in different counties of the Republic of Ireland. In this example, it is natural to view the counties as nodes in a network, with edges between counties reflecting proximity. One could then model disease spread on a network through a regression model. Often Gaussian errors are assumed for such a model, but for count data this assumption may not be natural. With this motivating example in mind, we develop a model with the following features. We assume that the time series occur on the nodes of a known underlying network where the edges dictate the form of a structural vector autoregression model. In contrast to using a full vector autoregressive model, the network assumption is a means of imposing sparsity. Moreover we aim for a model that is able to accommodate heterogeneous node dynamics, and to cluster nodes that exhibit similar behaviour. To address these aims, we propose a new Bayesian Poisson network autoregression mixture model that we call a PNARM model, which combines ideas from Poisson network autoregression models, grouped network autoregression models, and non-uniform co-clustering priors.","Hung E, Mantziou A, Reinert G.",2025,2025-07-17,,10.1007/s13278-025-01485-0,,https://europepmc.org/article/MED/40688699,,['europe_pmc'],['europe_pmc_core'],indexed,world-model phrase absent from title and abstract,exclude,not_applicable,wrong_domain,"Addresses a nonmedical topic, not a medical or biomedical state-dynamics system.",include,empirical,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control.",include,empirical,include_empirical,reviewer_consensus,A: The fitted autoregressive network directly evaluates next epidemiological states. B: Fitted poisson network autoregression; directly evaluated through simulation and disease-network prediction.
AUD-c77c5cd83736,primary_phrase_filter_residual,A Novel Model for Generating Patient Laboratory Test Orders from Admission: Transformer Model Approach,"There is a growing demand for medical pseudo-data that maintains statistical utility, enabling the analysis of a wide range of medical data without compromising patient privacy. Additionally, there is a growing need for effective sequence prediction in healthcare. The proposed model in this research, utilizes GPT-2, a Transformer model from natural language processing, to generate laboratory test order data for patients from admission to discharge while incorporating temporal processes. This research utilized patient data from Kochi Medical School Hospital, Japan, with specific inclusion criteria. The methodology involved converting patient profiles and order data into categorical formats and employing SentencePiece tokenization to create 8000 tokens for training the GPT-2 model. The model’s performance was evaluated across three patterns, predicting laboratory test orders at various times during hospitalization. It was compared to a gradient boosting decision tree (GBDT) model using F-scores as the evaluation metric. Results indicated that while the GBDT model performed better based solely on admission information, the GPT-2 model showed superior performance when using time-series information post-admission. Our research proposed a model that successfully considered temporal processes to generate laboratory test order data for patients from admission to discharge using GPT-2, a Transformer model developed in the field of natural language processing.",Yuki Hyohdoh; Kazukuni Yoshua Nomura; Keita Mitani; Yutaka Hatakeyama,2025,2025,Studies in Health Technology and Informatics,10.3233/shti250913,,https://doi.org/10.3233/shti250913,book-chapter,['crossref'],"['""patient world model""', '""world model"" medicine', '""world model"" patient']",registered,world-model phrase absent from title and abstract,exclude,not_applicable,no_learned_or_adapted_dynamics,"Applies data-driven methods to clinical records and healthcare operations without modeling evolving states, rollouts, or action response.",include,empirical,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control.",include,empirical,include_empirical,reviewer_consensus,A: The clinical-process sequence model directly evaluates future order-state generation. B: Clinical-order sequence dynamics; directly evaluated through next-order predictions across hospitalization.
AUD-47c956072226,primary_medical_filter_residual,GeneJepa: A Predictive World Model of the Transcriptome,"Abstract We introduce G ene J epa , a self-supervised foundation model that learns a predictive world model of single-cell transcriptomes. Based on the Joint-Embedding Predictive Architecture, G ene J epa predicts latent representations of masked gene sets from visible context, a shift away from reconstructing noisy expression values and toward world-model style inference over cellular state. To realize this at scale, a Perceiver encoder handles variable gene sets at fixed cost, and a tokenizer jointly represents gene identity and continuous expression using Fourier features. Trained on the Tahoe-100M atlas, G ene J epa learns general representations that transfer across tissues and datasets. On downstream tasks, including drug response and perturbation prediction, it surpasses strong baselines and enables test-time scaling by progressively enlarging the cross-attention over the gene set, trading a small read cost for higher accuracy at inference. G ene J epa moves toward foundation models that reason over gene–gene relations, enabling applications in annotation, prediction, and in-silico discovery.",Elon Litman; Tyler Myers; Vinayak Agarwal; Ekansh Mittal; Orion Li; Ashwin Gopinath; Timothy Kassis,2025,2025-10-15,bioRxiv (Cold Spring Harbor Laboratory),10.1101/2025.10.14.682378,,https://doi.org/10.1101/2025.10.14.682378,preprint,['openalex'],"['""world model"" medicine', '""world model"" treatment']",open-access,medical-domain term absent from title and abstract,exclude,not_applicable,no_learned_or_adapted_dynamics,"Applies data-driven methods to cellular and biological systems without modeling evolving states, rollouts, or action response.",include,empirical,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control.",include,empirical,include_empirical,third_full_text_adjudication,"GeneJepa is learned from large-scale single-cell transcriptomes and is operationally tested on perturbation dynamics: chemical, dose, and context features are used to predict post-treatment expression states, and in-silico knockouts produce latent state shifts compared with observed expression shifts. These are directly evaluated one-step biomedical intervention responses."
AUD-df92422224c9,primary_phrase_filter_residual,Integrating Process Mining and Machine Learning for Surgical Workflow Optimization: A Real-World Analysis Using the MOVER EHR Dataset,"The digitization of healthcare has enabled the application of advanced analytics, such as process mining and machine learning, to electronic health records (EHRs). This study aims to identify workflow inefficiencies, temporal bottlenecks, and risk factors for delayed recovery in surgical pathways using the open-access MOVER dataset. A multi-stage framework was implemented, including heuristic control-flow discovery, Petri net-based conformance checking, temporal performance analysis, unsupervised clustering, and Random Forest-based classification. All analyses were simulated on pre-discharge (“preliminary”) patient records to enhance real-time applicability. Control-flow models revealed deviations from expected pathways and issues with data quality. Conformance checking yielded perfect fitness (1.0) and moderate precision (0.46), indicating that the model generalizes despite clinical variability. Stratified performance analysis exposed duration differences across ASA scores and age groups. Clustering revealed latent patient subgroups with distinct perioperative timelines. The predictive model achieved 90.33% accuracy, though recall for delayed recovery cases was limited (24.23%), reflecting class imbalance challenges. Key features included procedural delays, ICU status, and ASA classification. This study highlights the translational potential of integrating process mining and predictive modeling to optimize perioperative workflows, stratify recovery risk, and plan resources.",Ufuk Celik; Adem Korkmaz; Ivaylo Stoyanov,2025,2025,Applied Sciences,10.3390/app152011014,,https://doi.org/10.3390/app152011014,journal-article,['crossref'],"['""world model"" EHR']",registered,world-model phrase absent from title and abstract,include,empirical,potential_empirical,Learns a sequential policy or controller for procedural and surgical care with action-dependent responses.,exclude,empirical,static_or_isolated_prediction,"The learned model does not generate biomedical trajectories, transitions, or action responses.",include,empirical,include_empirical,third_full_text_adjudication,"The study discovers a Petri-net surgical workflow model from timestamped MOVER perioperative EHR event logs. It evaluates the learned clinical-process transition structure with process-mining conformance fitness and precision and analyzes temporal pathway behavior; this is direct fidelity evaluation of a data-derived medical workflow dynamics model, independent of the separate delay classifier."
