audit_id,route,title,decision,corpus_type,reason_code,dynamics,evaluation,lineage,full_text_url,rationale,confidence
AUD-33eaf98b7a7b,primary_phrase_filter_residual,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,include,empirical,include_empirical,Nonlinear fMRI dynamics are reconstructed from observed resting and sad-mood brain states.,Control policies are tested for transitions between neural-state distributions and compared by energy and target proximity.,Primary study.,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13370802/fullTextXML,Data-fitted neural dynamics and closed-loop state-transition evaluation satisfy all empirical criteria.,high
AUD-7079600c723b,primary_medical_filter_residual,A frontal cortical world model shapes inference of causal relationships in hippocampus,exclude,empirical,no_learned_dynamics,The neural study tests an abstract causal schema encoded during a one-shot reasoning task.,No qualifying learned or data-adapted medical transition model is operationally evaluated.,Primary study.,https://www.researchsquare.com/article/rs-10131486/v1,"The reported world model is a cognitive representation, not a transition simulator learned or calibrated from biomedical observations.",high
AUD-af3f2d334073,primary_phrase_filter_residual,A Multimodal Foundation Model for Longitudinal Patient Representation and Scalable Insight Generation in Oncology,exclude,empirical,no_future_or_action_evaluation,A longitudinal oncology encoder produces patient embeddings from multimodal episodes.,"No qualifying state-trajectory, rollout, action-response, or simulator-fidelity evaluation is reported.",Primary study.,https://arxiv.org/pdf/2608.24688,"Evaluation is limited to prognosis, treatment-benefit ranking, and representation interpretation rather than generated patient-state evolution.",high
AUD-2032d96347c9,primary_phrase_filter_residual,A Neurosymbolic Approach for Constructing Planning Domain Models from Clinical Narratives,include,empirical,include_empirical,"Probabilistic surgical action preconditions and effects are induced from 2,660 operative narratives.",Held-out surgeons test next-action and post-action observation prediction; sampled procedures receive expert review.,Primary study.,https://arxiv.org/pdf/2608.21186,The study learns and directly evaluates a probabilistic clinical workflow transition model.,high
AUD-e13ca7993674,primary_phrase_filter_residual,Anatomical Prior-Driven Framework for Autonomous Robotic Cardiac Ultrasound Standard View Acquisition,exclude,empirical,no_learned_dynamics,Segmentation and a model-free RL policy guide ultrasound probe motion in a predefined environment.,No qualifying learned or data-adapted medical transition model is operationally evaluated.,Primary study.,https://arxiv.org/pdf/2603.21134,"The policy is learned, but probe and anatomy transition dynamics are not learned from observed biomedical trajectories.",high
AUD-84da8977f244,primary_phrase_filter_residual,Applications of Reinforcement Learning for Autonomous Surgical Robotics: A Systematic Review.,exclude,review,review_not_primary,"Reviews RL, imitation learning, VLA systems, simulators, and regulation in surgical robotics.","No primary dynamics experiment is reported, and learned medical transition simulators are not a central synthesis category.",Primary study.,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13511724/fullTextXML,This is a broad surgical-autonomy review; learned transition or rollout models are not the central evidence category.,high
AUD-6b30999a35dc,primary_phrase_filter_residual,Deep Reinforcement Learning for Surgical Robotics with State and Image Information: A Survey,exclude,review,review_not_primary,"Surveys deep RL methods, observations, and simulation platforms for surgical robots.","No primary dynamics experiment is reported, and learned medical transition simulators are not a central synthesis category.",Primary study.,https://www.researchsquare.com/article/rs-8621244/v1,"The survey centers policy learning and simulator use, not learned medical environment dynamics.",high
AUD-5dde3c545ed5,primary_phrase_filter_residual,Deep Reinforcement Learning of Dynamic Treatment Policies for Chronic Kidney Disease from Longitudinal Electronic Health Records,uncertain,uncertain,inaccessible_full_text,The title indicates offline RL treatment policies from longitudinal CKD records.,The accessible record is insufficient to verify learned transition dynamics and their operational evaluation.,Preprint record; full text not retrievable.,https://doi.org/10.2139/ssrn.7407198,"No abstract or stable full text was accessible, so model-based dynamics and their evaluation cannot be verified.",low
AUD-5b4c2424bdb2,primary_phrase_filter_residual,Dengue hospitalizations in Brazil: Forecasting with climatic and physicians' digital search data under real-world reporting delays.,exclude,empirical,no_future_or_action_evaluation,"Time-series models forecast weekly dengue hospitalizations from counts, climate, and search activity.","No qualifying state-trajectory, rollout, action-response, or simulator-fidelity evaluation is reported.",Primary study.,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13221015/fullTextXML,This is ordinary resource forecasting without an evaluated evolving disease-state or intervention-response simulator.,high
AUD-94598ea01630,primary_phrase_filter_residual,Developing a pan-cancer foundation model for digital patient representation and clinical prediction across real-world oncology data.,exclude,empirical,no_primary_empirical_evaluation,"A time-aware oncology transformer supports mortality, cancer-type, and biomarker-testing predictions.","The available primary record does not provide a full, separately extractable empirical dynamics evaluation.",Conference abstract only.,https://doi.org/10.1200/JCO.2026.44.16_suppl.e23012,"Only a conference abstract is available, and its evaluations are static downstream tasks rather than dynamics.",high
AUD-f1a37b57a6d1,primary_phrase_filter_residual,Development of a Biological Age Model for Rheumatoid Arthritis and Longitudinal Trajectories by Antirheumatic Treatment: A Real-World Observational Study,exclude,empirical,no_learned_dynamics,XGBoost estimates a rheumatoid-arthritis biological-age score; mixed models describe score trajectories.,No qualifying learned or data-adapted medical transition model is operationally evaluated.,Primary study.,https://doi.org/10.2139/ssrn.7344894,Longitudinal associations with treatment do not constitute a learned patient-state transition model.,high
AUD-b3bcf559b0b8,primary_medical_filter_residual,Dopamine ramps as a normative consequence of dual-process control,exclude,not_applicable,wrong_domain,A theoretical dual-process RL model explains dopamine ramps in artificial reward tasks.,Evaluation concerns a nonmedical task or behavior rather than medical or biomedical state dynamics.,Primary study.,https://elifesciences.org/reviewed-preprints/111458,"The modeled state is an experimental decision environment, not a substantive medical or biomedical system.",high
AUD-5a52431a4a41,primary_phrase_filter_residual,Echo-POSED: Geometric Self-Distillation for Echocardiography Guidance,exclude,empirical,no_learned_dynamics,A self-supervised pose representation recommends probe adjustments from current and target views.,No qualifying learned or data-adapted medical transition model is operationally evaluated.,Primary study.,https://arxiv.org/pdf/2606.02634,"Closed-loop guidance uses a proportional controller, but the ultrasound environment transition is not learned.",high
AUD-8edd0658e1bb,primary_phrase_filter_residual,Embodied Cross-Domain Intelligence in Biomedical Microrobots: A Review.,exclude,review,review_not_primary,"Reviews physical, biological, computational, and human intelligence in biomedical microrobots.","No primary dynamics experiment is reported, and learned medical transition simulators are not a central synthesis category.",Primary study.,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13172582/fullTextXML,Learned biomedical transition simulators are only one peripheral component of a broad microrobotics review.,high
AUD-f291d518f076,primary_phrase_filter_residual,Embodied Intelligence in Surgical Robotics: From Perception-Action Loops to Cognitive Collaboration,exclude,review,review_not_primary,"Reviews perception, cognition, action, safety, and control in embodied surgical robotics.","No primary dynamics experiment is reported, and learned medical transition simulators are not a central synthesis category.",Primary study.,https://doi.org/10.36227/techrxiv.176823151.11578168/v1,The synthesis is broad and does not centrally review learned action-conditioned tissue or patient dynamics.,high
AUD-35c94124d2c2,primary_phrase_filter_residual,Evaluating Generative Video AI for Standardized Psychiatric Patient Simulation With Graded Hygiene Deterioration,exclude,empirical,no_future_or_action_evaluation,A diffusion pipeline reanimates standardized-patient videos with altered hygiene appearance.,"No qualifying state-trajectory, rollout, action-response, or simulator-fidelity evaluation is reported.",Primary study.,https://www.medrxiv.org/content/10.64898/2026.06.22.26356153v1.full.pdf,"Evaluation measures video fidelity and artifacts, not patient-state evolution or intervention-conditioned dynamics.",high
AUD-43a8ecc5253b,primary_phrase_filter_residual,From Uncertainty to Clinical Risk: Severity-Aware Conformal Planning for Interactive Medical Diagnosis,exclude,empirical,no_learned_dynamics,MCTS plans diagnostic questions using calibrated diagnostic beliefs and clinical-risk scores.,No qualifying learned or data-adapted medical transition model is operationally evaluated.,Primary study.,https://arxiv.org/pdf/2608.27847,"The search evaluates dialogue choices, but no medical transition model is learned from observed patient dynamics.",high
AUD-cfaad4cb121e,primary_phrase_filter_residual,Human–Machine Co-Adaptation for Robot-Assisted Rehabilitation via Dual-Agent Multiple Model Reinforcement Learning (DAMMRL),include,empirical,include_empirical,"Pre-experimental and online data identify patient biofeedback submodels, while RL learns model switching for rehabilitation.",Simulation and real ankle-rehabilitation experiments assess co-adaptive behavior in healthy participants and patients.,Journal article with accessible author preprint.,https://arxiv.org/pdf/2407.21734,The framework adapts human-machine response models from observations and evaluates closed-loop rehabilitation control.,medium
AUD-8a8d58a5c704,primary_phrase_filter_residual,Learning Dynamic Representations and Policies from Multimodal Clinical Time-Series with Informative Missingness,include,empirical,include_empirical,A Bayesian filter learns latent patient states with treatment-conditioned transitions from multimodal ICU records.,"Offline treatment policies are evaluated by FQE and robustness analyses across MIMIC-III, MIMIC-IV, and eICU.",Primary study.,https://arxiv.org/pdf/2604.21235,Learned action-conditioned patient dynamics support and are tested through policy evaluation.,high
