candidate_id,title,decision,corpus_type,reason_code,rationale,full_text_needed
MWM-0001,207 This Is Me! an interview tool for disabled children for self awareness and collaborative decision making in family centred care,exclude,not_applicable,no_world_model_dynamics,"“207 This Is Me! an interview tool for disabled children for self awareness and collabor…” does not evaluate a learned temporal, transition, rollout, or action-conditioned medical dynamics model.",no
MWM-0002,[From digitalization to embodied intelligence: technological innovation and paradigm shift in clinical stomatology].,exclude,not_applicable,review_not_primary,“[From digitalization to embodied intelligence: technological innovation and paradigm sh…” reviews a broader topic in which medical world models are not the primary subject.,no
MWM-0003,A Microbiome-Conditioned Reinforcement Learning Architecture for Closed-Loop Glycemic Control,exclude,not_applicable,no_empirical_evaluation,“A Microbiome-Conditioned Reinforcement Learning Architecture for Closed-Loop Glycemic C…” is conceptual or proposed and reports no qualifying primary empirical evaluation.,no
MWM-0004,A radiographic world model for clinical reasoning and evidence generation,exclude,not_applicable,no_world_model_dynamics,"“A radiographic world model for clinical reasoning and evidence generation” does not evaluate a learned temporal, transition, rollout, or action-conditioned medical dynamics model.",no
MWM-0005,A Survey of World Model Benchmarks,exclude,not_applicable,wrong_domain,“A Survey of World Model Benchmarks” concerns a non-medical domain or uses world-model terminology outside medical AI.,no
MWM-0006,A survey of world models for physical AI with uncertainty representation and control,exclude,not_applicable,wrong_domain,“A survey of world models for physical AI with uncertainty representation and control” concerns a non-medical domain or uses world-model terminology outside medical AI.,no
MWM-0007,A systematic review of human status epilepticus in organophosphate poisoning: A real-world Stage 1 Plus model?,exclude,not_applicable,no_world_model_dynamics,"“A systematic review of human status epilepticus in organophosphate poisoning: A real-wo…” does not evaluate a learned temporal, transition, rollout, or action-conditioned medical dynamics model.",no
MWM-0008,A World Model of Radiologist Reading for Medical Image Representation Learning,include,empirical,include_empirical,The abstract describes empirical evaluation of learned medical or biomedical dynamics in “A World Model of Radiologist Reading for Medical Image Representation Learning”.,yes
MWM-0009,"A World Model of the Nuclear Fuel Cycle From Past Reconstruction to Future Assessment of Fuel Demand, Waste Treatment and Strategic Stability",exclude,not_applicable,wrong_domain,“A World Model of the Nuclear Fuel Cycle From Past Reconstruction to Future Assessment o…” concerns a non-medical domain or uses world-model terminology outside medical AI.,no
MWM-0010,Abstract No: 544 Prognostic Factors for Survival in Incident ESRD Patients on a Real-World Hybrid Hemodiafiltration Regimen: A Retrospective Cohort Study,exclude,not_applicable,static_prediction,"“Abstract No: 544 Prognostic Factors for Survival in Incident ESRD Patients on a Real-Wo…” evaluates a static classifier, predictor, representation, or dataset without qualifying rollout dynamics.",no
