candidate_id,title,field,reviewer_a,reviewer_b,reviewer_a_notes,reviewer_b_notes,reviewer_a_anchors,reviewer_b_anchors
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,dynamics_evidence,1,2,"The action-conditioned claim is supported by architecture and perturbation transfer, but developmental pretraining uses a null action and no action-removal, shuffle, dose, or causal test. Frozen external validation refers only to the zero-shot Weinreb fate analysis; the time-transition and GEARS tasks involve downstream training.","Highest claim is action-conditioned because the paper defines a nominal intervention-conditioned transition and perturbation task. However, the action token is null during temporal pretraining and the Norman result replaces a GEARS embedding rather than evaluating a standalone action-conditioned Chreode operator. Multiple elapsed-time targets are one-step queries, not free-running rollout. Cross-dataset results use fine-tuning, so external evidence is adapted rather than frozen. The do(a) notation triggers causal scrutiny, but no effect contrast, identification strategy, overlap analysis, or counterfactual validation is provided. Qualitative dual-use discussion supports safety=1 without a hazard test.","Secs. 3-5 and Tables 1-4; Sec. 7; Apps. A.4, E, and I",Abstract and pp. 2-7; Tables 1-4 pp. 8-9; Scope pp. 9-10; Appendices A-C pp. 12-16; ablations pp. 17-18; NeurIPS checklist pp. 19-25
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,action_evidence,1,0,"The action-conditioned claim is supported by architecture and perturbation transfer, but developmental pretraining uses a null action and no action-removal, shuffle, dose, or causal test. Frozen external validation refers only to the zero-shot Weinreb fate analysis; the time-transition and GEARS tasks involve downstream training.","Highest claim is action-conditioned because the paper defines a nominal intervention-conditioned transition and perturbation task. However, the action token is null during temporal pretraining and the Norman result replaces a GEARS embedding rather than evaluating a standalone action-conditioned Chreode operator. Multiple elapsed-time targets are one-step queries, not free-running rollout. Cross-dataset results use fine-tuning, so external evidence is adapted rather than frozen. The do(a) notation triggers causal scrutiny, but no effect contrast, identification strategy, overlap analysis, or counterfactual validation is provided. Qualitative dual-use discussion supports safety=1 without a hazard test.","Secs. 3-5 and Tables 1-4; Sec. 7; Apps. A.4, E, and I",Abstract and pp. 2-7; Tables 1-4 pp. 8-9; Scope pp. 9-10; Appendices A-C pp. 12-16; ablations pp. 17-18; NeurIPS checklist pp. 19-25
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,uncertainty_evidence,1,0,"The action-conditioned claim is supported by architecture and perturbation transfer, but developmental pretraining uses a null action and no action-removal, shuffle, dose, or causal test. Frozen external validation refers only to the zero-shot Weinreb fate analysis; the time-transition and GEARS tasks involve downstream training.","Highest claim is action-conditioned because the paper defines a nominal intervention-conditioned transition and perturbation task. However, the action token is null during temporal pretraining and the Norman result replaces a GEARS embedding rather than evaluating a standalone action-conditioned Chreode operator. Multiple elapsed-time targets are one-step queries, not free-running rollout. Cross-dataset results use fine-tuning, so external evidence is adapted rather than frozen. The do(a) notation triggers causal scrutiny, but no effect contrast, identification strategy, overlap analysis, or counterfactual validation is provided. Qualitative dual-use discussion supports safety=1 without a hazard test.","Secs. 3-5 and Tables 1-4; Sec. 7; Apps. A.4, E, and I",Abstract and pp. 2-7; Tables 1-4 pp. 8-9; Scope pp. 9-10; Appendices A-C pp. 12-16; ablations pp. 17-18; NeurIPS checklist pp. 19-25
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,causal_evidence,NA,0,"The action-conditioned claim is supported by architecture and perturbation transfer, but developmental pretraining uses a null action and no action-removal, shuffle, dose, or causal test. Frozen external validation refers only to the zero-shot Weinreb fate analysis; the time-transition and GEARS tasks involve downstream training.","Highest claim is action-conditioned because the paper defines a nominal intervention-conditioned transition and perturbation task. However, the action token is null during temporal pretraining and the Norman result replaces a GEARS embedding rather than evaluating a standalone action-conditioned Chreode operator. Multiple elapsed-time targets are one-step queries, not free-running rollout. Cross-dataset results use fine-tuning, so external evidence is adapted rather than frozen. The do(a) notation triggers causal scrutiny, but no effect contrast, identification strategy, overlap analysis, or counterfactual validation is provided. Qualitative dual-use discussion supports safety=1 without a hazard test.","Secs. 3-5 and Tables 1-4; Sec. 7; Apps. A.4, E, and I",Abstract and pp. 2-7; Tables 1-4 pp. 8-9; Scope pp. 9-10; Appendices A-C pp. 12-16; ablations pp. 17-18; NeurIPS checklist pp. 19-25
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,decision_evidence,1,0,"The action-conditioned claim is supported by architecture and perturbation transfer, but developmental pretraining uses a null action and no action-removal, shuffle, dose, or causal test. Frozen external validation refers only to the zero-shot Weinreb fate analysis; the time-transition and GEARS tasks involve downstream training.","Highest claim is action-conditioned because the paper defines a nominal intervention-conditioned transition and perturbation task. However, the action token is null during temporal pretraining and the Norman result replaces a GEARS embedding rather than evaluating a standalone action-conditioned Chreode operator. Multiple elapsed-time targets are one-step queries, not free-running rollout. Cross-dataset results use fine-tuning, so external evidence is adapted rather than frozen. The do(a) notation triggers causal scrutiny, but no effect contrast, identification strategy, overlap analysis, or counterfactual validation is provided. Qualitative dual-use discussion supports safety=1 without a hazard test.","Secs. 3-5 and Tables 1-4; Sec. 7; Apps. A.4, E, and I",Abstract and pp. 2-7; Tables 1-4 pp. 8-9; Scope pp. 9-10; Appendices A-C pp. 12-16; ablations pp. 17-18; NeurIPS checklist pp. 19-25
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,safety_evidence,0,1,"The action-conditioned claim is supported by architecture and perturbation transfer, but developmental pretraining uses a null action and no action-removal, shuffle, dose, or causal test. Frozen external validation refers only to the zero-shot Weinreb fate analysis; the time-transition and GEARS tasks involve downstream training.","Highest claim is action-conditioned because the paper defines a nominal intervention-conditioned transition and perturbation task. However, the action token is null during temporal pretraining and the Norman result replaces a GEARS embedding rather than evaluating a standalone action-conditioned Chreode operator. Multiple elapsed-time targets are one-step queries, not free-running rollout. Cross-dataset results use fine-tuning, so external evidence is adapted rather than frozen. The do(a) notation triggers causal scrutiny, but no effect contrast, identification strategy, overlap analysis, or counterfactual validation is provided. Qualitative dual-use discussion supports safety=1 without a hazard test.","Secs. 3-5 and Tables 1-4; Sec. 7; Apps. A.4, E, and I",Abstract and pp. 2-7; Tables 1-4 pp. 8-9; Scope pp. 9-10; Appendices A-C pp. 12-16; ablations pp. 17-18; NeurIPS checklist pp. 19-25
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,frozen_external_validation,yes,no,"The action-conditioned claim is supported by architecture and perturbation transfer, but developmental pretraining uses a null action and no action-removal, shuffle, dose, or causal test. Frozen external validation refers only to the zero-shot Weinreb fate analysis; the time-transition and GEARS tasks involve downstream training.","Highest claim is action-conditioned because the paper defines a nominal intervention-conditioned transition and perturbation task. However, the action token is null during temporal pretraining and the Norman result replaces a GEARS embedding rather than evaluating a standalone action-conditioned Chreode operator. Multiple elapsed-time targets are one-step queries, not free-running rollout. Cross-dataset results use fine-tuning, so external evidence is adapted rather than frozen. The do(a) notation triggers causal scrutiny, but no effect contrast, identification strategy, overlap analysis, or counterfactual validation is provided. Qualitative dual-use discussion supports safety=1 without a hazard test.","Secs. 3-5 and Tables 1-4; Sec. 7; Apps. A.4, E, and I",Abstract and pp. 2-7; Tables 1-4 pp. 8-9; Scope pp. 9-10; Appendices A-C pp. 12-16; ablations pp. 17-18; NeurIPS checklist pp. 19-25
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,explicit_causal_estimand,NA,no,"The action-conditioned claim is supported by architecture and perturbation transfer, but developmental pretraining uses a null action and no action-removal, shuffle, dose, or causal test. Frozen external validation refers only to the zero-shot Weinreb fate analysis; the time-transition and GEARS tasks involve downstream training.","Highest claim is action-conditioned because the paper defines a nominal intervention-conditioned transition and perturbation task. However, the action token is null during temporal pretraining and the Norman result replaces a GEARS embedding rather than evaluating a standalone action-conditioned Chreode operator. Multiple elapsed-time targets are one-step queries, not free-running rollout. Cross-dataset results use fine-tuning, so external evidence is adapted rather than frozen. The do(a) notation triggers causal scrutiny, but no effect contrast, identification strategy, overlap analysis, or counterfactual validation is provided. Qualitative dual-use discussion supports safety=1 without a hazard test.","Secs. 3-5 and Tables 1-4; Sec. 7; Apps. A.4, E, and I",Abstract and pp. 2-7; Tables 1-4 pp. 8-9; Scope pp. 9-10; Appendices A-C pp. 12-16; ablations pp. 17-18; NeurIPS checklist pp. 19-25
MWM-XC0A20D0271,Clin-JEPA: A Multi-Phase Co-Training Framework for Joint-Embedding Predictive Pretraining on EHR Patient Trajectories,action_evidence,1,0,"The model consumes observed intervention text and claims proposed-action rollout, but action influence is not isolated. Rollout evidence is strong for latent fidelity, although predictions are not decoded to clinical measurements and all experiments use MIMIC-IV.","The model genuinely consumes its own predicted latent states in a 48-hour autoregressive rollout, with horizon-resolved L1 drift and collapse diagnostics. Actions are encoded, but their contribution is never isolated by an action-agnostic comparator or perturbation. All evidence is from MIMIC-IV, and downstream utility is an offline risk-probe result rather than clinician or policy evaluation. The paper makes no counterfactual or treatment-effect claim, so causal fields are NA. Public code plus detailed data construction and hyperparameters support reproducibility=2 despite credentialed MIMIC access.",Secs. 3.1-3.2; Secs. 5.1-5.4 and Figs. 2-4; App. A; linked GitHub repository,Fig. 1 and Secs. 3-4 pp. 3-6; Fig. 2 and Sec. 5.2 pp. 6-7; Fig. 3 pp. 8-9; Fig. 4 and Sec. 5.4 p. 9; Appendices A-D pp. 13-18
MWM-X6C3AA8358E,Model-based reinforcement learning for ultrasound-driven autonomous microrobots.,state_evidence,2,1,"Closed-loop physical control and explicit collision, overshoot, loss-of-view recovery, and flow stress tests support decision and safety evidence at the artificial-platform stage. Dynamics fidelity is indirect because the world model is judged mainly through learning and control rather than held-out transition prediction.","Planning is supported because latent imagined trajectories train a sequential policy that executes real ultrasound commands in closed-loop image feedback. Direct state-transition fidelity and horizon-resolved imagined-rollout error are not evaluated, so state, dynamics, and rollout remain indirect/limited. Action settings and magnitudes are varied, but there is no action-agnostic comparator. Sim-to-real and unseen-channel results require continued adaptation, not frozen validation. Physical hazard evidence is unusually strong for this corpus: collision, overshoot, flow displacement, tracking loss, cavitation concern, constraints, shutdown, reset, and action-reversal rescue are tested or demonstrated. Public code, data, and checkpoints support reproducibility=2.",Figs. 2-6; Methods sections on RL and world-model learning; Discussion; Data and Code Availability,"Main article Figs. 1-6 and pp. 1076-1085; Methods pp. 1085-1088; Data and Code Availability p. 1088; Extended Data Figs. 1-4; Supplementary Notes S3, S5, S9-S11 and Figs. 11-16"
