audit_id,route,title,abstract,authors,year,publication_date,venue,doi,arxiv_id,url,record_type,sources,query_labels,source_status,original_exclusion_reason
AUD-c810874c17bd,primary_phrase_filter_residual,,,,2026,2026,World Medical & Health Policy,10.1002/wmh3.v18.3,,https://doi.org/10.1002/wmh3.v18.3,journal-issue,['crossref'],"['""medical world model""']",registered,world-model phrase absent from title and abstract
AUD-6738e0afdb8c,primary_phrase_filter_residual,,,,2026,2026,World Medical & Health Policy,10.1002/wmh3.v18.2,,https://doi.org/10.1002/wmh3.v18.2,journal-issue,['crossref'],"['""medical world model""']",registered,world-model phrase absent from title and abstract
AUD-e7eca9d8fae8,primary_phrase_filter_residual,,,,2026,2026,World Journal of Advanced Pharmaceutical and Medical Research,10.53346/wjapmr.2026.10.1,,https://doi.org/10.53346/wjapmr.2026.10.1,journal-issue,['crossref'],"['""medical world model""']",registered,world-model phrase absent from title and abstract
AUD-59ed50ae6682,primary_phrase_filter_residual,,,,2026,2026,World Journal of Advanced Pharmaceutical and Medical Research,10.53346/wjapmr.2026.10.2,,https://doi.org/10.53346/wjapmr.2026.10.2,journal-issue,['crossref'],"['""medical world model""']",registered,world-model phrase absent from title and abstract
AUD-fc3701caf9c0,primary_phrase_filter_residual,,,,2026,2026,"Journal of World Future Medicine, Health and Nursing",10.70177/health.v4i2,,https://doi.org/10.70177/health.v4i2,journal-issue,['crossref'],"['""world model"" medicine']",registered,world-model phrase absent from title and abstract
AUD-8fc2fe2b48fc,primary_phrase_filter_residual,,,,2026,2026,"Journal of World Future Medicine, Health and Nursing",10.70177/health.v4i1,,https://doi.org/10.70177/health.v4i1,journal-issue,['crossref'],"['""world model"" medicine']",registered,world-model phrase absent from title and abstract
AUD-e4cbc1c4ee48,primary_phrase_filter_residual,,,,2026,2026,World Journal of Nuclear Medicine,10.1055/s-016-63917,,https://doi.org/10.1055/s-016-63917,journal-issue,['crossref'],"['""world model"" medicine']",registered,world-model phrase absent from title and abstract
AUD-e6bd6bb29852,primary_phrase_filter_residual,,,,2026,2026,World Journal of Nuclear Medicine,10.1055/s-016-63476,,https://doi.org/10.1055/s-016-63476,journal-issue,['crossref'],"['""world model"" medicine']",registered,world-model phrase absent from title and abstract
AUD-f9a8492a8023,primary_phrase_filter_residual,,,,2026,2026,Echocardiography,10.1111/echo.v43.4,,https://doi.org/10.1111/echo.v43.4,journal-issue,['crossref'],"['""world model"" echocardiography']",registered,world-model phrase absent from title and abstract
AUD-b68c6171e278,primary_phrase_filter_residual,,,,2026,2026,Echocardiography,10.1111/echo.v43.8,,https://doi.org/10.1111/echo.v43.8,journal-issue,['crossref'],"['""world model"" echocardiography']",registered,world-model phrase absent from title and abstract
AUD-77921d39e7cf,primary_phrase_filter_residual,,,,2026,2026,Echocardiography,10.1111/echo.v43.1,,https://doi.org/10.1111/echo.v43.1,journal-issue,['crossref'],"['""world model"" echocardiography']",registered,world-model phrase absent from title and abstract
AUD-823052f2cc80,primary_phrase_filter_residual,,,,2026,2026,Echocardiography,10.1111/echo.v43.7,,https://doi.org/10.1111/echo.v43.7,journal-issue,['crossref'],"['""world model"" echocardiography']",registered,world-model phrase absent from title and abstract
AUD-ead286a34ab1,primary_phrase_filter_residual,,,,2026,2026,Echocardiography,10.1111/echo.v43.2,,https://doi.org/10.1111/echo.v43.2,journal-issue,['crossref'],"['""world model"" echocardiography']",registered,world-model phrase absent from title and abstract
AUD-94235e95dda7,primary_phrase_filter_residual,,,,2026,2026,Echocardiography,10.1111/echo.v43.3,,https://doi.org/10.1111/echo.v43.3,journal-issue,['crossref'],"['""world model"" echocardiography']",registered,world-model phrase absent from title and abstract
AUD-d61d9c8961f0,primary_phrase_filter_residual,,,,2026,2026,Echocardiography,10.1111/echo.v43.6,,https://doi.org/10.1111/echo.v43.6,journal-issue,['crossref'],"['""world model"" echocardiography']",registered,world-model phrase absent from title and abstract
AUD-47e2bc6c32c1,primary_phrase_filter_residual,,,,2026,2026,Echocardiography,10.1111/echo.v43.9,,https://doi.org/10.1111/echo.v43.9,journal-issue,['crossref'],"['""world model"" echocardiography']",registered,world-model phrase absent from title and abstract
AUD-30d7241e1648,primary_phrase_filter_residual,,,,2026,2026,Echocardiography,10.1111/echo.v43.5,,https://doi.org/10.1111/echo.v43.5,journal-issue,['crossref'],"['""world model"" echocardiography']",registered,world-model phrase absent from title and abstract
