audit_id,final_decision,final_corpus_type,final_reason_code,lead_rationale,full_text_anchor,confidence
AUD-2032d96347c9,exclude,not_applicable,outside_world_model_conceptual_boundary,"The learned PPDDL action effects support held-out workflow prediction, but the study neither executes the induced model as an iterative planner or controller nor frames it as a world model, twin, patient simulator, or reusable dynamic simulator.","Primary arXiv Sections 3-5 and Tables 1-3: induced preconditions, probabilistic effects, and next actions are evaluated by held-out prediction and expert review; no planning rollout or closed-loop use is evaluated.",high
AUD-8a8d58a5c704,exclude,not_applicable,outside_world_model_conceptual_boundary,"The action-conditioned latent dynamics are used to construct patient representations for model-free IQL on logged transitions, not as an internal environment for iterative model-based planning, and the authors do not frame the proposed system as a world model or simulator.","ACL 2026 Sections 3.1.2 and 3.2.1: the VAE supplies posterior states, while IQL learns from one-step offline tuples and policy value is assessed by FQE; no learned-model rollout is used.",high
AUD-f3e048ff7f5e,exclude,not_applicable,outside_world_model_conceptual_boundary,"This is conventional epidemiological network-autoregressive forecasting with posterior predictive calibration, without qualifying world-model, twin, simulator, planning, or closed-loop-control identity.","Version-of-record Sections 3 and 5: the fitted Poisson network autoregression predicts next-week county COVID-19 counts and is evaluated by leave-future-out forecasting and randomized-PIT calibration.",high
AUD-4cbb5268d051,exclude,not_applicable,outside_world_model_conceptual_boundary,"The VAR and transformer models perform ordinary short- and long-horizon patient-reported-outcome forecasting; they are not framed as reusable patient simulators and are not used for model-based planning or control.","Version-of-record Methods and Results: weekly radiotherapy outcome sequences are forecast with VAR, VAR-Inc, and TFT and scored by MAE and RMSE against observed trajectories.",high
AUD-69448c657186,exclude,not_applicable,outside_world_model_conceptual_boundary,"The review surveys single-cell perturbation-response prediction broadly rather than treating learned dynamic world models or reusable biomedical simulators as a central evidence category; much of the covered literature predicts post-perturbation endpoints from static observations.","Version-of-record Introduction and objectives O1-O4 organize models by perturbation prediction across omic modalities and discuss temporal response as one challenge, not as a core medical-world-model or dynamic-simulator review.",high
AUD-f0bd315b247d,exclude,not_applicable,outside_world_model_conceptual_boundary,"BrainLM is explicitly presented as a foundation model and analytic lens for fMRI dynamics, not as a world model or reusable simulator, and its operational dynamics test is ordinary fixed-horizon neural-state forecasting without planning or control.","ICLR 2024/bioRxiv Sections 1, 4.3, and 5: fine-tuning predicts the next 20 fMRI time points and evaluates forecast error on UKB and HCP; no iterative simulator, perturbation environment, planning, or closed-loop use is reported.",high
AUD-2f16c363ccd1,exclude,not_applicable,outside_world_model_conceptual_boundary,"The learned rate generator and Neural ODE constitute ordinary epidemiological forecasting, with no explicit qualifying simulator identity and no learned environment used for planning or closed-loop control.","Primary arXiv model and evaluation sections: state-dependent epidemic rates advance compartment states for held-out 20-day country and district forecasts against predictive baselines.",high
AUD-928cc400d0df,exclude,not_applicable,outside_world_model_conceptual_boundary,"This is conventional population PK and Bayesian therapeutic-drug-monitoring validation; the adapted concentration model is not framed as a twin or reusable patient simulator and is not used as an internal planning environment.","Version-of-record Methods and Results: published voriconazole nonlinear mixed-effects models undergo external concentration prediction, Bayesian forecasting, prediction-error analysis, and simulation-based diagnostics.",high
AUD-2b0ad1358cef,exclude,not_applicable,outside_world_model_conceptual_boundary,"The hybrid LSTM-SIRD system is an epidemiological forecasting model, not an explicitly framed world model or reusable biomedical simulator and not an environment for iterative planning or control.","Version-of-record model and performance sections: learned time-varying SIRD parameters generate COVID-19 forecasts that are compared with observed epidemic trajectories and forecasting baselines.",high
AUD-63175be8811e,exclude,not_applicable,outside_world_model_conceptual_boundary,"This is conventional population pharmacokinetic model development and validation; multistep concentration-profile simulation does not by itself establish world-model, twin, patient-simulator, planning, or control identity.","Version-of-record Methods and Results: NONMEM fits a two-compartment factor-VIII model with covariates and evaluates it through external prediction error and visual predictive checks.",high
AUD-eeb344a8dc5e,exclude,not_applicable,outside_world_model_conceptual_boundary,"The fitted symptom-course and morphine-response model is ordinary pharmacometric disease-progression analysis used for regimen simulation, without explicit world-model or patient-simulator framing and without iterative model-based planning or closed-loop control.","Version-of-record Methods and test-set Results: a dynamic mixed-effects model with lagged symptom scores and dose response simulates treatment duration and compares predicted with observed duration.",high
AUD-bb86781b390a,exclude,not_applicable,outside_world_model_conceptual_boundary,"The neural time-dependent SIR formulation is ordinary epidemiological trajectory modeling, with no qualifying explicit simulator identity and no use as a learned planning or closed-loop-control environment.","Version-of-record Methods and Results: five neural networks fit S, I, R, beta, and gamma under SIR constraints and validate reconstructed epidemic trajectories across four countries.",high
