candidate_id,title,field,reviewer_a,reviewer_b,reviewer_a_notes,reviewer_b_notes,reviewer_a_anchors,reviewer_b_anchors
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,rollout_evidence,0,1,"Visit-stage images and fractal trends are reported, but no held-out patient trajectory, demonstrated full cascade, calibration, baseline, or external test.","Recursive visit-conditioned generation is shown, but no patient split, matched future-image error, uncertainty, external validation, or clinical comparison is reported.",Primary PDF pp. 3-7; Fig. 3; Sec. V-A/V-B; Fig. 21; DOI 10.1109/IJCNN48605.2020.9206875,pp. 3-7; Fig. 3; Experiments V.A-V.B; Figs. 11-21
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,reproducibility_evidence,1,0,"Visit-stage images and fractal trends are reported, but no held-out patient trajectory, demonstrated full cascade, calibration, baseline, or external test.","Recursive visit-conditioned generation is shown, but no patient split, matched future-image error, uncertainty, external validation, or clinical comparison is reported.",Primary PDF pp. 3-7; Fig. 3; Sec. V-A/V-B; Fig. 21; DOI 10.1109/IJCNN48605.2020.9206875,pp. 3-7; Fig. 3; Experiments V.A-V.B; Figs. 11-21
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,free_running_rollout,unclear,yes,"Visit-stage images and fractal trends are reported, but no held-out patient trajectory, demonstrated full cascade, calibration, baseline, or external test.","Recursive visit-conditioned generation is shown, but no patient split, matched future-image error, uncertainty, external validation, or clinical comparison is reported.",Primary PDF pp. 3-7; Fig. 3; Sec. V-A/V-B; Fig. 21; DOI 10.1109/IJCNN48605.2020.9206875,pp. 3-7; Fig. 3; Experiments V.A-V.B; Figs. 11-21
MWM-XF6449FE2D4,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,uncertainty_evidence,0,1,"The withdrawal analysis is explicitly a sensitivity probe rather than a causal effect. External IUH evaluation is frozen, but forecasts are one-step and uncalibrated.","Strong next-window and external discrimination evidence; withdrawal is an altered-input forecast, not a causally identified effect. Main text is inconsistent about 12- versus 24-hour horizon.",Preprint pp. 16-24; Fig. 2; Fig. 4; Case-based intervention section; DOI 10.64898/2026.03.13.26346736,Figs. 2-5; Methods Phase 1/2 and external validation; Discussion counterfactual limitations
MWM-XF6449FE2D4,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,safety_evidence,0,1,"The withdrawal analysis is explicitly a sensitivity probe rather than a causal effect. External IUH evaluation is frozen, but forecasts are one-step and uncalibrated.","Strong next-window and external discrimination evidence; withdrawal is an altered-input forecast, not a causally identified effect. Main text is inconsistent about 12- versus 24-hour horizon.",Preprint pp. 16-24; Fig. 2; Fig. 4; Case-based intervention section; DOI 10.64898/2026.03.13.26346736,Figs. 2-5; Methods Phase 1/2 and external validation; Discussion counterfactual limitations
MWM-X1BBCF32528,"CellPace: A temporal diffusion-forcing framework for simulation, interpolation and forecasting of single-cell dynamics",decision_evidence,0,1,Strong stage-resolved interpolation and extrapolation with public code/data. Stochastic samples are not calibrated and cross-sectional cells cannot validate individual-cell paths.,"Leakage-controlled held-out-stage interpolation/extrapolation and free-running sliding windows are strong; cross-sectional cells, no frozen transfer, and no formal calibration limit interpretation.","Preprint Figs. 1-5; pp. 23-30 Methods; stage-holdout, metrics, and Software/Data Availability sections; DOI 10.64898/2026.02.25.707938",Fig. 1; Figs. 2-5; Methods temporal splits/generation/metrics; Software and Data Availability
MWM-X2BD39C3B8E,Deep Generative Model of Macrophage Immune Response for Hepato-intestinal Tumor Therapy Optimization.,dynamics_evidence,1,2,Public primary XML ends mid-Methods and publisher PDF was inaccessible. Codes after that boundary are conservative; the nonrandomized outcome comparison does not identify treatment effects.,"Planning and real observational decision use are reported, but allocation was nonrandomized and the paper disclaims causal identification. Public code/checkpoint claims lack a stable inspectable repository link.","Europe PMC PMCID PMC13505573: Introduction, cohort, completeness, deployment, and architecture sections; DOI 10.34133/cbsystems.0559",Figs. 1-4; Tables 3-4 and S11-S16; temporal/external holdouts; deployment and limitations sections
MWM-X2BD39C3B8E,Deep Generative Model of Macrophage Immune Response for Hepato-intestinal Tumor Therapy Optimization.,rollout_evidence,0,1,Public primary XML ends mid-Methods and publisher PDF was inaccessible. Codes after that boundary are conservative; the nonrandomized outcome comparison does not identify treatment effects.,"Planning and real observational decision use are reported, but allocation was nonrandomized and the paper disclaims causal identification. Public code/checkpoint claims lack a stable inspectable repository link.","Europe PMC PMCID PMC13505573: Introduction, cohort, completeness, deployment, and architecture sections; DOI 10.34133/cbsystems.0559",Figs. 1-4; Tables 3-4 and S11-S16; temporal/external holdouts; deployment and limitations sections
MWM-X2BD39C3B8E,Deep Generative Model of Macrophage Immune Response for Hepato-intestinal Tumor Therapy Optimization.,uncertainty_evidence,0,1,Public primary XML ends mid-Methods and publisher PDF was inaccessible. Codes after that boundary are conservative; the nonrandomized outcome comparison does not identify treatment effects.,"Planning and real observational decision use are reported, but allocation was nonrandomized and the paper disclaims causal identification. Public code/checkpoint claims lack a stable inspectable repository link.","Europe PMC PMCID PMC13505573: Introduction, cohort, completeness, deployment, and architecture sections; DOI 10.34133/cbsystems.0559",Figs. 1-4; Tables 3-4 and S11-S16; temporal/external holdouts; deployment and limitations sections
MWM-X2BD39C3B8E,Deep Generative Model of Macrophage Immune Response for Hepato-intestinal Tumor Therapy Optimization.,causal_evidence,0,1,Public primary XML ends mid-Methods and publisher PDF was inaccessible. Codes after that boundary are conservative; the nonrandomized outcome comparison does not identify treatment effects.,"Planning and real observational decision use are reported, but allocation was nonrandomized and the paper disclaims causal identification. Public code/checkpoint claims lack a stable inspectable repository link.","Europe PMC PMCID PMC13505573: Introduction, cohort, completeness, deployment, and architecture sections; DOI 10.34133/cbsystems.0559",Figs. 1-4; Tables 3-4 and S11-S16; temporal/external holdouts; deployment and limitations sections
