candidate_id,title,highest_capability_claim,state_evidence,dynamics_evidence,rollout_evidence,action_evidence,uncertainty_evidence,causal_evidence,external_evidence,decision_evidence,safety_evidence,reproducibility_evidence,free_running_rollout,horizon_resolved_results,formal_calibration,frozen_external_validation,action_agnostic_comparator,action_perturbation,explicit_causal_estimand,closed_loop_evaluation,safety_hazard_test,public_code,evidence_anchors,reviewer_notes,confidence
MWM-XA9B007D895,A Blood Glucose Control Framework Based on Reinforcement Learning With Safety and Interpretability: In Silico Validation,planning,2,1,1,1,0,NA,0,2,2,0,yes,no,no,no,no,no,NA,simulation,yes,no,"Methods Sec. III, Figs. 1–2, Algorithms 1–3; Experiments Sec. IV-A–C, Tables 1–2, Figs. 3–4; Appendix A.","Closed-loop simulator utility and safety are strong, but learned dynamics have only a fixed 30-minute error test; no calibration, action ablation, external validation, or public artifacts.",high
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,planning,2,2,2,2,0,NA,0,1,0,2,yes,yes,no,no,yes,yes,NA,simulation,no,yes,"Methods 'Data', 'Dynamical system reconstruction', and 'Control framework'; Results figures report power-spectrum Hellinger distance, functional-connectivity agreement, 80-step controlled trajectories, target proximity, control energy, and 11 region-restricted controls; Data Availability identifies humml-lab/fmri-control.","Planning is demonstrated only in the learned fMRI model. The controls are simulated and not clinical interventions. Test-segment loss is used to select among five initialized models, and there is no external validation, formal calibration, causal treatment claim, or safety test.",high
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,passive_forecasting,1,1,1,NA,0,NA,0,0,0,0,yes,yes,no,no,NA,NA,NA,no,no,no,pp. 3-7; Fig. 3; Experiments V.A-V.B; Figs. 11-21,"Recursive visit-conditioned generation is shown, but no patient split, matched future-image error, uncertainty, external validation, or clinical comparison is reported.",high
MWM-0008,A World Model of Radiologist Reading for Medical Image Representation Learning,passive_forecasting,2,1,0,NA,0,NA,1,1,0,1,no,no,no,no,NA,NA,NA,no,no,unclear,Abstract p.1; Sec. 3 and Fig. 1 pp.3-5; Tables 1-5 pp.5-9; Limitations p.10,"Direct scanpath and downstream-task evidence supports state coding, but training is teacher-forced and external probes require fitting on target datasets.",high
MWM-X36A3691F14,A data-driven Alzheimer's disease progression simulator for retrospective validation and prospective Phase III power design.,counterfactual,2,2,2,2,1,1,1,2,0,1,yes,yes,no,no,yes,yes,yes,simulation,no,yes,Abstract; Methods pp. 6–16 and Algorithm 1; Results/trial figures pp. 17–27; code/data statements.,"Six placebo/treatment profiles and power simulations support action evidence. External RCT comparison is adapted with trial-specific calibration, so it is not frozen; safety and full causal identification remain absent.",high
MWM-XB41D731350,A digital twin for hospital antimicrobial resistance forecasting and constrained intervention optimisation,planning,2,2,1,2,0,2,1,2,1,2,no,no,no,yes,yes,yes,yes,simulation,no,yes,"Preprint Methods define the synthetic 10-ward/200-patient/300-staff hospital, T=7/H=7 prediction, partial surveillance, five-policy branch, common deterministic noise, and constrained optimization; Results report surveillance and distribution-shift stress tests and policy ranking; equation defines ΔB7(a)=B7(baseline)-B7(a).","The causal/policy contrast is fully defined inside a known synthetic simulator, hence causal evidence is strong for that simulated data-generating process but does not establish real-hospital effects. The learned predictor is fixed-horizon, not shown consuming its own generated states recursively. Frozen validation is synthetic zero-shot shift.",high
MWM-XF6449FE2D4,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,counterfactual,2,2,0,1,1,0,2,1,1,1,no,no,no,yes,no,yes,no,offline,no,no,Figs. 2-5; Methods Phase 1/2 and external validation; Discussion counterfactual limitations,"Strong next-window and external discrimination evidence; withdrawal is an altered-input forecast, not a causally identified effect. Main text is inconsistent about 12- versus 24-hour horizon.",high
MWM-0011,Action-Conditioned World Model for Goal Plane Probe Guidance in Robotic Ultrasound,planning,2,2,1,2,1,NA,1,2,1,1,yes,yes,no,no,yes,yes,NA,real,no,no,Sec. II pp.2-4; Table I p.5; Fig. 4 and Tables II-IV pp.5-7; Discussion p.8,"Physical closed-loop guidance supports planning and decision evidence; zero/inverse-action controls support action evidence, but the world model itself is not recursively rolled out and force safety is not tested.",high
MWM-0012,Affective Music Recommendation: A Rollout-Based World Model for Offline Preference Optimization,planning,2,1,1,2,0,0,0,1,1,0,yes,no,no,no,yes,yes,no,offline,no,unclear,Abstract p.1; Sec. 3 and Fig. 1 pp.2-4; Tables 1-5 pp.5-8; safety scope pp.8,"Five-step simulator rollouts and action removal support rollout/action codes, but utility is evaluated inside the learned simulator and counterfactual wording lacks causal identification.",high
MWM-0013,Agentifying Patient Dynamics within LLMs through Interacting with Clinical World Model,planning,2,1,1,1,1,1,1,2,1,2,yes,no,no,yes,no,no,yes,offline,yes,yes,Secs.2-3 and Tables 1-2 pp.1-5; Sec.5 and Tables 3-4 pp.8-9; Apps.C-F and I-J pp.15-24,"Policy-value estimators justify partial causal and decision evidence, not identified individual counterfactuals; unsafe-dose rules and expert failure review are meaningful but lack severity/recovery testing.",high
MWM-0018,Arti-JEPA: Adapting Video World Model to Real-Time MRI of the Vocal Tract for Speech-Production Analysis,passive_forecasting,2,1,0,NA,0,NA,1,1,0,1,no,no,no,unclear,NA,NA,NA,no,no,unclear,Abstract pp.1-2; Secs.3-4 pp.3-9; Tables 1-9; clinical evaluations pp.10-15; Limitations p.16,"Masked latent prediction and frozen probes support narrow dynamics evidence, not a free-running clinical trajectory model; external cohorts are small and target fitting is incompletely clear.",high
MWM-X6FB8E7370E,Autosomal Dominant Tubulointerstitial Kidney Disease Clinical Trial Simulator: Case Reports of Model-Informed Drug Development.,counterfactual,2,1,1,2,1,0,0,2,0,1,yes,yes,no,no,yes,yes,yes,simulation,no,yes,Model/Methods and Fig. 1; case studies and Figs./Tables 2–5; Discussion and Data S1.,"Placebo plus parameter-effect scenarios support action testing and trial utility, but treatment effects are imposed rather than empirically validated; external, causal, safety, and calibration evidence are absent.",high
MWM-0032,BLINK: Behavioral Latent Modeling of NK Cell Cytotoxicity,action_conditioned,2,2,1,2,1,NA,0,1,0,0,yes,no,no,no,yes,yes,NA,no,no,no,Methods pp.3-5; Dataset p.6; Table 1 p.7; Fig. 3 p.8,"A 30-step free latent forecast is present but is not reported across multiple horizons; the no-action ablation supports action evidence, while observed cell motion is not a causal intervention.",high
