comparison_review_citation_key,comparison_review_title,source_basis,source_pages,our_disposition,our_candidate_id,our_matched_title,our_reason_code,our_rationale
ref084,Cardiac Copilot: Automatic Probe Guidance for Echocardiography with World Model,representative-model table,20,included,MWM-0294,Cardiac Copilot: Automatic Probe Guidance for Echocardiography with World Model,,
ref047,EHRWorld: A Patient-Centric Medical World Model for Long-Horizon Clinical Trajectories,representative-model table,20,included,MWM-0074,EHRWorld: A Patient-Centric Medical World Model for Long-Horizon Clinical Trajectories,,
ref046,EchoJEPA: A Latent Predictive Foundation Model for Echocardiography,representative-model table,20,exclude,MWM-S001,EchoJEPA: A Latent Predictive Foundation Model for Echocardiography,static_prediction,"EchoJEPA evaluates predictive representation transfer and robustness but does not report future-state rollout, action-response simulation, or planning."
ref050,Brain-WM: Brain Glioblastoma World Model,representative-model table,20,included,MWM-0034,Brain-WM: Brain Glioblastoma World Model,,
ref070,CLARITY: Medical World Model for Guiding Treatment Decisions by Modeling Context-Aware Disease Trajectories in Latent Space,representative-model table,20,included,MWM-0239,CLARITY: Medical World Model for Guiding Treatment Decisions by Modeling Context-Aware Disease Trajectories in Latent Space,,
ref040,Xray2Xray: World Model from Chest X-rays with Volumetric Context,representative-model table,20,included,MWM-S002,Xray2Xray: World Model from Chest X-rays with Volumetric Context,,
ref074,EchoWorld: Learning Motion-Aware World Models for Echocardiography Probe Guidance,representative-model table,20,included,MWM-0242,EchoWorld: Learning Motion-Aware World Models for Echocardiography Probe Guidance,,
ref039,Medical World Model,representative-model table,20,included,MWM-0263,Medical World Model,,
ref051,SAW: Toward a Surgical Action World Model via Controllable and Scalable Video Generation,representative-model table,20,included,MWM-0157,SAW: Toward a Surgical Action World Model via Controllable and Scalable Video Generation,,
ref054,ChronoMedicalWorld: A Medical World Model for Learning Patient Trajectories from Longitudinal Care Data,representative-model table,20,included,MWM-0046,ChronoMedicalWorld: A Medical World Model for Learning Patient Trajectories from Longitudinal Care Data,,
ref020,Treatment-Aware Diffusion Probabilistic Model for Longitudinal MRI Generation and Diffuse Glioma Growth Prediction,treatment-response empirical synthesis,24-25,included,MWM-S003,Treatment-aware Diffusion Probabilistic Model for Longitudinal MRI Generation and Diffuse Glioma Growth Prediction,,
ref036,Surgical Vision World Model,action-semantics empirical synthesis,25,included,MWM-S005,Surgical Vision World Model,,
ref048,Policy4OOD: A Knowledge-Guided World Model for Policy Intervention Simulation against the Opioid Overdose Crisis,planning empirical synthesis,19,included,MWM-0149,Policy4OOD: A Knowledge-Guided World Model for Policy Intervention Simulation against the Opioid Overdose Crisis,,
ref049,World Model Enhanced Offline Reinforcement Learning for Sequential Intervention Optimization in Acute Kidney Injury,counterfactual/planning empirical synthesis,"18, 36",included,MWM-0215,World Model Enhanced Offline Reinforcement Learning for Sequential Intervention Optimization in Acute Kidney Injury,,
