audit_id,final_decision,final_corpus_type,final_reason_code,adjudication_rationale,full_text_anchor,confidence
AUD-23bda78572c9,exclude,not_applicable,no_future_or_action_evaluation,"The GRU updates a latent position only when each new EHR observation arrives, and the paper states that the oscillator trajectory is not patient-state evolution. Evaluation is online sepsis discrimination and observed SOFA tracking, while temporal rollout is listed as future work.","Frontiers full text: Sections 2.3, 3.3, 4.1, and Discussion future-work list",high
AUD-906a4df1eae9,exclude,not_applicable,wrong_domain,"The transition states describe drug-development, regulatory, launch, adoption, and commercial timelines. Patient survival is a derived downstream estimate, not the state of a learned clinical or biomedical dynamics model.","Primary article abstract: Objective, Methods, and Results; DOI 10.1080/03007995.2023.2174330",high
AUD-a2362b6cabf5,exclude,not_applicable,no_learned_dynamics,"The available primary text identifies a mechanistic population-level fetal physiology simulator run under prescribed stress and acquisition controls, but does not establish learned or data-fitted transition dynamics. A fetal-sheep-derived configuration alone does not satisfy the frozen adaptation criterion.","bioRxiv primary abstract and Key Points; DOI 10.64898/2026.07.14.738362",medium
AUD-2cc6cfea5438,include,empirical,include_empirical,"Although most infection rules are mechanistic or literature-derived, the free transmission parameter is calibrated to observed epidemic growth. The adapted simulator is then rolled forward under lockdown and contact-removal actions, satisfying dynamics adaptation and intervention-response evaluation.","TU Berlin primary PDF: Sections 2, 3.6 Calibration, and intervention results in Sections 4-5",high
AUD-5b8afa4dfc3d,include,review,include_review,"The article explicitly contributes a systematic review of interactive healthcare patient simulators, defines action-conditioned future-state simulation, and compares simulator validity, bias, transparency, and benchmark difficulty. Its additional simulator proposals do not negate the primary field-synthesis contribution.","Frontiers full text: Introduction contributions, Section 1.1 Scope of This Survey, Sections 1.2-1.4, Tables 2-3, and Conclusion",high
AUD-36855051ce31,exclude,not_applicable,review_not_primary,"This review concerns the woodchuck as an experimental animal model for HBV-associated liver cancer and preclinical treatment testing. It does not review learned medical world models, computational transition models, rollout evidence, or planning systems.","PMC8204361: Abstract and Introduction statement of review purpose",high
AUD-6121d25433ab,exclude,not_applicable,no_learned_dynamics,"The study stratifies linked EHR and claims cohorts by an EHR-continuity score and compares incidence and treatment-effect estimates. It does not learn or adapt patient-state transitions, generate future trajectories, or evaluate an action-conditioned simulator.","PMC12746745: Abstract, Materials and Methods, and Conclusion",high
AUD-a7cc87cf05d8,exclude,not_applicable,review_not_primary,"The chapter addresses assessment and fit of conventional healthcare quality and hierarchical statistical models. Its primary topic is statistical model evaluation rather than medical world-model dynamics, simulation, or planning.","Cambridge Healthcare Quality Measurement book description and chapter DOI 10.1017/9781009648196.009",high
AUD-2d381c43d614,exclude,not_applicable,review_not_primary,"The chapter focuses on patient-data privacy, protected health information, and ethics in real-world-evidence research. It is not a review of medical or biomedical world models and contains no eligible dynamics synthesis.","Taylor & Francis book record and Chapter 3 metadata; DOI 10.1201/9781003017523-3",high
AUD-041c95e05141,exclude,not_applicable,no_primary_empirical_evaluation,"The DOI is an issue-level record with no article title, authors, abstract, methods, or results. Blank issue metadata cannot identify an eligible primary study or review.","Crossref DOI record 10.1055/s-012-53188: type journal-issue, title absent",high
AUD-50a6df459488,exclude,not_applicable,no_primary_empirical_evaluation,"The DOI is an issue-level record with no article title, authors, abstract, methods, or results. Blank issue metadata cannot identify an eligible primary study or review.","Crossref DOI record 10.1055/s-012-53171: type journal-issue, title absent",high
AUD-09ac7bfff329,exclude,not_applicable,no_primary_empirical_evaluation,"The DOI identifies an Echocardiography journal issue rather than an article and supplies no title, authors, abstract, methods, or results. Blank issue metadata cannot be included.","Crossref DOI record 10.1111/echo.v41.5: type journal-issue, title absent",high
AUD-1b17af3adfb3,include,empirical,include_empirical,"The ionic transition model is explicitly developed from in-vivo human action-potential recordings, incorporates voltage-clamp evidence and observed APD gradients, and is evaluated by reproducing future electrical responses to sequential stimulation, conduction block, reentry, and spiral-wave trajectories.","PubMed primary abstract for PMID 31951472; DOI 10.1152/ajpheart.00557.2019",medium
AUD-319773f66d63,exclude,not_applicable,no_learned_dynamics,"The paper analyzes hand-specified integer- and fractional-order Lotka-Volterra equations. Stability proofs and numerical trajectories vary prescribed fractional parameters but do not learn or adapt transition dynamics from medical observations.","PMC8205281: Abstract and Lotka-Volterra based models of COVID-19 section",high
AUD-b2d23387165b,exclude,not_applicable,wrong_domain,"The learned latent transitions describe insight-like switching between task beliefs in mouse behavioral experiments. The modeled state and evaluation concern basic cognition, not disease, physiology, clinical care, biomedical intervention, or healthcare simulation.","bioRxiv/Europe PMC primary abstract; DOI 10.64898/2026.05.21.726889",high
