candidate_id,title,domain_group,highest_capability_claim,missingness_reporting,censoring_reporting,formal_calibration,frozen_external_validation,explicit_causal_estimand,action_perturbation,closed_loop_evaluation,safety_hazard_test,public_code,reproducibility_evidence,appraisal_strengths,appraisal_limitations,evidence_anchors
MWM-XA9B007D895,A Blood Glucose Control Framework Based on Reinforcement Learning With Safety and Interpretability: In Silico Validation,longitudinal_physiology_decision,planning,not_applicable,not_applicable,no,no,NA,no,simulation,yes,no,0,"Clear action-conditioned transition model, long closed-loop simulator evaluation, clinically interpretable glucose outcomes, and explicit safety overrides","Simulation-only evidence in the same virtual populations; no independent validation, calibrated uncertainty, or horizon-resolved rollout-fidelity analysis","Official IEEE Access article, DOI 10.1109/ACCESS.2021.3100007: Methods Sec. III and Algorithms 1-3; Experiments Sec. IV, Tables 1-4, Figs. 3-7; Appendices A-B."
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,imaging_biological,planning,described,not_applicable,no,no,no,yes,simulation,no,yes,2,"Individual models, held-out sequence reconstruction, free controlled trajectories, explicit zero-control/region perturbations, horizon sensitivity, and public code/preprocessed data.","Small single-site cohort; the final test segment participates in model selection; abstract latent controls lack a physiological dose mapping, empirical intervention validation, formal calibration, external validation, and hazard testing.","Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository."
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,imaging_biological,passive_forecasting,described,not_identified,no,no,NA,NA,no,no,no,1,"Longitudinal ADNI visit buckets, explicit future-stage image generation, cohort counts, and an interpretable cortical-ribbon atrophy proxy","No patient-level split, matched-future trajectory error, demonstrated full recursive cascade, competitive baseline, calibration, external validation, or utility test","Primary IJCNN PDF Sec. IV-A/IV-E and V-A/V-B; Figs. 3, 11-21; Conclusion; DOI 10.1109/IJCNN48605.2020.9206875"
MWM-0008,A World Model of Radiologist Reading for Medical Image Representation Learning,imaging_biological,passive_forecasting,not_applicable,not_applicable,no,no,NA,NA,no,no,unclear,1,Controlled objective and ordering ablations; several external image benchmarks; explicit visual-search metrics,"One gaze corpus and chest-radiography setting; no free-running dynamics, calibration, or statistical uncertainty; some baseline backbones differ",Abstract p.1; Sec. 3 and Fig. 1 pp.3-5; Sec. 4 and Tables 1-5 pp.5-9; Limitations p.10; Appendices A-B pp.13-15
MWM-X36A3691F14,A data-driven Alzheimer's disease progression simulator for retrospective validation and prospective Phase III power design.,longitudinal_physiology_decision,counterfactual,described,described,no,no,yes,yes,simulation,no,yes,1,"Multiple trial targets, multimodal latent dynamics, horizon-specific outcomes, repeated power simulations, and inspectable public code","Preprint; trial-specific adaptation, no full causal identification or support analysis, no safety modeling, and incomplete release of trial code/weights.","medRxiv v1 full text, DOI 10.64898/2026.05.03.26352317: Results, Tables 1-2 and Figs. 1-5; Methods sections on ADNI cohort, latent ODE dynamics, intervention calibration, virtual trials, and power."
MWM-XB41D731350,A digital twin for hospital antimicrobial resistance forecasting and constrained intervention optimisation,longitudinal_physiology_decision,planning,described,described,no,no,yes,yes,simulation,yes,yes,2,"Matched branches, explicit action library, action baselines, stress tests and constrained optimization","Preprint-only and entirely synthetic evidence; the learned forecaster is fixed-horizon rather than recursively free-running; no real-hospital validation, formal calibration, or clinical deployment hazard evaluation.","medRxiv version 1 full text: Methods on the synthetic hospital, T=7/H=7 temporal graph task, partial observation, common-state/common-noise intervention branching, and constrained MILP; Results on surveillance and distribution shifts and within-state policy ranking; Code Availability links the predictive and causal repositories."
MWM-XF6449FE2D4,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,longitudinal_physiology_decision,counterfactual,described,described,no,yes,no,yes,offline,no,no,1,"Stay-level leakage control, explicit missingness rules, organ-structured dynamics, frozen cross-system evaluation, physiological fidelity, and a bounded altered-input sensitivity probe","One-step adjacent-window forecasts, inconsistent 12/24/48-hour descriptions, no strong prediction baseline or calibration, simplified exposure encoding, no causal identification, and no prospective utility","medRxiv v1 Abstract; Results model performance, Figs. 2 and 4-5; Methods Input features, Preprocessing, Phase 1/2, cross-validation; Discussion limitations; Data/Code availability"
MWM-0011,Action-Conditioned World Model for Goal Plane Probe Guidance in Robotic Ultrasound,procedural_embodied,planning,not_identified,not_applicable,no,no,NA,yes,real,no,no,0,"Patient-level separation, multi-horizon image evaluation, an action control, and physical closed-loop testing directly address the embodied guidance claim","Only 20 participants in one reported setting; no competing world-model baseline, action shuffling, calibrated uncertainty, external validation, or measured force safety outcome; the visual model omits contact mechanics","Sec. II, pp. 2-4: cohort, latent diffusion world model, actions, and policy; Table I, p. 5: trajectory/frame counts and patient split; Fig. 4 and Tables II-IV, pp. 5-7: horizon fidelity, controls, and robot results; Discussion, p. 8: evidence boundary and limitations"
MWM-0012,Affective Music Recommendation: A Rollout-Based World Model for Offline Preference Optimization,peripheral_health_adjacent,planning,described,described,no,no,no,yes,offline,no,unclear,0,"User-disjoint cold-start evaluation, repeated splits and seeds, missing-aware objectives, and several rollout diversity or stability measures","Optimization and evaluation use the same learned simulator; single platform and policy; no calibration, external validation, online outcomes or causal identification","p.1 Abstract; pp.2-4 Sec. 3 and Fig. 1 for data, state, action and model; pp.5-8 Sec. 4 and Tables 1-5 for splits, metrics, ablations and policy rollouts; p.8 Sec. 5.1-5.3 for safety scope and limitations"
MWM-0013,Agentifying Patient Dynamics within LLMs through Interacting with Clinical World Model,longitudinal_physiology_decision,planning,described,described,no,yes,yes,no,offline,yes,yes,2,"Detailed state/action construction, strong policy baselines, external retrospective cohort, explicit safety metrics and expert-checked failures","High-capability planning claim rests on a learned simulator and OPE; no action-support analysis, causal identification, calibrated uncertainty, prospective validation, or free-running physiology audit","pp.1-5 Abstract, Secs.2-3, Tables 1-2; pp.8-9 Sec.5, Tables 3-4; pp.15-18 Apps.C-F, Tables 5-10; pp.23-24 Apps.I-J, Table 11, Figs.7-8"
