split,horizon_hours,metric,model_a,model_a_label,model_b,model_b_label,patients,fixed_neural_seeds,difference_a_minus_b,ci_95_lower,ci_95_upper,interpretation
internal_test,12,patient_nmae,grud,Probabilistic GRU-D-style model,transformer,Causally masked Transformer,1806,5,0.0020509671967684495,0.0005497434894786157,0.0036085099718240216,Negative values favor model A because lower NMAE is better.
internal_test,12,patient_nmae,grud,Probabilistic GRU-D-style model,ridge_var,Ridge vector autoregression,1806,5,-0.013131234429380467,-0.01671233683290514,-0.009338218226196153,Negative values favor model A because lower NMAE is better.
internal_test,12,patient_nmae,transformer,Causally masked Transformer,ridge_var,Ridge vector autoregression,1806,5,-0.015182201626148917,-0.019372424890365062,-0.011343106716750267,Negative values favor model A because lower NMAE is better.
internal_test,12,patient_nmae,rssm,Recurrent state-space model,ridge_var,Ridge vector autoregression,1806,5,0.08389926796518155,0.07901588039643154,0.08930216861950507,Negative values favor model A because lower NMAE is better.
internal_test,12,patient_nmae,ridge_var,Ridge vector autoregression,locf,Last observation carried forward,1806,5,-0.042289318375889784,-0.04964561363303804,-0.03403620160706543,Negative values favor model A because lower NMAE is better.
external_test,12,patient_nmae,grud,Probabilistic GRU-D-style model,transformer,Causally masked Transformer,10178,5,0.0008355453217131492,-1.051446542469636e-05,0.0016530728730164922,Negative values favor model A because lower NMAE is better.
external_test,12,patient_nmae,grud,Probabilistic GRU-D-style model,ridge_var,Ridge vector autoregression,10178,5,-0.008490621183839697,-0.010223396914679203,-0.006792109689852611,Negative values favor model A because lower NMAE is better.
external_test,12,patient_nmae,transformer,Causally masked Transformer,ridge_var,Ridge vector autoregression,10178,5,-0.009326166505552846,-0.011370884209140435,-0.007397643057654792,Negative values favor model A because lower NMAE is better.
external_test,12,patient_nmae,rssm,Recurrent state-space model,ridge_var,Ridge vector autoregression,10178,5,0.09193538946248903,0.08960304697759651,0.09423613384033133,Negative values favor model A because lower NMAE is better.
external_test,12,patient_nmae,ridge_var,Ridge vector autoregression,locf,Last observation carried forward,10178,5,-0.045244684928839596,-0.048841822539864105,-0.041387729663865044,Negative values favor model A because lower NMAE is better.
