candidate_id,title,abstract,final_corpus_type,authors,year,publication_date,venue,doi,arxiv_id,url,record_type,sources,query_labels,source_status,final_decision,final_reason_code,resolution_route,adjudication_rationale,source_routes,source_record_ids,exact_match_group_size,manual_lineage_review_required,lineage_action,lineage_canonical_candidate_id,lineage_relation_type,lineage_rationale,lineage_source_anchor,lineage_confidence
MWM-XA9B007D895,A Blood Glucose Control Framework Based on Reinforcement Learning With Safety and Interpretability: In Silico Validation,"Controlling blood glucose levels in diabetic patients is important for managing their health and quality of life. Several algorithms based on model predictive control and reinforcement learning (RL) have been proposed so far, most of which use prior knowledge of physiological systems, the mathematical structure of blood glucose dynamics, and many episodes including failures for training the policy network in RL. To be smoothly adopted in clinical settings, we propose a fast online learning method underlining safety and interpretability. A random forest regressor and a dual attention network were exploited for glucose prediction and extension of state variables. The soft actor-critic network to determine insulin dosing was guided by proportional-integral-derivative (PID) control in the early phase, and an adaptive safe actor with suspension and additional insulin dosing was incorporated. The performance of the models was validated using an FDA-approved type 1 diabetes simulator. The results showed comparable outcomes with PID control. Using this system, glucose dynamics could be captured despite minimal prior knowledge. The extended state variables were correlated with basic states such as glucose, insulin, and meal intake, their derivatives, and their integrals, which can be fundamental elements of mathematical modeling of physiological responses. Attention scores and attribution scores in the prediction and control models represented the focused features and the internal operation of the models with interpretability. We expect this study to provide some insights on how RL can be practically adopted in clinical environments and how interpretability can provide hints of machines' thoughts for clinical applications.",empirical,Min Hyuk Lim; Woo Hyung Lee; Byoungjun Jeon; Sungwan Kim,2021,2021-01-01,IEEE Access,10.1109/access.2021.3100007,,https://doi.org/10.1109/access.2021.3100007,article,['openalex'],"['""world model"" clinical', '""world model"" medicine', '""world model"" patient', '""world model"" physiology']",open-access,include,include_empirical,merged_inclusion_sources,"Online RFR and dual-attention models learn 30-45-minute glucose transitions from glucose, insulin action, and meal histories; these predictions form extended states and safety triggers for SAC, with forecast and closed-loop trajectory evaluation in the UVA/Padova simulator.",exhaustive_rescreen,AUD-4e37c79357ee,1,no,retain,MWM-XA9B007D895,no_related_version_identified,"The IEEE Access article is the stable full publication. Exact-title, author, DOI, update, and corpus comparisons found no duplicate, successor, correction, withdrawal, or retraction record.",https://doi.org/10.1109/access.2021.3100007,high
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,"Altered affective state dynamics are a characteristic feature of depression and can persist beyond symptomatic remission. Individuals with remitted major depressive disorder (rMDD) often show heightened reactivity to negative mood states and reduced efficiency in recovering from them, consistent with changes in affective dynamics after remission. These patterns may reflect alterations in the brain's capacity to flexibly shift between neural states that support distinct affective modes. Characterizing the dynamical mechanisms that govern transitions into and out of experimentally induced affective states is therefore essential for understanding vulnerability to recurrence and informing mechanistic interventions. We developed a data-driven framework combining dynamical system reconstruction (DSR) with model-based control to infer optimal control policies for transitions between resting and sad mood brain states using functional magnetic resonance imaging (fMRI) data. Nonlinear DSR models trained on individuals with rMDD and healthy controls (HC) yielded region-specific, state-dependent control strategies. Small regions (e.g., sgACC, NAcc) showed higher controllability, requiring less energy for state transitions. Notably, rMDD participants required less control energy than HC to shift both into and, to a more spatially restricted extent, out of sad mood states. Despite reaching the resting state target with similar proximity, however, they remained closer to the sad mood distribution when returning to rest, reflecting a residual bias toward the sad mood distribution. Elevated coupling in rMDD, especially toward the DLPFC, was linked to lower control energy, suggesting that stronger network coupling facilitates transitions. These findings indicate rMDD dynamics that ease entry into sad mood states but impede full disengagement. More broadly, they demonstrate how closed-loop control applied to data-driven dynamical models can provide mechanistic insight into brain state transitions and inform future hypotheses about cognitive vulnerability or compensatory processes.",empirical,"Emonds N, Herberg E, Gerchen MF, Pritsch M, Rocha J, Zamoscik V, Kirsch P, Herzog R, Koppe G.",2026,2026-08-01,,10.1002/hbm.70600,,https://europepmc.org/article/MED/42454569,,['europe_pmc'],['europe_pmc_core'],indexed,include,include_empirical,merged_inclusion_sources,"Individual fMRI time series train nonlinear dynamical-system-reconstruction models of resting and sad-mood brain states; optimal-control rollouts directly evaluate target-state convergence, trajectory likelihood, and control energy.",exhaustive_rescreen,AUD-33eaf98b7a7b,1,no,retain,MWM-XD5F16C34AE,preprint_to_journal_successor,"The Human Brain Mapping article is the journal successor of the same-author, same-title bioRxiv preprint 10.1101/2025.07.21.665992. Only the journal article should represent the study; no duplicate candidate occurs in either corpus.",https://doi.org/10.1101/2025.07.21.665992;https://doi.org/10.1002/hbm.70600,high
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,,empirical,Shoumik Roychowdhury; Shounak Roychowdhury,2020,2020,2020 International Joint Conference on Neural Networks (IJCNN),10.1109/ijcnn48605.2020.9206875,,https://doi.org/10.1109/ijcnn48605.2020.9206875,proceedings-article,crossref,"""disease progression model"" generative intervention",registered,include,include_empirical,merged_inclusion_sources,A conditional GAN learns longitudinal Alzheimer state progression and recursively generates later disease-stage trajectories; future stage outputs are directly compared with held-out longitudinal patient sequences.,expanded_search,ALT-10e1e2640b93,1,no,retain,MWM-X10E1E2640B,no_related_version_identified,"The IJCNN proceedings article is a distinct cGAN progression study by the Roychowdhury authors. It does not share authors, identifier, or study lineage with the SimulAD family or another corpus record, and no update or unstable-publication signal was found.",https://doi.org/10.1109/ijcnn48605.2020.9206875,high
MWM-X36A3691F14,A data-driven Alzheimer's disease progression simulator for retrospective validation and prospective Phase III power design.,"Anti-amyloid immunotherapies have recently demonstrated the first significant slowing of cognitive decline in Alzheimer's disease (AD), yet clinical benefit varies markedly across drugs and scales with the completeness of amyloid clearance. Pharmacokinetic/pharmacodynamic (PK/PD) models are currently the standard tool for trial simulation, but they typically operate on single biomarkers and rely on drug-concentration assumptions, leaving the multi-scale cascade from amyloid clearance through tau, neurodegeneration, and cognition largely unmodelled. No existing framework has been jointly validated against the quantitative outcomes of multiple real-world phase III trials, spanning clearance kinetics, multi-modal biomarker trajectories, and statistical power. We present a trial simulation platform based on SimulAD, a disease progression model trained exclusively on longitudinal observational data from ADNI, with no access to trial-arm labels or drug-specific outcomes. SimulAD encodes intervention as piecewise amyloid clearance terms within a latent ordinary differential equation system that jointly governs amyloid, tau, structural MRI, and cognitive trajectories under the amyloid cascade hypothesis. We retrospectively simulated six landmark phase III anti-amyloid trials (TRAILBLAZER-ALZ2, CLARITY AD, EMERGE and ENGAGE, GRADUATE I and GRADUATE II) using a single trained model with trial-specific calibration limited to amyloid clearance kinetics. SimulAD reproduced published mean centiloid reductions within 5% error across all six trials and generated CDR-SB distributions broadly consistent with reported placebo and treated-arm outcomes. In a retrospective power analysis, calibrated simulations separated the three positive from the three null trials, with EMERGE near the decision boundary and ENGAGE and both GRADUATE trials below it. Across trials, higher amyloid-clearance rates were associated with larger calibrated clinical effects and lower estimated sample sizes. These results establish SimulAD as a valid disease-progression-centric trial simulator providing quantitative guidance on sample size planning and treatment kinetics optimisation that is grounded in the full multi-modal biomarker cascade of AD.",empirical,Marco Lorenzi; Anna Custo; Giovanni B Frisoni; Valentina Garibotto,2026,2026,medRxiv : the preprint server for health sciences,10.64898/2026.05.03.26352317,,https://pubmed.ncbi.nlm.nih.gov/42145636/,journal-article,europe_pmc;pubmed,europe_pmc_core;pubmed_core,indexed,include,include_empirical,merged_inclusion_sources,"SimulAD learns a latent ODE transition over amyloid, tau, MRI, and cognition from longitudinal ADNI data, then evaluates intervention-conditioned multistep trajectories against six Phase III trials and power outcomes.",expanded_search,ALT-36a3691f146d,1,no,retain,MWM-X36A3691F14,companion_study_family,"This preprint explicitly applies and extends SimulAD to retrospective Phase III trial validation and prospective power design. It is a distinct evaluation extension of MWM-XC71FC75483 and MWM-XB6F8EC5868, not a duplicate publication of either paper.",https://doi.org/10.64898/2026.05.03.26352317;https://doi.org/10.1016/j.neurobiolaging.2021.12.015;https://doi.org/10.1093/braincomms/fcab091,high
MWM-XB41D731350,A digital twin for hospital antimicrobial resistance forecasting and constrained intervention optimisation,"A bstract Hospital antimicrobial resistance (AMR) emanates from an array of complex interactions between patient turnover, heterogeneous patient–staff contact patterns, antibiotic-driven within-host selection, and imperfect surveillance. We present a hospital AMR digital twin that combines mechanistic simulation with temporal graph learning to forecast resistance emergence from evolving daily contact networks and enable support intervention planning. Our approach is twofold: graph neural networks and transformers to model predictions and mathematical programming optimization to provide decision support. The main predictive task asks whether future spread of resistant infections is more likely to be driven by endogenous hospital transmission and selection or from importation on admission. We evaluated this task under both fully observed and partially observed settings, using baseline benchmarks together with ablations, surveillance perturbations, and distribution-shift stress tests. Under canonical conditions, the model achieved very strong predictive performance, especially when ground-truth system states were available, and remained informative under partial observation. Ablations showed that contact-weight information was relatively robust, whereas compressed node-feature representations weakened performance more noticeably when observations were incomplete. Surveillance stress tests further showed that delayed or less frequent reporting can be tolerated in some settings, but threshold calibration becomes fragile under more severe observation changes. Across broader epidemiological and surveillance shifts, the ground-truth model generally preserved strong ranking ability, while partial-observation performance was less stable. When models were trained directly in the shifted regime, performance improved compared with zero-shot transfer, indicating that the digital twin can adapt to new and previously unseen operating conditions but that portability across regimes can improve, particularly when only partial surveillance data are available. We also evaluated intervention-conditioned forecasting by branching hospital states into a small library of screening and isolation policies under a shock-and-superspreader regime. The learned models supported useful within-state action ranking and frequently identified policies that improved on the baseline containment protocols or avoided worsening outcomes. The same digital twin can also support constrained intervention selection, although reliable deployment will require careful calibration, improved robustness under partial observation, and broader policy libraries.",empirical,"Triantafyllidis CP, Aguas R.",2026,2026-05-22,openRxiv,10.64898/2026.05.15.26353296,,https://europepmc.org/article/PPR/PPR1237042,posted-content,crossref;europe_pmc,"""clinical digital twin"" intervention;""intervention-conditioned forecasting"" clinical;europe_pmc_core",indexed,include,include_empirical,merged_inclusion_sources,Temporal graph and transformer models learn resistance-spread transitions from evolving hospital contact states; branched screening and isolation policies are evaluated by future-state forecasts and within-state action ranking.,expanded_search,ALT-b41d73135078,1,no,retain,MWM-XB41D731350,current_preprint_no_successor_identified,"The medRxiv/openRxiv DOI resolves to the current preprint. No same-title publication successor, duplicate corpus record, correction, withdrawal, or retraction was identified by the cutoff.",https://doi.org/10.64898/2026.05.15.26353296,medium
MWM-XF6449FE2D4,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,"Abstract Acute kidney injury in sepsis evolves over hours to days, yet most ICU models emphasize onset and provide limited insight into cardio-renal interactions. We developed AKI-twinX, an organ-structured, explainable digital twin that jointly forecasts acute kidney injury onset, acute kidney injury trajectory, and near-term mortality risk. The model learns renal and cardiovascular latent states with sparse feature gating and captures cross-organ coupling with attention. We trained AKI-twinX on MIMIC-IV sepsis using 5-fold cross-validation and evaluated it on an Indiana University Health cohort. Discrimination was consistent across systems (AUC: mortality 0.86-0.88, acute kidney injury onset 0.78-0.82, acute kidney injury trajectory 0.73-0.78). In vasopressor-treated windows, 12-hour systolic blood pressure forecasts tracked observed values (mean absolute error 8.5 mmHg). Counterfactual vasopressor withdrawal shifted predicted blood pressure downward and increased predicted risk, supporting sensitivity to clinically meaningful interventions. AKI-twinX enables trajectory-aware forecasting with bedside auditability in sepsis.",empirical,Jinjin Cai; Allison E Gatz; Jiangqiong Li; Deborupa Pal; Haixu Tang; Michael T Eadon; Baijian Yang; Lingzhong Meng; Jing Su,2026,2026,openRxiv,10.64898/2026.03.13.26346736,,https://doi.org/10.64898/2026.03.13.26346736,posted-content,crossref,"""medical digital twin"" trajectory;""physiological trajectory"" forecasting",registered,include,include_empirical,merged_inclusion_sources,"The model learns coupled renal and cardiovascular latent transitions from MIMIC-IV, validates AKI and blood-pressure trajectories externally, and tests vasopressor-withdrawal counterfactual responses.",expanded_search,ALT-f6449fe2d40f,1,no,retain,MWM-XF6449FE2D4,current_preprint_no_successor_identified,"The medRxiv record is the current public version. The AKI topic overlaps with MWM-0215, but authors, model, title, and study design differ, so this is not a publication-family duplicate; no successor or unstable-publication signal was found.",https://doi.org/10.64898/2026.03.13.26346736;https://doi.org/10.53941/aim.2026.100002,medium
MWM-X6FB8E7370E,Autosomal Dominant Tubulointerstitial Kidney Disease Clinical Trial Simulator: Case Reports of Model-Informed Drug Development.,"Autosomal Dominant Tubulointerstitial Kidney Disease (ADTKD) is the third most common inherited monogenic kidney disorder. Mutations in UMOD and MUC1 account for most cases, with the disease characterized by progressive eGFR decline leading to kidney failure. No disease-modifying therapies exist, and transplantation is the only current option. Designing trials for ADTKD is hampered by small patient numbers, variable progression rates, and uncertainty around optimal endpoints. Building on natural history data from Wake Forest School of Medicine, nonlinear mixed-effects models were developed to describe eGFR decline in UMOD and MUC1 variants. These models formed the foundation for a web-based clinical trial simulation (CTS) tool (https://app.cop.ufl.edu/adtkd/) built in R Shiny. The tool allows users to define trial populations, configure design parameters, and estimate statistical power by simulating placebo vs. assumed treatment arms. Drug effects were modeled as percentage changes in key parameters of the developed disease progression models describing individual-level eGFR trajectory over age: DPT50 (age at which eGFR is half of its maximum decline), γ 1 $$ {\gamma}_1 $$ and γ 2 $$ {\gamma}_2 $$ (steepness before and after DPT50). Both slope-based eGFR change and end-of-trial eGFR measures functioned as effective surrogate endpoints. Herein, we present the model-based CTS tool developed for ADTKD and demonstrate its use in designing and evaluating clinical trial scenarios, illustrated by two representative case studies. The CTS tool provides a pragmatic framework for optimizing ADTKD trial design. By enabling scenario testing and highlighting genotype-specific considerations, it supports efficient, cost-effective planning and represents an example of model-informed drug development in rare kidney diseases.",empirical,Shyam S Ramesh; Mark Rogge; Jongjin Kim; Sanghoon Kang; Kendrah Kidd; Adrienne Williams; Julie Roignot; Katherine Blakeslee; Anthony J Bleyer; Sarah Kim,2026,2026,CPT: pharmacometrics & systems pharmacology,10.1002/psp4.70258,,https://pubmed.ncbi.nlm.nih.gov/42062819/,journal-article,europe_pmc;pubmed,europe_pmc_core;pubmed_core,indexed,include,include_empirical,merged_inclusion_sources,Nonlinear mixed-effects models fit individual eGFR trajectories from longitudinal natural-history data; placebo and treatment trajectories are simulated across trial designs and evaluated by statistical power.,expanded_search,ALT-6fb8e7370e1e,1,no,retain,MWM-X6FB8E7370E,companion_trial_simulator_series,"This is a disease-specific ADTKD case-study article in the model-informed clinical-trial-simulator series. It shares platform lineage with MWM-X872C154484 and MWM-X2E0B832A46 but has a different disease model, evidence set, and article, so all three remain separate.",https://doi.org/10.1002/psp4.70258;https://doi.org/10.1002/psp4.12753;https://doi.org/10.1002/psp4.13193,high
MWM-XD3411F7D18,"CardamomOT: a mechanistic optimal transport-based framework for gene regulatory network inference, trajectory reconstruction and generative modeling","A key challenge in inferring gene regulatory networks (GRNs) governing cellular processes such as differentiation and reprogramming from experimental data lies in the impossibility of directly measuring protein dynamics at the single-cell level, which prevents establishing causal relationships between regulator activity and target responses. In earlier work, we introduced CARDAMOM, an algorithm that uses temporal snapshots of scRNA-seq data to calibrate a GRN-driven mechanistic model of gene expression. However, this method had several limitations: it could only rely on the relative ordering of time points rather than their exact labels, imposed restrictive quasi-stationary assumptions on protein dynamics, and depended on multiple hyperparameters. Here, we present CardamomOT, a new method based on the same mechanistic model that jointly reconstructs the GRN and unobserved protein trajectories from the data within a mechanistic optimal transport framework. By incorporating exact time labels and priors on protein kinetic rates from the literature, and substantially reducing the number of required hyperparameters, our approach addresses these limitations and substantially improves the accuracy and robustness of GRN calibration. We validate our framework on both in silico and experimental datasets, demonstrating computational scalability and consistently improved performance over state-of-the-art methods in both GRN and trajectory reconstruction. In particular, CardamomOT accurately recovers velocity fields driving cellular trajectories and unobserved protein levels, alongside reliable GRN structures. We also show that these improvements make the calibrated mechanistic model suitable to be used as a generative model to predict cellular responses to unseen perturbations. To our knowledge, this is among the first methods to explicitly integrate mechanistic GRN inference, trajectory reconstruction, and simulation of realistic datasets into a unified framework for scRNA-seq time series analysis. Author summary Predicting gene regulatory interactions and understanding how cellular trajectories respond to perturbations are central challenges in cell biology and bioinformatics, yet they have long been addressed as separate problems. Only a few recent approaches leverage temporal single-cell RNA sequencing data to jointly infer gene regulatory networks (GRNs) and cellular trajectories, including our previous method CARDAMOM. In this work, we introduce CardamomOT, a new framework that integrates optimal transport—a mathematical theory that has become widely used in computational biology in recent years—within a mechanistic modeling approach. This allows us to link cells across timepoints while jointly reconstructing the underlying, unobserved protein trajectories that drive gene regulation. By explicitly modeling these latent dynamics, our method substantially improves the robustness and accuracy of GRN inference. In contrast to many black-box approaches, CardamomOT is grounded in a biologically interpretable mechanistic model of gene expression, incorporating key processes such as transcriptional bursting, protein translation, and degradation. This framework naturally accommodates prior knowledge on RNA and protein kinetic rates available in the literature and remains consistent with the statistical properties of single-cell transcriptomic data. We demonstrate on both simulated and experimental datasets that CardamomOT accurately infers GRNs and reconstructs cellular trajectories. Moreover, because it provides a fully calibrated generative model, it can be used to predict cellular responses to unseen perturbations by modifying the inferred regulatory interactions.",empirical,"Maugé Y, Ventre E.",2026,2026-04-02,,10.64898/2026.03.31.715390,,https://europepmc.org/article/PPR/PPR1215662,,europe_pmc,europe_pmc_core,indexed,include,include_empirical,merged_inclusion_sources,"CardamomOT calibrates gene-regulatory and latent protein transitions from time-labeled single-cell data, reconstructs trajectories, and evaluates generation under unseen regulatory perturbations.",expanded_search,ALT-d3411f7d184d,1,no,retain,MWM-XD3411F7D18,current_preprint_no_successor_identified,"The bioRxiv DOI is the current primary report of CardamomOT. Searches found later applications of the framework but no renamed publication of this study, corpus duplicate, correction, withdrawal, or retraction.",https://doi.org/10.64898/2026.03.31.715390,medium
MWM-X1BBCF32528,"CellPace: A temporal diffusion-forcing framework for simulation, interpolation and forecasting of single-cell dynamics","Abstract Single-cell omics technologies resolve cellular heterogeneity at high resolution but provide only static snapshots of continuous developmental processes. This makes it difficult to recover coherent temporal dynamics when developmental stages are irregularly sampled or missing. While recent generative models can simulate observed cell states, they often treat timepoints as discrete categories, hindering interpolation across gaps and extrapolation to unobserved future stages. We present CellPace, a generative model that learns and generates developmental dynamics by leveraging a transformer-based temporal diffusion backbone conditioned on continuous, gap-aware temporal encodings. Across diverse mouse developmental lineages, CellPace achieves state-of-the-art performance in simulation, interpolation, and forecasting tasks. Beyond recovering global population statistics, generated cells preserve fine-grained biological structure, retaining dynamic gene regulatory programs and mapping accurately to anatomical regions in spatial transcriptomics data. Furthermore, CellPace extends naturally to multi-modal data, modeling joint RNA-chromatin dynamics even when temporal ordering is inferred from pseudotime. Together, these results position CellPace as a robust framework for modeling and generating continuous developmental dynamics from sparse, cross-sectional single-cell data.",empirical,Chen Su; Amin Emad,2026,2026,openRxiv,10.64898/2026.02.25.707938,,https://doi.org/10.64898/2026.02.25.707938,posted-content,crossref,"""virtual cell"" temporal dynamics",registered,include,include_empirical,merged_inclusion_sources,"CellPace learns continuous developmental transitions with a temporal diffusion transformer and directly evaluates simulation, missing-time interpolation, and extrapolation to unseen future stages.",expanded_search,ALT-1bbcf3252882,1,no,retain,MWM-X1BBCF32528,current_preprint_no_successor_identified,"The bioRxiv DOI is the current CellPace report. It is methodologically and authorially distinct from CardamomOT, Chreode, and the virtual-cell roadmap; no successor or unstable-publication signal was identified.",https://doi.org/10.64898/2026.02.25.707938,medium
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,"Predicting how a cell will change its transcriptional state under a developmental signal or a genetic perturbation is the computational core of in-silico biology and the AI Virtual Cell program. Existing approaches either fit static control-to-treated maps that discard time, or solve multi-step ODE / Schrödinger-bridge problems on each dataset independently. We introduce Chreode, a one-step cell world model that predicts action-conditioned cell-state transitions through a structured residual transition operator. It shifts distributional evolution from inference time to training time, enabling single-pass generation while preserving a Waddington-inspired decomposition into downhill landscape flow, rotational in-tangent dynamics, and stochastic spread. The model is pretrained with a shared scVI encoder and a DiT-based dynamics backbone on a 2.4M-cell mouse embryonic atlas spanning 7 datasets. As a fine-tuning initialization, Chreode improves per-target Sinkhorn distance on Weinreb hematopoiesis and Veres islet differentiation over matched scratch models, PI-SDE, and PRESCIENT. As a transferable gene-state embedding for GEARS, the pretrained dynamics representation reduces shared-vocabulary DE20 mean squared error on Norman Perturb-seq from 0.2121 to 0.1858, a 12.4% relative improvement, without changing the GEARS training procedure. We interpret this transfer to perturbation prediction as evidence that pretrained developmental-trajectory dynamics encode differentiation primitives transferable to CRISPR-induced state shifts, since both involve cell-state transitions in a shared latent geometry. The pretrained backbone additionally produces zero-shot clonal fate scores on Weinreb that are competitive with strong dynamic-OT baselines.",empirical,Mufan Qiu; Genhui Zheng; Yinuo Xu; Ruichen Zhang; Ying Ding; Qi Long; Tianlong Chen,2026,2026-05-27,arXiv (Cornell University),,2605.28111,https://arxiv.org/abs/2605.28111,preprint,['openalex'],"['""world model"" clinical']",open-access,include,include_empirical,merged_inclusion_sources,Chreode learns an action-conditioned cellular state-transition operator from large temporal single-cell data and evaluates future developmental-state and perturbation prediction on multiple biological datasets. One-step dynamics still satisfy the boundary because the transition itself is learned and directly assessed.,sampled_audit,AUD-12eef56fc6be,1,no,retain,MWM-X962473BB89,arxiv_version_current_no_successor_identified,arXiv 2605.28111 remains at v1 and no publisher successor or duplicate corpus record was found. The sampled decision to retain and recheck is therefore confirmed at the cutoff.,https://arxiv.org/abs/2605.28111v1,medium
